prefix,n_steps,fee_bps,pipeline_baseline_logw,dynamic_feeaware_logw,neh_logw,dynamic_minus_pipeline_logw,dynamic_minus_neh_logw,pipeline_sortino,dynamic_sortino,neh_sortino,dynamic_minus_pipeline_sortino,dynamic_minus_neh_sortino,pipeline_maxdd,dynamic_maxdd,neh_maxdd,dynamic_avg_turnover
week10_kelly_D,57141,10.0,1.5569623647176887,1.5517263562563464,-0.13143878177494256,-0.005236008461342312,1.6831651380312889,0.04271906064031175,0.042581258617750584,0.005227919075440136,-0.00013780202256116758,0.037353339542310446,-0.07047244474462877,-0.07047244474462866,-0.5671296314055765,9.161307650706832e-05
week11_I,7747,10.0,1.7150087623662587,1.7109254292743004,-0.09733623831404106,-0.004083333091958297,1.8082616675883414,0.08084473926488826,0.08067085239580214,0.007116287461057854,-0.0001738868690861206,0.07355456493474428,-0.2969708627708749,-0.2969708627708747,-0.5208084471319763,0.0005268810489605297
week11_K,8030,10.0,2.2547069367356927,2.2500711641590354,-0.07570868561627889,-0.00463577257665726,2.3257798497753144,0.13296242531551186,0.13276219191309988,0.007584895396895788,-0.00020023340241198673,0.12517729651620407,-0.29116939347102466,-0.2911693934710249,-0.47813465464188276,0.0005771383215487947
week11_L,8405,10.0,2.7342754280425643,2.7289892988656903,0.033509483834497644,-0.005286129176873988,2.6954798150311925,0.16206600676722738,0.16181654366707363,0.008861218864856241,-0.0002494631001537517,0.15295532480221738,-0.22378908838935263,-0.22378908838935074,-0.4799554903589206,0.0006286919434377684
week11_M,10282,10.0,0.8714817210030461,0.8676441809269445,-0.05377000467745087,-0.0038375400761015976,0.9214141856043954,0.10073317757628779,0.10037061659034077,-0.0006462201386272569,-0.00036256098594701636,0.10101683672896802,-0.08462779988337388,-0.08462779988337243,-0.2507345956922733,0.00037318308702421696
week12_Q,7830,10.0,1.77077659726825,1.7664564872980208,-0.4025471363427575,-0.004320109970229247,2.169003623640778,0.08058063367486501,0.08040373092779302,-0.0021180873241582916,-0.00017690274707199416,0.0825218182519513,-0.35099239467139765,-0.35099239467139787,-0.5857321631133072,0.00055156649743073
week13_A_seed123,6929,10.0,2.1444105040353127,2.1407608650646743,-0.41525232327705325,-0.0036496389706384136,2.5560131883417276,0.1148839157225682,0.11472041402300419,0.01546407394185776,-0.00016350169956401428,0.09925634008114642,-0.20334757292223404,-0.20334757292223393,-0.7427617733242348,0.000526578518397409
week13_A_seed42,6186,10.0,1.1414529434874892,1.137707355636187,-0.18992136847412383,-0.00374558785130219,1.3276287241103109,0.12869298674475138,0.12834361108339387,0.005106442703690515,-0.0003493756613575094,0.12323716837970336,-0.1905614820071626,-0.1905614820071626,-0.596390045898709,0.0006053801155365324
week13_A_seed7,6197,10.0,1.1512329271461212,1.1474891184718485,-0.19437045464007774,-0.0037438086742727084,1.3418595731119263,0.12779389395706423,0.12744992786992215,0.0050588021052422475,-0.00034396608714207244,0.1223911257646799,-0.19133740361714624,-0.19133740361714735,-0.5989051821855867,0.0006040178898684352
week13_S1,6658,10.0,5.500081020722089,5.494995227136684,-0.07044023163917947,-0.00508579358540473,5.565435458775863,0.56392305976764,0.5635883403069631,0.033568335824732044,-0.00033471946067686886,0.5300200044822311,-0.1683957228446834,-0.1683957228446834,-0.8560208188866132,0.0007636790136787425
week13_S4_seed3,7287,10.0,1.7378511037050441,1.7331365652412756,-0.19380613950443104,-0.0047145384637685694,1.9269427047457066,0.09987285946734521,0.0996569307857445,0.011990938042072125,-0.00021592868160071055,0.08766599274367237,-0.2267074954463527,-0.2267074954463525,-0.6322107061364639,0.0006469917098401564
week13_S5,7043,10.0,1.643425781881771,1.6387100599051063,-0.21385605414568767,-0.0047157219766647,1.852566114050794,0.09735972817338025,0.09713879652193792,0.012547728664418969,-0.0002209316514423243,0.08459106785751895,-0.17935079516986663,-0.17935079516986707,-0.6237706803071761,0.0006694063026558596
