step,100740357893930039073645347304025265904103736920370928783519503167478569691044,108547978327958467449318042977006580876058560639743186491243488736783119648127,108548893345759572446077602443398325305734327289834850738242401844282632332811,111646250931838932302421100465311863857465734768037379595335905351441550302588,113032982619525852115420277512821190062380704297670231304441009678288132478177,115563279943088574368475763566308524191598627607680105838058505260056381768939,11876606915924142133615854761923277060697657209957870741155164849437788272266,13433573766910980267981622064090484781359464703732825845886677588040916221533,14018274637090307878372326472471535510234764986484318979992031495866993899114,15394416147421266264002744586901575755411758481406494583013250092373628427765,18791277393217683755628516529477058015186638022373024614300661393042993809537,27576533317283401577758999384642760405921738493660383550832555714312627457443,30168634295384984099987626703440157654602987915064535215384295190163901851184,32431890167345181985795456212069136470689842825539004695200064630822423107335,39133371819296059003541521092128254346605102576351704426326802558136998572706,42645635688384173938505005153732536262139883933750646945028210271328873690888,43478780997313571844864646081201368302664941062507392308569466005072068318763,46016408901619903295207375832539898750164493226855442884509133805980187874445,46551195771960533081545368009925141952498658652959429196677286705276507790996,4655209727295513535859117642120184432334179761721646415109648555849060899062,51273396751548994017117054764897754414228591289652072971120018616721173971444,5254288171817620305899304387173316577587455481755582876905938498730493405588,56940108685601594440972125972550948538859641414755179784371446688257727053902,57301498276970257025109591078431189727442302532145853906375186182281603517458,5906729942132388187374842778427213872782907171873674796265663843960406830445,63907313656443890447578607530571289622813903996374626191028175281541399992719,63931284508031754808359645663279593286333277328858705756576520335090573316938,67784084156063245454459357229936847964117127235086701895468125487885758601780,68194463917260305435439145066031544476540679280823247532132832363696000101185,68207341820749052475650610432894562714266620914604033880285153252182288802957,68370995073141964079913803663665941780115677360430806954011390499916208708512,703229116919803457142440034780425874346022451261358752931225117413237404457,75712298340810272859765060308006832993211601931382911468417184675550881103879,76641034721053425080952855862174690067662519247667787282293691334146019135577,79895259217313803731994821165811563835560123915015381398339503448680100356036,81149948856723777101519215824830787060576196646125816787577716414910058024325,82712470265251700739331694672360544122893066934757473974734613171971970115364,86511993606190995539996371064900122466738869186406355817612580895605974257272,89694314427486889897766629507723742460669068230376416068996390119126818537632,96308556109755835434254900303426519652053230974356832970824534225192181988516
0,0.002596423961222172,0.05693601071834564,0.0026566581800580025,0.07787659764289856,0.07199233770370483,0.004183534532785416,0.018323279917240143,0.00852007232606411,0.05935485661029816,0.006445706821978092,0.0,0.006250158417969942,0.004934892989695072,0.0023774178698658943,0.040948644280433655,0.011418500915169716,0.07483155280351639,0.0,0.07607504725456238,0.0,0.0,0.07700563222169876,0.015729723498225212,0.00253847218118608,0.006830973085016012,0.004335929173976183,0.06781750917434692,0.005410565994679928,0.006229138467460871,0.010546005330979824,0.03300027549266815,0.012229404412209988,0.0735807865858078,0.011642448604106903,0.03386147692799568,0.07012788206338882,0.0033000214025378227,0.017937859520316124,0.0024452635552734137,0.0197089035063982
1,0.0035185369197279215,0.05716527998447418,0.0040042949840426445,0.07686813175678253,0.07284177839756012,0.005709718447178602,0.017384806647896767,0.00735039496794343,0.05940324440598488,0.006139668170362711,0.0,0.005441712215542793,0.0035302622709423304,0.002041468396782875,0.04239807277917862,0.00948015321046114,0.07559037208557129,0.0,0.07537980377674103,0.0,0.0,0.07676197588443756,0.015341746620833874,0.0025558611378073692,0.00696713337674737,0.004288895055651665,0.06754559278488159,0.004347923211753368,0.005174250341951847,0.010935859754681587,0.032877810299396515,0.012094087898731232,0.07363516837358475,0.014275078661739826,0.034255433827638626,0.0704597532749176,0.0025981497019529343,0.01803324930369854,0.0030574181582778692,0.020546805113554
2,0.0033595880959182978,0.05728903040289879,0.007157140411436558,0.07653374969959259,0.07377611100673676,0.010156537406146526,0.015581460669636726,0.005961358547210693,0.060410864651203156,0.004598783794790506,0.0,0.005296873860061169,0.004102517385035753,0.0006600263877771795,0.04238918051123619,0.008734200149774551,0.07589561492204666,0.0,0.07456156611442566,0.0,0.0,0.07747124880552292,0.015486987307667732,0.0019000244792550802,0.007363489829003811,0.004055308643728495,0.06717652827501297,0.0029909040313214064,0.004218766465783119,0.009285012260079384,0.033051375299692154,0.011722519993782043,0.07470953464508057,0.015114281326532364,0.03332743048667908,0.07144923508167267,0.002061463426798582,0.019183291122317314,0.003105462295934558,0.01986268348991871
3,0.005528631620109081,0.057393550872802734,0.008242974057793617,0.07594460248947144,0.0750432088971138,0.012623191811144352,0.016496270895004272,0.0048061092384159565,0.060443103313446045,0.003924832213670015,0.0,0.004274176433682442,0.0023463612888008356,0.001999178435653448,0.04176915064454079,0.008876951411366463,0.07654127478599548,0.0,0.07426388561725616,0.0,0.0,0.07709856331348419,0.014612377621233463,0.0023919050581753254,0.005380120128393173,0.0029326302465051413,0.06747107952833176,0.005856511648744345,0.00401067640632391,0.009549194946885109,0.03271978721022606,0.01193925179541111,0.0750698447227478,0.014624054543673992,0.03312861546874046,0.07198692858219147,0.001307578757405281,0.017674578353762627,0.002397682750597596,0.019331201910972595
4,0.007100787479430437,0.05636560544371605,0.006864309310913086,0.07589907199144363,0.07580441981554031,0.01263942290097475,0.01926860399544239,0.007035754155367613,0.06137998402118683,0.00507327588275075,0.0,0.0046030511148273945,0.0,0.0009148915996775031,0.04305677488446236,0.008239545859396458,0.07641851902008057,0.0,0.07351803034543991,0.0,0.0,0.07687067985534668,0.014191366732120514,0.003823312232270837,0.001457682461477816,0.003717690007761121,0.06744689494371414,0.004830449819564819,0.004030982498079538,0.011582865379750729,0.031404368579387665,0.011831231415271759,0.07553564757108688,0.0145012978464365,0.0339728519320488,0.0727289617061615,0.0006891995435580611,0.015020056627690792,0.0032072924077510834,0.018975134938955307
5,0.007187938783317804,0.056057948619127274,0.0050847167149186134,0.07537548989057541,0.07688124477863312,0.011198336258530617,0.021181266754865646,0.009077786467969418,0.06159646436572075,0.003166635287925601,0.0,0.003328547114506364,0.0,0.0,0.04346277192234993,0.008946171961724758,0.07658855617046356,0.0,0.07351646572351456,0.0,0.0004189796163700521,0.07632974535226822,0.01307179406285286,0.004102328792214394,0.0026226756162941456,0.00443212641403079,0.06800899654626846,0.005831698887050152,0.00453276326879859,0.0117488456889987,0.03146781399846077,0.012348289601504803,0.0753113403916359,0.013147645629942417,0.03370153158903122,0.07276912033557892,0.0004410319961607456,0.013643251731991768,0.004537420812994242,0.01888219825923443
6,0.0058664605021476746,0.055461231619119644,0.004630839917808771,0.07541529834270477,0.07685183733701706,0.008166836574673653,0.02077140472829342,0.009163830429315567,0.06230463460087776,0.00358246429823339,0.0,0.0031889118254184723,0.0,4.3583655497059226e-05,0.04321693256497383,0.01011230330914259,0.07601998001337051,0.0,0.07292967289686203,0.0,0.0006216944893822074,0.07650390267372131,0.013100496493279934,0.007007333915680647,0.002334273187443614,0.005814151372760534,0.06780530512332916,0.005343589931726456,0.006199392024427652,0.013549303635954857,0.030176106840372086,0.013015404343605042,0.07555598020553589,0.010120796971023083,0.03254256770014763,0.07328828424215317,0.0005326478276401758,0.013857201673090458,0.003801272949203849,0.0211041159927845
7,0.006702846381813288,0.055051762610673904,0.0013330569490790367,0.07470739632844925,0.07662314921617508,0.00819685123860836,0.02188781276345253,0.009048481471836567,0.06178758293390274,0.004990248009562492,0.0,0.0028579067438840866,0.0,0.002272081794217229,0.044704619795084,0.013569921255111694,0.07587817311286926,0.0,0.07258835434913635,0.0,0.0,0.07636139541864395,0.011719515547156334,0.005417631473392248,0.003240871476009488,0.005469018593430519,0.06794706732034683,0.00642264261841774,0.007723903749138117,0.01314551942050457,0.027606729418039322,0.013157703913748264,0.07518667727708817,0.009124699048697948,0.03321748971939087,0.07300480455160141,0.0005101280403323472,0.01603802479803562,0.0021168901585042477,0.020389046519994736
8,0.007421229500323534,0.054156288504600525,0.0011879283702000976,0.0746658518910408,0.07548709213733673,0.006060624960809946,0.026690399274230003,0.008841512724757195,0.06147303432226181,0.0037929934915155172,0.0,0.004759912379086018,0.0,0.002413102425634861,0.04466049373149872,0.013782045803964138,0.0749695748090744,0.0,0.07147017866373062,0.0,0.0,0.0764860212802887,0.011697964742779732,0.006980034522712231,0.005048797465860844,0.0036280553322285414,0.06735683232545853,0.00497712567448616,0.006041773594915867,0.012823517434298992,0.026978421956300735,0.014005029574036598,0.07537803053855896,0.008906429633498192,0.033391453325748444,0.07316067814826965,0.0005139907589182258,0.017112214118242264,0.0015026256442070007,0.022178655490279198
9,0.006120583973824978,0.05457371473312378,0.00012599006004165858,0.07472555339336395,0.07550428062677383,0.00491753313690424,0.02494770474731922,0.011389955878257751,0.061298154294490814,0.003700751345604658,0.0,0.005978502333164215,0.0,0.001595195266418159,0.045227985829114914,0.014100600965321064,0.07538104802370071,0.0,0.0715399980545044,0.0,0.0,0.0767587199807167,0.011583548039197922,0.0074623459950089455,0.005498847458511591,0.002008681418374181,0.06784827262163162,0.004784091375768185,0.00589497247710824,0.012117041274905205,0.025588491931557655,0.014691723510622978,0.07567669451236725,0.009144119918346405,0.03387708589434624,0.07340661436319351,0.0007583657279610634,0.01637190766632557,0.0021229779813438654,0.02327798493206501
