step,100740357893930039073645347304025265904103736920370928783519503167478569691044,108547978327958467449318042977006580876058560639743186491243488736783119648127,108548893345759572446077602443398325305734327289834850738242401844282632332811,111646250931838932302421100465311863857465734768037379595335905351441550302588,113032982619525852115420277512821190062380704297670231304441009678288132478177,115563279943088574368475763566308524191598627607680105838058505260056381768939,11876606915924142133615854761923277060697657209957870741155164849437788272266,13433573766910980267981622064090484781359464703732825845886677588040916221533,14018274637090307878372326472471535510234764986484318979992031495866993899114,15394416147421266264002744586901575755411758481406494583013250092373628427765,18791277393217683755628516529477058015186638022373024614300661393042993809537,27576533317283401577758999384642760405921738493660383550832555714312627457443,30168634295384984099987626703440157654602987915064535215384295190163901851184,32431890167345181985795456212069136470689842825539004695200064630822423107335,39133371819296059003541521092128254346605102576351704426326802558136998572706,42645635688384173938505005153732536262139883933750646945028210271328873690888,43478780997313571844864646081201368302664941062507392308569466005072068318763,46016408901619903295207375832539898750164493226855442884509133805980187874445,46551195771960533081545368009925141952498658652959429196677286705276507790996,4655209727295513535859117642120184432334179761721646415109648555849060899062,51273396751548994017117054764897754414228591289652072971120018616721173971444,5254288171817620305899304387173316577587455481755582876905938498730493405588,56940108685601594440972125972550948538859641414755179784371446688257727053902,57301498276970257025109591078431189727442302532145853906375186182281603517458,5906729942132388187374842778427213872782907171873674796265663843960406830445,63907313656443890447578607530571289622813903996374626191028175281541399992719,63931284508031754808359645663279593286333277328858705756576520335090573316938,67784084156063245454459357229936847964117127235086701895468125487885758601780,68194463917260305435439145066031544476540679280823247532132832363696000101185,68207341820749052475650610432894562714266620914604033880285153252182288802957,68370995073141964079913803663665941780115677360430806954011390499916208708512,703229116919803457142440034780425874346022451261358752931225117413237404457,75712298340810272859765060308006832993211601931382911468417184675550881103879,76641034721053425080952855862174690067662519247667787282293691334146019135577,79895259217313803731994821165811563835560123915015381398339503448680100356036,81149948856723777101519215824830787060576196646125816787577716414910058024325,82712470265251700739331694672360544122893066934757473974734613171971970115364,86511993606190995539996371064900122466738869186406355817612580895605974257272,89694314427486889897766629507723742460669068230376416068996390119126818537632,96308556109755835434254900303426519652053230974356832970824534225192181988516
0,0.0,0.0649385079741478,0.016482599079608917,0.07635285705327988,0.05629703402519226,0.0,0.003987282048910856,0.0,0.07249148190021515,0.003495654556900263,0.023984218016266823,0.0025675541255623102,0.014967938885092735,0.0,0.07582108676433563,0.007235003635287285,0.07561222463846207,0.0,0.08225750178098679,0.0,0.0,0.06847887486219406,0.07492347806692123,0.0,0.0,0.0,0.0807856097817421,0.0,0.02554299309849739,0.0,0.0,0.0,0.0546947605907917,0.0,0.0,0.07509593665599823,0.0005085979937575758,0.014127837494015694,0.005905693396925926,0.023445196449756622
1,0.0,0.06014619022607803,0.014923051930963993,0.06908031553030014,0.06316723674535751,0.0,0.007330205291509628,0.0,0.07598522305488586,0.0007995521882548928,0.03062717616558075,0.007564743049442768,0.007442930713295937,0.0,0.07696422189474106,0.008905688300728798,0.0762133002281189,0.0,0.07960456609725952,0.0,0.0,0.06548677384853363,0.07723332196474075,0.0,0.0,0.0,0.08094283938407898,0.0,0.033189378678798676,0.0,0.0,0.0,0.04902391880750656,0.0,0.0,0.0749102458357811,0.0,0.013851766474545002,0.0007350115338340402,0.02587227150797844
2,0.0,0.062330350279808044,0.012822253629565239,0.06700272113084793,0.06891783326864243,0.0,0.0015773882623761892,0.0,0.07588718086481094,0.0007696305401623249,0.035980504006147385,0.008533385582268238,0.0,0.0,0.07814770936965942,0.0030375835485756397,0.07750585675239563,0.0,0.07747797667980194,0.0004177952650934458,0.0,0.0660686269402504,0.08226601779460907,0.0,0.002436470240354538,0.0,0.08221542090177536,0.0,0.03493434563279152,0.0,0.00010519311763346195,0.0,0.0469442680478096,0.0,0.0007056676549836993,0.07615161687135696,0.0,0.014990311115980148,0.0,0.022773848846554756
3,0.0,0.06771153956651688,0.004433292429894209,0.06655280292034149,0.07287196815013885,0.0,0.0,0.0,0.07625528424978256,0.003120239358395338,0.0410236120223999,0.005905007012188435,0.0,0.0013262719148769975,0.07487554103136063,0.0,0.07664129883050919,0.0,0.07728753238916397,0.0,0.0011040492681786418,0.06716302037239075,0.07665010541677475,0.0,0.003581513185054064,0.0,0.0781446099281311,0.0,0.03563156723976135,0.0,0.0014372071018442512,0.0,0.04667847603559494,0.002761591225862503,0.0,0.07512088865041733,0.0,0.020390929654240608,0.0,0.023331623524427414
4,0.0,0.0726376473903656,0.0003860631841234863,0.06696617603302002,0.07511308789253235,0.0,0.0,0.0,0.07779459655284882,0.00805554911494255,0.03788136690855026,0.006115023512393236,0.0,0.007922046817839146,0.0685119703412056,0.0,0.0752905011177063,0.0,0.07938123494386673,0.000798881403170526,0.0,0.06819421797990799,0.06157236546278,0.0,0.0,0.00021911141811870039,0.07328809052705765,0.00035577823291532695,0.036945514380931854,0.0,0.0,0.0,0.047575294971466064,0.0057523478753864765,0.0,0.07243417203426361,0.0,0.023079143837094307,0.0,0.03372974693775177
5,5.659181624650955e-05,0.07724158465862274,0.0,0.06884470582008362,0.07651234418153763,0.0,0.0028787138871848583,0.0,0.07865161448717117,0.017570065334439278,0.03904639557003975,0.005770877003669739,0.0,0.00660295132547617,0.059839341789484024,0.0016653247876092792,0.07376020401716232,0.0,0.08163241297006607,0.0005452546756714582,0.0,0.06826666742563248,0.044509101659059525,0.0,0.001177560887299478,0.003240241203457117,0.06927725672721863,0.0,0.030312636867165565,0.0,0.0,0.0,0.04655849561095238,0.012417205609381199,0.0,0.06943711638450623,7.28345476090908e-05,0.020795447751879692,0.0,0.043317023664712906
6,0.0017741807969287038,0.07699783891439438,0.0,0.06784949451684952,0.07703875005245209,0.0,0.0014977745013311505,0.0,0.08308431506156921,0.02795085683465004,0.040784869343042374,0.008377356454730034,0.0,0.002132160123437643,0.05039536952972412,0.0038368054665625095,0.07428368180990219,0.0,0.07907205075025558,0.0024933922104537487,0.0,0.06871791183948517,0.034715984016656876,0.0,0.002314684446901083,0.004606320988386869,0.06363014131784439,0.00018393911886960268,0.021618317812681198,0.0,0.0,0.0,0.046326104551553726,0.02223123051226139,0.0,0.07005865126848221,0.0,0.019001061096787453,0.0,0.0490267314016819
7,0.001517590950243175,0.07804442942142487,0.0,0.0667477697134018,0.0780632346868515,0.0,0.0032457788474857807,0.0,0.07447566837072372,0.028392691165208817,0.0393248125910759,0.013794947415590286,0.0,0.0069017731584608555,0.04414450749754906,0.004636724013835192,0.07660724222660065,0.0,0.0732714980840683,0.00278621818870306,0.0,0.06913762539625168,0.02556166984140873,0.0,0.0029128934256732464,0.010341677814722061,0.06210896372795105,0.004475645255297422,0.0077185980044305325,0.0,0.0,0.0,0.04723828285932541,0.029461856931447983,0.0,0.07241759449243546,0.0,0.01868600957095623,0.0,0.057984381914138794
8,0.002571710618212819,0.07855789363384247,0.0,0.06542403995990753,0.07687567919492722,0.0,0.0,0.001573127810843289,0.07053469866514206,0.02671651542186737,0.037708111107349396,0.017731910571455956,0.0,0.014416069723665714,0.03980159014463425,0.007683876436203718,0.07913125306367874,0.0,0.06698735058307648,0.0,0.002173373708501458,0.06807062029838562,0.018659682944417,0.0005849524750374258,0.0,0.022670451551675797,0.06485412269830704,0.009902209043502808,0.0,0.0,0.0,0.0009471643716096878,0.047481197863817215,0.030586497858166695,0.0,0.07390664517879486,0.0,0.015445836819708347,0.0,0.05900345370173454
9,0.0014135419623926282,0.07549785822629929,0.0,0.06600262969732285,0.07518739253282547,0.0,0.0,0.009071657434105873,0.06771920621395111,0.024841763079166412,0.03525971248745918,0.021278291940689087,0.000391737325116992,0.015925297513604164,0.03726256266236305,0.006524507887661457,0.08124791830778122,0.0,0.0636504665017128,0.0,0.0007488902192562819,0.06840132176876068,0.010133495554327965,0.004719575401395559,0.0,0.03039611130952835,0.06569861620664597,0.002566348761320114,0.0,0.0,0.000728650251403451,0.006786034908145666,0.048258472234010696,0.030483704060316086,0.0,0.07652709633111954,0.0,0.015072392299771309,0.0,0.05820469558238983
10,0.0,0.07245230674743652,0.0,0.06829635798931122,0.07363861054182053,0.0,0.0005786611000075936,0.018195660784840584,0.06309112906455994,0.02145199477672577,0.02907898835837841,0.025761881843209267,0.0,0.009849146008491516,0.03302224352955818,0.006149903405457735,0.07887917011976242,0.0,0.059011973440647125,0.0,0.0007419592002406716,0.06870556622743607,0.008289282210171223,0.014264366589486599,0.0,0.03187986835837364,0.06791820377111435,0.0,0.0,0.0,0.005128131248056889,0.016988545656204224,0.04876883327960968,0.024482719600200653,0.0,0.07912342250347137,0.0,0.0179145410656929,0.0,0.056336574256420135
11,0.00015157635789364576,0.06735313683748245,0.0,0.07475506514310837,0.07465535402297974,0.0009322563419118524,0.0,0.017218947410583496,0.06309815496206284,0.019850661978125572,0.01769408956170082,0.024612899869680405,0.0,0.012157979421317577,0.031219538301229477,0.014548711478710175,0.07481309771537781,0.0,0.05359809473156929,0.0009680005023255944,0.000784054514952004,0.06887178122997284,0.00227683549746871,0.02592296339571476,0.0,0.03193813934922218,0.07193444669246674,0.0,0.0,0.0,0.011137425899505615,0.02748756669461727,0.04920732229948044,0.01441931165754795,0.003767082467675209,0.08127057552337646,0.0002246301155537367,0.01587078534066677,0.0,0.047259584069252014
12,0.0016231234185397625,0.062499478459358215,0.0,0.07764743268489838,0.07560769468545914,0.004277743399143219,0.0007949385326355696,0.008435592986643314,0.0638875737786293,0.015250303782522678,0.006692198105156422,0.022881992161273956,0.0015039059799164534,0.017038419842720032,0.023932529613375664,0.0231467355042696,0.07287585735321045,0.0,0.04654219001531601,0.0024068269412964582,0.006863324902951717,0.06745006144046783,0.0,0.03559550270438194,0.0010825267527252436,0.03554374352097511,0.07883172482252121,0.0,0.0,0.0,0.013253527693450451,0.03479649871587753,0.05087795481085777,0.008630619384348392,0.0,0.07552678883075714,0.0001417436869814992,0.01869138330221176,0.001264673424884677,0.04440539330244064
13,0.005271875765174627,0.05770738422870636,0.0017588220071047544,0.07843049615621567,0.07850495725870132,0.0,0.0004597384831868112,0.0,0.0701565220952034,0.009619403630495071,0.0,0.01800638996064663,0.004595919977873564,0.025148719549179077,0.01853336952626705,0.030090346932411194,0.07267457991838455,0.0,0.04591165855526924,0.00027093387325294316,0.018229203298687935,0.06650912016630173,0.0,0.037282753735780716,0.006060170941054821,0.04080216586589813,0.07986261695623398,0.0,0.0,0.0009004754247143865,0.014112242497503757,0.0337400808930397,0.05503850430250168,0.0034989682026207447,0.0,0.0712316557765007,0.0017240510787814856,0.015554089099168777,0.0005812168237753212,0.03773161768913269
14,0.004368518013507128,0.0546460896730423,0.006537537090480328,0.08221280574798584,0.08031127601861954,0.0,0.004453391768038273,0.0,0.08094160258769989,0.0,0.0,0.008769643492996693,0.008622055873274803,0.02784346416592598,0.018557993695139885,0.034374818205833435,0.07325847446918488,0.0,0.04678065702319145,0.0,0.022621197625994682,0.06811020523309708,0.0037505067884922028,0.02682594582438469,0.015707682818174362,0.04996844381093979,0.0711069256067276,0.0,0.0,0.0019806514028459787,0.010590228252112865,0.025875642895698547,0.05782972276210785,0.0010508764535188675,0.0015747533179819584,0.0682164877653122,0.0027312161400914192,0.010024376213550568,8.195731788873672e-05,0.030274827033281326
15,0.0028471415862441063,0.051531314849853516,0.011115425266325474,0.0801687017083168,0.07455286383628845,0.0,0.00939946435391903,0.003707599826157093,0.07665400952100754,0.0,0.0,0.0,0.009377504698932171,0.028867976740002632,0.021815933287143707,0.03864876553416252,0.07768583297729492,0.0,0.047015395015478134,0.0,0.028898457065224648,0.07026221603155136,0.0032885009422898293,0.016638996079564095,0.02380349114537239,0.05889147147536278,0.06408558040857315,0.0014083783607929945,0.0,0.003405076451599598,0.002622955944389105,0.017760466784238815,0.0594499371945858,0.0,0.003650887403637171,0.07081566751003265,0.005123845301568508,0.008964749984443188,0.0,0.027541371062397957
16,0.0004113993200007826,0.047442588955163956,0.006037234794348478,0.0787692591547966,0.07353072613477707,0.0,0.00729169137775898,0.003146387869492173,0.07043290138244629,0.0,0.0,0.0,0.012975483201444149,0.027444222941994667,0.024884315207600594,0.029798541218042374,0.07962430268526077,0.0,0.0486564077436924,0.0,0.0365869514644146,0.07109362632036209,0.005786493420600891,0.01759396865963936,0.02963239699602127,0.06258606165647507,0.059066761285066605,0.008851083926856518,0.0,0.0004869468102697283,0.0,0.015665311366319656,0.060338448733091354,0.0,0.0,0.07317160815000534,0.007707235403358936,0.010157765820622444,0.0,0.030829980969429016
17,0.0,0.04261954873800278,0.0007331256056204438,0.08086409419775009,0.07320776581764221,0.0,0.006730362772941589,0.0061354851350188255,0.06743530184030533,0.0,0.0,0.001134411315433681,0.0075631216168403625,0.02377449721097946,0.032802872359752655,0.01738220453262329,0.08226670324802399,0.0,0.05108791962265968,0.0,0.035960447043180466,0.07531918585300446,0.009766203351318836,0.023106291890144348,0.02574324421584606,0.06771472841501236,0.055252280086278915,0.015764253214001656,0.0,0.0,0.0,0.013410487212240696,0.06040401756763458,0.0,0.0,0.0749880000948906,0.008685597218573093,0.007477904669940472,0.0,0.03267000615596771
18,0.0,0.03800773620605469,0.0,0.08061651885509491,0.07528846710920334,0.0,0.0062742759473621845,0.004686808679252863,0.06595972925424576,0.0,0.0,0.008235955610871315,0.0012215801980346441,0.018000999465584755,0.039945799857378006,0.006806438323110342,0.07973456382751465,0.0,0.05538283288478851,0.0005401568487286568,0.03007471188902855,0.08218414336442947,0.012417204678058624,0.027495170012116432,0.01666080579161644,0.06763500720262527,0.05557410791516304,0.02175493910908699,0.0,0.0,0.0011054680217057467,0.014113398268818855,0.06347067654132843,0.0,0.0,0.07682961225509644,0.01067577674984932,0.007585945073515177,0.0,0.03172123804688454
19,0.0,0.03540569171309471,0.0,0.08104774355888367,0.08025906980037689,0.0,0.003976922947913408,0.0,0.06701869517564774,0.0,0.0,0.013425950892269611,0.0,0.012507224455475807,0.04570198059082031,0.001994421472772956,0.08120285719633102,0.0,0.06217491999268532,0.0018075344851240516,0.019545337185263634,0.07461988180875778,0.018320659175515175,0.02858133800327778,0.007057851646095514,0.06200532987713814,0.061466630548238754,0.024957483634352684,0.0,0.0,0.0004804721684195101,0.01634223572909832,0.06692346930503845,0.0002039737009909004,0.0,0.08067566156387329,0.01290044654160738,0.010858544148504734,0.0,0.028537634760141373
