step,portfolio_return,cumulative_return,drawdown,log_wealth_increment,cumulative_log_wealth,turnover_l1
0,0.0,1.0,0.0,0.0,0.0,1.0885528730403167
1,0.0,1.0,0.0,0.0,0.0,0.019481059163808823
2,0.0,1.0,0.0,0.0,0.0,0.021481672301888466
3,0.0,1.0,0.0,0.0,0.0,0.01809367910027504
4,0.0,1.0,0.0,0.0,0.0,0.017582450062036514
5,0.0,1.0,0.0,0.0,0.0,0.01560622826218605
6,0.0,1.0,0.0,0.0,0.0,0.017454521730542183
7,0.0,1.0,0.0,0.0,0.0,0.016603603959083557
8,0.0,1.0,0.0,0.0,0.0,0.017985500395298004
9,0.001045013622691235,1.0010450136226912,0.0,0.0010444679760611185,0.0010444679760611185,0.019518304616212845
10,0.0,1.0010450136226912,0.0,0.0,0.0010444679760611185,0.016436725854873657
11,0.0,1.0010450136226912,0.0,0.0,0.0010444679760611185,0.01477915421128273
12,0.0,1.0010450136226912,0.0,0.0,0.0010444679760611185,0.014965503476560116
13,-0.008296990560160736,0.9927393525943677,-0.008296990560160755,-0.008331602167416725,-0.0072871341913556065,0.015626132488250732
14,0.0,0.9927393525943677,-0.008296990560160755,0.0,-0.0072871341913556065,0.019845372065901756
15,-7.9004510882355e-05,0.9926609217073823,-0.008375339571362161,-7.90076319031091e-05,-0.007366141823258715,0.0324128121137619
16,0.0,0.9926609217073823,-0.008375339571362161,0.0,-0.007366141823258715,0.024137115105986595
17,0.0,0.9926609217073823,-0.008375339571362161,0.0,-0.007366141823258715,0.015453733503818512
18,0.0,0.9926609217073823,-0.008375339571362161,0.0,-0.007366141823258715,0.02158912643790245
19,0.023063717409968376,1.01555537268956,0.0,0.022801769888097293,0.015435628064838579,0.020867208018898964
20,0.0,1.01555537268956,0.0,0.0,0.015435628064838579,0.021687926724553108
21,0.0,1.01555537268956,0.0,0.0,0.015435628064838579,0.021279577165842056
22,0.0,1.01555537268956,0.0,0.0,0.015435628064838579,0.020222831517457962
23,-6.50495439767838e-05,1.0154893112756835,-6.504954397668072e-05,-6.505165979012523e-05,0.015370576405048453,0.019734201952815056
24,0.0,1.0154893112756835,-6.504954397668072e-05,0.0,0.015370576405048453,0.026426685974001884
25,0.0,1.0154893112756835,-6.504954397668072e-05,0.0,0.015370576405048453,0.021709688007831573
26,0.0,1.0154893112756835,-6.504954397668072e-05,0.0,0.015370576405048453,0.022209489718079567
27,0.0,1.0154893112756835,-6.504954397668072e-05,0.0,0.015370576405048453,0.01891939714550972
28,6.511187306247085e-05,1.0155554316868156,0.0,6.510975337647465e-05,0.015435686158424928,0.016385365277528763
29,0.0,1.0155554316868156,0.0,0.0,0.015435686158424928,0.013197732158005238
30,0.0,1.0155554316868156,0.0,0.0,0.015435686158424928,0.016115611419081688
31,0.0,1.0155554316868156,0.0,0.0,0.015435686158424928,0.015967130661010742
32,0.0,1.0155554316868156,0.0,0.0,0.015435686158424928,0.022997869178652763
33,-0.01581319545706113,0.9994962551480718,-0.01581319545706117,-0.015939557932416904,-0.0005038717739919759,0.012067217379808426
34,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.013299711048603058
35,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.015422139316797256
36,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.014018075540661812
37,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.0168421920388937
38,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.019913386553525925
39,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.018627449870109558
40,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.016503404825925827
41,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.01710415631532669
42,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.014858020469546318
43,0.0,0.9994962551480718,-0.01581319545706117,0.0,-0.0005038717739919759,0.018942512571811676
44,-9.709440526508159e-05,0.9993992096536136,-0.015908754489518007,-9.709911923198415e-05,-0.00060097089322396,0.017936747521162033
45,0.0,0.9993992096536136,-0.015908754489518007,0.0,-0.00060097089322396,0.021046653389930725
46,0.0,0.9993992096536136,-0.015908754489518007,0.0,-0.00060097089322396,0.015600485727190971
47,0.0013087839983841943,1.000707207347206,-0.014620791614443851,0.001307928287153051,0.000706957393929091,0.0205286405980587
48,0.0,1.000707207347206,-0.014620791614443851,0.0,0.000706957393929091,0.016225390136241913
49,0.0,1.000707207347206,-0.014620791614443851,0.0,0.000706957393929091,0.02015107497572899
50,0.0,1.000707207347206,-0.014620791614443851,0.0,0.000706957393929091,0.020057447254657745
51,9.044455482235444e-05,1.0007977158650823,-0.014531669430610128,9.044046496020792e-05,0.0007973978588892989,0.016699938103556633
52,0.0,1.0007977158650823,-0.014531669430610128,0.0,0.0007973978588892989,0.022199206054210663
53,0.0,1.0007977158650823,-0.014531669430610128,0.0,0.0007973978588892989,0.017544301226735115
54,0.0,1.0007977158650823,-0.014531669430610128,0.0,0.0007973978588892989,0.02006983570754528
