category,airdrops,best-of-2025,colombia-election,grooming-gangs,la-liga,league-of-legends,ligue-1,nba,nba-champion,new-mexico-primary,north-carolina-midterm,prediction-markets,primaries,rhode-island-primary,roland-garros,serie-a,taylor-swift,uefa-europa-league,ufc
airdrops,1.0,-0.00018589911253709735,-8.768134136256649e-05,-1.4003645112817752e-05,-9.0738101426163e-05,-0.00012465378097380322,-2.0236135861911955e-05,0.04735440219014231,-5.09184447391975e-05,7.157577425893221e-05,5.915177088508574e-05,-3.127044115858072e-06,-4.321626184022711e-05,-1.8717449712414687e-05,6.170680973967186e-05,-6.195882295870275e-05,-6.598479530543323e-05,-0.00011385364889410226,-9.449148914798667e-05
best-of-2025,-0.00018589911253709735,1.0,-0.00026729762212678764,-4.2690280299038144e-05,-0.0002766161918899065,-0.00038000854829115286,-6.169010319490168e-05,0.00018343249187855295,-0.00015522549027736712,0.00021819960739633505,0.00018032488390878456,-0.01523872974883005,0.001632480813810873,-0.00026954050019921584,0.00018811395054097417,-0.00018888221586566752,0.0007042560787950122,-0.00034708421594521196,-0.00028805843943508706
colombia-election,-8.768134136256649e-05,-0.00026729762212678764,0.9999999999999998,-0.005930281142566107,-0.00013046903998895052,-0.00017923517110261266,-2.9096809140734508e-05,8.651793286092138e-05,-7.321379330665526e-05,0.00010291622160099413,8.505219571188867e-05,-4.496263833896074e-06,-6.213910259951434e-05,-2.6913145157742388e-05,8.872599383255723e-05,-8.908835454139392e-05,-9.487715482313275e-05,-0.0001637060511183321,-0.00013586590068005955
grooming-gangs,-1.4003645112817752e-05,-4.2690280299038144e-05,-0.005930281142566107,1.0,-2.0837296804804693e-05,-2.8625767909701177e-05,-4.647070662814947e-06,1.381783637032881e-05,-1.1693023428897389e-05,1.6436817927921573e-05,-0.0031868520711008292,-7.181012754255206e-07,0.00025825899011966636,-4.2983162415401325e-06,1.4170487250822055e-05,-1.4228360119672331e-05,-1.51528932474127e-05,-2.6145601869871888e-05,-2.1699233000888288e-05
la-liga,-9.0738101426163e-05,-0.0002766161918899065,-0.00013046903998895052,-2.0837296804804693e-05,1.0,-0.00018548369449999968,-3.0111186461808017e-05,0.0020809002688680573,-7.576618354163906e-05,0.00010650410234275265,8.801729810577452e-05,-4.6530132575376096e-06,-6.430540530727504e-05,-2.7851395257767588e-05,9.181917272712779e-05,-9.219416610930295e-05,-9.818477641404545e-05,-0.00016941319600744282,-0.0001406024780721157
league-of-legends,-0.00012465378097380322,-0.00038000854829115286,-0.00017923517110261266,-2.8625767909701177e-05,-0.00018548369449999968,1.0,-4.136601034269861e-05,0.00012299980002080258,-0.00010408572694355719,0.0001463127268212485,0.00012091600802240092,-6.39219563069106e-06,-8.834119055408579e-05,-3.8261564543553864e-05,0.0001261389302446073,0.00204794802704184,-0.00013488384065471796,0.0004966999274164046,-0.00019315624010755566
ligue-1,-2.0236135861911955e-05,-6.169010319490168e-05,-2.9096809140734508e-05,-4.647070662814947e-06,-3.0111186461808017e-05,-4.136601034269861e-05,1.0,1.9967630702932833e-05,-1.6897144196199514e-05,0.010313259095580157,1.9629350566876202e-05,-1.037700888236373e-06,-1.4341196234003453e-05,-6.21133360211063e-06,2.0477233100876543e-05,-2.0560862986336275e-05,-2.1896870706546693e-05,-3.778201656552595e-05,-3.135673773276201e-05
nba,0.04735440219014231,0.00018343249187855295,8.651793286092138e-05,1.381783637032881e-05,0.0020809002688680573,0.00012299980002080258,1.9967630702932833e-05,1.0,5.024282834716312e-05,-7.062606405844062e-05,-5.836690979530459e-05,3.0855526234489935e-06,4.26428426195247e-05,1.8469095389977556e-05,0.04134450927210464,6.113671622240036e-05,6.510926955908166e-05,0.0001123429705558319,9.323771953064816e-05
nba-champion,-5.09184447391975e-05,-0.00015522549027736712,-7.321379330665526e-05,-1.1693023428897389e-05,-7.576618354163906e-05,-0.00010408572694355719,-1.6897144196199514e-05,5.024282834716312e-05,1.0,5.9765668053459057e-05,4.939164319345448e-05,-2.6110773170364996e-06,-3.608551617354121e-05,-1.5629043456416345e-05,5.152509694408185e-05,-5.1735527617722e-05,-5.509720870826358e-05,-9.506763226708464e-05,-7.890025686436771e-05
new-mexico-primary,7.157577425893221e-05,0.00021819960739633505,0.00010291622160099413,1.6436817927921573e-05,0.00010650410234275265,0.0001463127268212485,0.010313259095580157,-7.062606405844062e-05,5.9765668053459057e-05,0.9999999999999999,0.0008101089517446079,3.6703768462289353e-06,5.072520916307695e-05,2.1969659365074313e-05,-7.242854188553482e-05,0.00010093433056010737,7.744983950313419e-05,0.00013363604134675948,0.00011090965176217292
