category,airdrops,best-of-2025,colombia-election,grooming-gangs,la-liga,league-of-legends,ligue-1,nba,nba-champion,new-mexico-primary,north-carolina-midterm,prediction-markets,primaries,rhode-island-primary,roland-garros,serie-a,taylor-swift,uefa-europa-league,ufc
airdrops,0.00010199845098221191,-1.530122778109786e-07,-1.578038756242058e-08,-1.6051837292831242e-09,-7.062685936513161e-08,-4.158856761373755e-08,-5.090447600780551e-09,8.582302886412908e-06,-1.6078181223272222e-08,6.838165061926272e-09,5.659024223142023e-09,-3.661064536435697e-10,-1.3400367165629812e-08,-3.4785981829055134e-09,6.188829515216187e-09,-2.00212428405112e-08,-1.5122062512627507e-08,-1.048158264570747e-08,-2.7625071416098116e-08
best-of-2025,-1.530122778109786e-07,0.006642083810794811,-3.8820485532473785e-07,-3.948826446315722e-08,-1.7374535076168461e-06,-1.023098058256881e-06,-1.2522737268540277e-07,2.682718675373987e-07,-3.9553071754264457e-07,1.6822203308069653e-07,1.3921462138582385e-07,-1.4397183200179654e-05,4.084820463963908e-06,-4.0423788057497355e-07,1.522480773732909e-07,-4.925318627047549e-07,1.3024262689792548e-06,-2.5785179600030615e-07,-6.795895734500544e-07
colombia-election,-1.578038756242058e-08,-3.8820485532473785e-07,0.00031756116303155175,-1.199432574693222e-06,-1.7918620723855837e-07,-1.0551364965364512e-07,-1.2914888286549295e-08,2.76672833213043e-08,-4.079168093540697e-08,1.734899262025927e-08,1.4357414393489692e-08,-9.288424752792787e-10,-3.3997844298860886e-08,-8.825492461435e-09,1.570157441582496e-08,-5.0795555699937564e-08,-3.836592836803723e-08,-2.6592645588725804e-08,-7.008710023695019e-08
grooming-gangs,-1.6051837292831242e-09,-3.948826446315722e-08,-1.199432574693222e-06,0.0001288171627036012,-1.822685173184387e-08,-1.073286653900966e-08,-1.3137046514907397e-09,2.8143208045525296e-09,-4.14933678077442e-09,1.7647425047919258e-09,-3.4263031297669835e-07,-9.448201588761833e-11,8.999430446654728e-08,-8.977306068034354e-10,1.597166842494525e-09,-5.166932637548241e-09,-3.902588813589587e-09,-2.705008470087848e-09,-7.129271856471588e-09
la-liga,-7.062685936513161e-08,-1.7374535076168461e-06,-1.7918620723855837e-07,-1.822685173184387e-08,0.00593973181588828,-4.7223793875228716e-07,-5.780200233501678e-08,2.877937616119748e-06,-1.8256765249245538e-07,7.764732374734048e-08,6.425818651188862e-08,-4.157136611150753e-09,-1.52161089739733e-07,-3.949946174871629e-08,7.027412246315714e-08,-2.2734109378508145e-07,-1.7171093020014756e-07,-1.1901830881608897e-07,-3.1368252219184113e-07
league-of-legends,-4.158856761373755e-08,-1.023098058256881e-06,-1.0551364965364512e-07,-1.073286653900966e-08,-4.7223793875228716e-07,0.0010912981957588055,-3.4036661178594326e-08,7.291599642562817e-08,-1.075048108894433e-07,4.5722562247844915e-08,3.783837988136916e-08,-2.4479264487556895e-09,-8.959993160824333e-08,-2.3259225320357117e-08,4.1380858781296546e-08,2.1646203439526353e-06,-1.0111183896380619e-07,1.4957152998242674e-07,-1.8471169326642695e-07
ligue-1,-5.090447600780551e-09,-1.2522737268540277e-07,-1.2914888286549295e-08,-1.3137046514907397e-09,-5.780200233501678e-08,-3.4036661178594326e-08,0.0006203877207589946,8.924930103646743e-09,-1.3158606753356912e-08,2.4299887449985153e-06,4.631423997899794e-09,-2.996266049286836e-10,-1.096704654802035e-08,-2.846933052075696e-09,5.065024005104578e-09,-1.6385663129011943e-08,-1.2376105925173472e-08,-8.578272770557143e-09,-2.2608742011918605e-08
nba,8.582302886412908e-06,2.682718675373987e-07,2.76672833213043e-08,2.8143208045525296e-09,2.877937616119748e-06,7.291599642562817e-08,8.924930103646743e-09,0.00032202781261482505,2.8189396073825865e-08,-1.1989151053342918e-08,-9.921798554342408e-09,6.418835366775428e-10,2.3494464474617185e-08,6.0989225458960615e-09,7.367890618983405e-06,3.5102648520001104e-08,2.6513061626933153e-08,1.837704654384076e-08,4.8434214598162436e-08
nba-champion,-1.6078181223272222e-08,-3.9553071754264457e-07,-4.079168093540697e-08,-4.14933678077442e-09,-1.8256765249245538e-07,-1.075048108894433e-07,-1.3158606753356912e-08,2.8189396073825865e-08,0.0009775297927743843,1.767638762269736e-08,1.4628354950285091e-08,-9.463707774186612e-10,-3.4639421856748596e-08,-8.992039429847856e-09,1.5997880783962206e-08,-5.1754124963654165e-08,-3.908993658491268e-08,-2.7094478718633428e-08,-7.140972264248121e-08
new-mexico-primary,6.838165061926272e-09,1.6822203308069653e-07,1.734899262025927e-08,1.7647425047919258e-09,7.764732374734048e-08,4.5722562247844915e-08,2.4299887449985153e-06,-1.1989151053342918e-08,1.767638762269736e-08,8.94856658347648e-05,7.259340739180045e-08,4.024982363305078e-10,1.4732392987540285e-08,3.824378454924303e-09,-6.80401271279423e-09,3.054968455286652e-08,1.6625228619824523e-08,1.152347489880812e-08,3.0371063970150183e-08
