domain,total_contribution,contribution_share_of_total_return
best-of-2025,0.1988403257855273,0.3468546679649834
colombia-election,0.15284740991890433,0.2666251798134403
league-of-legends,0.1385702989193095,0.24172035944714762
serie-a,0.09298291245644744,0.1621982719002648
nba-champion,0.07558081218754556,0.1318422579135756
taylor-swift,0.062326616268036095,0.10872179828526558
new-mexico-primary,-0.04843793286482952,-0.08449454633695568
primaries,-0.047060019637361325,-0.08209093110895838
ufc,-0.04457855952490919,-0.07776230199425199
ligue-1,-0.04139693429072698,-0.07221231327927874
airdrops,0.040312253713276944,0.07032020955206345
uefa-europa-league,0.040309972477858114,0.07031623019249127
rhode-island-primary,0.038603151394644264,0.06733887206478263
grooming-gangs,0.03856107836753137,0.06726548038333234
roland-garros,-0.03827163068863587,-0.06676057134056189
la-liga,-0.03348441272974014,-0.05840980602648876
nba,-0.031922988558364035,-0.05568607651953088
north-carolina-midterm,-0.024760717116587568,-0.043192296533010266
prediction-markets,0.004245337528440522,0.007405515621689343
