event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
33659,serie-a-league-winner,Serie A League Winner ,566514,will-ac-milan-win-the-202526-serie-a-league,Will AC Milan win the 2025–26 Serie A league?,11843131838379676792721059608342146205696413823676149302931627463939711085828,serie-a,23819.90424,Sports|Soccer|Serie A,sports|soccer|serie-a,2025-07-28T16:59:51.350736Z,2026-05-28T00:00:00Z
38532,uefa-europa-league-winner,UEFA Europa League: Winner ,578535,will-nottm-forest-win-the-2025-26-uefa-europa-league,Will Nott'm Forest win the 2025-26 UEFA Europa League?,81085168149210534701056807267483472863288984314426354863145129521956049193057,uefa-europa-league,53673.12895,Sports|UEFA Europa League|Soccer|Europa League|UEL,sports|uefa-europa-league|soccer|europa-league|uel,2025-08-20T06:24:29.163078Z,2026-05-24T00:00:00Z
86364,lol-lpl-2026-season-winner,LPL 2026 Season Winner,693680,will-ninjas-in-pyjamas-win-the-lpl-2026-season,Will Ninjas in Pyjamas win the LPL 2026 season?,89958419168244050451443228284990944744088214601708643333969277675829695680590,league-of-legends,14222.02359,league of legends|lol|Esports,league-of-legends|lol|esports,2025-11-20T23:36:40.732498Z,
17725,starmer-out-in-2025,Starmer out by...?,597967,starmer-out-by-june-30-2026-862-594-548,"Starmer out by June 30, 2026?",34554555827438551101000555305203609600029621153428996114009350892614396532498,grooming-gangs,56217.6596,Starmer|uk|keir|Grooming Gangs|Politics|World,starmer|uk|keir|grooming-gangs|politics|world,2025-02-03T18:45:44.284313Z,2025-12-31T12:00:00Z
97450,new-mexico-governor-republican-primary-winner,New Mexico Governor Republican Primary Winner,824264,will-duke-rodriguez-win-the-2026-new-mexico-governor-republican-primary-election,Will Duke Rodriguez win the 2026 New Mexico Governor Republican primary election?,31317702573839002987249831884538721320741670016050389364356636973937868446333,new-mexico-primary,14870.235,Politics|Elections|Primaries|primary elections|New Mexico Primary|Governor Primary|Republican Primary,politics|elections|primaries|primary-elections|new-mexico-primary|governor-primary|republican-primary,2025-12-04T23:28:54.376082Z,2026-06-02T00:00:00Z
100260,who-will-petr-yan-fight-next-before-2027,Who will Petr Yan fight next?,897249,will-petr-yan-fight-pedro-munhoz-next,Will Petr Yan fight Pedro Munhoz next?,51613719567621754724891717390585755097347351696566637940067208667324364080624,ufc,3427.2729,Sports|UFC,sports|ufc,2025-12-08T23:08:24.291389Z,2026-12-31T00:00:00Z
34584,colombia-presidential-election,Colombia Presidential Election,569364,will-juan-manuel-galn-win-the-2026-colombian-presidential-election,Will Juan Manuel Galán win the 2026 Colombian presidential election?,75712298340810272859765060308006832993211601931382911468417184675550881103879,colombia-election,134434.33493,Politics|Global Elections|Elections|World|World Elections|Colombia Election|Colombia,politics|global-elections|elections|world|world-elections|colombia-election|colombia,2025-07-29T17:32:52.057619Z,2026-06-21T14:00:00Z
33509,la-liga-winner-114,LA LIGA Winner ,566230,will-villarreal-win-the-202526-la-liga,Will Villarreal win the 2025–26 La Liga?,2317130722330994677503722994963086323403276367952762140016618274858179343506,la-liga,524142.94428,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566733,will-marseille-win-the-202526-french-ligue-1,Will Marseille win the 2025–26 French Ligue 1?,49662274238485451283220527378586398370959042852997899886824914466317758572224,ligue-1,52464.52834,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
66156,most-popular-boy-name-2025,Most popular boy name 2025,651486,will-james-rank-1-among-boy-names-on-the-ssas-official-list-for-2025,Will James rank #1 among boy names on the SSA’s official list for 2025?,43730668550917761725713780192382120243054780302570603837017194778854370301083,best-of-2025,8548.95962,Culture|Best of 2025,pop-culture|best-of-2025,2025-10-27T17:55:11.640546Z,2025-12-31T00:00:00Z
34584,colombia-presidential-election,Colombia Presidential Election,569369,will-daniel-quintero-win-the-2026-colombian-presidential-election,Will Daniel Quintero win the 2026 Colombian presidential election?,36553834009124167357981460132800746681781045509640776189348736916365216865880,colombia-election,116869.43382,Politics|Global Elections|Elections|World|World Elections|Colombia Election|Colombia,politics|global-elections|elections|world|world-elections|colombia-election|colombia,2025-07-29T17:32:52.057619Z,2026-06-21T14:00:00Z
32756,nba-western-conference-champion-933,NBA Western Conference Champion ,564222,will-the-phoenix-suns-win-the-nba-western-conference-finals,Will the Phoenix Suns win the NBA Western Conference Finals?,24315108267836543154857233535536136482524552716493402526894829400485516895736,nba,154175.29025,Sports|NBA|Hide From New,sports|nba|hide-from-new,2025-07-17T12:25:28.645689Z,2026-06-16T00:00:00Z
89386,who-will-place-first-in-the-primary-for-nancy-pelosis-congressional-seat-ca-11,Who will place first in the primary for Nancy Pelosi’s congressional seat (CA-11)?,700769,will-connie-chan-receive-the-most-votes-in-the-ca-11-primary,Will Connie Chan receive the most votes in the CA-11 primary?,7345183309756257693783741573478340128830660331823026035095352170224920670792,primaries,23045.73391,Elections|Trump|Politics|Primaries,elections|trump|politics|primaries,2025-11-24T20:37:21.005356Z,2026-06-02T00:00:00Z
139020,2026-mens-french-open-winner,2026 Men's French Open Winner,1087523,will-taylor-fritz-win-the-2026-mens-french-open,Will Taylor Fritz win the 2026 Men's French Open?,103950812176015306889097643332505690876545410954871160290129574415932884036868,roland-garros,56967.47649,Sports|ATP|Tennis|Roland Garros,sports|atp|tennis|roland-garros,2026-01-02T20:34:01.489931Z,2026-06-07T00:00:00Z
40270,taylor-swift-pregnant-before-marriage,Taylor Swift pregnant before marriage?,582717,taylor-swift-pregnant-before-marriage,Taylor Swift pregnant before marriage?,332462812953361158016354695716232633373752944798478737086328444144960550554,taylor-swift,17969.10218,Taylor Swift|Culture|Music|Celebrities,taylor-swift|pop-culture|music|celebrities,2025-08-28T17:01:15.048593Z,2026-08-31T00:00:00Z
