category_a,category_b,correlation,abs_correlation
airdrops,nba,0.04735440219014231,0.04735440219014231
nba,roland-garros,0.04134450927210464,0.04134450927210464
rhode-island-primary,ufc,0.018350587430439044,0.018350587430439044
best-of-2025,prediction-markets,-0.01523872974883005,0.01523872974883005
primaries,ufc,0.011301837165867521,0.011301837165867521
ligue-1,new-mexico-primary,0.010313259095580157,0.010313259095580157
rhode-island-primary,roland-garros,0.00994451354040358,0.00994451354040358
taylor-swift,ufc,-0.006053440608261499,0.006053440608261499
colombia-election,grooming-gangs,-0.005930281142566107,0.005930281142566107
primaries,rhode-island-primary,-0.00362819778305787,0.00362819778305787
grooming-gangs,north-carolina-midterm,-0.0031868520711008292,0.0031868520711008292
la-liga,nba,0.0020809002688680573,0.0020809002688680573
league-of-legends,serie-a,0.00204794802704184,0.00204794802704184
best-of-2025,primaries,0.001632480813810873,0.001632480813810873
serie-a,uefa-europa-league,-0.0011860254039822659,0.0011860254039822659
rhode-island-primary,taylor-swift,0.0011070314804503228,0.0011070314804503228
new-mexico-primary,north-carolina-midterm,0.0008101089517446079,0.0008101089517446079
best-of-2025,taylor-swift,0.0007042560787950122,0.0007042560787950122
league-of-legends,uefa-europa-league,0.0004966999274164046,0.0004966999274164046
best-of-2025,league-of-legends,-0.00038000854829115286,0.00038000854829115286
best-of-2025,uefa-europa-league,-0.00034708421594521196,0.00034708421594521196
north-carolina-midterm,uefa-europa-league,0.00031580687855821085,0.00031580687855821085
best-of-2025,ufc,-0.00028805843943508706,0.00028805843943508706
best-of-2025,la-liga,-0.0002766161918899065,0.0002766161918899065
best-of-2025,rhode-island-primary,-0.00026954050019921584,0.00026954050019921584
best-of-2025,colombia-election,-0.00026729762212678764,0.00026729762212678764
grooming-gangs,primaries,0.00025825899011966636,0.00025825899011966636
best-of-2025,new-mexico-primary,0.00021819960739633505,0.00021819960739633505
league-of-legends,ufc,-0.00019315624010755566,0.00019315624010755566
best-of-2025,serie-a,-0.00018888221586566752,0.00018888221586566752
best-of-2025,roland-garros,0.00018811395054097417,0.00018811395054097417
airdrops,best-of-2025,-0.00018589911253709735,0.00018589911253709735
la-liga,league-of-legends,-0.00018548369449999968,0.00018548369449999968
best-of-2025,nba,0.00018343249187855295,0.00018343249187855295
best-of-2025,north-carolina-midterm,0.00018032488390878456,0.00018032488390878456
colombia-election,league-of-legends,-0.00017923517110261266,0.00017923517110261266
uefa-europa-league,ufc,-0.00017642098435451074,0.00017642098435451074
la-liga,uefa-europa-league,-0.00016941319600744282,0.00016941319600744282
colombia-election,uefa-europa-league,-0.0001637060511183321,0.0001637060511183321
best-of-2025,nba-champion,-0.00015522549027736712,0.00015522549027736712
league-of-legends,new-mexico-primary,0.0001463127268212485,0.0001463127268212485
la-liga,ufc,-0.0001406024780721157,0.0001406024780721157
colombia-election,ufc,-0.00013586590068005955,0.00013586590068005955
league-of-legends,taylor-swift,-0.00013488384065471796,0.00013488384065471796
new-mexico-primary,uefa-europa-league,0.00013363604134675948,0.00013363604134675948
colombia-election,la-liga,-0.00013046903998895052,0.00013046903998895052
league-of-legends,roland-garros,0.0001261389302446073,0.0001261389302446073
airdrops,league-of-legends,-0.00012465378097380322,0.00012465378097380322
taylor-swift,uefa-europa-league,-0.00012319736565886852,0.00012319736565886852
league-of-legends,nba,0.00012299980002080258,0.00012299980002080258
league-of-legends,north-carolina-midterm,0.00012091600802240092,0.00012091600802240092
roland-garros,uefa-europa-league,0.0001152101233011554,0.0001152101233011554
airdrops,uefa-europa-league,-0.00011385364889410226,0.00011385364889410226
nba,uefa-europa-league,0.0001123429705558319,0.0001123429705558319
new-mexico-primary,ufc,0.00011090965176217292,0.00011090965176217292
la-liga,new-mexico-primary,0.00010650410234275265,0.00010650410234275265
league-of-legends,nba-champion,-0.00010408572694355719,0.00010408572694355719
colombia-election,new-mexico-primary,0.00010291622160099413,0.00010291622160099413
primaries,taylor-swift,-0.00010206102596033453,0.00010206102596033453
new-mexico-primary,serie-a,0.00010093433056010737,0.00010093433056010737
la-liga,taylor-swift,-9.818477641404545e-05,9.818477641404545e-05
serie-a,ufc,-9.6007784045536e-05,9.6007784045536e-05
roland-garros,ufc,9.561727903666254e-05,9.561727903666254e-05
nba-champion,uefa-europa-league,-9.506763226708464e-05,9.506763226708464e-05
colombia-election,taylor-swift,-9.487715482313275e-05,9.487715482313275e-05
airdrops,ufc,-9.449148914798667e-05,9.449148914798667e-05
nba,ufc,9.323771953064816e-05,9.323771953064816e-05
la-liga,serie-a,-9.219416610930295e-05,9.219416610930295e-05
la-liga,roland-garros,9.181917272712779e-05,9.181917272712779e-05
north-carolina-midterm,ufc,9.165813961365523e-05,9.165813961365523e-05
airdrops,la-liga,-9.0738101426163e-05,9.0738101426163e-05
colombia-election,serie-a,-8.908835454139392e-05,8.908835454139392e-05
colombia-election,roland-garros,8.872599383255723e-05,8.872599383255723e-05
league-of-legends,primaries,-8.834119055408579e-05,8.834119055408579e-05
la-liga,north-carolina-midterm,8.801729810577452e-05,8.801729810577452e-05
airdrops,colombia-election,-8.768134136256649e-05,8.768134136256649e-05
colombia-election,nba,8.651793286092138e-05,8.651793286092138e-05
colombia-election,north-carolina-midterm,8.505219571188867e-05,8.505219571188867e-05
primaries,uefa-europa-league,-8.068721874024519e-05,8.068721874024519e-05
nba-champion,ufc,-7.890025686436771e-05,7.890025686436771e-05
new-mexico-primary,taylor-swift,7.744983950313419e-05,7.744983950313419e-05
la-liga,nba-champion,-7.576618354163906e-05,7.576618354163906e-05
colombia-election,nba-champion,-7.321379330665526e-05,7.321379330665526e-05
new-mexico-primary,roland-garros,-7.242854188553482e-05,7.242854188553482e-05
airdrops,new-mexico-primary,7.157577425893221e-05,7.157577425893221e-05
nba,new-mexico-primary,-7.062606405844062e-05,7.062606405844062e-05
serie-a,taylor-swift,-6.704364631243562e-05,6.704364631243562e-05
roland-garros,taylor-swift,6.677095092675929e-05,6.677095092675929e-05
airdrops,taylor-swift,-6.598479530543323e-05,6.598479530543323e-05
nba,taylor-swift,6.510926955908166e-05,6.510926955908166e-05
la-liga,primaries,-6.430540530727504e-05,6.430540530727504e-05
north-carolina-midterm,taylor-swift,6.400622569310494e-05,6.400622569310494e-05
roland-garros,serie-a,6.269701236634214e-05,6.269701236634214e-05
colombia-election,primaries,-6.213910259951434e-05,6.213910259951434e-05
airdrops,serie-a,-6.195882295870275e-05,6.195882295870275e-05
airdrops,roland-garros,6.170680973967186e-05,6.170680973967186e-05
best-of-2025,ligue-1,-6.169010319490168e-05,6.169010319490168e-05
nba,serie-a,6.113671622240036e-05,6.113671622240036e-05
north-carolina-midterm,serie-a,6.010097307443377e-05,6.010097307443377e-05
north-carolina-midterm,roland-garros,-5.985651653107037e-05,5.985651653107037e-05
nba-champion,new-mexico-primary,5.9765668053459057e-05,5.9765668053459057e-05
airdrops,north-carolina-midterm,5.915177088508574e-05,5.915177088508574e-05
nba,north-carolina-midterm,-5.836690979530459e-05,5.836690979530459e-05
nba-champion,taylor-swift,-5.509720870826358e-05,5.509720870826358e-05
nba-champion,serie-a,-5.1735527617722e-05,5.1735527617722e-05
nba-champion,roland-garros,5.152509694408185e-05,5.152509694408185e-05
airdrops,nba-champion,-5.09184447391975e-05,5.09184447391975e-05
new-mexico-primary,primaries,5.072520916307695e-05,5.072520916307695e-05
nba,nba-champion,5.024282834716312e-05,5.024282834716312e-05
nba-champion,north-carolina-midterm,4.939164319345448e-05,4.939164319345448e-05
primaries,serie-a,-4.3909748607239555e-05,4.3909748607239555e-05
primaries,roland-garros,4.373114874744729e-05,4.373114874744729e-05
airdrops,primaries,-4.321626184022711e-05,4.321626184022711e-05
best-of-2025,grooming-gangs,-4.2690280299038144e-05,4.2690280299038144e-05
nba,primaries,4.26428426195247e-05,4.26428426195247e-05
north-carolina-midterm,primaries,4.192041206089951e-05,4.192041206089951e-05
league-of-legends,ligue-1,-4.136601034269861e-05,4.136601034269861e-05
league-of-legends,rhode-island-primary,-3.8261564543553864e-05,3.8261564543553864e-05
ligue-1,uefa-europa-league,-3.778201656552595e-05,3.778201656552595e-05
nba-champion,primaries,-3.608551617354121e-05,3.608551617354121e-05
rhode-island-primary,uefa-europa-league,-3.4946543150554915e-05,3.4946543150554915e-05
ligue-1,ufc,-3.135673773276201e-05,3.135673773276201e-05
la-liga,ligue-1,-3.0111186461808017e-05,3.0111186461808017e-05
colombia-election,ligue-1,-2.9096809140734508e-05,2.9096809140734508e-05
grooming-gangs,league-of-legends,-2.8625767909701177e-05,2.8625767909701177e-05
la-liga,rhode-island-primary,-2.7851395257767588e-05,2.7851395257767588e-05
colombia-election,rhode-island-primary,-2.6913145157742388e-05,2.6913145157742388e-05
grooming-gangs,uefa-europa-league,-2.6145601869871888e-05,2.6145601869871888e-05
new-mexico-primary,rhode-island-primary,2.1969659365074313e-05,2.1969659365074313e-05
ligue-1,taylor-swift,-2.1896870706546693e-05,2.1896870706546693e-05
grooming-gangs,ufc,-2.1699233000888288e-05,2.1699233000888288e-05
grooming-gangs,la-liga,-2.0837296804804693e-05,2.0837296804804693e-05
ligue-1,serie-a,-2.0560862986336275e-05,2.0560862986336275e-05
ligue-1,roland-garros,2.0477233100876543e-05,2.0477233100876543e-05
airdrops,ligue-1,-2.0236135861911955e-05,2.0236135861911955e-05
ligue-1,nba,1.9967630702932833e-05,1.9967630702932833e-05
ligue-1,north-carolina-midterm,1.9629350566876202e-05,1.9629350566876202e-05
rhode-island-primary,serie-a,-1.9017806641383447e-05,1.9017806641383447e-05
airdrops,rhode-island-primary,-1.8717449712414687e-05,1.8717449712414687e-05
nba,rhode-island-primary,1.8469095389977556e-05,1.8469095389977556e-05
north-carolina-midterm,rhode-island-primary,1.81562025788913e-05,1.81562025788913e-05
ligue-1,nba-champion,-1.6897144196199514e-05,1.6897144196199514e-05
grooming-gangs,new-mexico-primary,1.6436817927921573e-05,1.6436817927921573e-05
nba-champion,rhode-island-primary,-1.5629043456416345e-05,1.5629043456416345e-05
grooming-gangs,taylor-swift,-1.51528932474127e-05,1.51528932474127e-05
