category,airdrops,best-of-2025,colombia-election,grooming-gangs,la-liga,league-of-legends,ligue-1,nba,nba-champion,new-mexico-primary,prediction-markets,primaries,roland-garros,serie-a,south-dakota-primary,taylor-swift,uefa-europa-league,ufc
airdrops,1.0,-8.439699416819907e-05,-8.459092310964096e-05,-1.4729701480327182e-05,-8.753993075274296e-05,-0.00012025995858335865,-1.9522933687869845e-05,-7.274762319412979e-05,-4.912384458078484e-05,6.905306431638787e-05,-4.039642389165948e-06,-4.206540501344464e-05,3.819360379910995e-05,-5.7041398689615886e-05,-2.2663948821421496e-05,-6.417916932364012e-05,-0.00010984059356495979,-9.116100761329067e-05
best-of-2025,-8.439699416819907e-05,1.0,-0.00012135125161061754,-2.1130727089616548e-05,-0.00012558179733992416,-0.00017252083268812,-2.8006934444530085e-05,-0.0001043612577068486,-7.047139107439758e-05,9.906116961841073e-05,-5.795133117877259e-06,-6.034559454177741e-05,5.4791240645696944e-05,-8.182964401078383e-05,-3.2512927567343805e-05,-9.206924618447809e-05,-0.00015757356719567234,-0.00013077647063408423
colombia-election,-8.459092310964096e-05,-0.00012135125161061754,1.0,-0.0059295010118886205,-0.00012587036146785745,-0.00017291725418143921,-2.8071289285641597e-05,-0.00010460106089455731,-7.063332151288775e-05,9.928879416773813e-05,-5.808449279692817e-06,-6.048425774163872e-05,5.491714095060003e-05,-8.201767364854498e-05,-3.258763636104571e-05,-9.228080456552941e-05,-0.00015793564259168255,-0.0001310769711763766
grooming-gangs,-1.4729701480327182e-05,-2.1130727089616548e-05,-0.0059295010118886205,0.9999999999999998,-2.1917633494075096e-05,-3.0109844428452343e-05,-4.88801512201873e-06,-1.8214039342087e-05,-1.229928344794648e-05,1.7289021619220598e-05,-1.011417310609331e-06,0.00025756643684820635,9.562646471028425e-06,-1.4281625079184334e-05,-5.674440447061715e-06,-1.606872999663214e-05,-2.7501116939745034e-05,-2.282425330518246e-05
la-liga,-8.753993075274296e-05,-0.00012558179733992416,-0.00012587036146785745,-2.1917633494075096e-05,0.9999999999999999,-0.00017894549321063237,-2.904991020159531e-05,-0.0001082476616965699,-7.309573943365232e-05,0.00010275019879735036,-6.010943361690044e-06,-6.259285913538656e-05,5.6831661592380576e-05,-8.487697270295126e-05,-3.372370610903332e-05,-9.549789675427968e-05,-0.00016344159287570186,-0.00013564657481260423
league-of-legends,-0.00012025995858335865,-0.00017252083268812,-0.00017291725418143921,-3.0109844428452343e-05,-0.00017894549321063237,1.0,-3.990797077006999e-05,-0.0001487076720353391,-0.0001004169242689947,0.00014115540811545103,-8.257669311681632e-06,-8.598835505704182e-05,7.807377970891296e-05,0.0020591163770728774,-0.0012084369750295656,-0.00013119239425612793,0.0005048980359288819,-0.0001863475482407519
ligue-1,-1.9522933687869845e-05,-2.8006934444530085e-05,-2.8071289285641597e-05,-4.88801512201873e-06,-2.904991020159531e-05,-3.990797077006999e-05,1.0,-2.414111940684739e-05,-1.630162671546746e-05,0.01031240551291838,-1.3405453676138076e-06,-1.3959300946739905e-05,1.26744532592032e-05,-1.8929047526746923e-05,-7.520975541270719e-06,-2.129769911437086e-05,-3.645033017634567e-05,-3.0251555630460027e-05
nba,-7.274762319412979e-05,-0.0001043612577068486,-0.00010460106089455731,-1.8214039342087e-05,-0.0001082476616965699,-0.0001487076720353391,-2.414111940684739e-05,1.0,-6.074417998382034e-05,8.538769314707884e-05,-0.0005064633991898023,-5.201605360970404e-05,4.722837072714237e-05,-7.053464601763327e-05,-2.8025147422827645e-05,-7.936086936754575e-05,-0.00013582358713937862,-0.00011272531092027214
nba-champion,-4.912384458078484e-05,-7.047139107439758e-05,-7.063332151288775e-05,-1.229928344794648e-05,-7.309573943365232e-05,-0.0001004169242689947,-1.630162671546746e-05,-6.074417998382034e-05,1.0,5.765922765717792e-05,-3.373096653658681e-06,-3.5124563814410955e-05,3.189161434474144e-05,-4.762950095681776e-05,-1.892437066539933e-05,-5.3589531058684595e-05,-9.171676670775214e-05,-7.611933436218478e-05
new-mexico-primary,6.905306431638787e-05,9.906116961841073e-05,9.928879416773813e-05,1.7289021619220598e-05,0.00010275019879735036,0.00014115540811545103,0.01031240551291838,8.538769314707884e-05,5.765922765717792e-05,1.0,4.741539717793376e-06,4.9374367679483456e-05,-4.48298319338444e-05,9.51770240263038e-05,0.00043243067912377195,7.533045034361536e-05,0.00012892565401606958,0.00010700044624537423
prediction-markets,-4.039642389165948e-06,-5.795133117877259e-06,-5.808449279692817e-06,-1.011417310609331e-06,-6.010943361690044e-06,-8.257669311681632e-06,-1.3405453676138076e-06,-0.0005064633991898023,-3.373096653658681e-06,4.741539717793376e-06,1.0,-2.8884277705971903e-06,-0.03415952691136053,-3.9167567742680466e-06,-1.5562236746862662e-06,-4.406872937726614e-06,-7.5422219443870606e-06,-6.259585184111246e-06
