category,airdrops,best-of-2025,colombia-election,grooming-gangs,la-liga,league-of-legends,ligue-1,nba,nba-champion,new-mexico-primary,prediction-markets,primaries,roland-garros,serie-a,south-dakota-primary,taylor-swift,uefa-europa-league,ufc
airdrops,9.840349972393858e-05,-2.815855892307174e-07,-1.4687629561198332e-08,-1.6293980556908833e-09,-6.573610079743718e-08,-3.870864848377078e-08,-4.73794501974144e-09,-2.9365598575224006e-08,-1.4964801649586554e-08,6.364636794287684e-09,-4.5631400138899453e-10,-1.2583901532757403e-08,3.728699962827375e-09,-1.7773370155792045e-08,-4.420199132561071e-09,-1.4197955616479962e-08,-9.755755522877508e-09,-2.5712094456256758e-08
best-of-2025,-2.815855892307174e-07,0.11312441517666601,-7.144060234426306e-07,-7.92538905424549e-08,-3.1974026967145952e-06,-1.8827879285017747e-06,-2.3045355594922846e-07,-1.42834215805394e-06,-7.278876685678612e-07,3.0957581302811064e-07,-2.219510437781223e-08,-6.120807320168674e-07,1.813638955118657e-07,-8.644963874713947e-07,-2.1499840201987717e-07,-6.905882920536611e-07,-4.745197637057468e-07,-1.2506357869620267e-06
colombia-election,-1.4687629561198332e-08,-7.144060234426306e-07,0.0003063693733159053,-1.1573608778551037e-06,-1.667779466116118e-07,-9.820705566530903e-08,-1.2020559965765813e-08,-7.450296217733496e-08,-3.79669444991706e-08,1.6147612082300728e-08,-1.157706514967822e-09,-3.192640318693529e-08,9.460021446166967e-09,-4.509251602989666e-08,-1.121441226358449e-08,-3.602139243238739e-08,-2.4751161903625948e-08,-6.523371883148871e-08
grooming-gangs,-1.6293980556908833e-09,-7.92538905424549e-08,-1.1573608778551037e-06,0.00012435290993680943,-1.8501805264683793e-08,-1.0894772698987226e-08,-1.3335219924309167e-09,-8.265117336269796e-09,-4.21192986177353e-09,1.7913637882357075e-09,-1.2843221138508285e-10,8.661681509552037e-08,1.0494641417087836e-09,-5.0024176902873435e-09,-1.244090577166544e-09,-3.9960966164115934e-09,-2.7458137416810963e-09,-7.236817499150714e-09
la-liga,-6.573610079743718e-08,-3.1974026967145952e-06,-1.667779466116118e-07,-1.8501805264683793e-08,0.005730399996989232,-4.3953647410123383e-07,-5.3799337616648015e-08,-3.334461977673508e-07,-1.6992523403242464e-07,7.22704130749749e-08,-5.181442781129443e-09,-1.4289012731777753e-07,4.233936597733874e-08,-2.0181651277358266e-07,-5.019133495104452e-08,-1.6121770187171184e-07,-1.1077654613844181e-07,-2.919606801513385e-07
league-of-legends,-3.870864848377078e-08,-1.8827879285017747e-06,-9.820705566530903e-08,-1.0894772698987226e-08,-4.3953647410123383e-07,0.0010528424133582261,-3.1679695375906587e-08,-1.96349517252319e-07,-1.0006033325512085e-07,4.255637285388397e-08,-3.0510882881770094e-09,-8.414073306825697e-08,2.493150057215481e-08,2.0986350708740318e-06,-7.709153143607617e-07,-9.493291015759477e-08,1.4668244228733883e-07,-1.7192080458021042e-07
ligue-1,-4.73794501974144e-09,-2.3045355594922846e-07,-1.2020559965765813e-08,-1.3335219924309167e-09,-5.3799337616648015e-08,-3.1679695375906587e-08,0.0005985209144731956,-2.4033213605592266e-08,-1.2247401451346162e-08,2.344148092950289e-06,-3.734537145057746e-10,-1.0298839737720915e-08,3.0516198213442958e-09,-1.4545972912869062e-08,-3.6175523430918604e-09,-1.1619804010447044e-08,-7.984245775362637e-09,-2.1043135106932386e-08
nba,-2.9365598575224006e-08,-1.42834215805394e-06,-7.450296217733496e-08,-8.265117336269796e-09,-3.334461977673508e-07,-1.96349517252319e-07,-2.4033213605592266e-08,0.0016558826425596296,-7.590891686401732e-08,3.228460333789866e-08,-2.34681277771377e-07,-6.383180730640776e-08,1.8913820718562208e-08,-9.01553731977933e-08,-2.242144843164436e-08,-7.201909238537509e-08,-4.948604413692581e-08,-1.3042453125555868e-07
nba-champion,-1.4964801649586554e-08,-7.278876685678612e-07,-3.79669444991706e-08,-4.21192986177353e-09,-1.6992523403242464e-07,-1.0006033325512085e-07,-1.2247401451346162e-08,-7.590891686401732e-08,0.0009430759896298287,1.6452335682844397e-08,-1.1795537389299267e-09,-3.252889032137694e-08,9.63854269015035e-09,-4.5943462521066226e-08,-1.1426040835383133e-08,-3.670115661935459e-08,-2.5218244165354105e-08,-6.646475247150258e-08
new-mexico-primary,6.364636794287684e-09,3.0957581302811064e-07,1.6147612082300728e-08,1.7913637882357075e-09,7.22704130749749e-08,4.255637285388397e-08,2.344148092950289e-06,3.228460333789866e-08,1.6452335682844397e-08,8.633179971025532e-05,5.016726117342762e-10,1.3834768883989453e-08,-4.099340899098292e-09,2.777741747117386e-08,7.899559543607473e-08,1.560926347586472e-08,1.0725498971553363e-08,2.826793291410049e-08
