category,baseline_exposure,constrained_exposure,delta_exposure
roland-garros,0.05555555555555555,0.09978661313652992,0.04423105758097437
colombia-election,0.05555555555555555,0.09971470013260841,0.04415914457705286
airdrops,0.05555555555555555,0.05006847530603409,-0.005487080249521464
serie-a,0.05555555555555555,0.050055354833602905,-0.005500200721952647
grooming-gangs,0.05555555555555555,0.05005134269595146,-0.005504212859604091
prediction-markets,0.05555555555555555,0.050051093101501465,-0.005504462454054088
ufc,0.05555555555555555,0.05004861205816269,-0.005506943497392863
la-liga,0.05555555555555555,0.05004037171602249,-0.005515183839533061
uefa-europa-league,0.05555555555555555,0.05003923177719116,-0.00551632377836439
ligue-1,0.05555555555555555,0.050035446882247925,-0.005520108673307628
primaries,0.05555555555555555,0.050031471997499466,-0.0055240835580560865
taylor-swift,0.05555555555555555,0.05002639815211296,-0.005529157403442592
south-dakota-primary,0.05555555555555555,0.050022341310977936,-0.005533214244577617
league-of-legends,0.05555555555555555,0.050012726336717606,-0.005542829218837947
best-of-2025,0.05555555555555555,0.050010837614536285,-0.005544717941019267
new-mexico-primary,0.05555555555555555,0.0500057227909565,-0.005549832764599055
nba,0.05555555555555555,0.05000517889857292,-0.005550376656982631
nba-champion,0.05555555555555555,0.04999399185180664,-0.005561563703748912
