domain,total_contribution,contribution_share_of_total_return
colombia-election,0.15540786543240148,0.4050236309442927
league-of-legends,0.1390332708829336,0.3623481992908614
roland-garros,-0.10321185654775887,-0.2689905094517763
serie-a,0.08871131738026937,0.2311992367389987
nba-champion,0.07646623562432664,0.1992861320824077
taylor-swift,0.06433834793232227,0.1676784583328648
new-mexico-primary,-0.04854354870830008,-0.1265140879584952
ufc,-0.044877794326967126,-0.11696040709719262
primaries,-0.04484536683527776,-0.11687589464095433
uefa-europa-league,0.04314200309699457,0.11243659187993423
ligue-1,-0.041613746186097464,-0.1084536521403977
airdrops,0.0402865581614097,0.10499473768192302
grooming-gangs,0.03894480272175277,0.10149785765917095
nba,0.03352224459200337,0.08736559880208682
la-liga,-0.03337255120277405,-0.08697546822622874
south-dakota-primary,0.010091276274423518,0.026299861632851782
prediction-markets,0.0051291697730889,0.013367630778828321
best-of-2025,0.005092508285065772,0.01327208369082455
