category_a,category_b,correlation,abs_correlation
prediction-markets,roland-garros,-0.03415952691136053,0.03415952691136053
primaries,ufc,0.011303480362719592,0.011303480362719592
ligue-1,new-mexico-primary,0.01031240551291838,0.01031240551291838
taylor-swift,ufc,-0.006047228911309142,0.006047228911309142
colombia-election,grooming-gangs,-0.0059295010118886205,0.0059295010118886205
serie-a,south-dakota-primary,-0.003187167038576657,0.003187167038576657
league-of-legends,serie-a,0.0020591163770728774,0.0020591163770728774
league-of-legends,south-dakota-primary,-0.0012084369750295656,0.0012084369750295656
serie-a,uefa-europa-league,-0.0011773940659276748,0.0011773940659276748
nba,prediction-markets,-0.0005064633991898023,0.0005064633991898023
league-of-legends,uefa-europa-league,0.0005048980359288819,0.0005048980359288819
new-mexico-primary,south-dakota-primary,0.00043243067912377195,0.00043243067912377195
grooming-gangs,primaries,0.00025756643684820635,0.00025756643684820635
south-dakota-primary,uefa-europa-league,-0.00020340991764545243,0.00020340991764545243
league-of-legends,ufc,-0.0001863475482407519,0.0001863475482407519
la-liga,league-of-legends,-0.00017894549321063237,0.00017894549321063237
colombia-election,league-of-legends,-0.00017291725418143921,0.00017291725418143921
best-of-2025,league-of-legends,-0.00017252083268812,0.00017252083268812
uefa-europa-league,ufc,-0.00017020233126016716,0.00017020233126016716
la-liga,uefa-europa-league,-0.00016344159287570186,0.00016344159287570186
colombia-election,uefa-europa-league,-0.00015793564259168255,0.00015793564259168255
best-of-2025,uefa-europa-league,-0.00015757356719567234,0.00015757356719567234
league-of-legends,nba,-0.0001487076720353391,0.0001487076720353391
league-of-legends,new-mexico-primary,0.00014115540811545103,0.00014115540811545103
nba,uefa-europa-league,-0.00013582358713937862,0.00013582358713937862
la-liga,ufc,-0.00013564657481260423,0.00013564657481260423
league-of-legends,taylor-swift,-0.00013119239425612793,0.00013119239425612793
colombia-election,ufc,-0.0001310769711763766,0.0001310769711763766
best-of-2025,ufc,-0.00013077647063408423,0.00013077647063408423
new-mexico-primary,uefa-europa-league,0.00012892565401606958,0.00012892565401606958
colombia-election,la-liga,-0.00012587036146785745,0.00012587036146785745
best-of-2025,la-liga,-0.00012558179733992416,0.00012558179733992416
best-of-2025,colombia-election,-0.00012135125161061754,0.00012135125161061754
airdrops,league-of-legends,-0.00012025995858335865,0.00012025995858335865
taylor-swift,uefa-europa-league,-0.00011982583917416298,0.00011982583917416298
nba,ufc,-0.00011272531092027214,0.00011272531092027214
airdrops,uefa-europa-league,-0.00010984059356495979,0.00010984059356495979
la-liga,nba,-0.0001082476616965699,0.0001082476616965699
new-mexico-primary,ufc,0.00010700044624537423,0.00010700044624537423
colombia-election,nba,-0.00010460106089455731,0.00010460106089455731
best-of-2025,nba,-0.0001043612577068486,0.0001043612577068486
la-liga,new-mexico-primary,0.00010275019879735036,0.00010275019879735036
primaries,taylor-swift,-0.0001011554174807319,0.0001011554174807319
league-of-legends,nba-champion,-0.0001004169242689947,0.0001004169242689947
colombia-election,new-mexico-primary,9.928879416773813e-05,9.928879416773813e-05
best-of-2025,new-mexico-primary,9.906116961841073e-05,9.906116961841073e-05
la-liga,taylor-swift,-9.549789675427968e-05,9.549789675427968e-05
new-mexico-primary,serie-a,9.51770240263038e-05,9.51770240263038e-05
colombia-election,taylor-swift,-9.228080456552941e-05,9.228080456552941e-05
best-of-2025,taylor-swift,-9.206924618447809e-05,9.206924618447809e-05
nba-champion,uefa-europa-league,-9.171676670775214e-05,9.171676670775214e-05
airdrops,ufc,-9.116100761329067e-05,9.116100761329067e-05
serie-a,ufc,-8.838789668021991e-05,8.838789668021991e-05
airdrops,la-liga,-8.753993075274296e-05,8.753993075274296e-05
league-of-legends,primaries,-8.598835505704182e-05,8.598835505704182e-05
nba,new-mexico-primary,8.538769314707884e-05,8.538769314707884e-05
la-liga,serie-a,-8.487697270295126e-05,8.487697270295126e-05
airdrops,colombia-election,-8.459092310964096e-05,8.459092310964096e-05
airdrops,best-of-2025,-8.439699416819907e-05,8.439699416819907e-05
colombia-election,serie-a,-8.201767364854498e-05,8.201767364854498e-05
best-of-2025,serie-a,-8.182964401078383e-05,8.182964401078383e-05
nba,taylor-swift,-7.936086936754575e-05,7.936086936754575e-05
primaries,uefa-europa-league,-7.853829379621175e-05,7.853829379621175e-05
league-of-legends,roland-garros,7.807377970891296e-05,7.807377970891296e-05
nba-champion,ufc,-7.611933436218478e-05,7.611933436218478e-05
new-mexico-primary,taylor-swift,7.533045034361536e-05,7.533045034361536e-05
la-liga,nba-champion,-7.309573943365232e-05,7.309573943365232e-05
airdrops,nba,-7.274762319412979e-05,7.274762319412979e-05
roland-garros,uefa-europa-league,7.13094400339623e-05,7.13094400339623e-05
colombia-election,nba-champion,-7.063332151288775e-05,7.063332151288775e-05
nba,serie-a,-7.053464601763327e-05,7.053464601763327e-05
best-of-2025,nba-champion,-7.047139107439758e-05,7.047139107439758e-05
airdrops,new-mexico-primary,6.905306431638787e-05,6.905306431638787e-05
airdrops,taylor-swift,-6.417916932364012e-05,6.417916932364012e-05
la-liga,primaries,-6.259285913538656e-05,6.259285913538656e-05
serie-a,taylor-swift,-6.222684386359571e-05,6.222684386359571e-05
nba,nba-champion,-6.074417998382034e-05,6.074417998382034e-05
colombia-election,primaries,-6.048425774163872e-05,6.048425774163872e-05
best-of-2025,primaries,-6.034559454177741e-05,6.034559454177741e-05
roland-garros,ufc,5.918249524017009e-05,5.918249524017009e-05
nba-champion,new-mexico-primary,5.765922765717792e-05,5.765922765717792e-05
airdrops,serie-a,-5.7041398689615886e-05,5.7041398689615886e-05
la-liga,roland-garros,5.6831661592380576e-05,5.6831661592380576e-05
colombia-election,roland-garros,5.491714095060003e-05,5.491714095060003e-05
best-of-2025,roland-garros,5.4791240645696944e-05,5.4791240645696944e-05
nba-champion,taylor-swift,-5.3589531058684595e-05,5.3589531058684595e-05
nba,primaries,-5.201605360970404e-05,5.201605360970404e-05
new-mexico-primary,primaries,4.9374367679483456e-05,4.9374367679483456e-05
airdrops,nba-champion,-4.912384458078484e-05,4.912384458078484e-05
nba-champion,serie-a,-4.762950095681776e-05,4.762950095681776e-05
nba,roland-garros,4.722837072714237e-05,4.722837072714237e-05
new-mexico-primary,roland-garros,-4.48298319338444e-05,4.48298319338444e-05
airdrops,primaries,-4.206540501344464e-05,4.206540501344464e-05
roland-garros,taylor-swift,4.166565818498824e-05,4.166565818498824e-05
primaries,serie-a,-4.0785778585424224e-05,4.0785778585424224e-05
league-of-legends,ligue-1,-3.990797077006999e-05,3.990797077006999e-05
airdrops,roland-garros,3.819360379910995e-05,3.819360379910995e-05
roland-garros,serie-a,3.703175727018641e-05,3.703175727018641e-05
ligue-1,uefa-europa-league,-3.645033017634567e-05,3.645033017634567e-05
nba-champion,primaries,-3.5124563814410955e-05,3.5124563814410955e-05
south-dakota-primary,ufc,-3.511868244490047e-05,3.511868244490047e-05
la-liga,south-dakota-primary,-3.372370610903332e-05,3.372370610903332e-05
colombia-election,south-dakota-primary,-3.258763636104571e-05,3.258763636104571e-05
best-of-2025,south-dakota-primary,-3.2512927567343805e-05,3.2512927567343805e-05
nba-champion,roland-garros,3.189161434474144e-05,3.189161434474144e-05
ligue-1,ufc,-3.0251555630460027e-05,3.0251555630460027e-05
grooming-gangs,league-of-legends,-3.0109844428452343e-05,3.0109844428452343e-05
la-liga,ligue-1,-2.904991020159531e-05,2.904991020159531e-05
colombia-election,ligue-1,-2.8071289285641597e-05,2.8071289285641597e-05
nba,south-dakota-primary,-2.8025147422827645e-05,2.8025147422827645e-05
best-of-2025,ligue-1,-2.8006934444530085e-05,2.8006934444530085e-05
grooming-gangs,uefa-europa-league,-2.7501116939745034e-05,2.7501116939745034e-05
primaries,roland-garros,2.7309215827721776e-05,2.7309215827721776e-05
south-dakota-primary,taylor-swift,-2.4724253560419683e-05,2.4724253560419683e-05
ligue-1,nba,-2.414111940684739e-05,2.414111940684739e-05
grooming-gangs,ufc,-2.282425330518246e-05,2.282425330518246e-05
airdrops,south-dakota-primary,-2.2663948821421496e-05,2.2663948821421496e-05
grooming-gangs,la-liga,-2.1917633494075096e-05,2.1917633494075096e-05
ligue-1,taylor-swift,-2.129769911437086e-05,2.129769911437086e-05
best-of-2025,grooming-gangs,-2.1130727089616548e-05,2.1130727089616548e-05
airdrops,ligue-1,-1.9522933687869845e-05,1.9522933687869845e-05
ligue-1,serie-a,-1.8929047526746923e-05,1.8929047526746923e-05
nba-champion,south-dakota-primary,-1.892437066539933e-05,1.892437066539933e-05
grooming-gangs,nba,-1.8214039342087e-05,1.8214039342087e-05
grooming-gangs,new-mexico-primary,1.7289021619220598e-05,1.7289021619220598e-05
