category,2026-nfl-draft,airdrops,basketball,best-of-2025,congress,economic-policy,grooming-gangs,la-liga,league-of-legends,ligue-1,natural-disasters,nba-champion,new-mexico-primary,primaries,roland-garros,serie-a,south-carolina-primary,south-dakota-primary,taylor-swift,uefa-europa-league,ufc,usdptai,west-virginia-primary
2026-nfl-draft,1.0,-5.846742308500409e-05,8.43391146132333e-07,-7.750828186767643e-05,0.005433749357241785,7.051540218745103e-05,-9.026024867790685e-05,-8.039466694301482e-05,-0.00011044370617295858,-1.7929464554649686e-05,-5.969203175061523e-05,-3.883111323872569e-05,6.341682193891438e-05,-4.06036203145189e-05,3.507621327108519e-05,0.005307412440680749,-7.780232147682157e-05,-2.0814107814995434e-05,-5.727032253482694e-05,-0.00010087003337250521,-8.372016043385794e-05,-7.734403531859421e-05,-7.727170007779711e-05
airdrops,-5.846742308500409e-05,0.9999999999999999,9.49444815089156e-07,-8.725469396163371e-05,-0.00010955587107815396,7.93824826094281e-05,-0.00010161017875144106,-9.050403248824303e-05,-0.00012433163979253176,-2.0184035885128733e-05,-0.0018005883985462614,-4.371399830045208e-05,7.139127918931324e-05,-4.5709392324372634e-05,3.948693198394378e-05,-6.247240004414414e-05,-8.758570808671007e-05,-2.34314135692281e-05,-6.447187765549545e-05,-0.00011355410905435464,-9.424769587263414e-05,-8.706979394799497e-05,-8.69883627880432e-05
basketball,8.43391146132333e-07,9.49444815089156e-07,0.9999999999999999,1.2586468235270794e-06,1.580340757275276e-06,-0.03676471101312906,1.465724340054427e-06,1.3055184521975711e-06,1.7934808591233305e-06,2.911542233353927e-07,9.693310745940454e-07,6.305733549271651e-07,-0.002989653422831293,6.593568648546691e-07,-5.695980268321854e-07,9.011628406856839e-07,1.2634216941754194e-06,3.379975669001596e-07,-0.02351374700503559,1.6380152421656924e-06,-0.0053436162226530816,1.255979645358626e-06,1.2548050028708883e-06
best-of-2025,-7.750828186767643e-05,-8.725469396163371e-05,1.2586468235270794e-06,1.0,-0.00014523450646078582,0.00010523466766275,-0.00013470117134873187,-0.00011997812953141128,-0.0001648222424323342,-2.675729252403033e-05,-8.908225619548618e-05,-5.795016648687766e-05,9.464100003611501e-05,-6.059539273908018e-05,5.234648788696978e-05,-8.281754413106242e-05,-0.00011610940574711564,-3.106223109647715e-05,-8.546818385676696e-05,-0.00015053483508281122,-0.00012494097724223015,-0.00011542547585294215,-0.00011531752532313638
congress,0.005433749357241785,-0.00010955587107815396,1.580340757275276e-06,-0.00014523450646078582,0.9999999999999998,0.00013213129471844652,-0.00016912905761662204,0.001021565397357708,-0.00020694868691727508,-3.3596112221218485e-05,-0.00011185053470470068,-7.276148342673014e-05,0.00011883002194957349,-0.00037175259184064695,6.572557667625812e-05,0.0026921133885547135,-0.00014578547593766317,-3.9001337703410315e-05,-0.0001073127519765666,-0.00018900960207774334,-0.00015687428347576466,-0.00014492674236230534,-0.00014479120106602287
economic-policy,7.051540218745103e-05,7.93824826094281e-05,-0.03676471101312906,0.00010523466766275,0.00013213129471844652,1.0,0.0001225482883105695,0.00010915357499536911,0.00014995180430390356,2.4343221115396667e-05,8.104516023351682e-05,5.272184079151809e-05,0.0001995010757483405,5.51284119160001e-05,-4.762373203875109e-05,7.534565715892063e-05,0.00010563389158827535,2.8259763548197323e-05,0.0804165941768254,0.00013695342205118376,-0.005541071779849437,0.00010501166657704842,0.00010491345545892999
grooming-gangs,-9.026024867790685e-05,-0.00010161017875144106,1.465724340054427e-06,-0.00013470117134873187,-0.00016912905761662204,0.0001225482883105695,1.0,-0.00013971740240485936,-0.0001919394448065696,-3.1159507332261357e-05,-0.00010373841869854692,-6.748435537458365e-05,0.00011021170889801649,-7.056478463427128e-05,6.095873757283371e-05,-9.6443011611649e-05,-0.000135212180995966,-3.617271129871184e-05,-9.952974499074917e-05,-0.0001753014171112587,-0.00014549675730391305,-0.0007927595210410742,0.002927286471275725
la-liga,-8.039466694301482e-05,-9.050403248824303e-05,1.3055184521975711e-06,-0.00011997812953141128,0.001021565397357708,0.00010915357499536911,-0.00013971740240485936,1.0,-0.0001709601731047313,-2.7753726039738303e-05,-9.239965258932348e-05,-6.010821323530946e-05,9.81654023765755e-05,-6.28519469165415e-05,5.429585533187456e-05,-8.590164453422278e-05,-0.00012043328505109683,-3.221897922820141e-05,-8.86509932850762e-05,-0.00015614070700812848,-0.00012959374160908857,-0.00011972388581363038,-0.00011961191523860276
league-of-legends,-0.00011044370617295858,-0.00012433163979253176,1.7934808591233305e-06,-0.0001648222424323342,-0.00020694868691727508,0.00014995180430390356,-0.0001919394448065696,-0.0001709601731047313,1.0,-3.812721018062795e-05,-0.00012693578404015358,-8.257480369745448e-05,0.00013485659271545287,-8.634406014231565e-05,7.458996623412006e-05,-0.00011800902161130084,-0.0001654475210035458,-0.0012063631090306,-0.00012178599186507983,0.000514830925715459,-0.00017803187281407236,-0.000164472970278712,-0.0001643191485669174
ligue-1,-1.7929464554649686e-05,-2.0184035885128733e-05,2.911542233353927e-07,-2.675729252403033e-05,-3.3596112221218485e-05,2.4343221115396667e-05,-3.1159507332261357e-05,-2.7753726039738303e-05,-3.812721018062795e-05,1.0,-2.0606793447333534e-05,-1.3405218525371453e-05,0.01031136299218196,-1.4017120752916418e-05,1.2108957604454268e-05,-1.9157620143558656e-05,-2.6858800435778744e-05,-7.185415003565412e-06,-1.9770774633171046e-05,-3.4822201251538505e-05,-2.8901747902398788e-05,-2.6700591577321535e-05,-2.6675620114257708e-05
natural-disasters,-5.969203175061523e-05,-0.0018005883985462614,9.693310745940454e-07,-8.908225619548618e-05,-0.00011185053470470068,8.104516023351682e-05,-0.00010373841869854692,-9.239965258932348e-05,-0.00012693578404015358,-2.0606793447333534e-05,1.0,-4.462959434184903e-05,7.288657989749326e-05,-4.6666782183317475e-05,4.031399150760005e-05,-6.378089353366407e-05,-8.942020345947478e-05,-2.392218792852819e-05,-6.582225049389494e-05,-0.00011593251635583377,-9.622172754685345e-05,-8.889348342421638e-05,0.0009429038477863493
nba-champion,-3.883111323872569e-05,-4.371399830045208e-05,6.305733549271651e-07,-5.795016648687766e-05,-7.276148342673014e-05,5.272184079151809e-05,-6.748435537458365e-05,-6.010821323530946e-05,-8.257480369745448e-05,-1.3405218525371453e-05,-4.462959434184903e-05,1.0,4.741448656677182e-05,-3.035787273949875e-05,2.6225228450538445e-05,-4.1491016918639375e-05,-5.8170009371960416e-05,-1.5561962981116766e-05,-4.28189690917963e-05,-7.541691141409613e-05,-6.259456561987427e-05,-5.782736522441919e-05,-5.77732827554738e-05
new-mexico-primary,6.341682193891438e-05,7.139127918931324e-05,-0.002989653422831293,9.464100003611501e-05,0.00011883002194957349,0.0001995010757483405,0.00011021170889801649,9.81654023765755e-05,0.00013485659271545287,0.01031136299218196,7.288657989749326e-05,4.741448656677182e-05,1.0,4.957879518234069e-05,-4.282958958015261e-05,6.776082920460102e-05,0.015083699395761988,0.0004312429387021836,6.992956709245931e-05,0.0001231667197622581,0.0001022259752857284,9.444044782049589e-05,9.435212332971804e-05
primaries,-4.06036203145189e-05,-4.5709392324372634e-05,6.593568648546691e-07,-6.059539273908018e-05,-0.00037175259184064695,5.51284119160001e-05,-7.056478463427128e-05,-6.28519469165415e-05,-8.634406014231565e-05,-1.4017120752916418e-05,-4.6666782183317475e-05,-3.035787273949875e-05,4.957879518234069e-05,1.0,2.7422320141087003e-05,-4.3384939470332925e-05,-6.082527069750756e-05,-1.6272313192496574e-05,-0.00010014452027436769,-7.885943463752683e-05,0.011306715915039556,0.010850714993536972,-6.041043487229264e-05
roland-garros,3.507621327108519e-05,3.948693198394378e-05,-5.695980268321854e-07,5.234648788696978e-05,6.572557667625812e-05,-4.762373203875109e-05,6.095873757283371e-05,5.429585533187456e-05,7.458996623412006e-05,1.2108957604454268e-05,4.031399150760005e-05,2.6225228450538445e-05,-4.282958958015261e-05,2.7422320141087003e-05,1.0,3.747890896985562e-05,5.2545072353912764e-05,1.4057148686069302e-05,3.8678450516685425e-05,6.812422947403664e-05,5.654178183858912e-05,5.223556128938782e-05,5.2186708499533325e-05
serie-a,0.005307412440680749,-6.247240004414414e-05,9.011628406856839e-07,-8.281754413106242e-05,0.0026921133885547135,7.534565715892063e-05,-9.6443011611649e-05,-8.590164453422278e-05,-0.00011800902161130084,-1.9157620143558656e-05,-6.378089353366407e-05,-4.1491016918639375e-05,6.776082920460102e-05,-4.3384939470332925e-05,3.747890896985562e-05,1.0,-8.313172524461703e-05,-2.2239859418634946e-05,-6.119329895643562e-05,-0.00010777955902300794,-8.94549319674997e-05,-8.264204681001536e-05,-8.256475665659321e-05
south-carolina-primary,-7.780232147682157e-05,-8.758570808671007e-05,1.2634216941754194e-06,-0.00011610940574711564,-0.00014578547593766317,0.00010563389158827535,-0.000135212180995966,-0.00012043328505109683,-0.0001654475210035458,-2.6858800435778744e-05,-8.942020345947478e-05,-5.8170009371960416e-05,0.015083699395761988,-6.082527069750756e-05,5.2545072353912764e-05,-8.313172524461703e-05,1.0,-0.00030058256493829485,-8.579242058050805e-05,-0.00015110591217294925,-0.00012541496008934482,-0.00011586336017945932,-0.00011575500012269094
south-dakota-primary,-2.0814107814995434e-05,-2.34314135692281e-05,3.379975669001596e-07,-3.106223109647715e-05,-3.9001337703410315e-05,2.8259763548197323e-05,-3.617271129871184e-05,-3.221897922820141e-05,-0.0012063631090306,-7.185415003565412e-06,-2.392218792852819e-05,-1.5561962981116766e-05,0.0004312429387021836,-1.6272313192496574e-05,1.4057148686069302e-05,-2.2239859418634946e-05,-0.00030058256493829485,0.9999999999999999,-2.2951663366549684e-05,-0.00020149917611820143,-3.3551704516818464e-05,-3.099640762392164e-05,-3.096741854156929e-05
taylor-swift,-5.727032253482694e-05,-6.447187765549545e-05,-0.02351374700503559,-8.546818385676696e-05,-0.0001073127519765666,0.0804165941768254,-9.952974499074917e-05,-8.86509932850762e-05,-0.00012178599186507983,-1.9770774633171046e-05,-6.582225049389494e-05,-4.28189690917963e-05,6.992956709245931e-05,-0.00010014452027436769,3.8678450516685425e-05,-6.119329895643562e-05,-8.579242058050805e-05,-2.2951663366549684e-05,1.0,-0.00011122912739360619,-0.006049527483859835,-8.52870696078575e-05,-8.520730572313614e-05
uefa-europa-league,-0.00010087003337250521,-0.00011355410905435464,1.6380152421656924e-06,-0.00015053483508281122,-0.00018900960207774334,0.00013695342205118376,-0.0001753014171112587,-0.00015614070700812848,0.000514830925715459,-3.4822201251538505e-05,-0.00011593251635583377,-7.541691141409613e-05,0.0001231667197622581,-7.885943463752683e-05,6.812422947403664e-05,-0.00010777955902300794,-0.00015110591217294925,-0.00020149917611820143,-0.00011122912739360619,1.0,-0.00016259940538397116,-0.00015021583914349594,-0.00015007535127198454
ufc,-8.372016043385794e-05,-9.424769587263414e-05,-0.0053436162226530816,-0.00012494097724223015,-0.00015687428347576466,-0.005541071779849437,-0.00014549675730391305,-0.00012959374160908857,-0.00017803187281407236,-2.8901747902398788e-05,-9.622172754685345e-05,-6.259456561987427e-05,0.0001022259752857284,0.011306715915039556,5.654178183858912e-05,-8.94549319674997e-05,-0.00012541496008934482,-3.3551704516818464e-05,-0.006049527483859835,-0.00016259940538397116,0.9999999999999999,-0.00012467621683396652,-0.0001245596146405452
usdptai,-7.734403531859421e-05,-8.706979394799497e-05,1.255979645358626e-06,-0.00011542547585294215,-0.00014492674236230534,0.00010501166657704842,-0.0007927595210410742,-0.00011972388581363038,-0.000164472970278712,-2.6700591577321535e-05,-8.889348342421638e-05,-5.782736522441919e-05,9.444044782049589e-05,0.010850714993536972,5.223556128938782e-05,-8.264204681001536e-05,-0.00011586336017945932,-3.099640762392164e-05,-8.52870696078575e-05,-0.00015021583914349594,-0.00012467621683396652,1.0,-0.00012995940000913586
west-virginia-primary,-7.727170007779711e-05,-8.69883627880432e-05,1.2548050028708883e-06,-0.00011531752532313638,-0.00014479120106602287,0.00010491345545892999,0.002927286471275725,-0.00011961191523860276,-0.0001643191485669174,-2.6675620114257708e-05,0.0009429038477863493,-5.77732827554738e-05,9.435212332971804e-05,-6.041043487229264e-05,5.2186708499533325e-05,-8.256475665659321e-05,-0.00011575500012269094,-3.096741854156929e-05,-8.520730572313614e-05,-0.00015007535127198454,-0.0001245596146405452,-0.00012995940000913586,0.9999999999999998
