step,portfolio_return,top_market_token_id,top_market_domain,top_market_question,top_market_contribution,top_domain,top_domain_contribution
0,-0.0030411562956869586,19063193541024384703688685779087142926481547676681055667364352656903314720497,basketball,Will JB Bickerstaff win the 2025–2026 NBA Coach of the Year?,-0.003041156295686959,basketball,-0.003041156295686959
1,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
2,-0.0010584132204502095,81085168149210534701056807267483472863288984314426354863145129521956049193057,uefa-europa-league,Will Nott'm Forest win the 2025-26 UEFA Europa League?,-0.0010584132204502095,uefa-europa-league,-0.0010584132204502095
3,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
4,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
5,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
6,0.00031637469365824273,7345183309756257693783741573478340128830660331823026035095352170224920670792,primaries,Will Connie Chan receive the most votes in the CA-11 primary?,0.0003163746936582427,primaries,0.0003163746936582427
7,-0.0072279475629329695,109303663734739671465714636465895865472163062510173069449390862173969575719974,congress,Will the number of Republican Senate members who retire in 2026 be less than 5?,-0.0072279475629329695,congress,-0.0072279475629329695
8,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
9,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
10,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
11,0.009182234261128491,9556122149160720922715284597610520228366807023831966638741974320131898296289,economic-policy,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,0.006187954346338914,economic-policy,0.006187954346338914
12,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
13,0.0014667852077311643,81085168149210534701056807267483472863288984314426354863145129521956049193057,uefa-europa-league,Will Nott'm Forest win the 2025-26 UEFA Europa League?,0.0014667852077311643,uefa-europa-league,0.0014667852077311643
14,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
15,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
16,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
17,0.002479938955770601,51613719567621754724891717390585755097347351696566637940067208667324364080624,ufc,Will Petr Yan fight Pedro Munhoz next?,0.0024799389557706012,ufc,0.0024799389557706012
18,0.0009978695135367554,7345183309756257693783741573478340128830660331823026035095352170224920670792,primaries,Will Connie Chan receive the most votes in the CA-11 primary?,0.0009978695135367554,primaries,0.0009978695135367554
19,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
20,0.0020545021275450545,109303663734739671465714636465895865472163062510173069449390862173969575719974,congress,Will the number of Republican Senate members who retire in 2026 be less than 5?,0.0020545021275450545,congress,0.0020545021275450545
21,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
22,0.0,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,0.0,2026-nfl-draft,0.0
