category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,fifa-world-cup,foreign-policy,formula1,france
2025-predictions,0.9999999999999999,1.670760064604963e-05,0.0,6.192613818746865e-05,1.2865811572582414e-05,-3.3158970672506e-06,3.760204260932635e-05,5.965321168050505e-05,4.5673332489603424e-05,-5.226155508766508e-07,2.578198092325175e-05,4.802825592572497e-05,0.008125131205775087,7.946136865507944e-06,-0.011287412689470542,1.0582516849375945e-05,1.1934656685971302e-05,3.1777519376780676e-05,-3.724650792675532e-05,0.0,-0.016560803743685126,3.080771639769406e-05,-7.543372229740783e-06,0.007500347179238925,-2.461767757486772e-05,1.3712442099727722e-05,6.030329315004424e-05,-1.3959161538687685e-06,-0.004771351957414478,-5.0658542379505724e-05,9.122618806298458e-05,-2.360765975633779e-05,3.0611301042799964e-05,3.8440703705431753e-05,-3.3382412331943145e-06,0.0026847566991137777,-9.409473894381662e-06,-3.93248002413038e-06,3.4937051470642345e-05,6.607071106934132e-05
2026-fifa-world-cup,1.670760064604963e-05,1.0,0.0,-4.241000811666618e-05,-8.811128696074418e-06,2.270886343831468e-06,-2.5751693532657733e-05,-4.0853398348472436e-05,-3.127930238012633e-05,3.5791235176799134e-07,-1.7656744828955692e-05,-3.289206760274829e-05,-1.9412652139213243e-05,-5.441898022804719e-06,-4.7780412630799016e-06,-7.247418273010212e-06,-8.173428890226973e-06,-2.176277891925081e-05,2.5508206223182018e-05,0.0,6.013246357228907e-07,-2.1098611034436946e-05,5.166065361961948e-06,4.183922412650259e-06,1.6859373704250676e-05,-9.39094214123759e-06,-4.129860551311861e-05,9.559907520227769e-07,3.3594368941250445e-05,3.469341470946125e-05,-6.247609635355006e-05,1.61676647565335e-05,-2.096409631998459e-05,-2.632604912682301e-05,2.286188707046786e-06,-1.0967820770162115e-05,6.444061843905991e-06,2.693152110294157e-06,-2.3926578982798975e-05,-4.5248411651991396e-05
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,6.192613818746865e-05,-4.241000811666618e-05,0.0,1.0,-3.26581407336712e-05,8.416960909906348e-06,-9.544775255576634e-05,-0.00015142169394343237,-0.00011593564166600815,1.3265896297231682e-06,-0.05703538017393423,-5.1872734711782794e-05,-7.195231705770922e-05,-2.017020493256674e-05,-1.7709643041587835e-05,-2.6862302671980386e-05,-3.029452867855752e-05,-8.066297987649193e-05,9.454527534835415e-05,0.0,2.2287887576533067e-06,-7.820126481123896e-05,1.9147840810162436e-05,1.5507562275416957e-05,6.248867972615473e-05,-3.480719901491317e-05,-0.00015307183874780793,3.5433463290081233e-06,0.0001245163550080789,0.0001285899297575743,-0.00023156546880465589,5.9924884673281284e-05,-7.770269072080584e-05,0.003697735437798073,8.473678584638652e-06,-4.065184457165192e-05,2.3884690129257727e-05,0.0009147578122138807,-8.868302922912364e-05,-0.0001677116572322991
acquisitions,1.2865811572582414e-05,-8.811128696074418e-06,0.0,-3.26581407336712e-05,1.0,1.7487128416247694e-06,-1.9830282258057376e-05,-3.145946185728194e-05,-2.408685837482324e-05,2.7561305629116756e-07,-1.3596707077638829e-05,-2.53287801746469e-05,0.00780819363216234,-4.190573861673467e-06,-0.007006500394328153,-5.580928097552552e-06,-6.294009429080506e-06,-1.675858902798386e-05,1.964278305272967e-05,0.0,4.6305448765924286e-07,-1.6247141631101814e-05,3.978166879057845e-06,3.2218604296232464e-06,1.2982685539703537e-05,-7.231564521907077e-06,-3.180229693051669e-05,7.361677562945353e-07,0.011196480728253458,2.6715920850485255e-05,-4.811018054021404e-05,1.245002994343272e-05,-1.6143557579356426e-05,-2.0272569035596748e-05,1.7604965397101577e-06,-8.445851584567111e-06,4.962297531654164e-06,2.0738817213432582e-06,-1.8424839286661137e-05,-3.484387439023228e-05
airdrops,-3.3158970672506e-06,2.270886343831468e-06,0.0,8.416960909906348e-06,1.7487128416247694e-06,1.0,5.110845469117397e-06,8.108026199618534e-06,6.207890003189683e-06,0.00010949384668650382,3.5042702800881616e-06,6.52796968340039e-06,3.852758852672184e-06,1.0800338167266197e-06,9.482805668567971e-07,1.4383688900472376e-06,1.6221508677783459e-06,4.319180014074479e-06,-5.062521423521542e-06,0.0,-1.1934272540396533e-07,4.187365016334926e-06,-1.0252903062417573e-06,-8.303679475956315e-07,-3.3460189171340143e-06,1.8637863188459756e-06,8.196384855229603e-06,-1.8973202664512947e-07,-6.667352889761228e-06,-6.885476528027404e-06,1.239940486134416e-05,0.006402334213769438,0.0027955959345908167,5.2248357463911245e-06,-4.537316033267063e-07,2.1767437166096495e-06,-1.2789296453790354e-06,-0.020001888319294853,0.017685658092822937,8.980288592790221e-06
anthropic,3.760204260932635e-05,-2.5751693532657733e-05,0.0,-9.544775255576634e-05,-1.9830282258057376e-05,5.110845469117397e-06,1.0,0.030500169766678208,-7.039704178981329e-05,8.055157521831299e-07,-3.9738181769229806e-05,-7.402672314889111e-05,-4.3690017996170116e-05,-1.2247508524062174e-05,-1.0753435814610832e-05,-1.6311003385980864e-05,-1.8395078258426675e-05,-0.00560306777811654,5.7408641588420477e-05,0.0,1.353338223334773e-06,-4.748442866942111e-05,1.162672091453115e-05,9.416314895688161e-06,3.794362229645656e-05,-2.1135207503298574e-05,-0.0002726792127316081,2.151548014178931e-06,7.560731903542863e-05,7.808082595490182e-05,-0.00014060839057139217,3.6386865591753094e-05,-4.71816905245757e-05,-5.924927474466813e-05,5.145284891381003e-06,-2.4684122673751507e-05,1.4502973417009722e-05,6.061194695159993e-06,-5.384903921673128e-05,-0.00010183584938300397
awards,5.965321168050505e-05,-4.0853398348472436e-05,0.0,-0.00015142169394343237,-3.145946185728194e-05,8.108026199618534e-06,0.030500169766678208,1.0,-0.00011168035947407486,1.2778987082220775e-06,-6.304205847291273e-05,-0.00011743861448950944,-6.931139137649378e-05,-1.9429881140642817e-05,-1.7059631297332806e-05,-2.5876353255978317e-05,-2.9182603419451094e-05,0.015034711060810316,9.107510154554174e-05,0.0,2.1469836718888706e-06,-7.533097880810339e-05,1.8445041698150216e-05,1.4938375331327172e-05,6.019510578965702e-05,-3.352964146668677e-05,-0.001940086585541336,3.4132919443756972e-06,0.00011994612776427073,0.00012387018671482559,-0.00022306612898549436,5.7725411836973446e-05,-7.485070429680432e-05,-9.399514715147918e-05,8.162662118411023e-06,-3.9159766140987175e-05,2.3008030500634306e-05,9.61569385854267e-06,-8.542802231681491e-05,-0.0001615559969181366
base,4.5673332489603424e-05,-3.127930238012633e-05,0.0,-0.00011593564166600815,-2.408685837482324e-05,6.207890003189683e-06,-7.039704178981329e-05,-0.00011168035947407486,1.0,9.784199533343975e-07,-4.8267994569742966e-05,-8.991658178314951e-05,-5.306809364448659e-05,-1.4876439953024716e-05,-1.30616640821678e-05,-1.9812165222698776e-05,-2.2343587400247068e-05,-5.949260211169834e-05,6.973142396243265e-05,0.0,1.643832684501156e-06,-5.767697572257365e-05,1.4122400094337094e-05,1.1437529751397365e-05,4.6088232360446297e-05,-2.5671886220766164e-05,-0.00011289741602745053,2.613378449673858e-06,-0.00018770462559305727,9.484089898925689e-05,-0.00017079002436432554,4.4197317355688675e-05,-5.730925474287978e-05,-7.196714958537299e-05,6.249721857914135e-06,-2.998257711172159e-05,1.7616041071094766e-05,7.362231979589093e-06,-6.54077518592412e-05,-0.00012369494541972627
basketball,-5.226155508766508e-07,3.5791235176799134e-07,0.0,1.3265896297231682e-06,2.7561305629116756e-07,0.00010949384668650382,8.055157521831299e-07,1.2778987082220775e-06,9.784199533343975e-07,1.0,5.523048833260704e-07,1.028867423506582e-06,6.07229853445046e-07,1.7022315730751594e-07,1.4945764623649448e-07,2.267000255409161e-07,2.556657375592159e-07,6.807420726914893e-07,-7.978994428714336e-07,0.0,-1.8809499485400367e-08,6.599668295940822e-07,-1.6159508191527044e-07,-1.3087354449252533e-07,-5.273630285127379e-07,2.9374968341466255e-07,1.2918248363690717e-06,-2.9903493870036696e-08,-1.0508354851507943e-06,0.0012129624697424812,1.9542590348037313e-06,-0.04062427220365286,0.0009356484343904912,8.234816571387773e-07,-0.0016582398019081535,3.43074617065239e-07,-2.0157094976005913e-07,-8.424208858794898e-08,0.007130169885140703,1.4153751985559431e-06
