category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,fifa-world-cup,foreign-policy,formula1,france
2025-predictions,2.8455304941379014e-05,6.833665849076269e-10,0.0,2.863418812412194e-09,4.0249575851974725e-10,-1.109456622779076e-10,6.617368985020722e-11,8.144472900885633e-09,2.688118804637211e-10,-6.906184158120692e-11,1.046392712785026e-09,7.615096642770316e-08,1.099834971991036e-06,1.6888853761491247e-10,-1.3613775490844967e-07,1.5675651207506676e-10,1.3714104858582097e-09,3.1674755184048093e-09,-1.064642394660243e-09,0.0,-2.4517192217362736e-07,3.416832924538069e-09,-4.152817524400903e-11,4.469572411185487e-07,-1.1776370285611204e-09,2.635109455896949e-10,6.788329157215069e-09,-1.5795309996397076e-11,-5.8791810633479127e-08,-5.602274762635856e-10,5.430268651496458e-10,-2.2613479293146605e-09,4.2266663346710694e-10,3.859306498887821e-09,-7.853744232632361e-11,5.4787511364159846e-08,-5.340365928530693e-10,-8.822772900720868e-11,9.984252052222546e-10,3.4514080196080256e-09
2026-fifa-world-cup,6.833665849076269e-10,5.879170590085787e-05,0.0,-2.8187440391804137e-09,-3.9621606004854643e-10,1.0921469917820457e-10,-6.514125457557692e-11,-8.017403651230567e-09,-2.646179044551642e-10,6.798434565286702e-11,-1.030066998588914e-09,-7.496286668421193e-08,-3.7770994822224195e-09,-1.6625355558339538e-10,-8.283435313747263e-11,-1.5431081268971068e-10,-1.3500138769521007e-09,-3.1180568829302874e-09,1.048031950757272e-09,0.0,1.2796014607978384e-11,-3.3635238398129655e-09,4.0880256817368116e-11,3.583807237353421e-10,1.1592636537085531e-09,-2.5939967423559247e-10,-6.682418326285894e-09,1.5548873153418493e-11,5.950017985419122e-10,5.514868633459632e-10,-5.345546144421269e-10,2.2260666056387485e-09,-4.1607223102726325e-10,-3.799093985816972e-09,7.731210902514988e-11,-3.217165425626644e-10,5.257046074726401e-10,8.685120882471272e-11,-9.828478752699952e-10,-3.397559497715975e-09
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,2.863418812412194e-09,-2.8187440391804137e-09,0.0,7.513780582033041e-05,-1.660210705614447e-09,4.5762762055602103e-10,-2.729526112855701e-10,-3.359424494649403e-08,-1.1087927072412765e-09,2.848656322849523e-10,-3.761580814911851e-06,-1.3364889729610086e-07,-1.582667041762035e-08,-6.966298458275417e-10,-3.4708961533423285e-10,-6.46587781394088e-10,-5.65678102742563e-09,-1.306517312074921e-08,4.391426900413711e-09,0.0,5.3617413788693467e-11,-1.409372019590179e-08,1.7129502526511075e-10,1.5016743999683963e-09,4.857506099779688e-09,-1.0869274611080315e-09,-2.8000436033142585e-08,6.515234558232699e-11,2.4931557687947793e-09,2.3108210061461898e-09,-2.239872087778773e-09,9.327586594141402e-09,-1.7434113402059118e-09,6.032556652453791e-07,3.2395050079844023e-10,-1.3480454277152794e-09,2.202789097468488e-09,3.3349730964054715e-08,-4.11829486243871e-09,-1.4236335221693287e-08
acquisitions,4.0249575851974725e-10,-3.9621606004854643e-10,0.0,-1.660210705614447e-09,3.439418310520709e-05,6.432631351616058e-11,-3.83675164258567e-11,-4.722166748023315e-09,-1.558571731832279e-10,4.004206728184887e-11,-6.06698669615569e-10,-4.415234305164843e-08,1.1620065990352065e-06,-9.792160231274552e-11,-9.290652331440892e-08,-9.088745187874477e-11,-7.951440287198117e-10,-1.8365028345251478e-09,6.172798382144389e-10,0.0,7.536718533538467e-12,-1.9810803002427813e-09,2.407804294149246e-11,2.1108249133690175e-10,6.827941458197067e-10,-1.527836902580246e-10,-3.9358743789734685e-09,9.158123373656192e-12,1.516763246656689e-07,3.2481998429307114e-10,-3.1484706709677537e-10,1.3111299070514645e-09,-2.450621846676362e-10,-2.237626552541737e-09,4.553602217621629e-11,-1.8948767277610698e-10,3.0963450571790923e-10,5.1154452011994135e-11,-5.788871007202731e-10,-2.001126946138145e-09
airdrops,-1.109456622779076e-10,1.0921469917820457e-10,0.0,4.5762762055602103e-10,6.432631351616058e-11,3.9341899859880595e-05,1.0575787271598733e-11,1.301638355576628e-09,4.296114166064511e-11,1.7013418392250462e-08,1.6723303110368688e-10,1.2170341767084583e-08,6.132181654761357e-10,2.6991531686835657e-11,1.3448290231287087e-11,2.5052608202689374e-11,2.1917692051485708e-10,5.062215413175271e-10,-1.701496699328436e-10,0.0,-2.0774535169771924e-12,5.460734958910654e-10,-6.6369753319246355e-12,-5.818368591700795e-11,-1.8820831550137643e-10,4.211395360607396e-11,1.0849013446101086e-09,-2.524384521837816e-12,-9.659949733230666e-11,-8.953477773538551e-11,8.678579993930536e-11,7.211055432348427e-07,4.53875372994122e-08,6.167890084490411e-10,-1.2551745033088752e-11,5.223119723537443e-11,-8.534898709815675e-11,-5.276617526863928e-07,5.94287442514112e-07,5.515992395995143e-10
anthropic,6.617368985020722e-11,-6.514125457557692e-11,0.0,-2.729526112855701e-10,-3.83675164258567e-11,1.0575787271598733e-11,1.0883901048501855e-07,2.575384507981886e-07,-2.562423086664986e-11,6.583252829823614e-12,-9.974636687682537e-11,-7.259016755865922e-09,-3.6575480158098796e-10,-1.6099135466445628e-11,-8.021250840355992e-12,-1.494266194013906e-11,-1.3072836975045047e-10,-3.4540595515156615e-08,1.0148600003889631e-10,0.0,1.239099951166566e-12,-3.257062728779054e-10,3.958632885152009e-12,3.4703737912446195e-11,1.1225710353615164e-10,-2.5118924409260858e-11,-1.8983861850797575e-09,1.5056725515986322e-12,5.761690042592977e-11,5.3403138897189134e-11,-5.1763507384359895e-11,2.15560790358748e-10,-4.02902854476046e-11,-3.67884635686738e-10,7.486505248113618e-12,-3.115336801272334e-11,5.090651842805521e-11,8.410222394265216e-12,-9.5173910905876e-11,-3.2900211016298047e-10
awards,8.144472900885633e-09,-8.017403651230567e-09,0.0,-3.359424494649403e-08,-4.722166748023315e-09,1.301638355576628e-09,2.575384507981886e-07,0.0006550810851033773,-3.1537587577763155e-09,8.102483690051976e-10,-1.227650420928594e-08,-8.934195053812234e-07,-4.5016079299616597e-08,-1.9814366227868658e-09,-9.872331473183078e-10,-1.83910109159747e-09,-1.6089682579579785e-08,7.190420164903893e-06,1.2490613399480173e-08,0.0,1.5250496075716997e-10,-4.00870182561539e-08,4.872174776811635e-10,4.271239122785862e-09,1.3816290730525302e-08,-3.091567050495963e-09,-1.0478735631120911e-06,1.853139717892634e-10,7.091327160601607e-09,6.572709162129243e-09,-6.370907895585261e-09,2.6530619941917855e-08,-4.95881578826493e-09,-4.5278213331989536e-08,9.214181535534026e-10,-3.834269512932623e-09,6.265432088707847e-09,1.0351066796421803e-09,-1.1713739100824096e-08,-4.04926607027947e-08
base,2.688118804637211e-10,-2.646179044551642e-10,0.0,-1.1087927072412765e-09,-1.558571731832279e-10,4.296114166064511e-11,-2.562423086664986e-11,-3.1537587577763155e-09,1.2173298543265455e-06,2.674260082458613e-11,-4.051913760631542e-10,-2.9487700457371063e-08,-1.485775331920777e-09,-6.539817997713938e-11,-3.258406062814964e-11,-6.070033368782714e-11,-5.310469913664795e-10,-1.2265316341251335e-09,4.1225814327340935e-10,0.0,5.033492747787552e-12,-1.3230895222758112e-09,1.6080825360230784e-11,1.409741102314192e-10,4.5601270180447475e-10,-1.0203851894861662e-10,-2.628623459218292e-09,6.116368467195795e-12,-4.783798426899641e-10,2.1693513271079605e-10,-2.1027459388897914e-10,8.756546830280042e-10,-1.6366787797547466e-10,-1.494427179994233e-09,3.0411808052444445e-11,-1.2655173766544856e-10,2.0679331887767477e-10,3.416414744346285e-11,-3.866170681974561e-10,-1.3364779281559288e-09
basketball,-6.906184158120692e-11,6.798434565286702e-11,0.0,2.848656322849523e-10,4.004206728184887e-11,1.7013418392250462e-08,6.583252829823614e-12,8.102483690051976e-10,2.674260082458613e-11,0.0006136890990484279,1.0409979862302956e-10,7.575836655982631e-09,3.817181756306578e-10,1.680178248629023e-11,8.371338459049541e-12,1.5594834654808713e-11,1.3643401149779655e-10,3.151145450275098e-10,-1.0591535810170525e-10,0.0,-1.293180487961407e-12,3.3992172826424907e-10,-4.131407479488078e-12,-3.621838309775387e-11,-1.1715656657998824e-10,2.6215240258936922e-11,6.753331608865068e-10,-1.571387653721085e-12,-6.013159094838959e-11,6.229478072141617e-08,5.402272647571386e-11,-1.8071434434495485e-05,5.999588361838511e-08,3.8394096637912373e-10,-1.8117528543139542e-07,3.2513057248109064e-11,-5.312833422297376e-11,-8.77728668252331e-12,9.462845437723661e-07,3.4336141241918153e-10
