domain,total_contribution,contribution_share_of_total_return
colombia-election,0.09597037799863352,-1.0449752006449247
basketball,-0.056404856502741435,0.614165302570129
awards,-0.03588340021883348,0.3907170537979079
epstein,-0.033024816631144586,0.3595913145812923
best-of-2025,-0.02778933182226082,0.3025846433278492
fifa-world-cup,0.027783325849312073,-0.302519247182517
congress,-0.027066794929055785,0.2947172872676173
economic-policy,-0.01778274997775065,0.1936277955087673
business,-0.009555542108881904,0.10404569348098294
bernie-sanders,-0.009157968766913702,0.09971670893952152
airdrops,0.005556144874273996,-0.06049818418855668
fdv,0.0054490588507973645,-0.05933217608061369
foreign-policy,-0.004691193904225776,0.05108014987085262
base,0.004393062203003473,-0.047833937437388785
elon-musk,0.004160038328154234,-0.04529665275170058
acquisitions,-0.003810178865891657,0.041487201654398786
extended,0.003806797127056805,-0.041450379529789375
big-tech,-0.0034545800242939914,0.03761525722116008
bitcoin,-0.003375023330026412,0.03674900271337754
comex-silver-futures,-0.0029064407560138532,0.031646832861504486
connecticut-primary,-0.002517076536988103,0.027407233504021692
climate-science,0.002179421483390571,-0.02373067033171786
crypto-prices,-0.0019807071184996324,0.02156696536719335
brazil,-0.0018542977075316313,0.02019055420424498
commodities,-0.0018025352149469726,0.019626937365356367
abraham-accords,0.0017997924153354407,-0.01959707234206314
2025-predictions,-0.0017626746758283472,0.019192915162548188
democratic-primary,0.0012573227291777381,-0.013690381330129165
comex-gold-futures,0.0007755600475315471,-0.008444699637350653
celebrities,0.0007661195471882817,-0.00834190657822013
colorado-midterm,-0.0006641209803717992,0.007231293334349546
anthropic,-0.0005451882088305354,0.005936291695340073
bundesliga,0.00029259503963914764,-0.003185926393443834
2026-fifa-world-cup,0.0,-0.0
delaware-midterm,0.0,-0.0
champions-league,0.0,-0.0
california-midterm,0.0,-0.0
formula1,0.0,-0.0
2026-nfl-draft,0.0,-0.0
france,0.0,-0.0
