token_id,domain,question,market_id,market_slug,mean_weight,total_contribution,mean_step_contribution,contribution_share_of_total_return
36553834009124167357981460132800746681781045509640776189348736916365216865880,colombia-election,Will Daniel Quintero win the 2026 Colombian presidential election?,569369,will-daniel-quintero-win-the-2026-colombian-presidential-election,0.031379053307099135,0.09597037799863352,4.6655507048436325e-05,-1.0449752006449247
19063193541024384703688685779087142926481547676681055667364352656903314720497,basketball,Will JB Bickerstaff win the 2025–2026 NBA Coach of the Year?,643794,nba-2025-26-coach-of-the-year-jb-bickerstaff,0.018866760947511593,-0.056404856502741435,-2.7420931697978335e-05,0.614165302570129
47252200832793247423089215877857667425039333476763845614656878203768571431091,awards,Will Victor Wembanyama win the 2025–2026 NBA MVP?,564166,will-victor-wembanyama-win-the-20252026-nba-mvp,0.019178925208586023,-0.03588340021883348,-1.7444530976584093e-05,0.3907170537979079
108548893345759572446077602443398325305734327289834850738242401844282632332811,epstein,Epstein client list released by June 30?,996893,epstein-client-list-released-by-june-30,0.018573511690736035,-0.033024816631144586,-1.60548452266138e-05,0.3595913145812923
63415064977569429650854303533694905713854849186055984415925532647266316927744,best-of-2025,Will Theodore rank #1 among boy names on the SSA’s official list for 2025?,651485,will-theodore-rank-1-among-boy-names-on-the-ssas-official-list-for-2025,0.015556513564755393,-0.02778933182226082,-1.3509641138678085e-05,0.3025846433278492
59293102456409671843831538939564589910493616612575646727452668236549896586814,fifa-world-cup,Will Oceania win the 2026 FIFA World Cup?,840932,will-oceania-win-the-2026-fifa-world-cup,0.02183318401332298,0.027783325849312073,1.3506721365732656e-05,-0.302519247182517
109303663734739671465714636465895865472163062510173069449390862173969575719974,congress,Will the number of Republican Senate members who retire in 2026 be less than 5?,909077,will-the-number-of-republican-senate-members-who-retire-in-2026-be-less-than-5,0.019772581876633378,-0.027066794929055785,-1.3158383533814188e-05,0.2947172872676173
9556122149160720922715284597610520228366807023831966638741974320131898296289,economic-policy,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,669663,will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,0.014517623790003414,-0.01778274997775065,-8.644992697010525e-06,0.1936277955087673
73927186257882802877663040737479279251981612783026680169571204930062095676076,business,Will Saudi Aramco be the largest company in the world by market cap on December 31?,676744,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-december-31-584,0.018651936784195543,-0.009555542108881904,-4.645377787497279e-06,0.10404569348098294
33970361138937631470073795943535268274491124306414028184433322285876577197264,bernie-sanders,Will Bernie endorse Dan Osborn for NE-Sen by Nov 2 2026 ET?,593974,will-bernie-endorse-dan-osborn-for-ne-sen-by-nov-2-2026-et,0.017693645811018475,-0.009157968766913702,-4.4520995463848816e-06,0.09971670893952152
