category_a,category_b,correlation,abs_correlation
business,climate-science,0.100901559874562,0.100901559874562
celebrities,extended,-0.08725767187799142,0.08725767187799142
economic-policy,formula1,0.07909883958699246,0.07909883958699246
delaware-midterm,economic-policy,0.06329093587224958,0.06329093587224958
abraham-accords,bernie-sanders,-0.05703538017393423,0.05703538017393423
basketball,economic-policy,-0.04062427220365286,0.04062427220365286
comex-silver-futures,connecticut-primary,0.03558328406688091,0.03558328406688091
climate-science,colorado-midterm,-0.030698122215212058,0.030698122215212058
anthropic,awards,0.030500169766678208,0.030500169766678208
climate-science,epstein,0.02952435990088354,0.02952435990088354
celebrities,democratic-primary,-0.02799826283059286,0.02799826283059286
business,colorado-midterm,-0.027382038528643494,0.027382038528643494
extended,foreign-policy,0.024392172540994704,0.024392172540994704
brazil,crypto-prices,-0.02230583929247341,0.02230583929247341
airdrops,foreign-policy,-0.020001888319294853,0.020001888319294853
airdrops,formula1,0.017685658092822937,0.017685658092822937
2025-predictions,climate-science,-0.016560803743685126,0.016560803743685126
celebrities,comex-gold-futures,-0.01618786378215234,0.01618786378215234
awards,california-midterm,0.015034711060810316,0.015034711060810316
big-tech,crypto-prices,0.01356161818983186,0.01356161818983186
elon-musk,formula1,-0.011421403170623373,0.011421403170623373
2025-predictions,brazil,-0.011287412689470542,0.011287412689470542
acquisitions,crypto-prices,0.011196480728253458,0.011196480728253458
extended,fdv,-0.010085916977565234,0.010085916977565234
2025-predictions,big-tech,0.008125131205775087,0.008125131205775087
comex-gold-futures,fdv,0.007940032784480104,0.007940032784480104
acquisitions,big-tech,0.00780819363216234,0.00780819363216234
2025-predictions,comex-gold-futures,0.007500347179238925,0.007500347179238925
basketball,formula1,0.007130169885140703,0.007130169885140703
acquisitions,brazil,-0.007006500394328153,0.007006500394328153
airdrops,economic-policy,0.006402334213769438,0.006402334213769438
comex-gold-futures,epstein,-0.005864925906268785,0.005864925906268785
anthropic,california-midterm,-0.00560306777811654,0.00560306777811654
elon-musk,france,0.0054944073617442055,0.0054944073617442055
comex-gold-futures,democratic-primary,0.005187305007433464,0.005187305007433464
2025-predictions,crypto-prices,-0.004771351957414478,0.004771351957414478
bernie-sanders,congress,0.0047586143114234794,0.0047586143114234794
big-tech,brazil,-0.004518404550977365,0.004518404550977365
california-midterm,congress,-0.004191133230588767,0.004191133230588767
abraham-accords,epstein,0.003697735437798073,0.003697735437798073
celebrities,foreign-policy,-0.0035925569229939064,0.0035925569229939064
economic-policy,elon-musk,-0.003461539303855233,0.003461539303855233
airdrops,elon-musk,0.0027955959345908167,0.0027955959345908167
2025-predictions,fdv,0.0026847566991137777,0.0026847566991137777
big-tech,comex-silver-futures,-0.002108553320721303,0.002108553320721303
best-of-2025,foreign-policy,0.0020482850511765963,0.0020482850511765963
awards,congress,-0.001940086585541336,0.001940086585541336
basketball,extended,-0.0016582398019081535,0.0016582398019081535
economic-policy,france,-0.00151643189874432,0.00151643189874432
basketball,delaware-midterm,0.0012129624697424812,0.0012129624697424812
fdv,foreign-policy,0.0011383317378674876,0.0011383317378674876
bitcoin,bundesliga,-0.0010314951658441868,0.0010314951658441868
celebrities,fdv,-0.0010182954517158583,0.0010182954517158583
comex-gold-futures,extended,-0.0009663889088533288,0.0009663889088533288
basketball,elon-musk,0.0009356484343904912,0.0009356484343904912
abraham-accords,foreign-policy,0.0009147578122138807,0.0009147578122138807
comex-gold-futures,foreign-policy,-0.0007941509588884047,0.0007941509588884047
bernie-sanders,foreign-policy,0.0004842992140317222,0.0004842992140317222
business,epstein,0.00042616579903346656,0.00042616579903346656
bundesliga,elon-musk,0.00029247342202988724,0.00029247342202988724
anthropic,congress,-0.0002726792127316081,0.0002726792127316081
best-of-2025,extended,0.00025360166835172444,0.00025360166835172444
democratic-primary,france,-0.0002470636088546722,0.0002470636088546722
abraham-accords,democratic-primary,-0.00023156546880465589,0.00023156546880465589
big-tech,bundesliga,-0.00023003667338503507,0.00023003667338503507
congress,democratic-primary,-0.0002254970317458075,0.0002254970317458075
awards,democratic-primary,-0.00022306612898549436,0.00022306612898549436
delaware-midterm,democratic-primary,0.00018943162707092136,0.00018943162707092136
base,crypto-prices,-0.00018770462559305727,0.00018770462559305727
crypto-prices,democratic-primary,0.0001834306603214469,0.0001834306603214469
best-of-2025,democratic-primary,-0.00017959598200104185,0.00017959598200104185
base,democratic-primary,-0.00017079002436432554,0.00017079002436432554
abraham-accords,france,-0.0001677116572322991,0.0001677116572322991
congress,france,-0.00016331658208917297,0.00016331658208917297
awards,france,-0.0001615559969181366,0.0001615559969181366
bundesliga,crypto-prices,-0.00015446449206316467,0.00015446449206316467
abraham-accords,congress,-0.00015307183874780793,0.00015307183874780793
abraham-accords,awards,-0.00015142169394343237,0.00015142169394343237
democratic-primary,epstein,-0.00014374446453905193,0.00014374446453905193
anthropic,democratic-primary,-0.00014060839057139217,0.00014060839057139217
delaware-midterm,france,0.00013719615568016667,0.00013719615568016667
crypto-prices,france,0.00013284994601538104,0.00013284994601538104
democratic-primary,formula1,-0.00013064297143736104,0.00013064297143736104
best-of-2025,france,-0.00013007267417347988,0.00013007267417347988
abraham-accords,delaware-midterm,0.0001285899297575743,0.0001285899297575743
congress,delaware-midterm,0.00012522008407564084,0.00012522008407564084
abraham-accords,crypto-prices,0.0001245163550080789,0.0001245163550080789
awards,delaware-midterm,0.00012387018671482559,0.00012387018671482559
base,france,-0.00012369494541972627,0.00012369494541972627
congress,crypto-prices,0.00012125326199570143,0.00012125326199570143
awards,crypto-prices,0.00011994612776427073,0.00011994612776427073
california-midterm,democratic-primary,-0.00011882827489834616,0.00011882827489834616
best-of-2025,congress,-0.00011871842264966196,0.00011871842264966196
awards,best-of-2025,-0.00011743861448950944,0.00011743861448950944
abraham-accords,base,-0.00011593564166600815,0.00011593564166600815
colombia-election,democratic-primary,-0.0001152018113714195,0.0001152018113714195
democratic-primary,elon-musk,-0.00011446733938482608,0.00011446733938482608
base,congress,-0.00011289741602745053,0.00011289741602745053
awards,base,-0.00011168035947407486,0.00011168035947407486
airdrops,basketball,0.00010949384668650382,0.00010949384668650382
big-tech,democratic-primary,-0.00010599620450420169,0.00010599620450420169
epstein,france,-0.00010410715591689285,0.00010410715591689285
crypto-prices,delaware-midterm,-0.00010186033283752878,0.00010186033283752878
anthropic,france,-0.00010183584938300397,0.00010183584938300397
celebrities,france,0.00010087297146806815,0.00010087297146806815
best-of-2025,delaware-midterm,9.973090905768133e-05,9.973090905768133e-05
best-of-2025,crypto-prices,9.657155347169146e-05,9.657155347169146e-05
bernie-sanders,democratic-primary,-9.640866803500801e-05,9.640866803500801e-05
abraham-accords,anthropic,-9.544775255576634e-05,9.544775255576634e-05
congress,epstein,-9.501947596242894e-05,9.501947596242894e-05
base,delaware-midterm,9.484089898925689e-05,9.484089898925689e-05
formula1,france,-9.461837880498083e-05,9.461837880498083e-05
abraham-accords,celebrities,9.454527534835415e-05,9.454527534835415e-05
awards,epstein,-9.399514715147918e-05,9.399514715147918e-05
celebrities,congress,9.206760864085504e-05,9.206760864085504e-05
comex-silver-futures,democratic-primary,9.205489338360648e-05,9.205489338360648e-05
2025-predictions,democratic-primary,9.122618806298458e-05,9.122618806298458e-05
awards,celebrities,9.107510154554174e-05,9.107510154554174e-05
base,best-of-2025,-8.991658178314951e-05,8.991658178314951e-05
abraham-accords,formula1,-8.868302922912364e-05,8.868302922912364e-05
democratic-primary,economic-policy,8.827805122141163e-05,8.827805122141163e-05
congress,formula1,-8.635898936323815e-05,8.635898936323815e-05
california-midterm,france,-8.606156613993486e-05,8.606156613993486e-05
awards,formula1,-8.542802231681491e-05,8.542802231681491e-05
colombia-election,france,-8.343509419170869e-05,8.343509419170869e-05
abraham-accords,california-midterm,-8.066297987649193e-05,8.066297987649193e-05
delaware-midterm,epstein,7.982230983545053e-05,7.982230983545053e-05
abraham-accords,colombia-election,-7.820126481123896e-05,7.820126481123896e-05
anthropic,delaware-midterm,7.808082595490182e-05,7.808082595490182e-05
abraham-accords,elon-musk,-7.770269072080584e-05,7.770269072080584e-05
celebrities,delaware-midterm,-7.734255644227598e-05,7.734255644227598e-05
crypto-prices,epstein,7.729363479530576e-05,7.729363479530576e-05
big-tech,france,-7.676791885032416e-05,7.676791885032416e-05
