category,airdrops,best-of-2025,colombia-election,fifa-world-cup,la-liga,ligue-1,nba,nba-champion,new-mexico-primary,prediction-markets,primaries,roland-garros,serie-a,south-dakota-primary,taylor-swift,trump,uefa-europa-league,ufc
airdrops,0.00010125201460533651,-1.6235829093363642e-07,-1.674425602676152e-08,2.25123155489981e-09,-7.494075864094137e-08,-2.6106635740650585e-08,8.49209836415051e-06,-1.706023896955814e-08,7.255841220453876e-09,-3.5401300445982955e-10,-1.507341238193074e-08,6.566844160122946e-09,-2.026207558592052e-08,-5.039134848580764e-09,-1.54568059702159e-08,-1.250802266886359e-08,-1.1122634566382702e-08,-2.9312414965667675e-08
best-of-2025,-1.6235829093363642e-07,0.006571706510803028,-3.800178148276698e-07,5.109263109670827e-08,-1.7008115078234746e-06,-5.925008940861769e-07,2.626141519946214e-07,-3.871891783837882e-07,1.646743170270781e-07,-1.4243673452549937e-05,4.025577838738378e-06,1.4903724381993398e-07,-4.5985618445683035e-07,-1.143652492364439e-07,1.3058857025796116e-06,-9.597147468014958e-07,-2.5243279105909315e-07,-6.65257379293039e-07
colombia-election,-1.674425602676152e-08,-3.800178148276698e-07,0.00031419492351439187,5.2692602961302615e-09,-1.754072623978232e-07,-6.110551305765701e-08,2.7083794563016067e-08,-3.993140538969786e-08,1.698311129956747e-08,-8.286071970931138e-10,-3.528101461550308e-08,1.5370436296745378e-08,-4.742566359719806e-08,-1.179466107192742e-08,-3.6178390368852276e-08,-2.9276431866232592e-08,-2.6033775415702285e-08,-6.860899938352033e-08
fifa-world-cup,2.25123155489981e-09,5.109263109670827e-08,5.2692602961302615e-09,0.000148654026763557,2.3583153735672046e-08,8.215513364933836e-09,-3.6413617212515666e-09,5.368697164037008e-09,-2.2833451660591095e-09,1.1140457155767836e-10,4.743461475049244e-09,-2.0665242545567566e-09,6.376285111230732e-09,1.5857684654387024e-09,4.864111840721493e-09,3.9361573979039386e-09,3.5001887581826924e-09,9.224342014086699e-09
la-liga,-7.494075864094137e-08,-1.7008115078234746e-06,-1.754072623978232e-07,2.3583153735672046e-08,0.005876769510166069,-2.734844413729614e-07,2.8461281533004003e-06,-1.7871739471256046e-07,7.600978167312855e-08,-3.7085226041860595e-09,-1.579040595582211e-07,6.879207740728186e-08,-2.1225877120749555e-07,-5.278830228289867e-08,-1.6192036339605993e-07,-8.789551364605844e-07,-1.1651702391688139e-07,-3.0706711932612345e-07
ligue-1,-2.6106635740650585e-08,-5.925008940861769e-07,-6.110551305765701e-08,8.215513364933836e-09,-2.734844413729614e-07,0.0006252506640132373,4.222742163050923e-08,-6.225864281189638e-08,1.2258239623052451e-06,-1.291914447080591e-09,-5.5008033540301226e-08,2.396465874223706e-08,-7.39432389418707e-08,-1.8389525327197414e-08,-5.64071677793962e-08,-4.564604968391275e-08,-4.059029500297653e-08,-1.0697102054419734e-07
nba,8.49209836415051e-06,2.626141519946214e-07,2.7083794563016067e-08,-3.6413617212515666e-09,2.8461281533004003e-06,4.222742163050923e-08,0.0003186140000541,2.7594896226442847e-08,-1.1736306031307436e-08,5.726151983159935e-10,2.438120891506524e-08,7.289892921223716e-06,3.277385938869411e-08,8.150788712031433e-09,2.500134713830517e-08,-4.106146675776367e-08,1.7990835132593346e-08,4.741276195294415e-08
nba-champion,-1.706023896955814e-08,-3.871891783837882e-07,-3.993140538969786e-08,5.368697164037008e-09,-1.7871739471256046e-07,-6.225864281189638e-08,2.7594896226442847e-08,0.0009671668396250892,1.7303601709992505e-08,-8.44243946803231e-10,-3.594680704039385e-08,1.566049371615841e-08,-4.832063920695945e-08,-1.201723959132066e-08,-3.686111728345194e-08,-2.9828911061539164e-08,-2.652506203690591e-08,-6.990372836358803e-08
new-mexico-primary,7.255841220453876e-09,1.646743170270781e-07,1.698311129956747e-08,-2.2833451660591095e-09,7.600978167312855e-08,1.2258239623052451e-06,-1.1736306031307436e-08,1.7303601709992505e-08,8.853705260533446e-05,3.590629674215634e-10,1.5288433223754966e-08,-6.660519588331573e-09,2.8998879013484657e-08,8.114091868339404e-08,1.5677295886329383e-08,1.2686448462285473e-08,1.1281297925890951e-08,2.9730553870258706e-08
prediction-markets,-3.5401300445982955e-10,-1.4243673452549937e-05,-8.286071970931138e-10,1.1140457155767836e-10,-3.7085226041860595e-09,-1.291914447080591e-09,5.726151983159935e-10,-8.44243946803231e-10,3.590629674215634e-10,0.0001329497995518176,-7.459237343515529e-10,3.249672200765494e-10,-1.0026902139883176e-09,-2.4936691101604443e-10,-7.648963710613422e-10,-3.095286040424337e-06,-5.504153207890076e-10,-1.4505558184201673e-09
primaries,-1.507341238193074e-08,4.025577838738378e-06,-3.528101461550308e-08,4.743461475049244e-09,-1.579040595582211e-07,-5.5008033540301226e-08,2.438120891506524e-08,-3.594680704039385e-08,1.5288433223754966e-08,-7.459237343515529e-10,0.0009320808176795673,1.3836680735216916e-08,-4.269324261076579e-08,-1.0617718097364585e-08,-7.068579845695074e-08,-2.6355051540415497e-08,-2.3435967060719482e-08,9.93530332687245e-06
roland-garros,6.566844160122946e-09,1.4903724381993398e-07,1.5370436296745378e-08,-2.0665242545567566e-09,6.879207740728186e-08,2.396465874223706e-08,7.289892921223716e-06,1.566049371615841e-08,-6.660519588331573e-09,3.249672200765494e-10,1.3836680735216916e-08,9.757279857838661e-05,1.8599628525476127e-08,4.6256878213655195e-09,1.4188617943768169e-08,1.1481774127362758e-08,1.0210053273272908e-08,2.6907412680113316e-08
serie-a,-2.026207558592052e-08,-4.5985618445683035e-07,-4.742566359719806e-08,6.376285111230732e-09,-2.1225877120749555e-07,-7.39432389418707e-08,3.277385938869411e-08,-4.832063920695945e-08,2.8998879013484657e-08,-1.0026902139883176e-09,-4.269324261076579e-08,1.8599628525476127e-08,0.0010118199688806623,-2.018885999197186e-06,-4.3779149044248606e-08,-3.5427150326151166e-08,-3.403685218571249e-07,-8.302314113935034e-08
south-dakota-primary,-5.039134848580764e-09,-1.143652492364439e-07,-1.179466107192742e-08,1.5857684654387024e-09,-5.278830228289867e-08,-1.8389525327197414e-08,8.150788712031433e-09,-1.201723959132066e-08,8.114091868339404e-08,-2.4936691101604443e-10,-1.0617718097364585e-08,4.6256878213655195e-09,-2.018885999197186e-06,0.00039642134618457026,-1.0887780704132327e-08,-8.810656491601261e-09,-3.691726433001814e-08,-2.064767757774237e-08
taylor-swift,-1.54568059702159e-08,1.3058857025796116e-06,-3.6178390368852276e-08,4.864111840721493e-09,-1.6192036339605993e-07,-5.64071677793962e-08,2.500134713830517e-08,-3.686111728345194e-08,1.5677295886329383e-08,-7.648963710613422e-10,-7.068579845695074e-08,1.4188617943768169e-08,-4.3779149044248606e-08,-1.0887780704132327e-08,0.0005084927207045399,-2.7025394626871682e-08,-2.4032062973090263e-08,-3.931094740924138e-06
trump,-1.250802266886359e-08,-9.597147468014958e-07,-2.9276431866232592e-08,3.9361573979039386e-09,-8.789551364605844e-07,-4.564604968391275e-08,-4.106146675776367e-08,-2.9828911061539164e-08,1.2686448462285473e-08,-3.095286040424337e-06,-2.6355051540415497e-08,1.1481774127362758e-08,-3.5427150326151166e-08,-8.810656491601261e-09,-2.7025394626871682e-08,0.00010319524282057395,-1.9447328835349058e-08,-5.1251182387890875e-08
