category,baseline_exposure,constrained_exposure,delta_exposure
colombia-election,0.05555555555555555,0.09708830341696739,0.04153274786141184
ligue-1,0.05555555555555555,0.09694048762321472,0.04138493206765917
airdrops,0.05555555555555555,0.05062023550271988,-0.004935320052835673
serie-a,0.05555555555555555,0.050592172890901566,-0.004963382664653987
uefa-europa-league,0.05555555555555555,0.05053209513425827,-0.005023460421297282
prediction-markets,0.05555555555555555,0.050469160079956055,-0.005086395475599498
primaries,0.05555555555555555,0.05046195536851883,-0.005093600187036723
roland-garros,0.05555555555555555,0.050461411476135254,-0.0050941440794202986
trump,0.05555555555555555,0.05042847990989685,-0.005127075645658702
nba,0.05555555555555555,0.050414301455020905,-0.005141254100534648
fifa-world-cup,0.05555555555555555,0.050372689962387085,-0.0051828655931684675
la-liga,0.05555555555555555,0.05032990500330925,-0.005225650552246303
taylor-swift,0.05555555555555555,0.05032838508486748,-0.005227170470688075
south-dakota-primary,0.05555555555555555,0.0502769835293293,-0.0052785720262262525
new-mexico-primary,0.05555555555555555,0.05025682598352432,-0.00529872957203123
nba-champion,0.05555555555555555,0.05025317147374153,-0.005302384081814021
ufc,0.05555555555555555,0.050180383026599884,-0.0053751725289556684
best-of-2025,0.05555555555555555,0.04999309033155441,-0.00556246522400114
