category_a,category_b,correlation,abs_correlation
airdrops,nba,0.04728035752261807,0.04728035752261807
nba,roland-garros,0.04134512800714142,0.04134512800714142
prediction-markets,trump,-0.02642573691428309,0.02642573691428309
best-of-2025,prediction-markets,-0.015238390029266002,0.015238390029266002
primaries,ufc,0.011301978606554573,0.011301978606554573
taylor-swift,ufc,-0.006054402305729163,0.006054402305729163
ligue-1,new-mexico-primary,0.005210009266343312,0.005210009266343312
serie-a,south-dakota-primary,-0.003187730935893467,0.003187730935893467
la-liga,nba,0.002079949041221157,0.002079949041221157
best-of-2025,primaries,0.0016265310699073259,0.0016265310699073259
serie-a,uefa-europa-league,-0.001179980734932801,0.001179980734932801
best-of-2025,trump,-0.0011653952660006675,0.0011653952660006675
la-liga,trump,-0.0011286714533092356,0.0011286714533092356
best-of-2025,taylor-swift,0.000714370837258584,0.000714370837258584
new-mexico-primary,south-dakota-primary,0.0004331106613931589,0.0004331106613931589
best-of-2025,uefa-europa-league,-0.000343386992893413,0.000343386992893413
best-of-2025,ligue-1,-0.0002922959846091387,0.0002922959846091387
best-of-2025,ufc,-0.0002850038691698685,0.0002850038691698685
best-of-2025,la-liga,-0.00027368297169879833,0.00027368297169879833
best-of-2025,colombia-election,-0.00026446322798233857,0.00026446322798233857
nba,trump,-0.00022644993096205342,0.00022644993096205342
best-of-2025,new-mexico-primary,0.00021588589124663975,0.00021588589124663975
trump,uefa-europa-league,-0.00021110925368215144,0.00021110925368215144
south-dakota-primary,uefa-europa-league,-0.00020446931707607913,0.00020446931707607913
airdrops,best-of-2025,-0.00019903687968666307,0.00019903687968666307
best-of-2025,roland-garros,0.00018611927398005408,0.00018611927398005408
best-of-2025,nba,0.0001814874583728485,0.0001814874583728485
ligue-1,trump,-0.0001796992560643615,0.0001796992560643615
ligue-1,uefa-europa-league,-0.00017900793316311784,0.00017900793316311784
best-of-2025,serie-a,-0.00017833284108372793,0.00017833284108372793
trump,ufc,-0.00017521617114848233,0.00017521617114848233
uefa-europa-league,ufc,-0.00017454209517045745,0.00017454209517045745
la-liga,uefa-europa-league,-0.00016760895012380746,0.00016760895012380746
colombia-election,trump,-0.00016258808819544844,0.00016258808819544844
colombia-election,uefa-europa-league,-0.0001619625938483963,0.0001619625938483963
best-of-2025,nba-champion,-0.0001535795645221463,0.0001535795645221463
ligue-1,ufc,-0.00014857276081923522,0.00014857276081923522
la-liga,ligue-1,-0.00014267116728253554,0.00014267116728253554
la-liga,ufc,-0.00013911184838504413,0.00013911184838504413
colombia-election,ligue-1,-0.0001378649069956511,0.0001378649069956511
colombia-election,ufc,-0.0001344254932856728,0.0001344254932856728
new-mexico-primary,trump,0.00013272345873546285,0.00013272345873546285
new-mexico-primary,uefa-europa-league,0.00013221285691904493,0.00013221285691904493
colombia-election,la-liga,-0.0001290858562083987,0.0001290858562083987
airdrops,trump,-0.00012236493517655568,0.00012236493517655568
airdrops,uefa-europa-league,-0.00012189418374525525,0.00012189418374525525
taylor-swift,trump,-0.0001179776756276156,0.0001179776756276156
taylor-swift,uefa-europa-league,-0.00011752380246874576,0.00011752380246874576
roland-garros,trump,0.00011442338189550463,0.00011442338189550463
roland-garros,uefa-europa-league,0.00011398318249749935,0.00011398318249749935
nba,uefa-europa-league,0.00011114656556707399,0.00011114656556707399
new-mexico-primary,ufc,0.00010973384710476157,0.00010973384710476157
serie-a,trump,-0.00010963639790481866,0.00010963639790481866
la-liga,new-mexico-primary,0.00010537500932547941,0.00010537500932547941
airdrops,ligue-1,-0.00010375809565683105,0.00010375809565683105
primaries,taylor-swift,-0.00010267459840999637,0.00010267459840999637
colombia-election,new-mexico-primary,0.0001018251699837426,0.0001018251699837426
airdrops,ufc,-0.00010116956878294901,0.00010116956878294901
ligue-1,taylor-swift,-0.00010003796378005299,0.00010003796378005299
airdrops,la-liga,-9.71509204792609e-05,9.71509204792609e-05
ligue-1,roland-garros,9.702413675095347e-05,9.702413675095347e-05
new-mexico-primary,serie-a,9.68873453799152e-05,9.68873453799152e-05
ligue-1,nba,9.460956731240039e-05,9.460956731240039e-05
roland-garros,ufc,9.460360673057297e-05,9.460360673057297e-05
nba-champion,trump,-9.441844891650377e-05,9.441844891650377e-05
nba-champion,uefa-europa-league,-9.405521070692654e-05,9.405521070692654e-05
airdrops,colombia-election,-9.387813159116549e-05,9.387813159116549e-05
la-liga,taylor-swift,-9.366768156816127e-05,9.366768156816127e-05
ligue-1,serie-a,-9.296506262080114e-05,9.296506262080114e-05
nba,ufc,9.22492752699892e-05,9.22492752699892e-05
la-liga,roland-garros,9.084577096746684e-05,9.084577096746684e-05
serie-a,ufc,-9.064579720442412e-05,9.064579720442412e-05
colombia-election,taylor-swift,-9.051223490952359e-05,9.051223490952359e-05
colombia-election,roland-garros,8.77853879233763e-05,8.77853879233763e-05
la-liga,serie-a,-8.704517318720022e-05,8.704517318720022e-05
colombia-election,nba,8.560073653734463e-05,8.560073653734463e-05
primaries,trump,-8.497814490623576e-05,8.497814490623576e-05
primaries,uefa-europa-league,-8.465122458967394e-05,8.465122458967394e-05
colombia-election,serie-a,-8.411282345583322e-05,8.411282345583322e-05
ligue-1,nba-champion,-8.006115837280633e-05,8.006115837280633e-05
