domain,total_contribution,contribution_share_of_total_return
tennis,0.6161811573723255,0.6017416219810783
nba-champion,0.18709779996791462,0.18271336647471587
basketball,0.14919983831270262,0.14570350234087273
serie-a,0.07071628075982601,0.06905912161668805
airdrops,0.04943699577300417,0.0482784935345628
new-mexico-primary,-0.039312731161474615,-0.03839148005513854
roland-garros,-0.03851225518301674,-0.03760976236080295
primaries,-0.036204473489016974,-0.0353560610213338
comex-silver-futures,0.0355936344074105,0.03475953628938194
league-of-legends,-0.033327020257436155,-0.03254603777730932
ligue-1,0.023861960986590325,0.023302781878225876
epstein,0.021366881420474212,0.02086617178860682
south-dakota-primary,0.016907276573501776,0.016511072931875054
la-liga,0.014557959029558733,0.01421680908994021
hockey,-0.013539321121037853,-0.013222041853144637
nba,-0.013330676841847175,-0.013018286925758227
awards,0.01330293180895293,0.012991192067540073
