category_a,category_b,correlation,abs_correlation
hockey,nba,0.048955574040951085,0.048955574040951085
airdrops,nba,0.047200914603729965,0.047200914603729965
nba,roland-garros,0.041582920623927204,0.041582920623927204
comex-silver-futures,nba-champion,0.03631625662664594,0.03631625662664594
airdrops,epstein,-0.03236577805713686,0.03236577805713686
hockey,league-of-legends,0.03071195139801231,0.03071195139801231
awards,serie-a,-0.021921853367303932,0.021921853367303932
league-of-legends,ligue-1,0.018144347237946546,0.018144347237946546
awards,comex-silver-futures,-0.0131519382370867,0.0131519382370867
airdrops,hockey,0.011897513197373467,0.011897513197373467
airdrops,league-of-legends,-0.01175648084498126,0.01175648084498126
la-liga,serie-a,0.010514230656196156,0.010514230656196156
new-mexico-primary,south-dakota-primary,-0.00918053388343308,0.00918053388343308
comex-silver-futures,ligue-1,-0.008690241949812058,0.008690241949812058
hockey,roland-garros,-0.006479454828606699,0.006479454828606699
awards,new-mexico-primary,-0.0062036829186067005,0.0062036829186067005
ligue-1,new-mexico-primary,0.0048360597781458075,0.0048360597781458075
league-of-legends,primaries,-0.004224292908156297,0.004224292908156297
roland-garros,tennis,0.004100135138102482,0.004100135138102482
epstein,tennis,0.0024135251694846218,0.0024135251694846218
comex-silver-futures,new-mexico-primary,0.0022042449114722394,0.0022042449114722394
la-liga,nba,0.0020417414774433415,0.0020417414774433415
comex-silver-futures,serie-a,-0.0011697492653478614,0.0011697492653478614
airdrops,tennis,-0.0009171072532310963,0.0009171072532310963
awards,epstein,-0.00047822155655401666,0.00047822155655401666
comex-silver-futures,la-liga,-0.00037293739537456,0.00037293739537456
airdrops,basketball,-0.0003104427054349411,0.0003104427054349411
basketball,nba-champion,-0.0002989873996434429,0.0002989873996434429
basketball,ligue-1,-0.0002761578447875304,0.0002761578447875304
awards,hockey,-0.00026539210029612534,0.00026539210029612534
awards,basketball,-0.0002513414133078252,0.0002513414133078252
basketball,hockey,-0.00023077731685459388,0.00023077731685459388
epstein,la-liga,-0.00022595835327862254,0.00022595835327862254
basketball,tennis,-0.0002247187129157018,0.0002247187129157018
basketball,la-liga,-0.00021580715689765813,0.00021580715689765813
airdrops,nba-champion,-0.00020957075064590065,0.00020957075064590065
airdrops,ligue-1,-0.0001935687152632334,0.0001935687152632334
hockey,la-liga,-0.00019065188441996333,0.00019065188441996333
ligue-1,nba-champion,-0.00018642604840011392,0.00018642604840011392
basketball,new-mexico-primary,0.00018281550539382961,0.00018281550539382961
epstein,hockey,-0.00017648890690193997,0.00017648890690193997
airdrops,awards,-0.00017617400839680034,0.00017617400839680034
awards,nba-champion,-0.00016967320453390377,0.00016967320453390377
basketball,epstein,-0.00016749983006002922,0.00016749983006002922
awards,ligue-1,-0.00015671759591927978,0.00015671759591927978
hockey,nba-champion,-0.00015579098712435337,0.00015579098712435337
basketball,roland-garros,0.0001556998960217592,0.0001556998960217592
basketball,nba,0.00015385337078345544,0.00015385337078345544
nba-champion,tennis,-0.00015170100158721144,0.00015170100158721144
la-liga,nba-champion,-0.0001456850719118527,0.0001456850719118527
hockey,ligue-1,-0.00014389537249024677,0.00014389537249024677
ligue-1,tennis,-0.00014011768288694948,0.00014011768288694948
la-liga,ligue-1,-0.000134561107006088,0.000134561107006088
airdrops,new-mexico-primary,0.00012814179708169697,0.00012814179708169697
awards,tennis,-0.0001275262575767825,0.0001275262575767825
basketball,south-dakota-primary,-0.00012377375590565717,0.00012377375590565717
nba-champion,new-mexico-primary,0.00012341337716863552,0.00012341337716863552
hockey,tennis,-0.00011709239303128204,0.00011709239303128204
airdrops,la-liga,0.00011385795936925531,0.00011385795936925531
epstein,nba-champion,-0.00011307421467532977,0.00011307421467532977
la-liga,tennis,-0.00010949679448065159,0.00010949679448065159
airdrops,roland-garros,0.00010913551582334606,0.00010913551582334606
nba-champion,roland-garros,0.00010510842584963438,0.00010510842584963438
epstein,ligue-1,-0.00010444029234349198,0.00010444029234349198
nba,nba-champion,0.00010386189090614073,0.00010386189090614073
ligue-1,roland-garros,9.708274123344431e-05,9.708274123344431e-05
ligue-1,nba,9.593138701631566e-05,9.593138701631566e-05
hockey,new-mexico-primary,9.525822185452133e-05,9.525822185452133e-05
new-mexico-primary,tennis,9.275740485047009e-05,9.275740485047009e-05
la-liga,new-mexico-primary,8.907897149399344e-05,8.907897149399344e-05
awards,roland-garros,8.835857409078871e-05,8.835857409078871e-05
awards,nba,8.731068426396407e-05,8.731068426396407e-05
basketball,serie-a,-8.702059913612514e-05,8.702059913612514e-05
airdrops,south-dakota-primary,-8.67573649135209e-05,8.67573649135209e-05
nba-champion,south-dakota-primary,-8.355602654302561e-05,8.355602654302561e-05
