category,baseline_exposure,constrained_exposure,delta_exposure
la-liga,0.058823529411764705,0.09985263273119926,0.04102910331943456
ligue-1,0.058823529411764705,0.09983767569065094,0.041014146278886235
hockey,0.058823529411764705,0.09982350468635559,0.040999975274590886
serie-a,0.058823529411764705,0.050137151032686234,-0.008686378379078472
south-dakota-primary,0.058823529411764705,0.05013374239206314,-0.008689787019701564
airdrops,0.058823529411764705,0.0501304492354393,-0.008693080176325405
comex-silver-futures,0.058823529411764705,0.05012931674718857,-0.008694212664576137
awards,0.058823529411764705,0.05012110620737076,-0.008702423204393947
epstein,0.058823529411764705,0.050110749900341034,-0.008712779511423671
roland-garros,0.058823529411764705,0.05010117217898369,-0.008722357232781017
league-of-legends,0.058823529411764705,0.05009879544377327,-0.008724733967991435
primaries,0.058823529411764705,0.050098441541194916,-0.00872508787056979
nba-champion,0.058823529411764705,0.05009685829281807,-0.008726671118946636
new-mexico-primary,0.058823529411764705,0.05009518936276436,-0.008728340049000347
nba,0.058823529411764705,0.05008025839924812,-0.008743271012516582
basketball,0.058823529411764705,0.05001075193285942,-0.008812777478905284
tennis,0.058823529411764705,0.04914224147796631,-0.009681287933798396
