event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
27830,2026-nba-champion,2026 NBA Champion,553864,will-the-orlando-magic-win-the-2026-nba-finals,Will the Orlando Magic win the 2026 NBA Finals?,95140346952277551620015228752585531762813913098320669805735291271863965388665,nba-champion,782118.84959,Sports|NBA|NBA Finals|Basketball|NBA Champion,sports|nba|nba-finals|basketball|nba-champion,2025-06-23T16:04:37.82012Z,2026-07-01T00:00:00Z
33659,serie-a-league-winner,Serie A League Winner ,566514,will-ac-milan-win-the-202526-serie-a-league,Will AC Milan win the 2025–26 Serie A league?,11843131838379676792721059608342146205696413823676149302931627463939711085828,serie-a,37313.6874,Sports|Soccer|Serie A,sports|soccer|serie-a,2025-07-28T16:59:51.350736Z,2026-05-28T00:00:00Z
33509,la-liga-winner-114,LA LIGA Winner ,566227,will-real-madrid-win-the-202526-la-liga,Will Real Madrid win the 2025–26 La Liga?,88657857917663921842097927058013051966750383205171131721194307619909198186324,la-liga,41827.79989,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
139236,2026-mens-us-open-winner-tennis,2026 Men’s US Open Winner (Tennis),1088491,will-hubert-hurkacz-win-the-2026-mens-us-open,Will Hubert Hurkacz win the 2026 Men's US Open?,54935126197359005865759470122412489520668573958432708236792605627229004170180,tennis,30113.99617,Sports|ATP|Tennis,sports|atp|tennis,2026-01-02T20:40:16.837688Z,2026-09-13T00:00:00Z
57123,nhl-western-conference-champion-865,NHL: Western Conference Champion,629120,will-the-los-angeles-kings-win-the-western-conference-195,Will the Los Angeles Kings win the Western Conference?,59261866601270864198456845856841875150453626184437295894384368539724334278520,hockey,37841.26098,NHL|Sports|Hockey,nhl|sports|hockey,2025-10-10T00:34:37.44242Z,2026-06-30T00:00:00Z
32756,nba-western-conference-champion-933,NBA Western Conference Champion ,564222,will-the-phoenix-suns-win-the-nba-western-conference-finals,Will the Phoenix Suns win the NBA Western Conference Finals?,24315108267836543154857233535536136482524552716493402526894829400485516895736,nba,157984.20093,Sports|NBA|Hide From New,sports|nba|hide-from-new,2025-07-17T12:25:28.645689Z,2026-06-16T00:00:00Z
63295,nba-2025-26-clutch-player-of-the-year,NBA Clutch Player of the Year Winner,643725,nba-2025-26-clutch-player-of-the-year-jamal-murray,Will Jamal Murray win the 2025–2026 NBA Clutch Player of the Year?,16762206059532490206526748978074790856743627357242377760896424862385852889561,basketball,34021.29525,NBA|Basketball|Sports|Hide From New,nba|basketball|sports|hide-from-new,2025-10-22T07:27:41.988024Z,2026-06-30T00:00:00Z
97450,new-mexico-governor-republican-primary-winner,New Mexico Governor Republican Primary Winner,824264,will-duke-rodriguez-win-the-2026-new-mexico-governor-republican-primary-election,Will Duke Rodriguez win the 2026 New Mexico Governor Republican primary election?,31317702573839002987249831884538721320741670016050389364356636973937868446333,new-mexico-primary,17631.045,Politics|Elections|Primaries|primary elections|New Mexico Primary|Governor Primary|Republican Primary,politics|elections|primaries|primary-elections|new-mexico-primary|governor-primary|republican-primary,2025-12-04T23:28:54.376082Z,2026-06-02T00:00:00Z
57120,nhl-eastern-conference-champion-198,NHL: Eastern Conference Champion,629097,will-the-ottawa-senators-win-the-eastern-conference,Will the Ottawa Senators win the Eastern Conference?,115394635451048754011327777276076337527696490170069916864086987480603951060926,hockey,38127.62047,NHL|Hockey|Sports,nhl|hockey|sports,2025-10-10T00:34:45.537444Z,2026-06-30T00:00:00Z
28999,megaeth-market-cap-fdv-one-day-after-launch,MegaETH market cap (FDV) one day after launch? (if by June 30),556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,MegaETH market cap (FDV) >$2B one day after launch?,57301498276970257025109591078431189727442302532145853906375186182281603517458,airdrops,63988.4548,Airdrops|Featured|Crypto|MegaETH|Pre-Market|fdv,airdrops|featured|crypto|megaeth|pre-market|fdv,2025-06-26T19:50:27.580851Z,2026-07-01T04:00:00Z
33509,la-liga-winner-114,LA LIGA Winner ,566230,will-villarreal-win-the-202526-la-liga,Will Villarreal win the 2025–26 La Liga?,2317130722330994677503722994963086323403276367952762140016618274858179343506,la-liga,502428.44294,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566733,will-marseille-win-the-202526-french-ligue-1,Will Marseille win the 2025–26 French Ligue 1?,49662274238485451283220527378586398370959042852997899886824914466317758572224,ligue-1,52103.44862,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566739,will-rennes-win-the-202526-french-ligue-1,Will Rennes win the 2025–26 French Ligue 1?,19730444129256957174015889379846911816814301308831812906398054285035177752584,ligue-1,47575.25743,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
125871,si-hit-jun-2026,Will Silver (SI) hit__ by end of June?,1032334,si-hit-200-high-jun-2026-446-464-464,Will Silver (SI) hit (HIGH) $200 by end of June?,13894075309136465288344590624962399806634179813543146659957916315803696399619,comex-silver-futures,42105.79169,COMEX Silver Futures|Commodities|Hide From New|Silver|Finance,comex-silver-futures|commodities|hide-from-new|silver|finance,2025-12-26T23:44:25.280646Z,2026-06-30T17:30:00Z
89386,who-will-place-first-in-the-primary-for-nancy-pelosis-congressional-seat-ca-11,Who will place first in the primary for Nancy Pelosi’s congressional seat (CA-11)?,700769,will-connie-chan-receive-the-most-votes-in-the-ca-11-primary,Will Connie Chan receive the most votes in the CA-11 primary?,7345183309756257693783741573478340128830660331823026035095352170224920670792,primaries,27078.94056,Elections|Trump|Politics|Primaries,elections|trump|politics|primaries,2025-11-24T20:37:21.005356Z,2026-06-02T00:00:00Z
84575,epstein-client-list-released-in-2025-372,Epstein client list released by...?,996893,epstein-client-list-released-by-june-30,Epstein client list released by June 30?,108548893345759572446077602443398325305734327289834850738242401844282632332811,epstein,86911.63655,Politics|Epstein|Trump,politics|epstein|trump,2025-11-19T02:12:37.487517Z,2026-06-30T00:00:00Z
139020,2026-mens-french-open-winner,2026 Men's French Open Winner,1087523,will-taylor-fritz-win-the-2026-mens-french-open,Will Taylor Fritz win the 2026 Men's French Open?,103950812176015306889097643332505690876545410954871160290129574415932884036868,roland-garros,63416.27719,Sports|ATP|Tennis|Roland Garros,sports|atp|tennis|roland-garros,2026-01-02T20:34:01.489931Z,2026-06-07T00:00:00Z
32754,nba-mvp-694,NBA MVP ,564161,will-nikola-jokic-win-the-20252026-nba-mvp,Will Nikola Jokic win the 2025–2026 NBA MVP?,73768610008619570600930429495180540710817177537162503586781057110775077618432,awards,98612.36709,Sports|NBA|mvp|Awards|Hide From New,sports|nba|mvp|awards|hide-from-new,2025-07-17T12:15:08.441241Z,2026-06-10T00:00:00Z
86357,lol-lck-2026-season-winner,LCK 2026 Season Winner,693573,will-brion-win-the-lck-2026-season-playoffs,Will BRION win the LCK 2026 season playoffs?,38980554868563368105197970502286544690071489173012608306074305645705239965852,league-of-legends,16887.25132,lol|Esports|league of legends,lol|esports|league-of-legends,2025-11-20T23:26:22.275745Z,2026-12-31T00:00:00Z
101773,south-dakota-governor-republican-primary-winner,South Dakota Governor Republican Primary Winner,906979,will-dusty-johnson-win-the-2026-south-dakota-governor-republican-primary-election,Will Dusty Johnson win the 2026 South Dakota Governor Republican primary election?,65396033350506725313266693161572493847482432654933099338943748693899562511370,south-dakota-primary,25959.1573,Politics|Primaries|primary elections|Governor Primary|Republican Primary|South Dakota Primary,politics|primaries|primary-elections|governor-primary|republican-primary|south-dakota-primary,2025-12-11T04:59:24.819518Z,2026-06-02T00:00:00Z
