category,airdrops,awards,colombia-election,hockey,la-liga,ligue-1,middle-east,nba,nba-champion,new-mexico-primary,primaries,roland-garros,serie-a,stanley-cup,uefa-europa-league
airdrops,1.0,-0.0001245407991963506,-0.0001336859122454114,-9.341842889582256e-05,-0.00010874926751550923,-0.00014775549660747366,-0.00014149928998759918,0.04699041331562973,-0.0001163009938586803,-2.7797904361697027e-06,-6.384998143821785e-05,8.330591459928737e-05,-7.179770956240341e-05,-0.00011226769433907244,-0.00018091690474384247
awards,-0.0001245407991963506,0.9999999999999998,-0.00012486456573865273,-8.725415685274987e-05,-5.240145418868048e-05,-0.0001380057599900511,-0.00013216237298209057,8.006755062155453e-05,-0.028136083273227662,-0.004994502569039103,-5.963680144597821e-05,7.780892298364433e-05,-0.021156967291997966,-0.00010485964201219717,0.00020456404214065147
colombia-election,-0.0001336859122454114,-0.00012486456573865273,0.9999999999999999,-0.008571625754928433,-0.00010903198108848046,-0.0001481396139935181,-0.00014186714322247097,8.594696368715631e-05,-0.00011660333952284255,-2.787017008855274e-06,-6.401597112071576e-05,8.352248353169639e-05,-7.198436081500706e-05,0.011662914501504036,-0.00018138723126391747
hockey,-9.341842889582256e-05,-8.725415685274987e-05,-0.008571625754928433,1.0,-0.00027991179701034264,-0.00010351853657626417,-0.0002595082086871836,6.005891107868678e-05,-8.148129147844441e-05,-1.9475406637852175e-06,-4.473374453517192e-05,5.8364707679033814e-05,-5.030197856647237e-05,-7.865553356465945e-05,-0.000126751651552723
la-liga,-0.00010874926751550923,-5.240145418868048e-05,-0.00010903198108848046,-0.00027991179701034264,1.0,-0.00012050689740779509,0.005285013973300181,0.0020365569557184776,-9.485313411104457e-05,-2.267150316556315e-06,-5.207497074106067e-05,6.794290252868234e-05,0.010466713275231574,-9.156364287326129e-05,-0.0003928198380153722
ligue-1,-0.00014775549660747366,-0.0001380057599900511,-0.0001481396139935181,-0.00010351853657626417,-0.00012050689740779509,1.0,-0.001347854782154284,9.49923300683204e-05,-0.000128875092729742,0.003740282406226126,-7.075324127187945e-05,9.231268893509682e-05,-7.956025284600156e-05,-0.00012440572550981755,-0.0002004770733393018
middle-east,-0.00014149928998759918,-0.00013216237298209057,-0.00014186714322247097,-0.0002595082086871836,0.005285013973300181,-0.001347854782154284,1.0,9.097020122806446e-05,-0.00012341831293619695,-2.9499063986077432e-06,-0.00011514220993250503,8.840402043291517e-05,-7.61915431061787e-05,-0.00011913818595051207,-0.00019198854991948997
nba,0.04699041331562973,8.006755062155453e-05,8.594696368715631e-05,6.005891107868678e-05,0.0020365569557184776,9.49923300683204e-05,9.097020122806446e-05,1.0,7.477016185222982e-05,1.787133316162391e-06,4.1049291910596016e-05,0.04157002249516983,4.615890360424053e-05,7.21771448205228e-05,0.00011631187146980377
nba-champion,-0.0001163009938586803,-0.028136083273227662,-0.00011660333952284255,-8.148129147844441e-05,-9.485313411104457e-05,-0.000128875092729742,-0.00012341831293619695,7.477016185222982e-05,1.0,-2.42458492885927e-06,-5.569114156546548e-05,7.266096839321147e-05,0.061262954946981765,-9.792197143730733e-05,-0.00015779908978398683
new-mexico-primary,-2.7797904361697027e-06,-0.004994502569039103,-2.787017008855274e-06,-1.9475406637852175e-06,-2.267150316556315e-06,0.003740282406226126,-2.9499063986077432e-06,1.787133316162391e-06,-2.42458492885927e-06,1.0,-1.3311124657380518e-06,1.7367200255201997e-06,1.905992773636301e-05,-2.3405007185325475e-06,-3.771665108474659e-06
primaries,-6.384998143821785e-05,-5.963680144597821e-05,-6.401597112071576e-05,-4.473374453517192e-05,-5.207497074106067e-05,-7.075324127187945e-05,-0.00011514220993250503,4.1049291910596016e-05,-5.569114156546548e-05,-1.3311124657380518e-06,0.9999999999999998,3.9891331357212e-05,-3.4380586740081054e-05,-5.3759781849010737e-05,-8.663269865017816e-05
roland-garros,8.330591459928737e-05,7.780892298364433e-05,8.352248353169639e-05,5.8364707679033814e-05,6.794290252868234e-05,9.231268893509682e-05,8.840402043291517e-05,0.04157002249516983,7.266096839321147e-05,1.7367200255201997e-06,3.9891331357212e-05,1.0,4.4856805880418745e-05,7.014109784704307e-05,0.00011303082683337654
serie-a,-7.179770956240341e-05,-0.021156967291997966,-7.198436081500706e-05,-5.030197856647237e-05,0.010466713275231574,-7.956025284600156e-05,-7.61915431061787e-05,4.615890360424053e-05,0.061262954946981765,1.905992773636301e-05,-3.4380586740081054e-05,4.4856805880418745e-05,1.0,-6.04515321131011e-05,-0.0010438049159300579
stanley-cup,-0.00011226769433907244,-0.00010485964201219717,0.011662914501504036,-7.865553356465945e-05,-9.156364287326129e-05,-0.00012440572550981755,-0.00011913818595051207,7.21771448205228e-05,-9.792197143730733e-05,-2.3405007185325475e-06,-5.3759781849010737e-05,7.014109784704307e-05,-6.04515321131011e-05,1.0,-0.00015232664305843099
uefa-europa-league,-0.00018091690474384247,0.00020456404214065147,-0.00018138723126391747,-0.000126751651552723,-0.0003928198380153722,-0.0002004770733393018,-0.00019198854991948997,0.00011631187146980377,-0.00015779908978398683,-3.771665108474659e-06,-8.663269865017816e-05,0.00011303082683337654,-0.0010438049159300579,-0.00015232664305843099,1.0
