category,baseline_exposure,constrained_exposure,delta_exposure
colombia-election,0.06666666666666667,0.09999687597155571,0.033330209304889044
la-liga,0.06666666666666667,0.09973294287919998,0.033066276212533316
nba-champion,0.06666666666666667,0.09972839802503586,0.03306173135836919
new-mexico-primary,0.06666666666666667,0.09968311339616776,0.03301644672950109
ligue-1,0.06666666666666667,0.0996725894510746,0.033005922784407934
serie-a,0.06666666666666667,0.050483036786317825,-0.01618362988034884
uefa-europa-league,0.06666666666666667,0.05034967511892319,-0.01631699154774348
airdrops,0.06666666666666667,0.050331324338912964,-0.016335342327753702
awards,0.06666666666666667,0.05022089555859566,-0.01644577110807101
middle-east,0.06666666666666667,0.05001804977655411,-0.016648616890112558
hockey,0.06666666666666667,0.050008513033390045,-0.01665815363327662
stanley-cup,0.06666666666666667,0.04998692497611046,-0.016679741690556207
roland-garros,0.06666666666666667,0.04995964840054512,-0.016707018266121546
nba,0.06666666666666667,0.04991518706083298,-0.01675147960583369
primaries,0.06666666666666667,0.04991275072097778,-0.016753915945688883
