category,airdrops,awards,colombia-election,hockey,la-liga,ligue-1,middle-east,nba,nba-champion,new-mexico-primary,primaries,roland-garros,serie-a,stanley-cup,uefa-europa-league
airdrops,0.00011066874693154502,-3.2654104226644645e-08,-2.5840699567332295e-08,-2.2805513364663486e-08,-4.6114967813745134e-08,-4.0289262766270614e-08,-2.7574053400919405e-07,9.129205344989895e-06,-2.7453959094236408e-08,-1.9420512694491828e-10,-2.1206402991924362e-08,8.943516195205999e-09,-2.5110881163437695e-08,-2.5202799477450932e-08,-1.778790185583442e-08
awards,-3.2654104226644645e-08,0.0006211940109902934,-5.718195082256601e-08,-5.046549689197077e-08,-5.264535303195958e-08,-8.915465450830198e-08,-6.101762691995664e-07,3.6853724725522774e-08,-1.5735709543542384e-05,-8.266887148235772e-07,-4.6926883300819105e-08,1.9790783988743815e-08,-1.753096857259848e-05,-5.57703647517522e-08,4.7651437445449265e-08
colombia-election,-2.5840699567332295e-08,-5.718195082256601e-08,0.00033760762999844867,-3.654804283218677e-06,-8.075382510594647e-08,-7.055219234274826e-08,-4.828606396936937e-07,2.9164053068475645e-08,-4.8075761867950604e-08,-3.400806202299363e-10,-3.713540829634291e-08,1.566136065792949e-08,-4.397270131291369e-08,4.572931571217572e-06,-3.1149129741768194e-08
hockey,-2.2805513364663486e-08,-5.046549689197077e-08,-3.654804283218677e-06,0.0005385048201768063,-2.6182979942584663e-07,-6.226530211329475e-08,-1.1155261431862738e-06,2.5738513784730534e-08,-4.2428898913479105e-08,-3.001355713883458e-10,-3.2773572867010354e-08,1.382181503494426e-08,-3.88077739481857e-08,-3.894982970197253e-08,-2.7490428143113285e-08
la-liga,-4.6114967813745134e-08,-5.264535303195958e-08,-8.075382510594647e-08,-2.6182979942584663e-07,0.0016248233300230226,-1.259065015092723e-07,3.946236129218931e-05,1.5160406561666743e-06,-8.579536344923701e-08,-6.069033392505195e-10,-6.62713543754467e-08,2.7949055356569705e-08,1.4026595306446558e-05,-7.876034686596576e-08,-1.479890440131683e-07
ligue-1,-4.0289262766270614e-08,-8.915465450830198e-08,-7.055219234274826e-08,-6.226530211329475e-08,-1.259065015092723e-07,0.0006718407724422985,-6.4715772183761065e-06,4.5470835429344816e-08,-7.495683301992304e-08,6.438337086842085e-07,-5.789929250504961e-08,2.4418250488169477e-08,-6.855958806852346e-08,-6.881055025912257e-08,-4.856584744684269e-08
middle-east,-2.7574053400919405e-07,-6.101762691995664e-07,-4.828606396936937e-07,-1.1155261431862738e-06,3.946236129218931e-05,-6.4715772183761065e-06,0.034313712700661525,3.1120332272815676e-07,-5.130060900954188e-07,-3.628926979474874e-09,-6.733830099324961e-07,1.6711900310112164e-07,-4.6922321550375387e-07,-4.709408058417393e-07,-3.3238564794023957e-07
nba,9.129205344989895e-06,3.6853724725522774e-08,2.9164053068475645e-08,2.5738513784730534e-08,1.5160406561666743e-06,4.5470835429344816e-08,3.1120332272815676e-07,0.0003410534359200796,3.0984792725050286e-08,2.1918170650266507e-10,2.3933742994707264e-08,7.834502776162154e-06,2.8340373252607295e-08,2.8444113113861407e-08,2.0075590923870164e-08
nba-champion,-2.7453959094236408e-08,-1.5735709543542384e-05,-4.8075761867950604e-08,-4.2428898913479105e-08,-8.579536344923701e-08,-7.495683301992304e-08,-5.130060900954188e-07,3.0984792725050286e-08,0.0005035216165236653,-3.6131217779961743e-10,-3.9453807264738346e-08,1.6639114345280276e-08,4.5703121916553065e-05,-4.688896997260066e-08,-3.309379962888713e-08
new-mexico-primary,-1.9420512694491828e-10,-8.266887148235772e-07,-3.400806202299363e-10,-3.001355713883458e-10,-6.069033392505195e-10,6.438337086842085e-07,-3.628926979474874e-09,2.1918170650266507e-10,-3.6131217779961743e-10,4.4103420846659626e-05,-2.790902260037036e-10,1.1770256168096547e-10,4.2081988613186085e-09,-3.31685435043736e-10,-2.341005002577388e-10
primaries,-2.1206402991924362e-08,-4.6926883300819105e-08,-3.713540829634291e-08,-3.2773572867010354e-08,-6.62713543754467e-08,-5.789929250504961e-08,-6.733830099324961e-07,2.3933742994707264e-08,-3.9453807264738346e-08,-2.790902260037036e-10,0.0009967528292924794,1.2852636773572537e-08,-3.608659364098821e-08,-3.6218688521465856e-08,-2.5562814057354446e-08
roland-garros,8.943516195205999e-09,1.9790783988743815e-08,1.566136065792949e-08,1.382181503494426e-08,2.7949055356569705e-08,2.4418250488169477e-08,1.6711900310112164e-07,7.834502776162154e-06,1.6639114345280276e-08,1.1770256168096547e-10,1.2852636773572537e-08,0.00010414536091769356,1.521903713613701e-08,1.527474638127921e-08,1.0780774165427756e-08
serie-a,-2.5110881163437695e-08,-1.753096857259848e-05,-4.397270131291369e-08,-3.88077739481857e-08,1.4026595306446558e-05,-6.855958806852346e-08,-4.6922321550375387e-07,2.8340373252607295e-08,4.5703121916553065e-05,4.2081988613186085e-09,-3.608659364098821e-08,1.521903713613701e-08,0.0011052937979278803,-4.288719702744548e-08,-3.24333107988984e-07
stanley-cup,-2.5202799477450932e-08,-5.57703647517522e-08,4.572931571217572e-06,-3.894982970197253e-08,-7.876034686596576e-08,-6.881055025912257e-08,-4.709408058417393e-07,2.8444113113861407e-08,-4.688896997260066e-08,-3.31685435043736e-10,-3.6218688521465856e-08,1.527474638127921e-08,-4.288719702744548e-08,0.0004553684824531503,-3.03801864470927e-08
uefa-europa-league,-1.778790185583442e-08,4.7651437445449265e-08,-3.1149129741768194e-08,-2.7490428143113285e-08,-1.479890440131683e-07,-4.856584744684269e-08,-3.3238564794023957e-07,2.0075590923870164e-08,-3.309379962888713e-08,-2.341005002577388e-10,-2.5562814057354446e-08,1.0780774165427756e-08,-3.24333107988984e-07,-3.03801864470927e-08,8.735065355982396e-05
