category,airdrops,awards,colombia-election,hockey,la-liga,ligue-1,middle-east,nba,nba-champion,new-mexico-primary,rhode-island-primary,roland-garros,serie-a,stanley-cup,uefa-europa-league
airdrops,0.9999999999999999,-0.0001180591474271454,-0.00013831801141458327,-9.665518038751543e-05,-0.0001125172455289757,-0.00015287517313027099,-0.00014611627445880714,0.04699353657488587,-0.00012033065297262518,-2.87610105287651e-06,9.409867431799969e-06,8.619226879231777e-05,-7.428531426655927e-05,-0.00011615759162005845,-0.00018718587755772354
awards,-0.0001180591474271454,1.0,-0.00011836606515577793,-8.271296892131681e-05,-4.725225031096197e-05,-0.00013082340122142172,-0.00012503945282348112,7.590037975444175e-05,-0.028052235344355393,-0.004980431659427052,8.052523096223925e-06,7.375930003227832e-05,-0.021094614989977892,-9.940221752341394e-05,0.00021231691502894472
colombia-election,-0.00013831801141458327,-0.00011836606515577793,1.0,-0.00857490021764091,-0.00011280975600514484,-0.00015327260189309472,-0.00014649613214921754,8.8924829816547e-05,-0.00012064347592197379,-2.8835780372673575e-06,9.434330213397673e-06,8.64163423684906e-05,-7.447843339728952e-05,0.011659061111323754,-0.0001876725036737412
hockey,-9.665518038751543e-05,-8.271296892131681e-05,-0.00857490021764091,1.0,-0.00028255212007088026,-0.00010710529187726147,-0.00037510245423951394,6.213974144759567e-05,-8.430439975647168e-05,-2.0150141872577514e-06,6.59261132578113e-06,6.038683664284676e-05,-5.2044750653750325e-05,-8.138072716113611e-05,-0.00013114358362189212
la-liga,-0.0001125172455289757,-4.725225031096197e-05,-0.00011280975600514484,-0.00028255212007088026,1.0,-0.00012468232303007102,0.00528125800106601,0.002038984197943122,-9.813958039849609e-05,-2.3456978212952815e-06,7.674523644215869e-06,7.029691008821369e-05,0.010464707692865319,-9.47361043930004e-05,-0.0003979340084458498
ligue-1,-0.00015287517313027099,-0.00013082340122142172,-0.00015327260189309472,-0.00010710529187726147,-0.00012468232303007102,1.0,-0.0013529746625898576,9.82836480567835e-05,-0.0001333404961507804,0.003740186301723586,1.0427238289440133e-05,9.551115697630037e-05,-8.23168529075719e-05,-0.00012871625405225432,-0.00020742393703825348
middle-east,-0.00014611627445880714,-0.00012503945282348112,-0.00014649613214921754,-0.00037510245423951394,0.00528125800106601,-0.0013529746625898576,1.0,9.393834329162513e-05,-0.00012744526225614444,-3.046151948019453e-06,9.966230490863613e-06,9.128842925159076e-05,-7.867747015912606e-05,-0.00012302546659019906,-0.00019825333501196618
nba,0.04699353657488587,7.590037975444175e-05,8.8924829816547e-05,6.213974144759567e-05,0.002038984197943122,9.82836480567835e-05,9.393834329162513e-05,1.0,7.736073363021725e-05,1.849049115489e-06,-6.04961603634574e-06,0.04156824418974912,4.775812536245311e-05,7.467786704765427e-05,0.00012034204465238022
nba-champion,-0.00012033065297262518,-0.028052235344355393,-0.00012064347592197379,-8.430439975647168e-05,-9.813958039849609e-05,-0.0001333404961507804,-0.00012744526225614444,7.736073363021725e-05,1.0,-2.5085874541818724e-06,8.207456883793664e-06,7.517845867186892e-05,0.06126093407515463,-0.0001013147562233643,-0.000163266914273233
new-mexico-primary,-2.87610105287651e-06,-0.004980431659427052,-2.8835780372673575e-06,-2.0150141872577514e-06,-2.3456978212952815e-06,0.003740186301723586,-3.046151948019453e-06,1.849049115489e-06,-2.5085874541818724e-06,1.0,1.9617175509131394e-07,1.7968891450212466e-06,1.9008084760611566e-05,-2.4215897599449123e-06,-3.902348507558548e-06
rhode-island-primary,9.409867431799969e-06,8.052523096223925e-06,9.434330213397673e-06,6.59261132578113e-06,7.674523644215869e-06,1.0427238289440133e-05,9.966230490863613e-06,-6.04961603634574e-06,8.207456883793664e-06,1.9617175509131394e-07,0.9999999999999999,0.010574888404802554,5.0668179626734565e-06,7.922822667338475e-06,1.2767486765487003e-05
roland-garros,8.619226879231777e-05,7.375930003227832e-05,8.64163423684906e-05,6.038683664284676e-05,7.029691008821369e-05,9.551115697630037e-05,9.128842925159076e-05,0.04156824418974912,7.517845867186892e-05,1.7968891450212466e-06,0.010574888404802554,1.0,4.641091268561462e-05,7.257127328162123e-05,0.00011694730654484392
serie-a,-7.428531426655927e-05,-0.021094614989977892,-7.447843339728952e-05,-5.2044750653750325e-05,0.010464707692865319,-8.23168529075719e-05,-7.867747015912606e-05,4.775812536245311e-05,0.06126093407515463,1.9008084760611566e-05,5.0668179626734565e-06,4.641091268561462e-05,0.9999999999999998,-6.25459790998111e-05,-0.0010471849923681348
stanley-cup,-0.00011615759162005845,-9.940221752341394e-05,0.011659061111323754,-8.138072716113611e-05,-9.47361043930004e-05,-0.00012871625405225432,-0.00012302546659019906,7.467786704765427e-05,-0.0001013147562233643,-2.4215897599449123e-06,7.922822667338475e-06,7.257127328162123e-05,-6.25459790998111e-05,1.0,-0.00015760482540996224
uefa-europa-league,-0.00018718587755772354,0.00021231691502894472,-0.0001876725036737412,-0.00013114358362189212,-0.0003979340084458498,-0.00020742393703825348,-0.00019825333501196618,0.00012034204465238022,-0.000163266914273233,-3.902348507558548e-06,1.2767486765487003e-05,0.00011694730654484392,-0.0010471849923681348,-0.00015760482540996224,0.9999999999999999
