category,airdrops,awards,colombia-election,hockey,la-liga,ligue-1,middle-east,nba,nba-champion,new-mexico-primary,rhode-island-primary,roland-garros,serie-a,stanley-cup,uefa-europa-league
airdrops,0.00011450280677805416,-3.211678147486392e-08,-2.7662313195445855e-08,-2.4413164652622522e-08,-4.936579519984697e-08,-4.31294130466621e-08,-2.9460288180202323e-07,9.446122408569931e-06,-2.938929779903483e-08,-2.0789541829976928e-10,1.8290886828249048e-09,9.573980201878395e-09,-2.6881046991264463e-08,-2.6979444992604078e-08,-1.904184176375732e-08
awards,-3.211678147486392e-08,0.0006463215188812029,-5.624102275560886e-08,-4.963508796475822e-08,-4.9254485028692035e-08,-8.768761612433833e-08,-5.989653599187825e-07,3.624729728701652e-08,-1.6277835358270787e-05,-8.553108945855543e-07,3.718771366153158e-09,1.9465126961409242e-08,-1.8135563732491062e-05,-5.4852664310538994e-08,5.131409913836133e-08
colombia-election,-2.7662313195445855e-08,-5.624102275560886e-08,0.00034930385828563947,-3.782871984373496e-06,-8.644648323046653e-08,-7.552569682276136e-08,-5.158912761001085e-07,3.1219943095063285e-08,-5.1464813421001316e-08,-3.6405425495504664e-10,3.2029927504819605e-09,1.6765392223907426e-08,-4.7072511817960024e-08,4.729798249310976e-06,-3.3344955713646944e-08
hockey,-2.4413164652622522e-08,-4.963508796475822e-08,-3.782871984373496e-06,0.0005571623435577586,-2.73456611181848e-07,-6.665463076102143e-08,-1.6682883536801956e-06,2.7552923930844466e-08,-4.5419880650843415e-08,-3.212933208410105e-10,2.826776952678818e-09,1.479616971784696e-08,-4.1543488192938747e-08,-4.169555802147598e-08,-2.9428337696129305e-08
la-liga,-4.936579519984697e-08,-4.9254485028692035e-08,-8.644648323046653e-08,-2.73456611181848e-07,0.0016811170698597217,-1.3478215127330539e-07,4.080061386446289e-05,1.5704358907008336e-06,-9.184341965145986e-08,-6.496863680473955e-10,5.7160181446031326e-09,2.991929536488572e-08,1.4509793430259754e-05,-8.431247678536289e-08,-1.5510930124874641e-07
ligue-1,-4.31294130466621e-08,-8.768761612433833e-08,-7.552569682276136e-08,-6.665463076102143e-08,-1.3478215127330539e-07,0.0006951156066156549,-6.721226287609295e-06,4.8676255363271815e-08,-8.024083812951853e-08,6.66123056057921e-07,4.9939134281708604e-09,2.6139590026522245e-08,-7.339262595273274e-08,-7.366127946571264e-08,-5.198944708041695e-08
middle-east,-2.9460288180202323e-07,-5.989653599187825e-07,-5.158912761001085e-07,-1.6682883536801956e-06,4.080061386446289e-05,-6.721226287609295e-06,0.03550264159243589,3.3249154329637055e-07,-5.480988606450611e-07,-3.877167895694756e-09,3.4111785519014153e-08,1.7855097036923216e-07,-5.013209682520024e-07,-5.031560523289566e-07,-3.551228697829465e-07
nba,9.446122408569931e-06,3.624729728701652e-08,3.1219943095063285e-08,2.7552923930844466e-08,1.5704358907008336e-06,4.8676255363271815e-08,3.3249154329637055e-07,0.00035287000704361014,3.3169033927387335e-08,2.3463269623142704e-10,-2.0643264426281405e-09,8.10560059370564e-06,3.033819881488484e-08,3.0449251711321144e-08,2.1490799127659303e-08
nba-champion,-2.938929779903483e-08,-1.6277835358270787e-05,-5.1464813421001316e-08,-4.5419880650843415e-08,-9.184341965145986e-08,-8.024083812951853e-08,-5.480988606450611e-07,3.3169033927387335e-08,0.0005209664307246839,-3.867825094122774e-10,3.4029586436589823e-09,1.7812071655206107e-08,4.7285026101039975e-05,-5.019435984750304e-08,-3.5426713111083674e-08
new-mexico-primary,-2.0789541829976928e-10,-8.553108945855543e-07,-3.6405425495504664e-10,-3.212933208410105e-10,-6.496863680473955e-10,6.66123056057921e-07,-3.877167895694756e-09,2.3463269623142704e-10,-3.867825094122774e-10,4.5631571093952663e-05,2.4072011366794856e-11,1.2599988311618392e-10,4.342163972162136e-09,-3.5506725979449033e-10,-2.506031750598171e-10
