domain,total_contribution,contribution_share_of_total_return
colombia-election,0.15139892683674888,0.3291077595903992
nba-champion,0.1490802149617011,0.3240673931474093
serie-a,0.0721408206546171,0.15681817801954814
uefa-europa-league,0.046445674734373256,0.10096261759488065
airdrops,0.04502713313699189,0.09787902211138447
rhode-island-primary,0.036683189153520014,0.07974113455879138
roland-garros,-0.03617946798299432,-0.07864615621678027
ligue-1,0.03596467776224019,0.0781792498138667
hockey,-0.031295686404407184,-0.06802989593515495
stanley-cup,-0.028683425573553162,-0.06235141902999736
awards,0.025025123915963007,0.054399080875490044
middle-east,0.023137750125438547,0.05029634796524346
nba,-0.014594778467004056,-0.03172581829574777
new-mexico-primary,-0.011543725292177377,-0.025093503947568038
la-liga,-0.0025779948524362606,-0.005603990251765372
