event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
33659,serie-a-league-winner,Serie A League Winner ,566514,will-ac-milan-win-the-202526-serie-a-league,Will AC Milan win the 2025–26 Serie A league?,11843131838379676792721059608342146205696413823676149302931627463939711085828,serie-a,35810.01123,Sports|Soccer|Serie A,sports|soccer|serie-a,2025-07-28T16:59:51.350736Z,2026-05-28T00:00:00Z
79926,how-many-different-countries-will-israel-strike-in-2026,How many different countries will Israel strike in 2026?,678754,will-israel-strike-11-countries-in-2026,Will Israel strike 11 countries in 2026?,56988329823452841666931131821080687228531160724161634353621608700010586706540,middle-east,27446.43804,Israel|Iran|Middle East|Politics|Geopolitics|World,israel|iran|middle-east|politics|geopolitics|world,2025-11-13T16:02:36.311448Z,2026-12-31T00:00:00Z
38532,uefa-europa-league-winner,UEFA Europa League: Winner ,578535,will-nottm-forest-win-the-2025-26-uefa-europa-league,Will Nott'm Forest win the 2025-26 UEFA Europa League?,81085168149210534701056807267483472863288984314426354863145129521956049193057,uefa-europa-league,47893.14425,Sports|UEFA Europa League|Soccer|Europa League|UEL,sports|uefa-europa-league|soccer|europa-league|uel,2025-08-20T06:24:29.163078Z,2026-05-24T00:00:00Z
97450,new-mexico-governor-republican-primary-winner,New Mexico Governor Republican Primary Winner,824260,will-greg-hull-win-the-2026-new-mexico-governor-republican-primary-election,Will Greg Hull win the 2026 New Mexico Governor Republican primary election?,50252300898375978140712321807178556639478099096013757990329224333771594910605,new-mexico-primary,19102.861,Politics|Elections|Primaries|primary elections|New Mexico Primary|Governor Primary|Republican Primary,politics|elections|primaries|primary-elections|new-mexico-primary|governor-primary|republican-primary,2025-12-04T23:28:54.376082Z,2026-06-02T00:00:00Z
32756,nba-western-conference-champion-933,NBA Western Conference Champion ,564222,will-the-phoenix-suns-win-the-nba-western-conference-finals,Will the Phoenix Suns win the NBA Western Conference Finals?,24315108267836543154857233535536136482524552716493402526894829400485516895736,nba,159478.03547,Sports|NBA|Hide From New,sports|nba|hide-from-new,2025-07-17T12:25:28.645689Z,2026-06-16T00:00:00Z
97450,new-mexico-governor-republican-primary-winner,New Mexico Governor Republican Primary Winner,824264,will-duke-rodriguez-win-the-2026-new-mexico-governor-republican-primary-election,Will Duke Rodriguez win the 2026 New Mexico Governor Republican primary election?,31317702573839002987249831884538721320741670016050389364356636973937868446333,new-mexico-primary,18115.4771,Politics|Elections|Primaries|primary elections|New Mexico Primary|Governor Primary|Republican Primary,politics|elections|primaries|primary-elections|new-mexico-primary|governor-primary|republican-primary,2025-12-04T23:28:54.376082Z,2026-06-02T00:00:00Z
57120,nhl-eastern-conference-champion-198,NHL: Eastern Conference Champion,629097,will-the-ottawa-senators-win-the-eastern-conference,Will the Ottawa Senators win the Eastern Conference?,115394635451048754011327777276076337527696490170069916864086987480603951060926,hockey,77229.65916,NHL|Hockey|Sports,nhl|hockey|sports,2025-10-10T00:34:45.537444Z,2026-06-30T00:00:00Z
34584,colombia-presidential-election,Colombia Presidential Election,569364,will-juan-manuel-galn-win-the-2026-colombian-presidential-election,Will Juan Manuel Galán win the 2026 Colombian presidential election?,75712298340810272859765060308006832993211601931382911468417184675550881103879,colombia-election,133710.485,Politics|Global Elections|Elections|World|World Elections|Colombia Election|Colombia,politics|global-elections|elections|world|world-elections|colombia-election|colombia,2025-07-29T17:32:52.057619Z,2026-06-21T14:00:00Z
33509,la-liga-winner-114,LA LIGA Winner ,566230,will-villarreal-win-the-202526-la-liga,Will Villarreal win the 2025–26 La Liga?,2317130722330994677503722994963086323403276367952762140016618274858179343506,la-liga,502866.64795,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566733,will-marseille-win-the-202526-french-ligue-1,Will Marseille win the 2025–26 French Ligue 1?,49662274238485451283220527378586398370959042852997899886824914466317758572224,ligue-1,52119.49849,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
34584,colombia-presidential-election,Colombia Presidential Election,569369,will-daniel-quintero-win-the-2026-colombian-presidential-election,Will Daniel Quintero win the 2026 Colombian presidential election?,36553834009124167357981460132800746681781045509640776189348736916365216865880,colombia-election,117361.45347,Politics|Global Elections|Elections|World|World Elections|Colombia Election|Colombia,politics|global-elections|elections|world|world-elections|colombia-election|colombia,2025-07-29T17:32:52.057619Z,2026-06-21T14:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566739,will-rennes-win-the-202526-french-ligue-1,Will Rennes win the 2025–26 French Ligue 1?,19730444129256957174015889379846911816814301308831812906398054285035177752584,ligue-1,47497.49998,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
32754,nba-mvp-694,NBA MVP ,564161,will-nikola-jokic-win-the-20252026-nba-mvp,Will Nikola Jokic win the 2025–2026 NBA MVP?,73768610008619570600930429495180540710817177537162503586781057110775077618432,awards,88205.55582,Sports|NBA|mvp|Awards|Hide From New,sports|nba|mvp|awards|hide-from-new,2025-07-17T12:15:08.441241Z,2026-06-10T00:00:00Z
139020,2026-mens-french-open-winner,2026 Men's French Open Winner,1087523,will-taylor-fritz-win-the-2026-mens-french-open,Will Taylor Fritz win the 2026 Men's French Open?,103950812176015306889097643332505690876545410954871160290129574415932884036868,roland-garros,62219.23421,Sports|ATP|Tennis|Roland Garros,sports|atp|tennis|roland-garros,2026-01-02T20:34:01.489931Z,2026-06-07T00:00:00Z
33509,la-liga-winner-114,LA LIGA Winner ,566227,will-real-madrid-win-the-202526-la-liga,Will Real Madrid win the 2025–26 La Liga?,88657857917663921842097927058013051966750383205171131721194307619909198186324,la-liga,42160.74268,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
27829,2026-nhl-stanley-cup-champion,2026 NHL Stanley Cup Champion ,553850,will-the-boston-bruins-win-the-2026-nhl-stanley-cup,Will the Boston Bruins win the 2026 NHL Stanley Cup?,96156230578747105661476819749931380321917772151891667564189808442987244872145,stanley-cup,177696.03598,Sports|Hockey|NHL|Stanley Cup,sports|hockey|nhl|stanley-cup,2025-06-23T16:02:40.856098Z,2026-06-30T00:00:00Z
