trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,fee_rate,dd_penalty,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
0,0.02386721018786551,0.0006100538054267421,48,256,0.009483317989650353,0.07369717003044166,0.1,8,3.8069574872250005,0.07774834307247769,0.001,0.0,6.964449108233574e-05,0.07651841976009303,-0.0037562764969223165
1,0.02249750504062726,0.0007013943747430444,48,256,0.007013027706056785,0.08571863133615991,0.1,16,18.77321866246386,0.09735085856417298,0.005,0.0,-0.00022544959419640537,0.07252343171371475,-0.0038516211798821434
2,0.022141341977049665,0.0008672532029809226,24,512,0.015890032177030566,0.06266920653300734,0.1,8,20.122539899027238,0.0680995976395198,0.005,0.0,-0.00013257621422795018,0.04973365799969791,-0.002619259114212846
4,0.025403020472792106,0.0008352527197526529,24,256,0.04909390285611153,0.08478154996410012,0.1,8,7.450874351419637,0.06310719471424818,0.005,0.0,-9.52270630288795e-05,0.044689883492129254,-0.0023297212376353423
5,0.021633943280599307,0.0006615138036519599,48,512,0.01798275006003678,0.07135354680940509,0.1,8,49.05101867740949,0.09551835067570211,0.001,0.0,4.868539653820255e-05,0.054865432060111366,-0.002694586206467366
3,0.017472789655218205,0.0009609021863368643,24,512,0.017182504959145528,0.08250142830970561,0.1,16,6.40687981462777,0.09690640347645159,0.005,0.0,-5.026626753369786e-05,0.04350783300515651,-0.002225657917791523
7,0.03870141459110517,0.000533771724700967,96,512,0.00927062714472413,0.057396023301407695,0.1,16,4.174579077039057,0.07054013840854167,0.001,0.0,2.839552168462295e-05,0.09449025542318673,-0.004696117249474714
8,0.0493281918674156,0.0009954124197137937,24,256,0.02357455906458199,0.050230507878586655,0.1,8,2.8772339582567987,0.06928353138267994,0.0,0.0,0.00013441118098688265,0.10027147942680324,-0.00487916279035328
6,0.01437352970492222,0.0008472055285034528,24,256,0.026606153463944793,0.09894888191483915,0.1,16,17.477004604927476,0.08809044267982245,0.001,0.0,0.00012284383713995076,0.03853597231096726,-0.0018039547784084124
9,0.011281465038651566,0.0005521967223794366,48,512,0.04374818950891495,0.09344366579316557,0.1,16,11.346706404771437,0.09185162704437971,0.005,0.0,3.45939453295857e-05,0.026851848230328424,-0.0013079984661868355
13,0.016370811284776736,0.0005044069545498084,96,256,0.034450943442061545,0.056055197166278964,0.1,8,9.301751866185992,0.08524959903210402,0.005,0.0,-3.879365739786472e-05,0.03719435961949457,-0.0018985116383725934
12,0.027442937328406317,0.0009018907438023203,96,512,0.004526947438716888,0.08754954882897437,0.1,8,39.31006451106127,0.07268273957073688,0.01,0.0,-0.0006502875996231872,0.07661447287619956,-0.004481011243433165
11,0.03319071723989885,0.0006413111865253111,96,512,0.033710323041304946,0.07947150329127908,0.1,16,5.39712200635195,0.07687257494777441,0.001,0.0,8.736642469853534e-05,0.05875353639776072,-0.002850310395189501
10,0.01655136724911286,0.0007091191175003413,24,256,0.0023123220540583133,0.06438348693773151,0.1,16,30.266188211804447,0.08426731400191784,0.0,0.0,0.0001437057823946035,0.08526874152880659,-0.004119731294045727
17,0.012855464123785127,0.0005961383474798701,96,256,0.010068092495203018,0.08363825399428607,0.1,8,2.393843157879663,0.08141601987183095,0.01,0.0,-0.00025524912828955507,0.03924876119832244,-0.0022176871882056775
16,0.035384200016284284,0.0007588296157608832,48,256,0.029054613830521703,0.07255406305193901,0.1,16,13.636614641887125,0.07900609534233809,0.001,0.0,7.310782161094246e-05,0.07132375437699648,-0.0034930798972388818
15,0.0418228597260599,0.0007004096904284921,24,512,0.038091187272220856,0.06709762737154962,0.1,8,22.013853110006664,0.06027176644653082,0.001,0.0,6.113844757558507e-05,0.06019373432770652,-0.002948548268809741
14,0.010880635496042972,0.0007850398804995115,24,512,0.019586862390860917,0.07671692688018084,0.1,16,3.3126095294547673,0.09766530267894269,0.005,0.0,-3.972127004540605e-06,0.031438848030214725,-0.001575914528515277
18,0.018869704963731394,0.0009303218314487821,96,256,0.04524468565359712,0.06170699303038418,0.1,16,6.385963533853269,0.09398812379688025,0.0,0.0,0.0001395985719577801,0.03975397665033437,-0.0018481002605589387
21,0.020075036268461317,0.0005784175465202262,96,256,0.00512119447812438,0.0811015147715807,0.1,8,14.99338095878496,0.07832117840647698,0.001,0.0,9.280656735428025e-05,0.08522098574065866,-0.004168242719678653
20,0.022385797871676476,0.0009554950920606435,96,256,0.037004442093893884,0.06259554158896208,0.1,8,3.985584983914767,0.08092955786734819,0.0,0.0,0.00017388071160845023,0.04675788514087651,-0.0021640135454353755
19,0.023818064584244986,0.0005941150898588056,48,512,0.012677838420495392,0.09466614075936378,0.1,8,25.582095672596445,0.06643902711570263,0.001,0.0,4.528178930326064e-05,0.0688534857262893,-0.0033973924970112043
23,0.03410579868656065,0.0006118501671593162,48,512,0.02057883837260306,0.09213254568167031,0.1,8,7.102390284258562,0.0933428031206131,0.01,0.0,-0.0004561458413975172,0.06142607355368006,-0.00352744951908152
24,0.043471916653054096,0.0007984738904798607,24,512,0.012226532306522132,0.0975156914908439,0.1,16,4.6229822071066415,0.08710574254393577,0.01,0.0,-0.0006719504497304017,0.08061765333117801,-0.004702833116289302
25,0.01046891949640861,0.0006882223770469575,24,256,0.030047257570549848,0.058599563548341393,0.1,16,28.849825481115765,0.07465430159121753,0.001,0.0,0.00011639592950900565,0.028531618547980083,-0.0013101849978899985
26,0.015359122370334502,0.0008867911066491651,48,256,0.015232004458084702,0.08668011613190174,0.1,16,10.83277444630083,0.06208968639373779,0.005,0.0,-6.935510574083574e-05,0.039330114342594806,-0.0020358608228705764
22,0.013338640861946792,0.000739276040079201,24,512,0.040248959325253963,0.05175143093802035,0.1,16,42.01420840111359,0.06591266307979822,0.0,0.0,0.0001215902828733994,0.027159131803816062,-0.0012363663073174038
27,0.02924770096165247,0.0005126884904101742,96,512,0.04583960007876158,0.06963884364813566,0.1,8,2.4684097405174334,0.0996753928437829,0.0,0.0,0.00018084059217220532,0.04760688720428321,-0.0021995037680419553
28,0.031193833418236422,0.0007293504409530024,96,512,0.015826146630570293,0.05979696563445032,0.1,8,18.885912435480346,0.09112993642687797,0.001,0.0,6.432647188464402e-05,0.07678310751441177,-0.0037748289038359445
29,0.017609178759844957,0.0006235706065096321,96,256,0.048103047814220194,0.09636940653435887,0.1,16,3.162571088986339,0.06867728788405657,0.0,0.0,0.00010864946355835462,0.03437082371656189,-0.00160989172226974
30,0.011705248954615185,0.0009685388899807471,48,256,0.006716008298099041,0.07395290406420828,0.1,8,8.866455635491166,0.07611266076564789,0.01,0.0,-0.00022486024030504028,0.03856166908963245,-0.0021529436947866627
34,0.02029653426443101,0.0008228739749777903,96,256,0.03155305185355246,0.08937488491646946,0.1,16,2.053659480295195,0.07243532989174127,0.01,0.0,-0.0002582851329538953,0.04061970463188557,-0.002289270364548174
33,0.013830133140957563,0.0005255021909659537,96,512,0.022978476760908962,0.06842322619631887,0.1,16,5.469837467907647,0.06484386190772057,0.01,0.0,-0.00017703525401181638,0.02943362215672474,-0.0016487163618480536
31,0.047546954577754166,0.0005675700021335952,24,512,0.026010738546028735,0.08240038817748427,0.1,16,33.671612076639526,0.08369959864765406,0.005,0.0,-0.0003392586538454227,0.09603186555016496,-0.005140851931353671
32,0.04022597422040597,0.0008610416734638806,48,512,0.04119290327653289,0.07521050637587906,0.1,16,24.385607501357327,0.09745344419032335,0.001,0.0,4.2140784590715144e-05,0.06777023351837745,-0.0033463708913281575
35,0.027074253874065007,0.0006718674184407202,24,512,0.0013207992538809778,0.054462552582845096,0.1,8,13.019244501066623,0.0898667061328888,0.001,0.0,3.399364171784137e-05,0.11522126827442122,-0.00572706977200322
36,0.026039474157139458,0.0008559429507748899,48,512,0.019233444891870025,0.06933738188818098,0.1,8,5.024370606678701,0.08283618401736022,0.01,0.0,-0.00038422606459404923,0.05182386635037261,-0.00297541938211268
37,0.02110518322251567,0.0005400074216476926,24,256,0.03851903923787177,0.08676890870556236,0.1,16,33.28350058917552,0.07540365733206272,0.005,0.0,-6.352937739126256e-05,0.042814989625434195,-0.0022042788586629724
39,0.039671506633550666,0.000654013617251842,96,512,0.03561002975329757,0.09781124214641751,0.1,16,2.821422786662281,0.09042047582566738,0.01,0.0,-0.0004352228472472109,0.06136436433185299,-0.0035034410638398604
38,0.014022039977319442,0.0008269010623357514,96,512,0.0033422555308789017,0.05850485689006746,0.1,16,11.885807417323258,0.0678146355971694,0.0,0.0,0.0001341064641040915,0.06632488239096722,-0.0031821376554442694
40,0.04568990496306737,0.0007172517327223468,96,512,0.044059992069378495,0.09067009310238064,0.1,16,4.318255550780596,0.08916884757578374,0.01,0.0,-0.00048327491512329757,0.0665139811848592,-0.0038089739743662576
43,0.03074232414507809,0.0005465595599812136,48,256,0.01049594315700233,0.06405170159414411,0.1,16,8.091436246321905,0.09659673925489187,0.001,0.0,5.1041059100717445e-05,0.08804337880973102,-0.004351127881385834
45,0.015151251639073545,0.0006923222281710196,96,512,0.008061596984043717,0.09025082630105317,0.1,8,6.35122211835647,0.06505672287195921,0.0,0.0,0.0001291832182724685,0.05025431376676474,-0.0023835324700657687
41,0.012179799864559394,0.0006477879601787423,24,512,0.01383692603558302,0.053023721044883135,0.1,16,17.35451779544733,0.07158060681074857,0.005,0.0,-1.948338532314463e-05,0.03301540540451789,-0.0016702536555490391
42,0.017869573621058902,0.000983918625533321,48,256,0.028701198007911446,0.07982292911037803,0.1,16,46.2414047212298,0.06414768002927303,0.01,0.0,-0.0002611935111445889,0.03729257145469042,-0.00212582208387911
44,0.02965185787454258,0.0007770257074956781,48,512,0.027740844897925856,0.05338576720096171,0.1,16,26.337917972001637,0.09264616169035436,0.001,0.0,7.423343873696113e-05,0.06068161929556059,-0.0029598475260410686
47,0.045188720619586675,0.0005101918064551021,24,256,0.017604890372604133,0.076293208822608,0.1,8,14.78562866018608,0.0800740748271346,0.005,0.0,-0.00038052084436301665,0.10098316612195864,-0.005429679150460949
48,0.03460041646752386,0.0009197739168970226,24,256,0.002715694392099977,0.0817254688590765,0.1,8,20.590206218064694,0.09881319057196379,0.005,0.0,-0.00033578081231467417,0.09523382190200111,-0.005097471907414729
46,0.010070203170590314,0.0009109991767558928,24,512,0.04949727389030159,0.06755319293588401,0.1,8,2.2674053786168895,0.07762377463281155,0.0,0.0,0.00014861887470408417,0.023327963086311652,-0.0010177792796114984
49,0.013146682989067971,0.0005881745614319228,24,256,0.03333246167749167,0.07445024903863669,0.1,8,3.637153719302681,0.061379470601677893,0.01,0.0,-0.00014820210735351738,0.02677267800197606,-0.0014868360074523205
50,0.019296914498937664,0.0007676945100817201,24,256,0.024709249194711447,0.09587835115380586,0.1,8,9.697919767253046,0.07379042264074087,0.001,0.0,8.793398385898095e-05,0.046231671782743185,-0.0022236496052781786
53,0.01859425287448324,0.0006188378135956822,24,512,0.025608464423567057,0.06526516526937486,0.1,8,10.245438890901292,0.09820645585656167,0.0,0.0,0.00015517442414512213,0.04342465028658868,-0.0020160580901843117
51,0.02329074680479981,0.0006022864594494667,24,256,0.04253916102461517,0.06047818348743022,0.1,16,38.607952866154854,0.08639750860631466,0.005,0.0,-6.42173687080473e-05,0.045929050343348564,-0.0023606698858754755
54,0.012354911417178345,0.0009457057649510613,24,256,0.017034079879522324,0.09255569451488554,0.1,16,28.73500628575306,0.08563678864389658,0.001,0.0,8.190158164945602e-05,0.04042705912616973,-0.0019394513746590306
55,0.03682142084208089,0.0005717175538791149,48,256,0.04696725946851075,0.051296053128317004,0.1,16,4.7666149843735335,0.07322313159704208,0.005,0.0,-0.00019061324875647374,0.06289204818936535,-0.0033352156582247415
52,0.02416851085291639,0.000746706616130288,24,512,0.0070949648972600705,0.07839966211467982,0.1,16,2.672471952704851,0.06065850008279085,0.001,0.0,6.660382823988909e-05,0.07152770385542044,-0.003509781364531133
57,0.010731408166432747,0.0005179951590103515,96,256,0.00018501258455216885,0.09942828887142241,0.1,8,43.867942040454075,0.09438325334340333,0.01,0.0,-0.0003338432778575562,0.04699531503682462,-0.0026836090296987877
60,0.031900281076983214,0.0009589001928854616,96,256,0.03908868110738695,0.09438185407780111,0.1,8,12.745327665200527,0.07109334841370582,0.0,0.0,0.0001275004018712541,0.057107468800536805,-0.0027278730381555863
59,0.02853265418500371,0.0006813733270445738,96,256,0.022576200962066653,0.08546771202236414,0.1,16,3.7223686650511087,0.07939954701811075,0.005,0.0,-0.00015008405428905208,0.06176631342237283,-0.0032383997254076934
56,0.04240862842453954,0.000897184066518001,24,512,0.03276098379865289,0.056703946786001325,0.1,8,6.9858632736774,0.0669910104572773,0.005,0.0,-0.00022366765086989564,0.06700286807762464,-0.0035738110547511278
58,0.01574401832252664,0.000789458402917877,24,256,0.041571861179545526,0.07086822837591172,0.1,16,16.437977133694226,0.08196998625993729,0.0,0.0,0.00014460673854192958,0.035834610442426536,-0.0016471237835793975
62,0.011445890819405032,0.0007368997084307111,96,256,0.03657778203487396,0.08353784019127489,0.1,16,6.025231118386732,0.09607110470533371,0.005,0.0,2.0942482585949585e-05,0.028849784798482384,-0.0014215467573381697
61,0.017219229566920506,0.0005611616232895212,48,512,0.021762338373810055,0.06181370574049652,0.1,16,2.147656529786244,0.08848434556275607,0.01,0.0,-0.00022835205813902303,0.03777023526085935,-0.0021168638211819905
66,0.021930113051957884,0.0008708752195964668,96,256,0.01106625241227448,0.05479453164152801,0.1,8,3.13518640850533,0.09223759952932598,0.01,0.0,-0.00039483805534759896,0.05600148594203924,-0.0031949123524495616
67,0.02505750376848411,0.0005307840914516164,48,256,0.031230758875608444,0.08902288391254842,0.1,8,19.503198880074848,0.06982514053583146,0.0,0.0,0.0001320980404258655,0.05257027395008728,-0.0024964156570784985
64,0.037229986303980896,0.0008133423717733035,24,512,0.014805346075445414,0.06563020078465343,0.1,8,36.6273092569062,0.07726053047925234,0.01,0.0,-0.0006333211779496755,0.07598920736289899,-0.004432781546094625
63,0.04862431202776107,0.0006308786885069839,24,512,0.005475803883746267,0.07284463969990612,0.1,16,22.73922918784328,0.06350185874849558,0.001,0.0,1.0780508803782869e-05,0.10112071614741104,-0.00504525529856677
65,0.014943064827683119,0.0006649839356371464,24,512,0.04619420818053186,0.07798350984230638,0.1,16,8.372613681522946,0.08480724528431893,0.001,0.0,0.00011697703567206399,0.03165144296396083,-0.0014655951125259776
70,0.01463395201438059,0.0007221846847514157,96,256,0.012950377352535725,0.07317189420573414,0.1,8,2.7470712145192393,0.09420454796403646,0.005,0.0,-4.5680609443192347e-05,0.04527932070353221,-0.0023096466446198027
69,0.022305660336815115,0.0005488300883976894,24,256,0.029374121408909562,0.09402551474049688,0.1,16,5.144291363925392,0.08163978256285191,0.005,0.0,-9.870298049558288e-05,0.04804158036244775,-0.0025007819986179705
71,0.037535832491697986,0.0006434729137922051,48,512,0.044726814189925794,0.08318140408955516,0.1,8,12.207528233367645,0.06661814890801906,0.005,0.0,-0.0001518781201573593,0.05573575456113598,-0.0029386658482141587
