event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
33659,serie-a-league-winner,Serie A League Winner ,566514,will-ac-milan-win-the-202526-serie-a-league,Will AC Milan win the 2025–26 Serie A league?,11843131838379676792721059608342146205696413823676149302931627463939711085828,serie-a,38077.91118,Sports|Soccer|Serie A,sports|soccer|serie-a,2025-07-28T16:59:51.350736Z,2026-05-28T00:00:00Z
96048,rhode-island-republican-senate-primary-winner,Rhode Island Republican Senate Primary Winner,801910,will-allen-waters-be-the-republican-nominee-for-senate-in-rhode-island,Will Allen Waters be the Republican nominee for Senate in Rhode Island?,76953082602184447446392227868698611312931515419726728725776351799308439033216,rhode-island-primary,22753.01504,Elections|Politics|Primaries|primary elections|Senate Primary|Rhode Island Primary|Republican Primary,elections|politics|primaries|primary-elections|senate-primary|rhode-island-primary|republican-primary,2025-12-03T00:18:55.488167Z,2026-09-08T00:00:00Z
28999,megaeth-market-cap-fdv-one-day-after-launch,MegaETH market cap (FDV) one day after launch? (if by June 30),666614,megaeth-market-cap-fdv-2b-one-day-after-launch-392-656-565-965-418-578-388,MegaETH market cap (FDV) >$3B one day after launch?,92206458231325096769152348269441704588222763710040504959674288895806154976594,airdrops,78311.43412,Airdrops|Featured|Crypto|MegaETH|Pre-Market|fdv,airdrops|featured|crypto|megaeth|pre-market|fdv,2025-06-26T19:50:27.580851Z,2026-07-01T04:00:00Z
84921,usdai-fdv-above-one-day-after-launch,USD.AI FDV above ___ one day after launch?,690626,usdai-fdv-above-2b-one-day-after-launch-781-438-328-773-699-574-523-191,USD.AI FDV above $2B one day after launch?,98810428566585620214182469727337381592083535564740818468562839338072997379864,usdptai,76894.64053,Pre-Market|USD.AI|Crypto|fdv,pre-market|usdptai|crypto|fdv,2025-11-18T23:47:05.102781Z,2027-01-01T05:00:00Z
27830,2026-nba-champion,2026 NBA Champion,553879,will-the-portland-trail-blazers-win-the-2026-nba-finals,Will the Portland Trail Blazers win the 2026 NBA Finals?,82402823484466457361170410951601106261368113664328436062375970009969959380598,nba-champion,1455814.96087,Sports|NBA|NBA Finals|Basketball|NBA Champion,sports|nba|nba-finals|basketball|nba-champion,2025-06-23T16:04:37.82012Z,2026-07-01T00:00:00Z
116322,nfl-draft-2026-2nd-overall-pick-792,2026 Pro Football Draft: 2nd Overall Pick ,991897,will-dante-moore-be-the-second-pick-in-the-2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft-top-10,85512.40273,"NCAA Football|NFL|CFB|Sports|NFL Draft|2026 Pro Football Draft|rewards 200, 4.5, 20|Pro Football Draft Top 10",ncaa-football|nfl|cfb|sports|nfl-draft|2026-nfl-draft|rewards-200-4pt5-20|2026-NFL-Draft-Top-10,2025-12-22T19:01:55.810907Z,2026-04-23T00:00:00Z
57123,nhl-western-conference-champion-865,NHL: Western Conference Champion,629120,will-the-los-angeles-kings-win-the-western-conference-195,Will the Los Angeles Kings win the Western Conference?,59261866601270864198456845856841875150453626184437295894384368539724334278520,hockey,48757.26589,NHL|Sports|Hockey,nhl|sports|hockey,2025-10-10T00:34:37.44242Z,2026-06-30T00:00:00Z
32756,nba-western-conference-champion-933,NBA Western Conference Champion ,564222,will-the-phoenix-suns-win-the-nba-western-conference-finals,Will the Phoenix Suns win the NBA Western Conference Finals?,24315108267836543154857233535536136482524552716493402526894829400485516895736,nba,166491.77088,Sports|NBA|Hide From New,sports|nba|hide-from-new,2025-07-17T12:25:28.645689Z,2026-06-16T00:00:00Z
27829,2026-nhl-stanley-cup-champion,2026 NHL Stanley Cup Champion ,553850,will-the-boston-bruins-win-the-2026-nhl-stanley-cup,Will the Boston Bruins win the 2026 NHL Stanley Cup?,96156230578747105661476819749931380321917772151891667564189808442987244872145,stanley-cup,193494.83591,Sports|Hockey|NHL|Stanley Cup,sports|hockey|nhl|stanley-cup,2025-06-23T16:02:40.856098Z,2026-06-30T00:00:00Z
97450,new-mexico-governor-republican-primary-winner,New Mexico Governor Republican Primary Winner,824260,will-greg-hull-win-the-2026-new-mexico-governor-republican-primary-election,Will Greg Hull win the 2026 New Mexico Governor Republican primary election?,50252300898375978140712321807178556639478099096013757990329224333771594910605,new-mexico-primary,18222.154,Politics|Elections|Primaries|primary elections|New Mexico Primary|Governor Primary|Republican Primary,politics|elections|primaries|primary-elections|new-mexico-primary|governor-primary|republican-primary,2025-12-04T23:28:54.376082Z,2026-06-02T00:00:00Z
101714,gensyn-fdv-above-one-day-after-launch,Gensyn FDV above ___ one day after launch?,1022527,gensyn-fdv-above-400m-one-day-after-launch-356-264,Gensyn FDV above $400M one day after launch?,5906729942132388187374842778427213872782907171873674796265663843960406830445,gensyn,19897.3351,Crypto|Pre-Market|Gensyn|fdv,crypto|pre-market|gensyn|fdv,2025-12-10T15:30:38.962776Z,2027-01-01T05:00:00Z
33509,la-liga-winner-114,LA LIGA Winner ,566230,will-villarreal-win-the-202526-la-liga,Will Villarreal win the 2025–26 La Liga?,2317130722330994677503722994963086323403276367952762140016618274858179343506,la-liga,502616.1529,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566733,will-marseille-win-the-202526-french-ligue-1,Will Marseille win the 2025–26 French Ligue 1?,49662274238485451283220527378586398370959042852997899886824914466317758572224,ligue-1,85387.93197,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
32756,nba-western-conference-champion-933,NBA Western Conference Champion ,564223,will-the-portland-trail-blazers-win-the-nba-western-conference-finals,Will the Portland Trail Blazers win the NBA Western Conference Finals?,77648433824716730185008177852682080573261442860361580435966309914289533557558,nba,156051.11517,Sports|NBA|Hide From New,sports|nba|hide-from-new,2025-07-17T12:25:28.645689Z,2026-06-16T00:00:00Z
89386,who-will-place-first-in-the-primary-for-nancy-pelosis-congressional-seat-ca-11,Who will place first in the primary for Nancy Pelosi’s congressional seat (CA-11)?,700769,will-connie-chan-receive-the-most-votes-in-the-ca-11-primary,Will Connie Chan receive the most votes in the CA-11 primary?,7345183309756257693783741573478340128830660331823026035095352170224920670792,primaries,31520.8615,Elections|Trump|Politics|Primaries,elections|trump|politics|primaries,2025-11-24T20:37:21.005356Z,2026-06-02T00:00:00Z
121619,2026-ipl-champion,2026 IPL Champion,1012311,will-chennai-super-kings-win-the-2026-indian-premier-league,Will Chennai Super Kings win the 2026 Indian Premier League?,112756092474812837006608949040243623978128713942944679964506537771973932337876,indian-premier-league,26147.04526,India|Cricket|Sports|IPL|T20|Indian Premier League,india|cricket|sports|ipl|t20|indian-premier-league,2025-12-25T18:44:31.750062Z,2026-05-31T00:00:00Z
139020,2026-mens-french-open-winner,2026 Men's French Open Winner,1087523,will-taylor-fritz-win-the-2026-mens-french-open,Will Taylor Fritz win the 2026 Men's French Open?,103950812176015306889097643332505690876545410954871160290129574415932884036868,roland-garros,63950.49159,Sports|ATP|Tennis|Roland Garros,sports|atp|tennis|roland-garros,2026-01-02T20:34:01.489931Z,2026-06-07T00:00:00Z
84575,epstein-client-list-released-in-2025-372,Epstein client list released by...?,996893,epstein-client-list-released-by-june-30,Epstein client list released by June 30?,108548893345759572446077602443398325305734327289834850738242401844282632332811,epstein,82106.2611,Politics|Epstein|Trump,politics|epstein|trump,2025-11-19T02:12:37.487517Z,2026-06-30T00:00:00Z
139020,2026-mens-french-open-winner,2026 Men's French Open Winner,1087518,will-jack-draper-win-the-2026-mens-french-open,Will Jack Draper win the 2026 Men's French Open?,104812555872482040859204311862207595317318459151981099582262357665296846969541,roland-garros,65330.76379,Sports|ATP|Tennis|Roland Garros,sports|atp|tennis|roland-garros,2026-01-02T20:34:01.489931Z,2026-06-07T00:00:00Z
101773,south-dakota-governor-republican-primary-winner,South Dakota Governor Republican Primary Winner,906979,will-dusty-johnson-win-the-2026-south-dakota-governor-republican-primary-election,Will Dusty Johnson win the 2026 South Dakota Governor Republican primary election?,65396033350506725313266693161572493847482432654933099338943748693899562511370,south-dakota-primary,24922.4892,Politics|Primaries|primary elections|Governor Primary|Republican Primary|South Dakota Primary,politics|primaries|primary-elections|governor-primary|republican-primary|south-dakota-primary,2025-12-11T04:59:24.819518Z,2026-06-02T00:00:00Z
