event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
27830,2026-nba-champion,2026 NBA Champion,553879,will-the-portland-trail-blazers-win-the-2026-nba-finals,Will the Portland Trail Blazers win the 2026 NBA Finals?,82402823484466457361170410951601106261368113664328436062375970009969959380598,nba-champion,1425141.93683,Sports|NBA|NBA Finals|Basketball|NBA Champion,sports|nba|nba-finals|basketball|nba-champion,2025-06-23T16:04:37.82012Z,2026-07-01T00:00:00Z
33659,serie-a-league-winner,Serie A League Winner ,566514,will-ac-milan-win-the-202526-serie-a-league,Will AC Milan win the 2025–26 Serie A league?,11843131838379676792721059608342146205696413823676149302931627463939711085828,serie-a,37504.10776,Sports|Soccer|Serie A,sports|soccer|serie-a,2025-07-28T16:59:51.350736Z,2026-05-28T00:00:00Z
33509,la-liga-winner-114,LA LIGA Winner ,566227,will-real-madrid-win-the-202526-la-liga,Will Real Madrid win the 2025–26 La Liga?,88657857917663921842097927058013051966750383205171131721194307619909198186324,la-liga,51820.75849,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
32756,nba-western-conference-champion-933,NBA Western Conference Champion ,564222,will-the-phoenix-suns-win-the-nba-western-conference-finals,Will the Phoenix Suns win the NBA Western Conference Finals?,24315108267836543154857233535536136482524552716493402526894829400485516895736,nba,157604.3593,Sports|NBA|Hide From New,sports|nba|hide-from-new,2025-07-17T12:25:28.645689Z,2026-06-16T00:00:00Z
33509,la-liga-winner-114,LA LIGA Winner ,566230,will-villarreal-win-the-202526-la-liga,Will Villarreal win the 2025–26 La Liga?,2317130722330994677503722994963086323403276367952762140016618274858179343506,la-liga,502359.24625,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
116322,nfl-draft-2026-2nd-overall-pick-792,2026 Pro Football Draft: 2nd Overall Pick ,991897,will-dante-moore-be-the-second-pick-in-the-2026-nfl-draft,Will Dante Moore be the second pick in the 2026 NFL draft?,103367863677987537227281870345670478293273189433945337168589532296599991222509,2026-nfl-draft-top-10,85273.009,"NCAA Football|NFL|CFB|Sports|NFL Draft|2026 Pro Football Draft|rewards 200, 4.5, 20|Pro Football Draft Top 10",ncaa-football|nfl|cfb|sports|nfl-draft|2026-nfl-draft|rewards-200-4pt5-20|2026-NFL-Draft-Top-10,2025-12-22T19:01:55.810907Z,2026-04-23T00:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566733,will-marseille-win-the-202526-french-ligue-1,Will Marseille win the 2025–26 French Ligue 1?,49662274238485451283220527378586398370959042852997899886824914466317758572224,ligue-1,52416.45288,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566734,will-lille-win-the-202526-french-ligue-1,Will Lille win the 2025–26 French Ligue 1?,26668255869873077025720494041889656793382388875468342258896016287453939013252,ligue-1,48020.51205,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
97450,new-mexico-governor-republican-primary-winner,New Mexico Governor Republican Primary Winner,824264,will-duke-rodriguez-win-the-2026-new-mexico-governor-republican-primary-election,Will Duke Rodriguez win the 2026 New Mexico Governor Republican primary election?,31317702573839002987249831884538721320741670016050389364356636973937868446333,new-mexico-primary,18351.2245,Politics|Elections|Primaries|primary elections|New Mexico Primary|Governor Primary|Republican Primary,politics|elections|primaries|primary-elections|new-mexico-primary|governor-primary|republican-primary,2025-12-04T23:28:54.376082Z,2026-06-02T00:00:00Z
89386,who-will-place-first-in-the-primary-for-nancy-pelosis-congressional-seat-ca-11,Who will place first in the primary for Nancy Pelosi’s congressional seat (CA-11)?,700769,will-connie-chan-receive-the-most-votes-in-the-ca-11-primary,Will Connie Chan receive the most votes in the CA-11 primary?,7345183309756257693783741573478340128830660331823026035095352170224920670792,primaries,30954.97035,Elections|Trump|Politics|Primaries,elections|trump|politics|primaries,2025-11-24T20:37:21.005356Z,2026-06-02T00:00:00Z
84575,epstein-client-list-released-in-2025-372,Epstein client list released by...?,996893,epstein-client-list-released-by-june-30,Epstein client list released by June 30?,108548893345759572446077602443398325305734327289834850738242401844282632332811,epstein,85777.57674,Politics|Epstein|Trump,politics|epstein|trump,2025-11-19T02:12:37.487517Z,2026-06-30T00:00:00Z
57120,nhl-eastern-conference-champion-198,NHL: Eastern Conference Champion,629097,will-the-ottawa-senators-win-the-eastern-conference,Will the Ottawa Senators win the Eastern Conference?,115394635451048754011327777276076337527696490170069916864086987480603951060926,hockey,47260.34126,NHL|Hockey|Sports,nhl|hockey|sports,2025-10-10T00:34:45.537444Z,2026-06-30T00:00:00Z
139020,2026-mens-french-open-winner,2026 Men's French Open Winner,1087523,will-taylor-fritz-win-the-2026-mens-french-open,Will Taylor Fritz win the 2026 Men's French Open?,103950812176015306889097643332505690876545410954871160290129574415932884036868,roland-garros,64943.4518,Sports|ATP|Tennis|Roland Garros,sports|atp|tennis|roland-garros,2026-01-02T20:34:01.489931Z,2026-06-07T00:00:00Z
36308,claude-5-released-by,Claude 5 released by…?,1748641,will-claude-5-be-released-by-may-31-2026,"Will Claude 5 be released by May 31, 2026?",37486578038105453175288714027461169500971706842986129918617327827942330885334,claude-5,42763.5209,AI|Tech|Claude 5,ai|tech|claude-5,2025-08-07T20:45:08.401678Z,2026-04-30T00:00:00Z
86357,lol-lck-2026-season-winner,LCK 2026 Season Winner,693573,will-brion-win-the-lck-2026-season-playoffs,Will BRION win the LCK 2026 season playoffs?,38980554868563368105197970502286544690071489173012608306074305645705239965852,league-of-legends,17085.69984,lol|Esports|league of legends,lol|esports|league-of-legends,2025-11-20T23:26:22.275745Z,2026-12-31T00:00:00Z
63296,nba-2025-26-coach-of-the-year,NBA Coach of the Year Winner,643794,nba-2025-26-coach-of-the-year-jb-bickerstaff,Will JB Bickerstaff win the 2025–2026 NBA Coach of the Year?,19063193541024384703688685779087142926481547676681055667364352656903314720497,basketball,32906.49858,NBA|Basketball|Sports|Hide From New,nba|basketball|sports|hide-from-new,2025-10-22T07:27:42.010849Z,2026-06-30T00:00:00Z
101773,south-dakota-governor-republican-primary-winner,South Dakota Governor Republican Primary Winner,906979,will-dusty-johnson-win-the-2026-south-dakota-governor-republican-primary-election,Will Dusty Johnson win the 2026 South Dakota Governor Republican primary election?,65396033350506725313266693161572493847482432654933099338943748693899562511370,south-dakota-primary,31086.2967,Politics|Primaries|primary elections|Governor Primary|Republican Primary|South Dakota Primary,politics|primaries|primary-elections|governor-primary|republican-primary|south-dakota-primary,2025-12-11T04:59:24.819518Z,2026-06-02T00:00:00Z
28999,megaeth-market-cap-fdv-one-day-after-launch,MegaETH market cap (FDV) one day after launch? (if by June 30),666614,megaeth-market-cap-fdv-2b-one-day-after-launch-392-656-565-965-418-578-388,MegaETH market cap (FDV) >$3B one day after launch?,92206458231325096769152348269441704588222763710040504959674288895806154976594,airdrops,63293.33836,Airdrops|Featured|Crypto|MegaETH|Pre-Market|fdv,airdrops|featured|crypto|megaeth|pre-market|fdv,2025-06-26T19:50:27.580851Z,2026-07-01T04:00:00Z
139020,2026-mens-french-open-winner,2026 Men's French Open Winner,1087518,will-jack-draper-win-the-2026-mens-french-open,Will Jack Draper win the 2026 Men's French Open?,104812555872482040859204311862207595317318459151981099582262357665296846969541,roland-garros,63658.43476,Sports|ATP|Tennis|Roland Garros,sports|atp|tennis|roland-garros,2026-01-02T20:34:01.489931Z,2026-06-07T00:00:00Z
27830,2026-nba-champion,2026 NBA Champion,553877,will-the-phoenix-suns-win-the-2026-nba-finals,Will the Phoenix Suns win the 2026 NBA Finals?,106572879185916710503631021854572801471104977091252507745096331167318654083650,nba-champion,1506930.08375,Sports|NBA|NBA Finals|Basketball|NBA Champion,sports|nba|nba-finals|basketball|nba-champion,2025-06-23T16:04:37.82012Z,2026-07-01T00:00:00Z
