category,baseline_equal_category_weight,optimized_equity_hedge_category_weight,delta_optimized_minus_baseline,tilt_vs_baseline_ratio
databricks,0.025,0.02282620035111904,-0.00217379964888096,0.9130480140447617
economic-policy,0.025,0.02470656856894493,-0.00029343143105507036,0.9882627427577972
celebrities,0.025,0.025185108184814453,0.00018510818481445174,1.0074043273925781
extended,0.025,0.025098644196987152,9.864419698715071e-05,1.003945767879486
congress,0.025,0.025097252801060677,9.725280106067519e-05,1.003890112042427
german-elections,0.025,0.025096893310546875,9.689331054687361e-05,1.003875732421875
crypto-prices,0.025,0.02509538270533085,9.53827053308473e-05,1.003815308213234
airdrops,0.025,0.02509337291121483,9.33729112148271e-05,1.0037349164485931
fifa-world-cup,0.025,0.025091636925935745,9.163692593574385e-05,1.0036654770374298
colorado-midterm,0.025,0.02509118989109993,9.118989109992842e-05,1.0036475956439972
business,0.025,0.02508953958749771,8.95395874977098e-05,1.0035815834999084
brazil,0.025,0.025088895112276077,8.889511227607588e-05,1.003555804491043
formula1,0.025,0.025088690221309662,8.869022130966048e-05,1.0035476088523865
2026-fifa-world-cup,0.025,0.025088688358664513,8.868835866451125e-05,1.0035475343465805
arkansas-midterm,0.025,0.025088602676987648,8.860267698764662e-05,1.003544107079506
france,0.025,0.025088539347052574,8.853934705257277e-05,1.003541573882103
big-tech,0.025,0.025088386610150337,8.838661015033583e-05,1.0035354644060135
champions-league,0.025,0.025088386610150337,8.838661015033583e-05,1.0035354644060135
ethereum,0.025,0.025088384747505188,8.83847475051866e-05,1.0035353899002075
climate-science,0.025,0.02508821338415146,8.821338415145735e-05,1.0035285353660583
basketball,0.025,0.02508777566254139,8.777566254138808e-05,1.0035110265016556
democratic-primary,0.025,0.025086283683776855,8.628368377685408e-05,1.0034513473510742
gensyn,0.025,0.025084763765335083,8.476376533508162e-05,1.0033905506134033
bitcoin,0.025,0.02508467249572277,8.46724957227693e-05,1.0033868998289108
geopolitics,0.025,0.025083312764763832,8.33127647638307e-05,1.0033325105905533
elon-musk,0.025,0.025080306455492973,8.030645549297194e-05,1.003212258219719
delaware-midterm,0.025,0.025079982355237007,7.998235523700575e-05,1.0031992942094803
commodities,0.025,0.025078818202018738,7.88182020187364e-05,1.0031527280807495
felix,0.025,0.02507779933512211,7.779933512210707e-05,1.0031119734048843
awards,0.025,0.024929409846663475,-7.059015333652635e-05,0.997176393866539
2025-predictions,0.025,0.024939952418208122,-6.0047581791879134e-05,0.9975980967283249
epstein,0.025,0.025059793144464493,5.979314446449141e-05,1.0023917257785797
fdv,0.025,0.025059456005692482,5.945600569248061e-05,1.0023782402276993
anthropic,0.025,0.02495565451681614,-4.4345483183862167e-05,0.9982261806726456
best-of-2025,0.025,0.02502943016588688,2.943016588687758e-05,1.0011772066354752
bundesliga,0.025,0.025026381015777588,2.6381015777586503e-05,1.0010552406311035
colombia-election,0.025,0.024990633130073547,-9.366869926454024e-06,0.9996253252029419
gemini-3,0.025,0.024991147220134735,-8.85277986526628e-06,0.9996458888053894
california-midterm,0.025,0.025008201599121094,8.201599121092362e-06,1.0003280639648438
claude-5,0.025,0.024997176602482796,-2.8233975172056724e-06,0.9998870640993118
