category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy,formula1
2025-predictions,1.0,-1.8154684124585e-06,0.0,-4.650226986936488e-06,-2.7080135113129064e-06,0.0007972721826505108,-5.19117807011557e-06,-4.816559324137049e-06,-0.001159509694420048,-6.838930740347072e-06,-4.7736508495247086e-06,0.0008592132734995853,-6.890132401874123e-06,-7.787949237438541e-07,-8.193847305415635e-07,0.001471752850548983,4.218076724951144e-06,-4.515393420744574e-06,1.859912745056449e-06,-2.0586622542975372e-06,-1.9608421482965793e-07,-5.1350003792470174e-06,-4.383420759666064e-06,-4.711865495558786e-06,-1.2426894933692825e-06,-0.001151986613866484,-0.0024175973523912373,-5.63880267534701e-06,-5.166288590192629e-07,-8.709592731057893e-07,4.19330562665252e-06,-0.026269863756389872,-4.945196038009984e-06,-4.2980252758704615e-06,-7.986109834293156e-07,-2.0926881357059458e-06,-0.01222945705510811,-3.390811211872435e-06,-2.3971357480910473e-07,-5.292993028224417e-06
2026-fifa-world-cup,-1.8154684124585e-06,1.0,0.0,-4.973302976278634e-06,-2.896153605716383e-06,7.962606133114546e-07,-5.551836806896894e-06,-5.151191305165583e-06,-2.8343114486949276e-06,-7.314067614565924e-06,-5.105301750721769e-06,-2.792535972876735e-05,-7.368826527706832e-06,-8.32901947162423e-07,-8.763117436131644e-07,-4.430951261105983e-06,4.511128938287079e-06,-4.8291018054697625e-06,1.9891307707330077e-06,-2.2016884649314026e-06,-2.0970722761581901e-07,-5.491756153203624e-06,-4.687960302061014e-06,-0.021013641383584556,-1.3290257385985195e-06,2.466801157083484e-06,-1.8656574074116747e-06,-6.030560273021232e-06,-5.525218122491827e-07,-9.314694438192921e-07,4.484636860106897e-06,-1.0057051061791121e-05,-5.288765095382933e-06,-4.596631940044405e-06,-8.540947338562603e-07,-2.23807830520248e-06,0.0006717875976827574,-3.6263888922797297e-06,-2.563677511660303e-07,-5.66072539139275e-06
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,-4.650226986936488e-06,-4.973302976278634e-06,0.0,1.0,-7.4183453499901585e-06,2.039579739997469e-06,-1.4220738388687927e-05,-1.3194505978605552e-05,-7.2599399128381515e-06,-1.8734600047088112e-05,-1.307696229509612e-05,-7.152934225650702e-05,0.008091559921114858,-2.133434592189403e-06,-2.244626505840086e-06,-1.1349648934013743e-05,1.1555019843040753e-05,0.0010024915508067922,-0.01234197112352306,-0.01643109064086299,-5.371540493477001e-07,-1.4066844949793544e-05,-1.200796409385519e-05,0.002734686343449594,-3.4042296266634513e-06,6.318581603158473e-06,-4.778783461495392e-06,-0.05426725044703757,-1.415255602664493e-06,-0.01673979575578438,1.1487161776192776e-05,-2.5760608080867998e-05,-1.354689401663141e-05,0.008468109378359344,0.0175521918613302,0.004791941627336136,-6.19797127524931e-05,-9.288804683287739e-06,0.008249822706003542,-1.4499650778854526e-05
acquisitions,-2.7080135113129064e-06,-2.896153605716383e-06,0.0,-7.4183453499901585e-06,1.0,1.1877290095361273e-06,-8.281305795523034e-06,-7.68368954150831e-06,-4.227753920510735e-06,-1.0909908311805204e-05,-7.615239144569438e-06,-4.165440221092597e-05,-1.0991588541344222e-05,-1.2423844507767822e-06,-1.3071359576084846e-06,-6.6093553601382125e-06,0.003883533683775489,-7.203250052149926e-06,2.967054103474698e-06,-3.284112281888979e-06,-0.008730562156879224,-8.191687479470944e-06,-6.992718656717485e-06,-7.516675118645365e-06,0.002962603651119902,3.67956325610655e-06,-2.7828770977680123e-06,-8.995385757229448e-06,-8.241600474000605e-07,-1.3894110312952146e-06,6.689434598344553e-06,-1.5001434325378558e-05,0.007324766110576967,-6.856490211975583e-06,-1.2739963214737471e-06,-3.338392586878756e-06,-3.609327029251552e-05,-5.409243173925678e-06,-3.8240672724363143e-07,-8.44372765646997e-06
airdrops,0.0007972721826505108,7.962606133114546e-07,0.0,2.039579739997469e-06,1.1877290095361273e-06,0.9999999999999999,-0.00028249488756019526,2.112532751971238e-06,1.16236719041096e-06,2.9995405859628583e-06,2.0937131855840646e-06,0.009166711336307743,3.0219975266240432e-06,3.4157780954422387e-07,3.5938041312176823e-07,1.817158227474093e-06,-1.8500395473446317e-06,1.980442022494695e-06,-8.157538037685773e-07,0.0017658147169768296,8.600212269721194e-08,2.252200326524206e-06,1.9225590919352006e-06,2.0666142597613988e-06,5.450409885156936e-07,-1.0116491367176905e-06,7.65116677604613e-07,2.4731669500832816e-06,0.001870910971336589,3.8200089861838125e-07,-1.8391749959224715e-06,-0.0005361203262481521,2.1689525431281923e-06,1.8851048130096426e-06,3.502690914908845e-07,9.178485987262201e-07,2.8900817931521542e-05,5.746217587987887e-05,2.0186291014786707e-05,2.3214955688482782e-06
anthropic,-5.19117807011557e-06,-5.551836806896894e-06,0.0,-1.4220738388687927e-05,-8.281305795523034e-06,-0.00028249488756019526,1.0,-0.005009468433233909,-8.1044733884508e-06,-2.091395649933659e-05,-1.4598177697720533e-05,-7.985019955690612e-05,-2.107053497081514e-05,-2.381612532057409e-06,-2.5057391661633494e-06,-0.003867486952289165,1.289919089486467e-05,-1.3808407361361466e-05,5.687750866256517e-06,-6.2955415792123625e-06,-5.996400453314285e-07,-1.570321131080777e-05,-1.3404825193667669e-05,-1.4409233511238505e-05,-3.8002364687191155e-06,7.053608854943459e-06,-5.334689247822833e-06,-0.0009758802239731774,-1.579889297618111e-06,-2.663457935458792e-06,1.2823439042430914e-05,0.004415860383590645,-1.5122775583832065e-05,-1.3143679482276337e-05,-2.4422115095857405e-06,-6.399595243540635e-06,-8.31746046043268e-05,-1.0369351712278701e-05,-7.330618580888278e-07,-1.6186364527791443e-05
awards,-4.816559324137049e-06,-5.151191305165583e-06,0.0,-1.3194505978605552e-05,-7.68368954150831e-06,2.112532751971238e-06,-0.005009468433233909,1.0,-7.519618155863228e-06,-1.9404711381675723e-05,-1.354470757035652e-05,-7.408785019802443e-05,-1.954999044676857e-05,-2.2097446654361973e-06,-2.324913763624678e-06,-1.1755610543823632e-05,1.1968327292825245e-05,-1.2811930611805144e-05,5.2772971950131785e-06,-5.841226997857953e-06,-5.563673240360495e-07,-1.4569996990351857e-05,-1.2437472747596737e-05,-1.3369398445751196e-05,-3.5259943215404026e-06,6.5445887311542674e-06,-4.949714090120131e-06,-1.5999480416988323e-05,-1.4658773836628889e-06,-2.4712508375181366e-06,1.1898042034598614e-05,-2.6682030231191285e-05,-1.40314481147267e-05,-1.219517248469503e-05,-2.2659705483285174e-06,-5.937771682004887e-06,-6.419664334751816e-05,-9.621052678302402e-06,-6.801608190011491e-07,-1.5018283699228968e-05
base,-0.001159509694420048,-2.8343114486949276e-06,0.0,-7.2599399128381515e-06,-4.227753920510735e-06,1.16236719041096e-06,-8.1044733884508e-06,-7.519618155863228e-06,1.0,-1.0676946820544206e-05,-7.452629394173342e-06,-0.00044317280581127527,-1.0756882915528224e-05,-1.215855562897829e-06,-1.2792244176338768e-06,-6.468224450787902e-06,6.58526640891143e-06,-7.049437588642764e-06,2.9036979937033106e-06,-3.213985964344207e-06,-3.06126909830532e-07,0.0014388041734235493,-6.843401712919429e-06,-7.356170025943216e-06,-1.9400883177358854e-06,0.0006374534893533116,-2.723453757061335e-06,-8.803305455490368e-06,-8.065615902735386e-07,-1.3597426549372828e-06,6.54659374073323e-06,-1.4681105646931667e-05,-7.720445946835117e-06,-6.710082181866775e-06,-1.2467924188896157e-06,-3.2671072109409563e-06,-3.532256335057718e-05,-5.293738504191355e-06,-3.74241118615635e-07,-8.263427022364411e-06
basketball,-6.838930740347072e-06,-7.314067614565924e-06,0.0,-1.8734600047088112e-05,-1.0909908311805204e-05,2.9995405859628583e-06,-2.091395649933659e-05,-1.9404711381675723e-05,-1.0676946820544206e-05,1.0,0.0017807957447680458,-0.00010519577194168356,-2.7758618059552675e-05,-3.13756972638795e-06,0.006125367359031268,-1.6691542844041968e-05,1.6993574858149633e-05,-1.8191389373153416e-05,7.493122701107374e-06,-8.293834704123056e-06,-7.89974199261095e-07,-2.0687630650523367e-05,-1.76597045695082e-05,-1.898292616316484e-05,-5.006484781580785e-06,9.292523156961123e-06,-7.027994377069576e-06,-2.2717323942216282e-05,-0.001329154516052839,-3.5088768106968226e-06,1.6893778306142993e-05,-3.788525054566078e-05,-1.9922956489398285e-05,-1.7315667549544382e-05,-3.217403668636533e-06,-8.430916459749587e-06,-9.115145647979732e-05,-1.3660729265060191e-05,-9.657459652029054e-07,-2.132414346963653e-05
