step,baseline_return,pm_return,combined_return,baseline_cumulative,pm_cumulative,combined_cumulative
0,-0.0009090909090909097,-0.0009692916138605645,-0.0009692916138605645,0.9990909090909091,0.9990307083861394,0.9990307083861394
1,0.0,0.0,0.0,0.9990909090909091,0.9990307083861394,0.9990307083861394
2,0.0,0.0,0.0,0.9990909090909091,0.9990307083861394,0.9990307083861394
3,0.0,0.0,0.0,0.9990909090909091,0.9990307083861394,0.9990307083861394
4,-0.00015723270440251588,-5.390530206122493e-05,-5.390530206122493e-05,0.9989338193253289,0.9989768553340355,0.9989768553340355
5,0.0,0.0,0.0,0.9989338193253289,0.9989768553340355,0.9989768553340355
6,3.725782414307008e-05,8.997481716061143e-06,8.997481716061143e-06,0.9989710374258998,0.9989858436100262,0.9989858436100262
7,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
8,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
9,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
10,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
11,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
12,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
13,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
14,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
15,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
16,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
17,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
18,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
19,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
20,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
21,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
22,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
23,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
24,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
25,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
26,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
27,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
28,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
29,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
30,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
31,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
32,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
33,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
34,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
35,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
36,0.0,0.0,0.0,0.9989710374258998,0.9989858436100262,0.9989858436100262
37,0.0013888888888888848,0.0032942568262418013,0.0032942568262418013,1.0003584972001025,1.0022767595446573,1.0022767595446573
38,0.0,0.0,0.0,1.0003584972001025,1.0022767595446573,1.0022767595446573
39,0.0,0.0,0.0,1.0003584972001025,1.0022767595446573,1.0022767595446573
40,0.0,0.0,0.0,1.0003584972001025,1.0022767595446573,1.0022767595446573
41,0.0,0.0,0.0,1.0003584972001025,1.0022767595446573,1.0022767595446573
42,0.0,0.0,0.0,1.0003584972001025,1.0022767595446573,1.0022767595446573
43,0.0,0.0,0.0,1.0003584972001025,1.0022767595446573,1.0022767595446573
44,0.001470588235294114,8.026261211318108e-05,8.026261211318108e-05,1.0018296126371615,1.0023572048954388,1.0023572048954388
45,0.0,0.0,0.0,1.0018296126371615,1.0023572048954388,1.0023572048954388
46,0.0,0.0,0.0,1.0018296126371615,1.0023572048954388,1.0023572048954388
47,-0.00043859649122806574,-0.0009698010981082818,-0.0009698010981082818,1.0013902136842505,1.0013851177774344,1.0013851177774344
48,0.0,0.0,0.0,1.0013902136842505,1.0013851177774344,1.0013851177774344
49,0.0,0.0,0.0,1.0013902136842505,1.0013851177774344,1.0013851177774344
50,0.0,0.0,0.0,1.0013902136842505,1.0013851177774344,1.0013851177774344
51,0.0,0.0,0.0,1.0013902136842505,1.0013851177774344,1.0013851177774344
52,0.0,0.0,0.0,1.0013902136842505,1.0013851177774344,1.0013851177774344
53,0.0,0.0,0.0,1.0013902136842505,1.0013851177774344,1.0013851177774344
54,-0.0007812500000000007,-0.0017651796806603685,-0.0017651796806603685,1.0006078775798097,0.999617493115018,0.999617493115018
55,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
56,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
57,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
58,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
59,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
60,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
61,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
62,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
63,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
64,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
65,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
66,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
67,0.0,0.0,0.0,1.0006078775798097,0.999617493115018,0.999617493115018
68,-0.000158227848101266,-4.854822778909271e-05,-4.854822778909271e-05,1.0004495535485471,0.9995689634572603,0.9995689634572603
69,0.0,0.0,0.0,1.0004495535485471,0.9995689634572603,0.9995689634572603
70,0.0,0.0,0.0,1.0004495535485471,0.9995689634572603,0.9995689634572603
71,-3.720238095238098e-05,-1.041362771675701e-05,-1.041362771675701e-05,1.0004123344431324,0.9995585543181976,0.9995585543181976
72,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
73,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
74,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
75,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
76,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
77,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
78,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
79,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
80,0.0,0.0,0.0,1.0004123344431324,0.9995585543181976,0.9995585543181976
81,0.0013888888888888902,4.182382124579619e-05,4.182382124579619e-05,1.0018017960187477,0.9996003596764982,0.9996003596764982
82,0.0,0.0,0.0,1.0018017960187477,0.9996003596764982,0.9996003596764982
83,0.0004464285714285668,0.001243427661912769,0.001243427661912769,1.002249028963399,1.000843290414578,1.000843290414578
84,0.0,0.0,0.0,1.002249028963399,1.000843290414578,1.000843290414578
85,0.0,0.0,0.0,1.002249028963399,1.000843290414578,1.000843290414578
86,0.0,0.0,0.0,1.002249028963399,1.000843290414578,1.000843290414578
87,0.0,0.0,0.0,1.002249028963399,1.000843290414578,1.000843290414578
88,-0.0004696218764079956,-0.00011762081435072089,-0.00011762081435072089,1.0017783508937892,1.0007255704117222,1.0007255704117222
89,0.0,0.0,0.0,1.0017783508937892,1.0007255704117222,1.0007255704117222
90,0.0,0.0,0.0,1.0017783508937892,1.0007255704117222,1.0007255704117222
91,0.0,0.0,0.0,1.0017783508937892,1.0007255704117222,1.0007255704117222
92,0.0,0.0,0.0,1.0017783508937892,1.0007255704117222,1.0007255704117222
93,-0.002192982456140348,-0.006779721823700679,-0.006779721823700679,0.9995814685453379,0.9939409294224665,0.9939409294224665
94,0.0,0.0,0.0,0.9995814685453379,0.9939409294224665,0.9939409294224665
95,0.0,0.0,0.0,0.9995814685453379,0.9939409294224665,0.9939409294224665
96,-0.00015923566878980907,-0.00010027624903970472,-0.00010027624903970472,0.9994222995216842,0.9938412607542969,0.9938412607542969
97,0.0,0.0,0.0,0.9994222995216842,0.9938412607542969,0.9938412607542969
98,-0.00011127596439169149,-2.9865023610942113e-05,-2.9865023610942113e-05,0.9993110878414704,0.993811579661579,0.993811579661579
99,0.0005952380952380916,0.00013293905760205845,0.00013293905760205845,0.9999059158699475,0.9939436960364133,0.9939436960364133
100,0.0,0.0,0.0,0.9999059158699475,0.9939436960364133,0.9939436960364133
101,0.0,0.0,0.0,0.9999059158699475,0.9939436960364133,0.9939436960364133
102,-0.008333333333333333,-0.005556859696904818,-0.005556859696904818,0.9915733665710312,0.988420490370916,0.988420490370916
103,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
104,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
105,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
106,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
107,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
108,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
109,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
110,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
111,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
112,0.0,0.0,0.0,0.9915733665710312,0.988420490370916,0.988420490370916
113,-0.0005813953488372098,-0.0015555739749309643,-0.0015555739749309643,0.990996870427676,0.9868829291798065,0.9868829291798065
114,0.0,0.0,0.0,0.990996870427676,0.9868829291798065,0.9868829291798065
115,0.0,0.0,0.0,0.990996870427676,0.9868829291798065,0.9868829291798065
116,-0.0004385964912280706,-0.0009518529762301538,-0.0009518529762301538,0.9905622226774885,0.985943561726476,0.985943561726476
117,0.0013157894736842118,3.0926575786189054e-05,3.0926575786189054e-05,0.9918655940231167,0.9859740535847588,0.9859740535847588
