uniform_mix,entropy_lambda,concentration_penalty_lambda,max_weight,hedge_allocation,feasible,max_domain_exposure,baseline_holdout_capital_gain,pm_holdout_capital_gain,combined_holdout_capital_gain,excess_vs_baseline_pm_only,excess_vs_baseline_combined
0.0,0.0,12.0,0.14,0.0,True,0.11048398166894913,0.02846641150778062,0.19889833436911575,0.19889833436911575,0.17043192286133513,0.17043192286133513
0.0,0.0,12.0,0.14,0.15,True,0.11048398166894913,0.02846641150778062,0.19889833436911575,0.16906674986399794,0.17043192286133513,0.14060033835621732
0.0,0.0,12.0,0.14,0.3,True,0.11048398166894913,0.02846641150778062,0.19889833436911575,0.13923404783903193,0.17043192286133513,0.1107676363312513
0.0,0.0,12.0,0.14,0.45,True,0.11048398166894913,0.02846641150778062,0.19889833436911575,0.10940022844304997,0.17043192286133513,0.08093381693526935
0.0,0.0,12.0,0.22,0.0,True,0.11059428006410599,0.02846641150778062,0.19982100833889938,0.19982100833889938,0.17135459683111876,0.17135459683111876
0.0,0.0,12.0,0.22,0.15,True,0.11059428006410599,0.02846641150778062,0.19982100833889938,0.169847894465466,0.17135459683111876,0.14138148295768538
0.0,0.0,12.0,0.22,0.3,True,0.11059428006410599,0.02846641150778062,0.19982100833889938,0.1398747673999996,0.17135459683111876,0.11140835589221898
0.0,0.0,12.0,0.22,0.45,True,0.11059428006410599,0.02846641150778062,0.19982100833889938,0.10990162714251417,0.17135459683111876,0.08143521563473355
0.0,0.0,40.0,0.14,0.0,True,0.11864176392555237,0.02846641150778062,0.17548686573297956,0.17548686573297956,0.14702045422519894,0.14702045422519894
0.0,0.0,40.0,0.14,0.15,True,0.11864176392555237,0.02846641150778062,0.17548686573297956,0.1491705078993526,0.14702045422519894,0.12070409639157198
0.0,0.0,40.0,0.14,0.3,True,0.11864176392555237,0.02846641150778062,0.17548686573297956,0.12285179481578123,0.14702045422519894,0.09438538330800061
0.0,0.0,40.0,0.14,0.45,True,0.11864176392555237,0.02846641150778062,0.17548686573297956,0.09653072675040053,0.14702045422519894,0.06806431524261991
0.0,0.0,40.0,0.22,0.0,True,0.11059428006410599,0.02846641150778062,0.19982100833889938,0.19982100833889938,0.17135459683111876,0.17135459683111876
