category_a,category_b,correlation,abs_correlation
abraham-accords,congress,-0.05426725044703757,0.05426725044703757
comex-gold-futures,fdv,0.030264329374181984,0.030264329374181984
2025-predictions,democratic-primary,-0.026269863756389872,0.026269863756389872
bernie-sanders,connecticut-primary,-0.025684324238527675,0.025684324238527675
2026-fifa-world-cup,colorado-midterm,-0.021013641383584556,0.021013641383584556
abraham-accords,extended,0.0175521918613302,0.0175521918613302
abraham-accords,crypto-prices,-0.01673979575578438,0.01673979575578438
abraham-accords,champions-league,-0.01643109064086299,0.01643109064086299
colorado-midterm,fdv,-0.01433077483168704,0.01433077483168704
bernie-sanders,fifa-world-cup,-0.014201790331390891,0.014201790331390891
california-midterm,epstein,0.013305967054661019,0.013305967054661019
champions-league,congress,-0.012925972664597324,0.012925972664597324
bundesliga,colorado-midterm,0.012838917576603047,0.012838917576603047
abraham-accords,celebrities,-0.01234197112352306,0.01234197112352306
2025-predictions,felix,-0.01222945705510811,0.01222945705510811
extended,foreign-policy,-0.012157870160823004,0.012157870160823004
congress,epstein,-0.011928361189378976,0.011928361189378976
big-tech,congress,0.01166792729849148,0.01166792729849148
big-tech,colorado-midterm,0.00950794056747441,0.00950794056747441
big-tech,champions-league,-0.009249661418090903,0.009249661418090903
airdrops,best-of-2025,0.009166711336307743,0.009166711336307743
big-tech,bundesliga,0.009084815996931957,0.009084815996931957
acquisitions,claude-5,-0.008730562156879224,0.008730562156879224
connecticut-primary,fifa-world-cup,-0.008618748002829022,0.008618748002829022
abraham-accords,epstein,0.008468109378359344,0.008468109378359344
abraham-accords,foreign-policy,0.008249822706003542,0.008249822706003542
abraham-accords,big-tech,0.008091559921114858,0.008091559921114858
bundesliga,democratic-primary,-0.007884849414143769,0.007884849414143769
fdv,felix,0.0077305768279413035,0.0077305768279413035
bernie-sanders,commodities,0.007659269309140381,0.007659269309140381
bundesliga,felix,0.007520496055260431,0.007520496055260431
champions-league,fdv,0.007328201604601455,0.007328201604601455
acquisitions,economic-policy,0.007324766110576967,0.007324766110576967
champions-league,foreign-policy,0.007003511887519381,0.007003511887519381
colorado-midterm,felix,0.006745906085484195,0.006745906085484195
crypto-prices,extended,-0.0066993841685333505,0.0066993841685333505
congress,fdv,0.006485315151875905,0.006485315151875905
celebrities,congress,-0.0061923984684197665,0.0061923984684197665
basketball,brazil,0.006125367359031268,0.006125367359031268
democratic-primary,felix,0.0058875471450797676,0.0058875471450797676
brazil,economic-policy,-0.005525213947123226,0.005525213947123226
climate-science,commodities,0.0053411732764619595,0.0053411732764619595
claude-5,comex-gold-futures,-0.005216267546185126,0.005216267546185126
comex-gold-futures,crypto-prices,-0.0051615466467071994,0.0051615466467071994
claude-5,economic-policy,0.005152187735743045,0.005152187735743045
anthropic,awards,-0.005009468433233909,0.005009468433233909
colombia-election,foreign-policy,0.004906949805199518,0.004906949805199518
abraham-accords,fdv,0.004791941627336136,0.004791941627336136
champions-league,extended,-0.004474438802170652,0.004474438802170652
anthropic,democratic-primary,0.004415860383590645,0.004415860383590645
bernie-sanders,climate-science,0.004147607799312889,0.004147607799312889
bitcoin,fifa-world-cup,0.00410670091270124,0.00410670091270124
commodities,fifa-world-cup,-0.004023030288561072,0.004023030288561072
comex-silver-futures,commodities,-0.003967345842123928,0.003967345842123928
acquisitions,business,0.003883533683775489,0.003883533683775489
anthropic,bundesliga,-0.003867486952289165,0.003867486952289165
champions-league,colorado-midterm,-0.0038177246084750774,0.0038177246084750774
bernie-sanders,comex-silver-futures,0.003801282213622633,0.003801282213622633
comex-gold-futures,democratic-primary,0.003781173691704903,0.003781173691704903
big-tech,fdv,-0.0037019139278969574,0.0037019139278969574
brazil,claude-5,0.0033501676329913818,0.0033501676329913818
bernie-sanders,bitcoin,0.003341077188230202,0.003341077188230202
colorado-midterm,democratic-primary,-0.0031403785955711016,0.0031403785955711016
brazil,business,-0.0031146344311873235,0.0031146344311873235
economic-policy,foreign-policy,-0.0029905581669588065,0.0029905581669588065
acquisitions,comex-gold-futures,0.002962603651119902,0.002962603651119902
bernie-sanders,best-of-2025,-0.0029339280016548127,0.0029339280016548127
abraham-accords,colorado-midterm,0.002734686343449594,0.002734686343449594
economic-policy,fdv,0.0027150071055715716,0.0027150071055715716
bitcoin,commodities,-0.002645124909690019,0.002645124909690019
climate-science,fifa-world-cup,0.0025686235979613704,0.0025686235979613704
congress,foreign-policy,0.0024382454273249405,0.0024382454273249405
2025-predictions,commodities,-0.0024175973523912373,0.0024175973523912373
brazil,climate-science,0.0019217406862086241,0.0019217406862086241
claude-5,fdv,0.0019043812986159377,0.0019043812986159377
airdrops,connecticut-primary,0.001870910971336589,0.001870910971336589
crypto-prices,foreign-policy,0.00184183097365313,0.00184183097365313
bitcoin,climate-science,-0.001831410036533296,0.001831410036533296
colorado-midterm,congress,-0.0018030794218065252,0.0018030794218065252
basketball,bernie-sanders,0.0017807957447680458,0.0017807957447680458
airdrops,champions-league,0.0017658147169768296,0.0017658147169768296
business,climate-science,-0.0016874548640537813,0.0016874548640537813
colorado-midterm,foreign-policy,-0.0015965519171814544,0.0015965519171814544
comex-gold-futures,extended,-0.0015133785854328325,0.0015133785854328325
2025-predictions,bundesliga,0.001471752850548983,0.001471752850548983
base,climate-science,0.0014388041734235493,0.0014388041734235493
basketball,connecticut-primary,-0.001329154516052839,0.001329154516052839
fdv,foreign-policy,0.0013276938264244866,0.0013276938264244866
economic-policy,epstein,0.00131070789939683,0.00131070789939683
climate-science,comex-silver-futures,-0.0011719960988906054,0.0011719960988906054
2025-predictions,base,-0.001159509694420048,0.001159509694420048
2025-predictions,comex-silver-futures,-0.001151986613866484,0.001151986613866484
comex-silver-futures,fifa-world-cup,-0.0011008064768356215,0.0011008064768356215
bitcoin,business,-0.0010843461774599904,0.0010843461774599904
abraham-accords,california-midterm,0.0010024915508067922,0.0010024915508067922
bundesliga,fdv,-0.0009830935171497282,0.0009830935171497282
anthropic,congress,-0.0009758802239731774,0.0009758802239731774
bundesliga,congress,-0.0009304139386724683,0.0009304139386724683
2025-predictions,best-of-2025,0.0008592132734995853,0.0008592132734995853
comex-gold-futures,foreign-policy,-0.000852611396499756,0.000852611396499756
2025-predictions,airdrops,0.0007972721826505108,0.0007972721826505108
2026-fifa-world-cup,felix,0.0006717875976827574,0.0006717875976827574
claude-5,colorado-midterm,-0.0006533624775548925,0.0006533624775548925
best-of-2025,connecticut-primary,-0.0006503103549355367,0.0006503103549355367
base,comex-silver-futures,0.0006374534893533116,0.0006374534893533116
best-of-2025,fifa-world-cup,0.0006247273667000876,0.0006247273667000876
colorado-midterm,comex-gold-futures,0.000575738773955751,0.000575738773955751
democratic-primary,fdv,0.0005457964176548992,0.0005457964176548992
airdrops,democratic-primary,-0.0005361203262481521,0.0005361203262481521
colorado-midterm,economic-policy,-0.0004993994633896461,0.0004993994633896461
base,best-of-2025,-0.00044317280581127527,0.00044317280581127527
comex-gold-futures,economic-policy,0.0004295695904665072,0.0004295695904665072
bundesliga,economic-policy,-0.00039293081346491754,0.00039293081346491754
best-of-2025,felix,-0.00034801937118139533,0.00034801937118139533
brazil,comex-gold-futures,-0.0003210064803516389,0.0003210064803516389
airdrops,anthropic,-0.00028249488756019526,0.00028249488756019526
claude-5,felix,0.00025886296838198815,0.00025886296838198815
bernie-sanders,business,-0.00024228407648984704,0.00024228407648984704
comex-silver-futures,felix,0.00023879666304515334,0.00023879666304515334
congress,extended,0.00023060504452600565,0.00023060504452600565
bundesliga,comex-gold-futures,0.00022716881090460944,0.00022716881090460944
bitcoin,comex-silver-futures,-0.0001662105322069789,0.0001662105322069789
best-of-2025,democratic-primary,-0.0001446471793335825,0.0001446471793335825
claude-5,foreign-policy,-0.00013090440940029087,0.00013090440940029087
best-of-2025,big-tech,-0.00010598335095272123,0.00010598335095272123
basketball,best-of-2025,-0.00010519577194168356,0.00010519577194168356
big-tech,felix,-9.183388860253144e-05,9.183388860253144e-05
basketball,felix,-9.115145647979732e-05,9.115145647979732e-05
best-of-2025,congress,-8.673551798973773e-05,8.673551798973773e-05
anthropic,felix,-8.31746046043268e-05,8.31746046043268e-05
best-of-2025,formula1,-8.141630740622832e-05,8.141630740622832e-05
anthropic,best-of-2025,-7.985019955690612e-05,7.985019955690612e-05
best-of-2025,climate-science,-7.898607974326897e-05,7.898607974326897e-05
best-of-2025,economic-policy,-7.60665277032795e-05,7.60665277032795e-05
congress,felix,-7.51557657438632e-05,7.51557657438632e-05
awards,best-of-2025,-7.408785019802443e-05,7.408785019802443e-05
best-of-2025,colorado-midterm,-7.247745984126669e-05,7.247745984126669e-05
abraham-accords,best-of-2025,-7.152934225650702e-05,7.152934225650702e-05
felix,formula1,-7.054670415269635e-05,7.054670415269635e-05
best-of-2025,california-midterm,-6.945534536756432e-05,6.945534536756432e-05
climate-science,felix,-6.844092758993501e-05,6.844092758993501e-05
best-of-2025,colombia-election,-6.742535464468058e-05,6.742535464468058e-05
best-of-2025,epstein,-6.611180956295644e-05,6.611180956295644e-05
economic-policy,felix,-6.591115461711252e-05,6.591115461711252e-05
best-of-2025,business,6.488204867651171e-05,6.488204867651171e-05
best-of-2025,delaware-midterm,6.450102203561309e-05,6.450102203561309e-05
awards,felix,-6.419664334751816e-05,6.419664334751816e-05
best-of-2025,bundesliga,-6.372888014047908e-05,6.372888014047908e-05
bernie-sanders,felix,-6.362474547273445e-05,6.362474547273445e-05
abraham-accords,felix,-6.19797127524931e-05,6.19797127524931e-05
california-midterm,felix,-6.0182607853005744e-05,6.0182607853005744e-05
colombia-election,felix,-5.8423634011987455e-05,5.8423634011987455e-05
airdrops,fifa-world-cup,5.746217587987887e-05,5.746217587987887e-05
epstein,felix,-5.728545568845808e-05,5.728545568845808e-05
business,felix,5.6219875828616274e-05,5.6219875828616274e-05
delaware-midterm,felix,5.588971870695413e-05,5.588971870695413e-05
felix,fifa-world-cup,-4.519381645244296e-05,4.519381645244296e-05
comex-gold-futures,felix,4.3852131094495515e-05,4.3852131094495515e-05
acquisitions,best-of-2025,-4.165440221092597e-05,4.165440221092597e-05
big-tech,democratic-primary,-3.8168889589387917e-05,3.8168889589387917e-05
basketball,democratic-primary,-3.788525054566078e-05,3.788525054566078e-05
acquisitions,felix,-3.609327029251552e-05,3.609327029251552e-05
best-of-2025,comex-silver-futures,3.54791705000444e-05,3.54791705000444e-05
base,felix,-3.532256335057718e-05,3.532256335057718e-05
best-of-2025,fdv,-3.2189526729671435e-05,3.2189526729671435e-05
best-of-2025,champions-league,-3.166614390907816e-05,3.166614390907816e-05
congress,democratic-primary,-3.123696674872415e-05,3.123696674872415e-05
democratic-primary,formula1,-2.9321303961696734e-05,2.9321303961696734e-05
airdrops,felix,2.8900817931521542e-05,2.8900817931521542e-05
best-of-2025,celebrities,2.860899815904287e-05,2.860899815904287e-05
climate-science,democratic-primary,-2.8446080726059018e-05,2.8446080726059018e-05
2026-fifa-world-cup,best-of-2025,-2.792535972876735e-05,2.792535972876735e-05
basketball,big-tech,-2.7758618059552675e-05,2.7758618059552675e-05
champions-league,felix,-2.7438509030680783e-05,2.7438509030680783e-05
democratic-primary,economic-policy,-2.7394631998847684e-05,2.7394631998847684e-05
best-of-2025,commodities,-2.6833122346385317e-05,2.6833122346385317e-05
awards,democratic-primary,-2.6682030231191285e-05,2.6682030231191285e-05
bernie-sanders,democratic-primary,-2.6444332501395537e-05,2.6444332501395537e-05
abraham-accords,democratic-primary,-2.5760608080867998e-05,2.5760608080867998e-05
california-midterm,democratic-primary,-2.50136779493785e-05,2.50136779493785e-05
celebrities,felix,2.4789511997403698e-05,2.4789511997403698e-05
colombia-election,democratic-primary,-2.4282596217457863e-05,2.4282596217457863e-05
democratic-primary,epstein,-2.380953552684789e-05,2.380953552684789e-05
business,democratic-primary,2.3366648912353837e-05,2.3366648912353837e-05
commodities,felix,-2.3250727083686047e-05,2.3250727083686047e-05
delaware-midterm,democratic-primary,2.3229425814043657e-05,2.3229425814043657e-05
basketball,congress,-2.2717323942216282e-05,2.2717323942216282e-05
big-tech,formula1,-2.148379292621549e-05,2.148379292621549e-05
basketball,formula1,-2.132414346963653e-05,2.132414346963653e-05
anthropic,big-tech,-2.107053497081514e-05,2.107053497081514e-05
anthropic,basketball,-2.091395649933659e-05,2.091395649933659e-05
big-tech,climate-science,-2.0842514667131478e-05,2.0842514667131478e-05
basketball,climate-science,-2.0687630650523367e-05,2.0687630650523367e-05
airdrops,foreign-policy,2.0186291014786707e-05,2.0186291014786707e-05
big-tech,economic-policy,-2.0072115548544037e-05,2.0072115548544037e-05
basketball,economic-policy,-1.9922956489398285e-05,1.9922956489398285e-05
awards,big-tech,-1.954999044676857e-05,1.954999044676857e-05
awards,basketball,-1.9404711381675723e-05,1.9404711381675723e-05
bernie-sanders,big-tech,-1.9375828724199433e-05,1.9375828724199433e-05
best-of-2025,comex-gold-futures,-1.9114929731275234e-05,1.9114929731275234e-05
