category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy,formula1
2025-predictions,1.0,1.8394967026636912e-05,0.0,6.549345427268073e-05,1.4165180995733103e-05,1.037284374413363e-06,3.005840549011055e-05,0.0,3.413475304126014e-05,-0.0005736500617524543,3.1794933659272e-05,5.41691501212563e-05,0.005882250267533309,6.87133705143727e-06,-0.011146988945175795,4.8864211478567214e-05,-5.902227913574956e-05,3.498684905524075e-05,2.1209334757459576e-05,0.0,0.00446707399707459,-0.01598769367755724,3.3919102646998504e-05,-8.15710695807057e-06,-4.3139158174184084e-06,-3.574463246149366e-05,3.2397099769318886e-05,2.8573451713875366e-05,8.089886747947001e-06,-5.101853029123598e-06,-5.6612072332405425e-05,-3.627085376284901e-05,1.8435071600487145e-05,-4.105865535902075e-05,-1.2386021874714528e-05,1.2188729915037084e-05,0.00011618302198686134,-3.938426304535741e-06,-3.848557991328913e-06,5.363235388337598e-05
2026-fifa-world-cup,1.8394967026636912e-05,1.0,0.0,-4.01837493447722e-05,-8.691098810973596e-06,-6.364296365731275e-07,-1.8442445055489628e-05,0.0,-2.09435030628372e-05,-3.556638466431328e-05,-1.95078982897804e-05,-3.3235680952620533e-05,-4.268635572993141e-05,-4.215934077759489e-06,-3.85204539337488e-06,-2.99808163699761e-05,3.6213336078952035e-05,-2.1466309700901186e-05,-1.3013065215871437e-05,0.0,-1.824215118919703e-05,9.521024922533502e-06,-2.081118997162143e-05,5.004822925003694e-06,2.646818889408961e-06,2.1931250492200344e-05,-1.987735951760382e-05,-1.753134621369692e-05,-4.9635797182659985e-06,3.1302606587618207e-06,3.473454484507758e-05,0.08358858483374215,-1.1310905869502948e-05,2.519168875275802e-05,7.599489199640868e-06,-7.478439993373088e-06,-7.128451973536262e-05,2.416435920075277e-06,2.361296886532859e-06,-3.290632764988463e-05
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,6.549345427268073e-05,-4.01837493447722e-05,0.0,1.0,-3.094379466576925e-05,-2.2659445510454142e-06,-6.566249508189228e-05,0.0,-7.456726387002713e-05,-0.00012663058239157233,-6.945593556910274e-05,-5.352444291363149e-05,-0.00015198053266512397,-1.501041482371441e-05,-1.3714825281390526e-05,-0.00010674372088524542,0.0001289339886890665,-7.642866501273532e-05,-4.6331727065831254e-05,0.0,-6.494936865148787e-05,3.3898664210169036e-05,-7.409617624173261e-05,1.7819175261740118e-05,9.42373594095357e-06,7.808404055162057e-05,-7.077136559922942e-05,-0.06824544380518736,-1.767233291781947e-05,1.1144982375847653e-05,0.0001236688992809486,7.923356937887663e-05,-4.027135766398205e-05,0.003585302359059937,2.705722699430594e-05,-0.007041936437929685,-0.0002538014570440715,8.60348024571848e-06,0.0016691097442853777,-0.00011715971342046454
acquisitions,1.4165180995733103e-05,-8.691098810973596e-06,0.0,-3.094379466576925e-05,0.9999999999999998,-4.900873690096681e-07,-1.4201741804515756e-05,0.0,-1.6127700100803925e-05,-2.738815869603513e-05,-1.5022201981712923e-05,-2.5593382990499765e-05,0.005549788430135679,-3.2465113523209525e-06,-0.006876952014643069,-2.308695034166655e-05,2.788634843839979e-05,-1.6530291235825572e-05,0.004753486206073261,0.0,-0.030785118015272672,7.331735963281192e-06,-1.6025811422098132e-05,3.854001068966834e-06,2.0382025462241626e-06,1.6888322345721674e-05,-1.5306708344538033e-05,-1.3500143373797943e-05,-3.8222414312665906e-06,2.410480471694843e-06,2.6747594264369342e-05,1.7136946946130687e-05,-8.710047081638987e-06,1.9399047046632305e-05,5.852043106800003e-06,-5.758828266365449e-06,-5.489317391997103e-05,1.8607944294161257e-06,1.8183342070668511e-06,-2.5339762033307738e-05
airdrops,1.037284374413363e-06,-6.364296365731275e-07,0.0,-2.2659445510454142e-06,-4.900873690096681e-07,1.0,-1.0399616402864873e-06,0.0,-1.1809952385939504e-06,-2.005573318682444e-06,-1.1000420954458582e-06,-1.8741459267225576e-06,-2.4070654617190863e-06,-2.3773473124931227e-07,-2.1721520295697192e-07,-1.6906054959336233e-06,2.042054634058109e-06,-1.2104760827685932e-06,-7.338012181325988e-07,0.0,-1.0286671542728806e-06,5.368865497965443e-07,-1.1735341596023344e-06,2.82219838138194e-07,1.4925299251216344e-07,1.2366938964318767e-06,-1.1208758570942868e-06,-9.885851637335024e-07,-2.7989415123491873e-07,1.7651406846627414e-07,1.9586662247341144e-06,-0.01592934343540705,0.036492834050772006,1.4205486245501127e-06,4.2853196686319584e-07,-4.2170605355692343e-07,-0.00017594373376062037,1.36261794763613e-07,-0.017634037435354927,-1.8555738339263234e-06
anthropic,3.005840549011055e-05,-1.8442445055489628e-05,0.0,-6.566249508189228e-05,-1.4201741804515756e-05,-1.0399616402864873e-06,1.0,0.0,-3.422285598743232e-05,-5.811746280975373e-05,-3.1876997452888966e-05,-5.430896252041203e-05,-6.975189395922414e-05,-6.889072203574319e-06,-6.29445773035165e-06,-4.899033165258478e-05,5.91746176241914e-05,-0.005521749264523551,-2.126407676412392e-05,0.0,-2.980869586027476e-05,1.5557887512849386e-05,-3.400664899224523e-05,8.1781607256003e-06,4.325050179298357e-06,3.583689056061763e-05,-3.248071777392675e-05,-2.864720075419299e-05,-8.110767017851973e-06,5.115021083459669e-06,5.6758189995989036e-05,0.0017128523002402285,-1.8482653140593564e-05,4.116462913005218e-05,1.2417990613941913e-05,-1.2220189437077133e-05,-0.000556656476724837,3.948591515348483e-06,3.858491249000779e-06,-5.377078079337844e-05
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,3.413475304126014e-05,-2.09435030628372e-05,0.0,-7.456726387002713e-05,-1.6127700100803925e-05,-1.1809952385939504e-06,-3.422285598743232e-05,0.0,0.9999999999999998,-6.599901784704565e-05,-3.619997195490548e-05,-6.167403071900262e-05,-7.921124343211233e-05,-7.823328434030765e-06,-7.148075776171774e-06,-5.5634117815083565e-05,6.719953789888421e-05,-3.9834112194190006e-05,-2.414778818632096e-05,0.0,-3.385117923195419e-05,1.7667758466745548e-05,-3.861843455046275e-05,9.287235704899938e-06,-0.11324128159897752,4.069688292200994e-05,-3.688556534313267e-05,-3.253216886004074e-05,-9.210702451288797e-06,5.808690735181763e-06,0.03270532893188755,4.129600970602368e-05,-2.0989163936490625e-05,4.674713866148587e-05,1.410204686389731e-05,-1.3877421032504672e-05,-0.0001322796324292431,4.4840767179609895e-06,4.3817575732632005e-06,-6.106286389081832e-05
basketball,-0.0005736500617524543,-3.556638466431328e-05,0.0,-0.00012663058239157233,-2.738815869603513e-05,-2.005573318682444e-06,-5.811746280975373e-05,0.0,-6.599901784704565e-05,0.9999999999999999,-6.147501320684849e-05,-0.00010473521520108217,0.00017808965124047857,0.06131200736879131,-0.002386423246473726,-9.447819826197891e-05,0.00011411866520156502,-6.764653233077761e-05,0.0025043918505210116,0.0,-0.0011136179167075288,3.000349520799815e-05,-6.558206114012402e-05,0.0018501292612020195,8.340889611249168e-06,6.911169484397723e-05,-6.26392920811031e-05,-5.5246327616209585e-05,-1.564167109141956e-05,9.864354041617648e-06,0.0001094585675692006,7.01291356034826e-05,-3.564392623849839e-05,7.938627604952405e-05,2.3948182011896188e-05,-2.3566721054727686e-05,-0.00022463807874531524,-0.0038470951675211515,7.441127441233984e-06,-0.00010369732796512171
