category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy,formula1
2025-predictions,2.7733099430713883e-05,7.376962801386372e-10,0.0,3.2095600936612106e-09,4.344953797700215e-10,3.460764312927137e-11,5.250279431100318e-11,0.0,1.9860613393712717e-10,-1.578843263333261e-07,2.845399370665251e-09,8.41963688582978e-08,1.0940057976369137e-06,9.128526579767804e-11,-1.3429041789804204e-07,3.935962339684665e-11,-2.0365898196087327e-09,3.4192993321048265e-09,8.878786585743178e-10,0.0,8.374496445588211e-07,-2.4205388784317105e-07,3.688481400693239e-09,-4.4502941707081186e-11,-1.931263458833581e-10,-1.4019194951490151e-09,6.098008587459702e-10,2.287185773628618e-09,8.833409831221455e-11,-6.876903384161152e-11,-7.608183788292655e-10,-1.7278450237291659e-09,2.0923440234463222e-09,-9.066818176298416e-10,-2.940811421897666e-10,4.913638007088449e-10,5.954907851691866e-08,-2.164280638730944e-10,-9.4417794069572e-11,7.903888715771114e-10
2026-fifa-world-cup,7.376962801386372e-10,5.7990753389654656e-05,0.0,-2.847595133697152e-09,-3.854942400020898e-10,-3.0704692633200577e-11,-4.658168011273193e-11,0.0,-1.7620790513899527e-10,-1.415506493753096e-08,-2.524503410088366e-09,-7.470094444075633e-08,-1.1480092193301065e-08,-8.099037596369595e-11,-6.710563994279606e-11,-3.492075822800994e-11,1.8069090748942272e-09,-3.0336805838237742e-09,-7.877462560875695e-10,0.0,-4.945290153016084e-09,2.0844434484218107e-10,-3.272505072607696e-09,3.948402788611716e-11,1.7134611182767373e-10,1.2438150449669654e-09,-5.410292710576603e-10,-2.029243537676397e-09,-7.837203266271389e-11,6.101345991408534e-11,6.75015469397295e-10,5.758033031600305e-06,-1.8563754799148669e-09,8.044288489234597e-10,2.609155164489973e-10,-4.359492039226208e-10,-5.2833304643779264e-08,1.9201992905434657e-10,8.376962670301769e-11,-7.012510869873758e-10
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,3.2095600936612106e-09,-2.847595133697152e-09,0.0,8.659579844814585e-05,-1.6772036979967424e-09,-1.3358960701971108e-10,-2.026670129845534e-10,0.0,-7.666432321110207e-10,-6.158568610125679e-08,-1.0983579041239947e-08,-1.4700858660893344e-07,-4.994744689270553e-08,-3.523719526074284e-10,-2.919624103018377e-10,-1.5193281444762873e-10,7.861478247613142e-09,-1.3198900958163378e-08,-3.427316926411217e-09,0.0,-2.1515908855760073e-08,9.068971458405513e-10,-1.4237975668485562e-08,1.7178663313371224e-10,7.454906003087911e-10,5.411575521935906e-09,-2.353903638450007e-09,-9.652984360449123e-06,-3.409800960987238e-10,2.654566267836179e-10,2.9368491769735537e-09,6.6696867177224345e-09,-8.076696086993843e-09,1.3990240397275666e-07,1.1351880875073113e-09,-5.016328989586799e-07,-2.2986650572381322e-07,8.35437995382958e-10,7.235855963115954e-08,-3.050994786104056e-09
acquisitions,4.344953797700215e-10,-3.854942400020898e-10,0.0,-1.6772036979967424e-09,3.392560963140779e-05,-1.808474225174721e-11,-2.743612152565526e-11,0.0,-1.0378460990403613e-10,-8.337184938150973e-09,-1.4869060579930092e-09,-4.3998073594552465e-08,1.1416084599331799e-06,-4.7702482863885304e-11,-9.16321917880727e-08,-2.056796071316121e-11,1.0642505131766797e-09,-1.7868060784062644e-09,2.2009158310231116e-07,0.0,-6.383237517873963e-06,1.2277153513108563e-10,-1.9274712000103213e-09,2.325567873001023e-11,1.00921064583226e-10,7.325940293815776e-10,-3.1866057200495213e-10,-1.1952031822403828e-09,-4.6160306093366856e-11,3.593628861930594e-11,3.9757703898317157e-10,9.029112958773535e-10,-1.09338570744827e-09,4.738001635920706e-10,1.5367650543948222e-10,-2.5676951344148915e-10,-3.111826287288555e-08,1.1309772631930112e-10,4.93394324296744e-11,-4.1302954285937973e-10
airdrops,3.460764312927137e-11,-3.0704692633200577e-11,0.0,-1.3358960701971108e-10,-1.808474225174721e-11,4.013746752489824e-05,-2.185292518216857e-12,0.0,-8.266464752212683e-12,-6.64058433014815e-10,-1.1843236227051084e-10,-3.5044552836044405e-09,-5.385670829761695e-10,-3.799512216234625e-12,-3.1481357594274933e-12,-1.6382421480180112e-12,8.476776434232745e-11,-1.423194583459646e-10,-3.6955644268660663e-11,0.0,-2.319990508208351e-10,9.778777110361984e-12,-1.5352346316601313e-10,1.8523194208500963e-12,8.038382799775597e-12,5.835125966332759e-11,-2.5381377728691468e-11,-9.519817039214678e-11,-3.676677530756112e-12,2.862332512225798e-12,3.1667089967238115e-11,-9.12894652593586e-07,4.982779115710122e-06,3.773827695215646e-11,1.2240364121745198e-11,-2.04517426453696e-11,-1.0848806425629297e-07,9.00825632084878e-12,-5.204552001835881e-07,-3.289788496414985e-11
anthropic,5.250279431100318e-11,-4.658168011273193e-11,0.0,-2.026670129845534e-10,-2.743612152565526e-11,-2.185292518216857e-12,1.1001060418183666e-07,0.0,-1.2540943540812224e-11,-1.0074342014228948e-09,-1.7967215891666504e-10,-5.316562420612641e-09,-8.170529462111083e-10,-5.764189362041557e-12,-4.775994817762735e-12,-2.485355336324796e-12,1.286000459159601e-10,-3.3988112155366385e-08,-5.606491555692515e-11,0.0,-3.5196266905838975e-10,1.4835252470685207e-11,-2.329084005636569e-10,2.810129114769331e-12,1.2194923449510098e-11,8.85239186166972e-11,-3.850574999407047e-11,-1.444238759690318e-10,-5.577838497236566e-12,4.3424065192107175e-12,4.804172028609448e-11,5.1390754512803025e-09,-1.3212063366734303e-10,5.725223717398652e-11,1.8569693329750902e-11,-3.102706628708461e-11,-1.7969571203822078e-08,1.366630564662666e-11,5.961992216459685e-12,-4.990894297792607e-11
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,1.9860613393712717e-10,-1.7620790513899527e-10,0.0,-7.666432321110207e-10,-1.0378460990403613e-10,-8.266464752212683e-12,-1.2540943540812224e-11,0.0,1.220656241200914e-06,-3.810894535544822e-09,-6.796589272410486e-10,-2.0111346873055876e-08,-3.090725531820321e-09,-2.1804617820819795e-11,-1.806650253395822e-11,-9.401534171372964e-12,4.864647354236619e-10,-8.167420503193336e-10,-2.120808287329262e-10,0.0,-1.3313947554450077e-09,5.611838718013262e-11,-8.810395256949831e-10,1.0630079535244194e-11,-1.0635847872287222e-06,3.3486585748717447e-10,-1.4565849762912772e-10,-5.463226868367924e-10,-2.1099694867664232e-11,1.6426336580396272e-11,9.221210737152252e-08,4.1271721199265103e-10,-4.997823184526307e-10,2.165721964629552e-10,7.024492789418518e-11,-1.1736833750574272e-10,-1.4224035908723962e-08,5.1696527114382986e-11,2.255286104698196e-11,-1.8879418407748941e-10
basketball,-1.578843263333261e-07,-1.415506493753096e-08,0.0,-6.158568610125679e-08,-8.337184938150973e-09,-6.64058433014815e-10,-1.0074342014228948e-09,0.0,-3.810894535544822e-09,0.0027314014694223717,-5.4598096736246306e-08,-1.6155768990316631e-06,3.2870656181662044e-07,8.083483063300473e-06,-2.853175530643401e-07,-7.55240388353934e-10,3.907849602042079e-08,-6.561020489042585e-08,1.0404528814196183e-06,0.0,-2.0718834939163115e-06,4.508080463800884e-09,-7.077532468765531e-08,1.0017242775874861e-07,3.705747257682872e-09,2.690031388974211e-08,-1.1700981809057592e-08,-4.3886981704487286e-08,-1.6949724859293496e-09,1.319554084692528e-09,1.4598736428455165e-08,3.315423863636801e-08,-4.0148318923297556e-08,1.7397593497174542e-08,5.6428882409674446e-09,-9.428387663387897e-09,-1.1426397232458779e-06,-2.0980573034091903e-06,1.8117076665506081e-09,-1.516614100449778e-08
