domain,total_contribution,contribution_share_of_total_return
basketball,0.1715575014664092,1.0081626464491615
bernie-sanders,-0.048191598203042786,-0.28319932830513483
colombia-election,0.045047032336394,0.26472019554232135
airdrops,0.019478633132616316,0.11446675406400586
economic-policy,-0.01916712323869805,-0.11263615711334306
fifa-world-cup,0.01666594110781802,0.09793788758408502
california-midterm,-0.013054418563842774,-0.0767146703273462
2026-fifa-world-cup,-0.012793244421482088,-0.07517987288453082
comex-silver-futures,0.011538056010194645,0.0678037216833335
best-of-2025,-0.009812365789726437,-0.057662652917772624
comex-gold-futures,0.008927205562252544,0.05246098309958429
celebrities,0.008861506655627594,0.05207490156420593
extended,0.008573980386780937,0.05038524508374678
felix,0.008346753658766347,0.04904994060856458
congress,-0.007516744799788087,-0.0441723694112036
foreign-policy,-0.006427173449732367,-0.03776947168666173
abraham-accords,0.0055403280135251564,0.03255789869034432
business,-0.004091369379162824,-0.02404305113819509
claude-5,-0.004017482492981738,-0.023608852702839606
acquisitions,-0.004016671859312289,-0.023604088990506963
democratic-primary,-0.004008906807591575,-0.023558457438253896
bitcoin,0.0038349480005499684,0.02253618344975947
epstein,-0.002769322948528178,-0.016274006841998805
base,0.002502738046383957,0.014707412911964613
big-tech,-0.0020508016431421954,-0.012051595495504157
brazil,-0.0017781855973039915,-0.010449559374159947
commodities,0.0016845720466906935,0.009899436621595354
fdv,-0.0012155029492180208,-0.007142938429249261
connecticut-primary,-0.001119891809063038,-0.0065810767836508455
colorado-midterm,-0.0010412503815692153,-0.006118938148003743
climate-science,0.0006658331758302171,0.003912788020931136
anthropic,-0.00046498308374050143,-0.0027324866138231933
2025-predictions,0.0003420247529376669,0.00200991840709614
bundesliga,0.00013845942226244513,0.0008136608214783319
crypto-prices,0.0,0.0
delaware-midterm,0.0,0.0
champions-league,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
formula1,0.0,0.0
