category_a,category_b,correlation,abs_correlation
base,comex-gold-futures,-0.11324128159897752,0.11324128159897752
fdv,felix,0.09018306212712489,0.09018306212712489
claude-5,colombia-election,0.08495413525855748,0.08495413525855748
2026-fifa-world-cup,democratic-primary,0.08358858483374215,0.08358858483374215
crypto-prices,extended,0.07521732961342358,0.07521732961342358
comex-silver-futures,commodities,-0.07499355837471376,0.07499355837471376
business,commodities,-0.07062912995184055,0.07062912995184055
abraham-accords,congress,-0.06824544380518736,0.06824544380518736
basketball,bitcoin,0.06131200736879131,0.06131200736879131
delaware-midterm,economic-policy,0.04232323539111343,0.04232323539111343
airdrops,economic-policy,0.036492834050772006,0.036492834050772006
crypto-prices,foreign-policy,-0.03627374884408957,0.03627374884408957
brazil,celebrities,-0.03441936183326291,0.03441936183326291
base,delaware-midterm,0.03270532893188755,0.03270532893188755
acquisitions,claude-5,-0.030785118015272672,0.030785118015272672
extended,foreign-policy,0.02915005517727939,0.02915005517727939
climate-science,colorado-midterm,-0.02912302921674678,0.02912302921674678
congress,fdv,0.027640939697100523,0.027640939697100523
bundesliga,felix,-0.025752760715374797,0.025752760715374797
bundesliga,fdv,-0.020711388578577704,0.020711388578577704
democratic-primary,felix,-0.018758608030303,0.018758608030303
airdrops,foreign-policy,-0.017634037435354927,0.017634037435354927
2025-predictions,climate-science,-0.01598769367755724,0.01598769367755724
airdrops,democratic-primary,-0.01592934343540705,0.01592934343540705
business,colorado-midterm,0.014390250497055942,0.014390250497055942
bernie-sanders,connecticut-primary,-0.013961592555485104,0.013961592555485104
2025-predictions,brazil,-0.011146988945175795,0.011146988945175795
comex-gold-futures,delaware-midterm,-0.01000240472480934,0.01000240472480934
democratic-primary,fdv,0.007680581546256463,0.007680581546256463
abraham-accords,fdv,-0.007041936437929685,0.007041936437929685
acquisitions,brazil,-0.006876952014643069,0.006876952014643069
2025-predictions,big-tech,0.005882250267533309,0.005882250267533309
brazil,claude-5,-0.005702066884007226,0.005702066884007226
bitcoin,comex-silver-futures,0.0056790870630561065,0.0056790870630561065
acquisitions,big-tech,0.005549788430135679,0.005549788430135679
anthropic,california-midterm,-0.005521749264523551,0.005521749264523551
acquisitions,celebrities,0.004753486206073261,0.004753486206073261
claude-5,fdv,-0.0047272714937293585,0.0047272714937293585
2025-predictions,claude-5,0.00446707399707459,0.00446707399707459
basketball,fifa-world-cup,-0.0038470951675211515,0.0038470951675211515
abraham-accords,epstein,0.003585302359059937,0.003585302359059937
big-tech,brazil,-0.003173941103671668,0.003173941103671668
epstein,fdv,0.0031204263304631333,0.0031204263304631333
best-of-2025,crypto-prices,0.002869549514368791,0.002869549514368791
celebrities,fifa-world-cup,0.002860443219719559,0.002860443219719559
bernie-sanders,comex-silver-futures,0.002645019177864994,0.002645019177864994
bernie-sanders,bitcoin,0.0025945788869412463,0.0025945788869412463
basketball,celebrities,0.0025043918505210116,0.0025043918505210116
bernie-sanders,commodities,0.00243849056237339,0.00243849056237339
basketball,brazil,-0.002386423246473726,0.002386423246473726
congress,epstein,0.0022128674054072116,0.0022128674054072116
bundesliga,democratic-primary,-0.0018804999555091812,0.0018804999555091812
basketball,colorado-midterm,0.0018501292612020195,0.0018501292612020195
best-of-2025,foreign-policy,0.001836921976264214,0.001836921976264214
celebrities,foreign-policy,0.0017934562076303217,0.0017934562076303217
anthropic,democratic-primary,0.0017128523002402285,0.0017128523002402285
abraham-accords,foreign-policy,0.0016691097442853777,0.0016691097442853777
business,comex-silver-futures,-0.001333852545835282,0.001333852545835282
basketball,claude-5,-0.0011136179167075288,0.0011136179167075288
fdv,foreign-policy,-0.0008476549167426233,0.0008476549167426233
2025-predictions,basketball,-0.0005736500617524543,0.0005736500617524543
anthropic,felix,-0.000556656476724837,0.000556656476724837
epstein,extended,0.0005564628322708958,0.0005564628322708958
bernie-sanders,business,0.0005308833100556522,0.0005308833100556522
claude-5,felix,-0.0004711135450140317,0.0004711135450140317
democratic-primary,economic-policy,0.0004189909105545145,0.0004189909105545145
epstein,foreign-policy,-0.0002709668834739016,0.0002709668834739016
big-tech,felix,-0.00026960797478614877,0.00026960797478614877
best-of-2025,extended,0.0002624212206304644,0.0002624212206304644
abraham-accords,felix,-0.0002538014570440715,0.0002538014570440715
business,felix,0.00022872423830855808,0.00022872423830855808
basketball,felix,-0.00022463807874531524,0.00022463807874531524
delaware-midterm,felix,0.00021938415989523715,0.00021938415989523715
best-of-2025,fdv,-0.0002141666005655979,0.0002141666005655979
best-of-2025,felix,-0.00020991730212264792,0.00020991730212264792
felix,formula1,-0.00020783709931729763,0.00020783709931729763
basketball,big-tech,0.00017808965124047857,0.00017808965124047857
airdrops,felix,-0.00017594373376062037,0.00017594373376062037
epstein,felix,0.0001591112679902874,0.0001591112679902874
abraham-accords,big-tech,-0.00015198053266512397,0.00015198053266512397
comex-silver-futures,felix,0.00013851826722194782,0.00013851826722194782
big-tech,business,0.00013696387710462475,0.00013696387710462475
california-midterm,felix,-0.00013558169081494349,0.00013558169081494349
base,felix,-0.0001322796324292431,0.0001322796324292431
colombia-election,felix,-0.00013144393999426485,0.00013144393999426485
big-tech,delaware-midterm,0.00013137088284477112,0.00013137088284477112
abraham-accords,business,0.0001289339886890665,0.0001289339886890665
abraham-accords,basketball,-0.00012663058239157233,0.00012663058239157233
best-of-2025,big-tech,-0.00012570197099650717,0.00012570197099650717
commodities,felix,-0.00012554584602029502,0.00012554584602029502
big-tech,formula1,-0.0001244563109672439,0.0001244563109672439
abraham-accords,delaware-midterm,0.0001236688992809486,0.0001236688992809486
bernie-sanders,felix,-0.0001232123206655977,0.0001232123206655977
abraham-accords,formula1,-0.00011715971342046454,0.00011715971342046454
2025-predictions,felix,0.00011618302198686134,0.00011618302198686134
basketball,business,0.00011411866520156502,0.00011411866520156502
big-tech,bundesliga,-0.00011339162014350966,0.00011339162014350966
business,delaware-midterm,-0.00011144961545898752,0.00011144961545898752
congress,felix,-0.00011072837367176806,0.00011072837367176806
basketball,delaware-midterm,0.0001094585675692006,0.0001094585675692006
abraham-accords,bundesliga,-0.00010674372088524542,0.00010674372088524542
best-of-2025,business,0.00010664034546035078,0.00010664034546035078
business,formula1,0.00010558357908832372,0.00010558357908832372
basketball,best-of-2025,-0.00010473521520108217,0.00010473521520108217
basketball,formula1,-0.00010369732796512171,0.00010369732796512171
best-of-2025,delaware-midterm,0.0001022856290735404,0.0001022856290735404
delaware-midterm,formula1,0.00010127201632988348,0.00010127201632988348
best-of-2025,formula1,-9.690192974114882e-05,9.690192974114882e-05
bundesliga,business,9.619675370681742e-05,9.619675370681742e-05
big-tech,epstein,9.527847296001892e-05,9.527847296001892e-05
basketball,bundesliga,-9.447819826197891e-05,9.447819826197891e-05
bundesliga,delaware-midterm,9.22685070576081e-05,9.22685070576081e-05
big-tech,claude-5,-8.979222196868703e-05,8.979222196868703e-05
best-of-2025,bundesliga,-8.828693959338839e-05,8.828693959338839e-05
bundesliga,formula1,-8.741204868368014e-05,8.741204868368014e-05
big-tech,democratic-primary,8.416816209060346e-05,8.416816209060346e-05
big-tech,comex-silver-futures,8.29470416814291e-05,8.29470416814291e-05
celebrities,felix,-8.219081012228924e-05,8.219081012228924e-05
big-tech,california-midterm,-8.118857089979159e-05,8.118857089979159e-05
business,epstein,-8.083030990558932e-05,8.083030990558932e-05
basketball,epstein,7.938627604952405e-05,7.938627604952405e-05
abraham-accords,democratic-primary,7.923356937887663e-05,7.923356937887663e-05
base,big-tech,-7.921124343211233e-05,7.921124343211233e-05
big-tech,colombia-election,-7.871081690623314e-05,7.871081690623314e-05
abraham-accords,comex-silver-futures,7.808404055162057e-05,7.808404055162057e-05
delaware-midterm,epstein,-7.752956032927011e-05,7.752956032927011e-05
abraham-accords,california-midterm,-7.642866501273532e-05,7.642866501273532e-05
big-tech,commodities,-7.51789401616598e-05,7.51789401616598e-05
abraham-accords,base,-7.456726387002713e-05,7.456726387002713e-05
best-of-2025,epstein,7.41840073907171e-05,7.41840073907171e-05
abraham-accords,colombia-election,-7.409617624173261e-05,7.409617624173261e-05
bernie-sanders,big-tech,-7.3781586377621e-05,7.3781586377621e-05
epstein,formula1,7.344887132177201e-05,7.344887132177201e-05
business,democratic-primary,-7.140478236697139e-05,7.140478236697139e-05
2026-fifa-world-cup,felix,-7.128451973536262e-05,7.128451973536262e-05
abraham-accords,commodities,-7.077136559922942e-05,7.077136559922942e-05
economic-policy,felix,-7.040044895730114e-05,7.040044895730114e-05
basketball,democratic-primary,7.01291356034826e-05,7.01291356034826e-05
anthropic,big-tech,-6.975189395922414e-05,6.975189395922414e-05
abraham-accords,bernie-sanders,-6.945593556910274e-05,6.945593556910274e-05
basketball,comex-silver-futures,6.911169484397723e-05,6.911169484397723e-05
business,california-midterm,6.887702061908318e-05,6.887702061908318e-05
delaware-midterm,democratic-primary,-6.848892932347344e-05,6.848892932347344e-05
basketball,california-midterm,-6.764653233077761e-05,6.764653233077761e-05
comex-silver-futures,delaware-midterm,-6.749528484648741e-05,6.749528484648741e-05
base,business,6.719953789888421e-05,6.719953789888421e-05
bundesliga,epstein,6.691895695895881e-05,6.691895695895881e-05
business,colombia-election,6.677499676262152e-05,6.677499676262152e-05
big-tech,congress,-6.630599133580213e-05,6.630599133580213e-05
california-midterm,delaware-midterm,6.606439009852637e-05,6.606439009852637e-05
base,basketball,-6.599901784704565e-05,6.599901784704565e-05
abraham-accords,anthropic,-6.566249508189228e-05,6.566249508189228e-05
basketball,colombia-election,-6.558206114012402e-05,6.558206114012402e-05
best-of-2025,democratic-primary,6.553349738521553e-05,6.553349738521553e-05
2025-predictions,abraham-accords,6.549345427268073e-05,6.549345427268073e-05
abraham-accords,claude-5,-6.494936865148787e-05,6.494936865148787e-05
democratic-primary,formula1,6.488408467017746e-05,6.488408467017746e-05
best-of-2025,comex-silver-futures,6.45827306207496e-05,6.45827306207496e-05
colombia-election,delaware-midterm,6.40482035271342e-05,6.40482035271342e-05
comex-silver-futures,formula1,6.394273965261328e-05,6.394273965261328e-05
best-of-2025,california-midterm,-6.32135817940674e-05,6.32135817940674e-05
basketball,commodities,-6.26392920811031e-05,6.26392920811031e-05
california-midterm,formula1,-6.258715858428771e-05,6.258715858428771e-05
base,best-of-2025,-6.167403071900262e-05,6.167403071900262e-05
basketball,bernie-sanders,-6.147501320684849e-05,6.147501320684849e-05
best-of-2025,colombia-election,-6.128439763672366e-05,6.128439763672366e-05
commodities,delaware-midterm,6.117426104425263e-05,6.117426104425263e-05
base,formula1,-6.106286389081832e-05,6.106286389081832e-05
colombia-election,formula1,-6.0677091928240216e-05,6.0677091928240216e-05
climate-science,felix,6.013500574969854e-05,6.013500574969854e-05
bernie-sanders,delaware-midterm,6.0037212756895483e-05,6.0037212756895483e-05
anthropic,business,5.91746176241914e-05,5.91746176241914e-05
2025-predictions,business,-5.902227913574956e-05,5.902227913574956e-05
best-of-2025,commodities,-5.853447142167371e-05,5.853447142167371e-05
business,claude-5,5.853195267847911e-05,5.853195267847911e-05
bundesliga,comex-silver-futures,5.8257960478455926e-05,5.8257960478455926e-05
anthropic,basketball,-5.811746280975373e-05,5.811746280975373e-05
commodities,formula1,-5.7954416464651876e-05,5.7954416464651876e-05
bernie-sanders,best-of-2025,-5.744648900316606e-05,5.744648900316606e-05
bundesliga,california-midterm,-5.7022896283006394e-05,5.7022896283006394e-05
bernie-sanders,formula1,-5.687721554941607e-05,5.687721554941607e-05
anthropic,delaware-midterm,5.6758189995989036e-05,5.6758189995989036e-05
2025-predictions,delaware-midterm,-5.6612072332405425e-05,5.6612072332405425e-05
business,congress,5.625125657207972e-05,5.625125657207972e-05
claude-5,delaware-midterm,5.6141768622150746e-05,5.6141768622150746e-05
base,bundesliga,-5.5634117815083565e-05,5.5634117815083565e-05
bundesliga,colombia-election,-5.5282642606613636e-05,5.5282642606613636e-05
basketball,congress,-5.5246327616209585e-05,5.5246327616209585e-05
acquisitions,felix,-5.489317391997103e-05,5.489317391997103e-05
anthropic,best-of-2025,-5.430896252041203e-05,5.430896252041203e-05
2025-predictions,best-of-2025,5.41691501212563e-05,5.41691501212563e-05
congress,delaware-midterm,5.39542059791212e-05,5.39542059791212e-05
anthropic,formula1,-5.377078079337844e-05,5.377078079337844e-05
best-of-2025,claude-5,-5.371914094063402e-05,5.371914094063402e-05
2025-predictions,formula1,5.363235388337598e-05,5.363235388337598e-05
