category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy,formula1
2025-predictions,4.4182642732796976e-05,-6.915619179017358e-10,0.0,-3.0088392659052016e-09,-4.0732272378646244e-10,-3.244333569371723e-11,-4.9219352335754866e-11,0.0,-1.86185619462263e-10,8.644523973772071e-10,-2.549572707984839e-09,-7.893086070200554e-08,-1.2130148615111886e-08,-8.557642920382983e-11,-2.831628141439468e-10,-5.681155410972062e-09,1.909224703374096e-09,-3.205461743071677e-09,-8.323521271820577e-10,0.0,-5.225315571589127e-09,-7.382382978939751e-10,-3.4578095895088017e-09,-2.154488177423428e-09,3.7795672270934895e-10,6.731537755079484e-10,-2.8172790695911806e-07,-2.144148781543374e-09,-8.280982307980437e-11,6.446832689304323e-11,7.132379969968344e-10,-6.025872866106056e-10,3.4418856892033717e-09,-2.4863996472268633e-09,2.7568977123390006e-10,-4.6063468334399845e-10,1.4950968300468587e-06,2.028929939998071e-10,8.85130540966449e-11,-7.409591977518652e-10
2026-fifa-world-cup,-6.915619179017358e-10,5.7985190256594504e-05,0.0,-2.847048832472288e-09,-3.854202842726095e-10,-3.069880204466595e-11,-4.65727435793746e-11,0.0,-1.7617410026511533e-10,8.179693134722462e-10,-2.4124778228685128e-09,-7.468661332432018e-08,-1.1477889777533017e-08,-8.097483824168511e-11,-2.6793666532585295e-10,-5.37566996787904e-09,1.8065624256713048e-09,-3.033098582752579e-09,-7.875951297075173e-10,0.0,-4.94434141629597e-09,-6.985419619857925e-10,-3.2718772538889893e-09,-4.265703684137197e-06,3.5763334329890203e-10,6.369571456844401e-10,-5.409254764733311e-10,-2.028854234359899e-09,-7.83569972607731e-11,6.100175469395099e-11,6.748859700266577e-10,-5.701851375870376e-10,3.2568096089378655e-09,-2.3527016856340057e-09,2.608654607144311e-10,-4.3586556858376606e-10,-5.282316875799623e-08,1.9198309069864735e-10,8.375355579141287e-11,-7.011165544047596e-10
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,-3.0088392659052016e-09,-2.847048832472288e-09,0.0,8.65874922881746e-05,-1.6768819322992275e-09,-1.3356397831809126e-10,-2.026281320228352e-10,0.0,-7.664961542727233e-10,3.5588110405904557e-09,-1.0496179465167389e-08,-1.4696331087940168e-07,-4.9937864648697387e-08,-3.523043512736215e-10,-1.1657356175050608e-09,-2.3388400172433782e-08,7.85997005034735e-09,-1.3196368794910223e-08,-3.4266594075763884e-09,0.0,-2.1511781103461647e-08,-3.0392079576654278e-09,-1.4235244162361828e-08,-8.869680199742272e-09,1.5559868440696576e-09,2.7712654803911934e-09,-2.353452050221961e-09,-9.65205747907209e-06,-3.4091468025294907e-10,2.6540569985282657e-10,2.936285752670995e-09,-2.4807546315052606e-09,1.4169688034126223e-08,6.004443424221319e-07,1.1349703056198233e-09,-5.015845941565318e-07,-2.2982240663398502e-07,8.352777195085695e-10,7.235158313906569e-08,-3.050409463363263e-09
acquisitions,-4.0732272378646244e-10,-3.854202842726095e-10,0.0,-1.6768819322992275e-09,3.3922355085876147e-05,-1.8081272756828437e-11,-2.7430858001140992e-11,0.0,-1.0376469918750784e-10,4.817753553407272e-10,-1.4209241608714917e-09,-4.398963271712146e-08,1.1414995911589037e-06,-4.7693331308419806e-11,-1.5781188856364498e-10,-3.1662132873612313e-09,1.0640463404163968e-09,-1.7864632858731732e-09,2.2007051367619754e-07,0.0,-6.382624878802214e-06,-6.488217552676881e-08,-1.9271014213629048e-09,-1.2007362237698815e-09,2.1064229209054522e-10,3.75161085073396e-10,-3.185994380822482e-10,-1.1949738866658602e-09,-4.61514503991527e-11,3.592939436729379e-11,3.9750076521069057e-10,-3.358330719094003e-10,1.9182267363585324e-09,-1.3857166423462814e-09,1.536470231362796e-10,-2.567202531031757e-10,-3.111229294235825e-08,1.1307602891376831e-10,4.932996683112978e-11,-4.129503045777595e-10
airdrops,-3.244333569371723e-11,-3.069880204466595e-11,0.0,-1.3356397831809126e-10,-1.8081272756828437e-11,4.013361703889618e-05,-2.1848732774460264e-12,0.0,-8.264878859696101e-12,3.837350255584512e-11,7.04286030961692e-07,-3.503782966043267e-09,-5.384637607544889e-10,-3.798783293029313e-12,-1.2569748207353907e-11,-2.521895159808936e-10,8.47515019414338e-11,-1.4229215485274514e-10,-3.694855445677516e-11,0.0,-2.3195454260965412e-10,-3.277079142472406e-11,-1.534940102233779e-10,-9.563887824676852e-11,1.6777700320908217e-11,2.9881654794797386e-11,-2.537650839963669e-11,-9.517990695424994e-11,-3.675972172957947e-12,2.86178338368538e-12,3.1661014746130006e-11,-2.6749170750194587e-11,1.527871398035322e-10,-1.1037260525532318e-10,1.223801585044964e-11,-2.044781904966589e-11,-1.0847741899875662e-07,9.006528118197286e-12,-5.204052720110033e-07,-3.2891573619303674e-11
anthropic,-4.9219352335754866e-11,-4.65727435793746e-11,0.0,-2.026281320228352e-10,-2.7430858001140992e-11,-2.1848732774460264e-12,1.1000005091154287e-07,0.0,-1.2538537604401438e-11,5.82159294742216e-11,-1.7169915360033582e-10,-5.315542456599126e-09,-8.168961974444462e-10,-5.763083522356177e-12,-1.9069397537611873e-11,3.6950654096442756e-07,1.2857537444431742e-10,-3.398483088313921e-08,-5.605415969782428e-11,0.0,-3.518951462441753e-10,-4.9716131062574417e-11,-2.3286371789688216e-10,-1.4509246798374687e-10,1.543752173468457e-08,4.53330603734496e-11,-3.849836279982791e-11,-1.4439616875062034e-10,-5.576768408316654e-12,4.341573443619766e-12,4.803250364911e-11,-4.0580810563799946e-11,2.317913342006249e-10,-1.674448089297387e-10,1.8566130798653905e-11,-3.1021113852305024e-11,-1.7967486681167228e-08,1.3663683813408095e-11,5.960848428985763e-12,1.8897958545091946e-07
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,-1.86185619462263e-10,-1.7617410026511533e-10,0.0,-7.664961542727233e-10,-1.0376469918750784e-10,-8.264878859696101e-12,-1.2538537604401438e-11,0.0,1.2205391451906756e-06,2.2021762533138314e-10,-6.494988608576636e-10,-2.0107488581090515e-08,-3.09013258687421e-09,-2.1800434680713425e-11,-7.213519530065709e-11,-1.4472636752916703e-09,4.863714088557074e-10,-8.165853611969883e-10,-2.120401417633853e-10,0.0,-1.3311393319907341e-09,4.6539491548431736e-08,-8.808705013255164e-10,-5.48851818418499e-10,9.628376554408263e-11,1.714846605492572e-10,-1.456305535528411e-10,-5.462178767289696e-10,-2.1095646964570864e-11,1.6423185244842314e-11,9.220324380634562e-08,-1.5350797998234504e-10,8.768139176178304e-10,-6.334056422289672e-10,7.023145164902014e-11,-1.173458207983206e-10,-1.422130707689493e-08,5.1686609315421505e-11,2.2548534359012228e-11,-1.8875796456975716e-10
basketball,8.644523973772071e-10,8.179693134722462e-10,0.0,3.5588110405904557e-09,4.817753553407272e-10,3.837350255584512e-11,5.82159294742216e-11,0.0,2.2021762533138314e-10,0.00013856809154876127,3.0155972785856337e-09,9.335826665539643e-08,1.434736222191547e-08,1.0121854780212438e-10,3.3492083165735287e-10,6.719587459848737e-09,-2.2582030320890243e-09,3.791373228440547e-09,9.844939121343981e-10,0.0,6.180426770370066e-09,8.731774524822812e-10,4.089846567361041e-09,-2.0531473503280236e-06,-4.4704167912364203e-10,-7.961964321055376e-10,6.76156845591628e-10,5.668446768850903e-07,9.794624657595564e-11,-7.625219336743696e-11,-8.436074625333309e-10,7.127314219838053e-10,-4.071012011172425e-09,2.940877107042453e-09,-3.26081825893045e-10,5.448319607296984e-10,6.602896094749572e-08,-2.399788633733016e-10,-1.0469194473929067e-10,8.76395693005967e-10
