category_a,category_b,correlation,abs_correlation
colorado-midterm,felix,0.2661040394793932,0.2661040394793932
colorado-midterm,fdv,0.20537131783080825,0.20537131783080825
anthropic,formula1,0.20362191853399866,0.20362191853399866
fdv,felix,0.09018306468911669,0.09018306468911669
claude-5,colombia-election,0.0849541382086638,0.0849541382086638
crypto-prices,extended,0.07521732979401138,0.07521732979401138
business,commodities,-0.07062913555750495,0.07062913555750495
bitcoin,climate-science,0.07052460305063685,0.07052460305063685
abraham-accords,congress,-0.06824543726036363,0.06824543726036363
2026-fifa-world-cup,colorado-midterm,-0.04930227135015417,0.04930227135015417
crypto-prices,foreign-policy,-0.03627374877889886,0.03627374877889886
anthropic,bundesliga,0.03627217229243127,0.03627217229243127
comex-silver-futures,connecticut-primary,0.03326244689130194,0.03326244689130194
base,delaware-midterm,0.03270532252047168,0.03270532252047168
brazil,comex-silver-futures,0.03232157101177869,0.03232157101177869
acquisitions,claude-5,-0.030785116614373498,0.030785116614373498
extended,foreign-policy,0.02915005532194773,0.02915005532194773
congress,fdv,0.027640940768720756,0.027640940768720756
colorado-midterm,democratic-primary,0.0215686238688853,0.0215686238688853
airdrops,foreign-policy,-0.017634037447679246,0.017634037447679246
claude-5,democratic-primary,0.01746412919529731,0.01746412919529731
democratic-primary,felix,-0.01741955489445109,0.01741955489445109
basketball,colorado-midterm,-0.015350526933783498,0.015350526933783498
congress,epstein,-0.014784279221239573,0.014784279221239573
business,comex-silver-futures,0.014438037652503793,0.014438037652503793
bernie-sanders,climate-science,0.014025002618274829,0.014025002618274829
bernie-sanders,connecticut-primary,-0.013937295738042215,0.013937295738042215
base,climate-science,0.013936353451260295,0.013936353451260295
colorado-midterm,congress,-0.013502360274803844,0.013502360274803844
bernie-sanders,comex-silver-futures,-0.013442258164885326,0.013442258164885326
2025-predictions,commodities,-0.011858838701539916,0.011858838701539916
brazil,celebrities,-0.011593078921799171,0.011593078921799171
big-tech,brazil,0.009539340547344247,0.009539340547344247
abraham-accords,fdv,-0.00704193383385909,0.00704193383385909
airdrops,bernie-sanders,0.00653108034302271,0.00653108034302271
anthropic,comex-gold-futures,0.005715616285818835,0.005715616285818835
acquisitions,big-tech,0.00554979153846938,0.00554979153846938
anthropic,california-midterm,-0.005521745881015011,0.005521745881015011
abraham-accords,epstein,0.0050551565416726285,0.0050551565416726285
acquisitions,celebrities,0.004753487162355304,0.004753487162355304
claude-5,fdv,-0.004727270326451021,0.004727270326451021
brazil,connecticut-primary,0.003948417514248351,0.003948417514248351
acquisitions,climate-science,-0.0036854097460691996,0.0036854097460691996
bundesliga,california-midterm,0.0036721459123884976,0.0036721459123884976
brazil,business,0.0033105143604369117,0.0033105143604369117
climate-science,commodities,-0.0032325847928357716,0.0032325847928357716
basketball,congress,0.003168208515979099,0.003168208515979099
best-of-2025,crypto-prices,0.0028695486165652676,0.0028695486165652676
celebrities,fifa-world-cup,0.0028604429503340583,0.0028604429503340583
bundesliga,comex-gold-futures,-0.0026644068936980485,0.0026644068936980485
bernie-sanders,bitcoin,0.0025904562699027075,0.0025904562699027075
bernie-sanders,commodities,0.002435832044806454,0.002435832044806454
california-midterm,comex-gold-futures,-0.0023882092893902462,0.0023882092893902462
2025-predictions,felix,0.0023111659295612813,0.0023111659295612813
