category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy,formula1
2025-predictions,3.026357099067039e-05,6.269118963629623e-10,0.0,2.3101716044694812e-09,3.692445384723349e-10,-9.180385366061126e-11,5.5792682627879625e-11,0.0,1.4768930602571672e-10,-1.6994541832454238e-07,2.7872416664564118e-09,7.120331993286733e-08,1.1613646602783748e-06,1.8108648021418777e-10,4.71428963133141e-10,4.1684398635736336e-09,-3.932333288046134e-08,2.905802138679007e-09,-1.3210566371205743e-09,1.2035558445227495e-10,3.52773531378631e-06,-2.589082589754258e-07,3.1345594818147864e-09,2.0376284751824505e-09,-1.950260811025106e-10,-1.3026291565439962e-09,3.969892491246341e-10,1.6813218930100568e-09,7.506842392646284e-11,-5.84415654211921e-11,-5.139456293235342e-10,5.140505973389572e-10,-6.487118615736839e-10,-1.3578975016220218e-09,-3.0640468911348205e-10,5.31853493604746e-10,5.066286723455089e-08,1.8177287471238327e-10,-1.2693618008472306e-10,6.716913175317276e-10
2026-fifa-world-cup,6.269118963629623e-10,6.206357362244714e-05,0.0,-2.7624973627911143e-09,-4.415416853801912e-10,1.0977881605884974e-10,-6.67167488009874e-11,0.0,-1.7660649867705023e-10,-1.9255310932833383e-08,-3.3329765365270455e-09,-8.514474992073186e-08,-5.227534440578678e-09,-2.1654275511872257e-10,-5.637335619913101e-10,-4.98460984794249e-09,-1.4212369973231377e-09,-3.4747508494017806e-09,1.5797161860542844e-09,-1.4392090353953108e-10,-5.341161570495954e-09,1.263013558233584e-10,-3.7482983018545115e-09,-4.565989773485873e-06,2.3321169461124845e-10,1.5576806513792314e-09,-4.747187402189103e-10,-2.0105204680282525e-09,-8.976663150241757e-11,6.98842761468945e-11,6.145748839079683e-10,-6.147004043953997e-10,7.757280036433422e-10,1.6237703986639836e-09,3.663979524227783e-10,-6.35989062731036e-10,-6.058252852563663e-08,-2.1736354392394583e-10,1.5178996315615168e-10,-8.032067789688148e-10
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,2.3101716044694812e-09,-2.7624973627911143e-09,0.0,8.696710565896343e-05,-1.6270820025470768e-09,4.045351589317775e-10,-2.4585135410051416e-10,0.0,-6.507953043728257e-10,-7.095585968352076e-08,-1.2282025269766666e-08,-1.2325774686827652e-07,-1.9263474973234107e-08,-7.979604900322102e-10,5.735059249655843e-07,-1.8368297358658395e-08,-5.237261206056628e-09,-1.2804463899097032e-08,5.821257336661644e-09,-5.303488202655776e-10,-1.968219117650783e-08,4.654207513397934e-10,-1.3812486813955604e-08,-8.978842675814395e-09,8.593855657336919e-10,5.740056346871963e-09,-1.7493395166460612e-09,-9.812011021853625e-06,-3.3079021841639617e-10,2.57523698768645e-10,2.264709688651824e-09,-2.2651722319015176e-09,2.8585592604084267e-09,1.519660703152723e-07,1.3501771948075972e-09,-5.371778099872812e-07,-2.232467399946322e-07,-8.00985098437469e-10,6.298303638452732e-08,-2.959818602990427e-09
acquisitions,3.692445384723349e-10,-4.415416853801912e-10,0.0,-1.6270820025470768e-09,3.6308292739928136e-05,6.465857244832207e-11,-3.929546601733826e-11,0.0,-1.0401937732168779e-10,-1.1341176391426626e-08,-1.963088258667683e-09,-5.0149365597017635e-08,1.2259447250159987e-06,-1.275414139326759e-10,-3.320331614801036e-10,-2.9358829740609686e-09,-8.370937003762568e-10,-2.0465918435067867e-09,9.304362820692681e-10,-8.476790424982005e-11,-6.831580565855046e-06,7.439017525427411e-11,-2.207708426901008e-09,-1.4351265565869504e-09,1.3735924464453376e-10,9.174575830234322e-10,-2.796043641112204e-10,-1.1841754903890573e-09,-5.2871605422747205e-11,4.1161106436226106e-11,3.6197816739771465e-10,-3.6205209764969337e-10,4.568956664358765e-10,9.563837517171981e-10,2.158045550331064e-10,-3.7459089435691236e-10,-3.5682474546608764e-08,-1.280248499390801e-10,8.940269791575079e-11,-4.730803771931207e-10
airdrops,-9.180385366061126e-11,1.0977881605884974e-10,0.0,4.045351589317775e-10,6.465857244832207e-11,4.223819362782459e-05,9.769881029805375e-12,0.0,2.586193890101643e-11,2.81971319626066e-09,-1.9990214075363024e-07,1.2468444460917924e-08,7.655107672591761e-10,3.1710132663795134e-11,8.255213169324818e-11,7.299373256282987e-10,2.0812339672641305e-10,5.088362819978886e-10,-2.3133080487252367e-10,2.1075518974675628e-11,7.821501203601369e-10,-1.849534400991938e-11,5.488940802944009e-10,3.568100124931259e-10,-3.415110226532309e-11,-2.2810396069808634e-10,6.951696085181751e-11,2.9441701122484104e-10,1.3145264509832699e-11,-1.0233728052993515e-11,-8.999724368462047e-11,9.001562467968269e-11,7.46228352659593e-07,-2.377820247504773e-10,-5.3654658973478513e-11,9.313309762251359e-11,-1.0458326488653867e-07,3.183032750424423e-11,-5.570348074592729e-07,1.1762016006309754e-10
anthropic,5.5792682627879625e-11,-6.67167488009874e-11,0.0,-2.4585135410051416e-10,-3.929546601733826e-11,9.769881029805375e-12,1.1551665509350064e-07,0.0,-1.5717280829850204e-11,-1.7136466192607007e-09,-2.966217473100157e-10,-7.577546442039949e-09,-4.652299177309631e-10,-1.9271449914724754e-11,-5.017006040774739e-11,4.093738297292554e-07,-1.2648447922375452e-10,-3.645336612865432e-08,1.4058850106686474e-10,-1.2808391962703224e-11,-4.753422834943086e-10,1.1240321808861695e-11,-3.3358374400494405e-10,-2.1684697310286997e-10,2.075491969133381e-11,1.3862742551574132e-10,-4.224809285674794e-11,-1.7892838059115426e-10,-7.988875647508041e-12,6.2194245513006555e-12,5.469473724756403e-11,-5.4705908075169406e-11,6.903672838864895e-11,1.445091519857772e-10,3.260797058346857e-11,-5.660051458205085e-11,-2.0598929570012253e-08,-1.9344496876474873e-11,1.3508707187725734e-11,-7.148223085820322e-11
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,1.4768930602571672e-10,-1.7660649867705023e-10,0.0,-6.507953043728257e-10,-1.0401937732168779e-10,2.586193890101643e-11,-1.5717280829850204e-11,0.0,1.1669027854135298e-06,-4.536209195387474e-09,-7.851900634450299e-10,-2.0058590529992207e-08,-1.2315142498231334e-09,-5.101362633875567e-11,-1.3280561277737463e-10,-1.1742855312246467e-09,-3.348181890476904e-10,-8.185895730128333e-10,3.7215307061404556e-10,-3.390520819537653e-11,-1.2582827831059365e-09,2.975435575537254e-11,-8.830324933852664e-10,-5.740175496658292e-10,-1.135327724167788e-06,3.6696189009417393e-10,-1.1183530206889927e-10,-4.736429064374863e-10,-2.114742372535972e-11,1.6463494003099828e-11,1.4478292505180849e-10,-1.4481249544884191e-10,1.8274773726171172e-10,3.8253146050517405e-10,8.631684872548088e-11,-1.4982772517099275e-10,-1.4272167504145575e-08,-5.120698960038947e-11,3.575901885139054e-11,-1.8922124858254855e-10
basketball,-1.6994541832454238e-07,-1.9255310932833383e-08,0.0,-7.095585968352076e-08,-1.1341176391426626e-08,2.81971319626066e-09,-1.7136466192607007e-09,0.0,-4.536209195387474e-09,0.00309550739493734,-8.560884750142978e-08,-2.186977265404492e-06,3.550522491240405e-07,4.706715451060654e-06,-1.4479724057774871e-08,-1.2803171569017008e-07,-3.6505045875297986e-08,-8.925037794651068e-08,4.05756477987022e-08,-3.696666492654167e-09,-2.2401234199398964e-06,3.244101298466844e-09,-9.627655466416694e-08,-6.258482265667114e-08,5.9901364983293084e-09,4.00096561972215e-08,-1.2193342434932744e-08,-5.164102965011499e-08,-2.3056921591817846e-09,1.795005837526987e-09,1.5785603930325845e-08,-1.5788827974704775e-08,1.99248868507436e-08,4.1707198029484444e-08,9.411079283049136e-09,-1.63356357559753e-08,-1.5560866957696653e-06,-2.2554379413511726e-06,3.898786464792768e-09,-2.0630690285178813e-08
