category_a,category_b,correlation,abs_correlation
colorado-midterm,felix,0.26534787083181116,0.26534787083181116
colorado-midterm,fdv,0.20757691979913045,0.20757691979913045
brazil,colorado-midterm,-0.12768198204370607,0.12768198204370607
base,comex-gold-futures,-0.11951241540665626,0.11951241540665626
business,climate-science,0.09780003762666685,0.09780003762666685
fdv,felix,0.0913893692043796,0.0913893692043796
claude-5,colombia-election,0.08353341455290934,0.08353341455290934
crypto-prices,extended,0.07859716161151138,0.07859716161151138
comex-silver-futures,commodities,-0.07380348808818527,0.07380348808818527
abraham-accords,congress,-0.06693495381166532,0.06693495381166532
champions-league,foreign-policy,-0.06582572690399256,0.06582572690399256
delaware-midterm,economic-policy,0.05954040984341581,0.05954040984341581
2026-fifa-world-cup,colorado-midterm,-0.049168558810477755,0.049168558810477755
brazil,fdv,-0.047789106107205624,0.047789106107205624
brazil,felix,-0.04434468772824548,0.04434468772824548
crypto-prices,foreign-policy,-0.039970963106196127,0.039970963106196127
anthropic,bundesliga,0.03826083661017651,0.03826083661017651
acquisitions,claude-5,-0.030270489604813437,0.030270489604813437
congress,fdv,0.02802388390039366,0.02802388390039366
extended,foreign-policy,0.02525739585610065,0.02525739585610065
basketball,bitcoin,0.023606249665032174,0.023606249665032174
brazil,democratic-primary,-0.02316994240826694,0.02316994240826694
colorado-midterm,democratic-primary,0.02165701685389235,0.02165701685389235
airdrops,foreign-policy,-0.019596593895368154,0.019596593895368154
democratic-primary,felix,-0.01754869875100582,0.01754869875100582
claude-5,democratic-primary,0.01730142923867579,0.01730142923867579
2025-predictions,claude-5,0.017121313196839995,0.017121313196839995
2025-predictions,climate-science,-0.015973101926387293,0.015973101926387293
bernie-sanders,connecticut-primary,-0.014048293316734423,0.014048293316734423
colorado-midterm,congress,-0.013468427909089364,0.013468427909089364
brazil,claude-5,0.012601330934639287,0.012601330934639287
abraham-accords,brazil,0.007724346405699225,0.007724346405699225
abraham-accords,fdv,-0.00737246839759515,0.00737246839759515
2025-predictions,big-tech,0.0071446022602244166,0.0071446022602244166
acquisitions,big-tech,0.0068855321614168085,0.0068855321614168085
champions-league,democratic-primary,0.0067363834028993,0.0067363834028993
champions-league,colorado-midterm,0.006384488591017835,0.006384488591017835
brazil,champions-league,0.006326738279846804,0.006326738279846804
airdrops,economic-policy,0.0058515309040345475,0.0058515309040345475
anthropic,california-midterm,-0.005586549946924412,0.005586549946924412
brazil,congress,0.00516546209867842,0.00516546209867842
bitcoin,comex-silver-futures,0.004939870987484289,0.004939870987484289
claude-5,fdv,-0.004714776063951161,0.004714776063951161
celebrities,felix,-0.004417256548854582,0.004417256548854582
brazil,extended,0.004385599018897654,0.004385599018897654
basketball,fifa-world-cup,-0.0038456650573146776,0.0038456650573146776
bundesliga,california-midterm,0.003712615374119091,0.003712615374119091
abraham-accords,epstein,0.0034826387820364774,0.0034826387820364774
business,claude-5,0.003481089980266237,0.003481089980266237
epstein,fdv,0.00295424163378592,0.00295424163378592
best-of-2025,crypto-prices,0.0028701746713773193,0.0028701746713773193
bernie-sanders,comex-silver-futures,0.002677846955840624,0.002677846955840624
bernie-sanders,commodities,0.0024733781916000145,0.0024733781916000145
democratic-primary,fdv,-0.002116967653180667,0.002116967653180667
congress,epstein,0.0020751940653121275,0.0020751940653121275
best-of-2025,foreign-policy,0.002029391007600116,0.002029391007600116
airdrops,bernie-sanders,-0.0017602150131889045,0.0017602150131889045
abraham-accords,foreign-policy,0.0015441767633895143,0.0015441767633895143
colorado-midterm,foreign-policy,-0.001505924268753341,0.001505924268753341
epstein,foreign-policy,0.0014707927678613572,0.0014707927678613572
basketball,claude-5,-0.0010749968428874477,0.0010749968428874477
