category,baseline_exposure,constrained_exposure,delta_exposure
airdrops,0.025,0.025407368317246437,0.0004073683172464357
bernie-sanders,0.025,0.025380302220582962,0.00038030222058296065
comex-gold-futures,0.025,0.025361442938447,0.0003614429384469972
epstein,0.025,0.02534778229892254,0.00034778229892253737
2025-predictions,0.025,0.02532452717423439,0.00032452717423438887
best-of-2025,0.025,0.02525511011481285,0.00025511011481284956
felix,0.025,0.02523246966302395,0.00023246966302394728
elon-musk,0.025,0.025226762518286705,0.00022676251828670363
big-tech,0.025,0.025216834619641304,0.00021683461964130263
connecticut-primary,0.025,0.02517850510776043,0.000178505107760428
abraham-accords,0.025,0.02514645829796791,0.00014645829796790938
foreign-policy,0.025,0.02513592317700386,0.00013592317700385909
comex-silver-futures,0.025,0.02513386867940426,0.00013386867940425734
basketball,0.025,0.025083957239985466,8.395723998546462e-05
2026-nfl-draft,0.025,0.025074535980820656,7.453598082065443e-05
awards,0.025,0.025074535980820656,7.453598082065443e-05
champions-league,0.025,0.025074535980820656,7.453598082065443e-05
brazil,0.025,0.02503722347319126,3.7223473191259904e-05
colorado-midterm,0.025,0.025009794160723686,9.79416072368483e-06
democratic-primary,0.025,0.024989934638142586,-1.0065361857415633e-05
commodities,0.025,0.02498842217028141,-1.157782971859117e-05
bundesliga,0.025,0.024981703609228134,-1.8296390771867233e-05
crypto-prices,0.025,0.02497713826596737,-2.2861734032632308e-05
claude-5,0.025,0.024972353130578995,-2.7646869421006637e-05
extended,0.025,0.02496267668902874,-3.732331097126146e-05
california-midterm,0.025,0.024951929226517677,-4.807077348232408e-05
anthropic,0.025,0.024913713335990906,-8.628666400909563e-05
base,0.025,0.024884261190891266,-0.00011573880910873552
delaware-midterm,0.025,0.024873554706573486,-0.00012644529342651506
bitcoin,0.025,0.024867059662938118,-0.0001329403370618834
business,0.025,0.02486157789826393,-0.0001384221017360701
colombia-election,0.025,0.02484634891152382,-0.00015365108847618242
congress,0.025,0.024800697341561317,-0.00019930265843868394
acquisitions,0.025,0.02479855902493,-0.00020144097507000108
celebrities,0.025,0.024789005517959595,-0.00021099448204040666
fdv,0.025,0.024692393839359283,-0.00030760616064071794
economic-policy,0.025,0.02466644160449505,-0.00033355839550495286
2026-fifa-world-cup,0.025,0.02458302117884159,-0.0004169788211584105
fifa-world-cup,0.025,0.024454239755868912,-0.0005457602441310896
climate-science,0.025,0.02444317936897278,-0.0005568206310272231
