domain,total_contribution,contribution_share_of_total_return
felix,0.08815596969633835,1.0103431029263246
claude-5,-0.04681843229086305,-0.5365794320887762
colombia-election,0.03312867134809494,0.3796830177349967
economic-policy,-0.027924567845551113,-0.3200395233826423
congress,-0.02066918835265668,-0.23688664496715522
colorado-midterm,0.019960507153553592,0.22876454995585047
fifa-world-cup,0.017521193603529002,0.200807922292047
big-tech,0.010749786986847115,0.12320178857427123
airdrops,0.010713544389126865,0.12278641728671214
2026-fifa-world-cup,-0.009994926303625107,-0.11455043702552538
brazil,0.007914498664024883,0.09070695003255448
acquisitions,-0.007289684758052908,-0.08354604620850566
best-of-2025,-0.007231992025288243,-0.08288483795637555
extended,0.006358126706713471,0.07286959110979463
climate-science,-0.006301094777882099,-0.0722159562381025
abraham-accords,0.006132125084483892,0.07027941847535646
business,-0.003803547911232545,-0.043591924766987714
fdv,0.0037333947022276364,0.042787908758651495
epstein,0.003336624379184417,0.03824058019186906
elon-musk,0.0030302261941485688,0.034728993919646685
bernie-sanders,0.0028797143879394655,0.03300399939192309
base,0.0019365123538598698,0.022194094253553523
foreign-policy,0.001393419767513586,0.015969786917868024
democratic-primary,0.001136795205907386,0.01302864910549495
comex-gold-futures,-0.0011009309037738075,-0.012617613410161523
connecticut-primary,-0.00048077041760233015,-0.005510041772425753
comex-silver-futures,0.0004669504017003043,0.005351652524402724
bitcoin,0.00034403357226720253,0.0039429201234197405
anthropic,-0.00028852514436944883,-0.0033067458804959733
bundesliga,0.0002530792050258257,0.00290050498193931
2025-predictions,7.916177284557346e-05,0.0009072618846511041
commodities,-6.717705639976623e-05,-0.0007699067441738509
basketball,0.0,0.0
crypto-prices,0.0,0.0
delaware-midterm,0.0,0.0
champions-league,0.0,0.0
awards,0.0,0.0
california-midterm,0.0,0.0
celebrities,0.0,0.0
2026-nfl-draft,0.0,0.0
