category_a,category_b,correlation,abs_correlation
colorado-midterm,felix,0.26535494338076737,0.26535494338076737
colorado-midterm,fdv,0.20757809104714384,0.20757809104714384
brazil,colorado-midterm,-0.12768021227995513,0.12768021227995513
best-of-2025,climate-science,0.09328772662655078,0.09328772662655078
climate-science,crypto-prices,-0.09209075415740844,0.09209075415740844
fdv,felix,0.09139258479589565,0.09139258479589565
crypto-prices,extended,0.07859734918174159,0.07859734918174159
business,commodities,-0.07094995204344183,0.07094995204344183
champions-league,foreign-policy,-0.06582586808970226,0.06582586808970226
delaware-midterm,economic-policy,0.05954129867414025,0.05954129867414025
bundesliga,democratic-primary,0.05453391695443757,0.05453391695443757
abraham-accords,bernie-sanders,-0.051592850444807874,0.051592850444807874
2026-fifa-world-cup,colorado-midterm,-0.049166462921152516,0.049166462921152516
brazil,fdv,-0.04778850146534277,0.04778850146534277
commodities,fifa-world-cup,-0.044440239415124226,0.044440239415124226
brazil,felix,-0.044339609732945165,0.044339609732945165
crypto-prices,foreign-policy,-0.03997086763914874,0.03997086763914874
brazil,climate-science,0.035942365240668184,0.035942365240668184
comex-silver-futures,connecticut-primary,0.034533908653397075,0.034533908653397075
climate-science,colorado-midterm,0.03439154600893813,0.03439154600893813
acquisitions,claude-5,-0.030269404889858274,0.030269404889858274
bundesliga,climate-science,0.028943715303175795,0.028943715303175795
bundesliga,felix,-0.027639856019756902,0.027639856019756902
extended,foreign-policy,0.025257670918973525,0.025257670918973525
comex-gold-futures,epstein,0.024701910187189393,0.024701910187189393
climate-science,democratic-primary,-0.024035000096349398,0.024035000096349398
brazil,democratic-primary,-0.023165812031091665,0.023165812031091665
bundesliga,fdv,-0.02250453860849964,0.02250453860849964
colorado-midterm,democratic-primary,0.02166773147897627,0.02166773147897627
basketball,congress,-0.02025017045242093,0.02025017045242093
airdrops,foreign-policy,-0.018847016097022065,0.018847016097022065
democratic-primary,felix,-0.01751590298953317,0.01751590298953317
claude-5,democratic-primary,0.01730880172636828,0.01730880172636828
2025-predictions,claude-5,0.017119658286525258,0.017119658286525258
basketball,colorado-midterm,-0.015307377084248027,0.015307377084248027
basketball,bundesliga,0.01447057981186484,0.01447057981186484
bundesliga,colorado-midterm,-0.012809962340195635,0.012809962340195635
brazil,claude-5,0.012602325473026085,0.012602325473026085
congress,epstein,-0.012189208020264401,0.012189208020264401
airdrops,fifa-world-cup,0.012133604870914253,0.012133604870914253
airdrops,climate-science,-0.012050309428335109,0.012050309428335109
basketball,epstein,0.011407687994893122,0.011407687994893122
business,comex-silver-futures,0.011225327324155716,0.011225327324155716
basketball,brazil,0.010596704206736545,0.010596704206736545
climate-science,fdv,0.00888694161597357,0.00888694161597357
abraham-accords,brazil,0.0077264096465950085,0.0077264096465950085
bernie-sanders,comex-gold-futures,0.007720829017548998,0.007720829017548998
abraham-accords,fdv,-0.007370020461823065,0.007370020461823065
2025-predictions,big-tech,0.007142568774874777,0.007142568774874777
basketball,climate-science,-0.006901478973234118,0.006901478973234118
acquisitions,big-tech,0.0068868169129656705,0.0068868169129656705
champions-league,democratic-primary,0.006738621182077178,0.006738621182077178
climate-science,extended,0.0066625548364899504,0.0066625548364899504
champions-league,colorado-midterm,0.006385376157061766,0.006385376157061766
brazil,champions-league,0.006327045009493817,0.006327045009493817
colorado-midterm,congress,0.006188680066083552,0.006188680066083552
airdrops,economic-policy,0.005851597191167703,0.005851597191167703
anthropic,comex-gold-futures,0.005752240332089828,0.005752240332089828
bernie-sanders,epstein,-0.005537321192994541,0.005537321192994541
brazil,bundesliga,-0.005308350429360137,0.005308350429360137
bernie-sanders,congress,0.004777093255508386,0.004777093255508386
claude-5,fdv,-0.004713608005965791,0.004713608005965791
celebrities,felix,-0.004440628119341268,0.004440628119341268
brazil,extended,0.0043850147655007865,0.0043850147655007865
economic-policy,elon-musk,-0.003719745282682067,0.003719745282682067
climate-science,economic-policy,0.0035836675247898162,0.0035836675247898162
climate-science,foreign-policy,-0.003523155080245541,0.003523155080245541
abraham-accords,epstein,0.003472314802694079,0.003472314802694079
comex-gold-futures,congress,-0.003335061189415374,0.003335061189415374
climate-science,comex-gold-futures,0.003250925089366672,0.003250925089366672
epstein,fdv,0.0029513959045036073,0.0029513959045036073
best-of-2025,crypto-prices,0.002869426877830306,0.002869426877830306
airdrops,elon-musk,0.0027388056571572643,0.0027388056571572643
brazil,comex-gold-futures,-0.002604439871126205,0.002604439871126205
comex-silver-futures,fifa-world-cup,-0.00218961429954417,0.00218961429954417
