domain,total_contribution,contribution_share_of_total_return
felix,0.09072045775988459,0.6345418577764325
best-of-2025,0.04970984595380542,0.3476942112086196
claude-5,-0.03929442416886461,-0.2748438172386733
colombia-election,0.03290508687496185,0.2301537654406095
economic-policy,-0.029811758360797976,-0.20851756043726236
fifa-world-cup,0.016194416387620696,0.11327141985332738
colorado-midterm,0.01549288888128677,0.1083646041455782
airdrops,0.014389484107726383,0.10064686845306726
celebrities,-0.010985176337286887,-0.07683552721386307
california-midterm,-0.01002064496278763,-0.07008913786165845
2026-fifa-world-cup,-0.009995035082101823,-0.06991001022419858
climate-science,0.007645182535479225,0.05347402833816008
acquisitions,-0.007215211998176637,-0.050466610714108386
extended,0.007107528099891904,0.04971341851735982
abraham-accords,0.006425839099033398,0.04494536271482628
comex-gold-futures,0.0060842880620923774,0.04255639296249489
business,-0.004812948151166724,-0.03366403936481707
epstein,-0.0047899257420718575,-0.03350300972940439
elon-musk,0.0031549756305810834,0.022067394139114835
fdv,0.002431983628301836,0.017010445578537377
base,0.0023121071418455677,0.016171972644229638
brazil,0.00213655295417689,0.01494406349193507
congress,-0.0019468634457779352,-0.013617285210251892
foreign-policy,0.0018721141373790138,0.01309445313697802
big-tech,0.0015852652283178427,0.011088095980595765
bitcoin,0.0012641139486368853,0.008841811794338673
bernie-sanders,-0.001175343007210027,-0.008220905777322636
democratic-primary,0.000989453476868446,0.006920706342302883
comex-silver-futures,0.0009234203619110794,0.006458839455004833
champions-league,-0.0008656619553291439,-0.006054849797989301
2025-predictions,0.0004976588067513478,0.003480861445944324
anthropic,-0.0003153327477938544,-0.0022055866178768073
bundesliga,0.0002223005938013594,0.0015548756615499924
connecticut-primary,0.00015211047218148066,0.001063932700392162
commodities,-1.8735018415460484e-05,-0.0001310415939730714
basketball,0.0,0.0
crypto-prices,0.0,0.0
delaware-midterm,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
