category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy
2025-predictions,4.267211417494285e-05,-6.450850031862322e-10,0.0,-2.806628064949452e-09,-3.7994830798210756e-10,-3.026295804844506e-11,-4.717211866264467e-11,0.0,-1.7367288136463208e-10,8.063562539828546e-10,-8.968919679697309e-10,-7.362625559534875e-08,-1.1314933277082337e-08,-7.982520389948331e-11,-6.199821518007765e-10,-6.1252286887742884e-09,1.7809138877920185e-09,-2.9900363875105073e-09,-5.202525935103006e-06,-2.217690549861588e-10,-4.874144490741719e-09,1.9166615135226825e-07,-3.225425015931347e-09,-2.0096942541525807e-09,3.5255587007010193e-10,6.279139932053192e-10,-2.720770859461745e-07,-1.0500775542610721e-10,-7.724452952438406e-11,8.817133921031926e-10,6.653043258385859e-10,-5.62089975808117e-10,2.668218164058991e-07,-5.35540376037527e-10,7.928558933559553e-10,2.571618424195972e-10,-4.2967739905958705e-10,1.4458243915939262e-06,1.892574248129752e-10,4.779093990435079e-10
2026-fifa-world-cup,-6.450850031862322e-10,5.600276627650224e-05,0.0,-2.6557108736399012e-09,-3.595178376252901e-10,-2.8635667034557816e-11,-4.463559316231262e-11,0.0,-1.6433419349587978e-10,7.629970990716673e-10,-8.486645528716234e-10,-6.966724590686956e-08,-1.0706509962514799e-08,-7.553286615846197e-11,-5.866446511249976e-10,-3.256763443806818e-11,1.6851511020967075e-09,-2.8292570170080226e-09,1.5337156627941035e-09,-2.098441536014991e-10,-4.612053405083896e-09,-4.6322556370679367e-07,-3.051988396286597e-09,-4.119796973246667e-06,3.3359833794993823e-10,5.941499838510824e-10,-5.045721918480333e-10,-9.936130881905697e-11,-7.309095905829194e-11,8.343021549898439e-10,6.295297743489821e-10,-5.318654364500891e-10,-1.7312842297097544e-09,-5.067434540677444e-10,7.502226759258026e-10,2.4333381032135356e-10,-4.0657291042238025e-10,-4.927314981418927e-08,1.7908072938835356e-10,4.5221139327460804e-10
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,-2.806628064949452e-09,-2.6557108736399012e-09,0.0,8.362757654979906e-05,-1.5641858792953486e-09,-1.2458771535655125e-10,-1.9420000131182554e-10,0.0,-7.149832304553515e-10,3.319638592049688e-09,-3.6380623307690143e-06,-1.312101136993599e-07,-4.6581754637039485e-08,-3.2862748465589317e-10,5.168218210075781e-07,-1.4169487179429972e-10,7.331735125548566e-09,-1.2309497364950458e-08,6.672871639534278e-09,-9.129874169366251e-10,-2.0066066425074118e-08,1.6386137015549234e-10,-1.327855436819876e-08,-8.27358698013873e-09,1.4514156321820869e-09,2.5850205960910335e-09,-2.1952866171728832e-09,-4.322999860858747e-10,-3.1800326464543493e-10,3.6298717708155374e-09,2.738950562611277e-09,-2.314033737173237e-09,-7.532450581718085e-09,-2.2047333186961065e-09,1.349904848461572e-07,1.0586938121730198e-09,-4.843733938292654e-07,-2.1437702695598476e-07,7.791422812657886e-10,-4.680544803081972e-08
acquisitions,-3.7994830798210756e-10,-3.595178376252901e-10,0.0,-1.5641858792953486e-09,3.2762597082364016e-05,-1.6866107852404665e-11,-2.6289896702032954e-11,0.0,-9.679111815336075e-11,4.4939729703157943e-10,-4.998545297368432e-10,-4.103327789879674e-08,1.102696266119115e-06,-4.448806676979371e-11,-3.455275529283147e-10,-1.9181995455801556e-11,9.925363429213029e-10,-1.6664027394049508e-09,9.033424558406273e-10,-1.235960078238055e-10,-6.164314276172518e-06,2.218279333542409e-11,-1.7975891881263413e-09,-1.1200398846232703e-09,1.9648592576738495e-10,3.4994811526664797e-10,-2.971877343304651e-10,-5.852276983376665e-11,-4.3049809072940336e-11,4.913952278668386e-10,3.7078644117722213e-10,-3.132631694353923e-10,-1.0197082717242445e-09,-2.984665850284149e-10,4.418732956430015e-10,1.4332106474304342e-10,-2.394671843607321e-10,-2.902136897986896e-08,1.0547667328681528e-10,2.6634777258232956e-10
airdrops,-3.026295804844506e-11,-2.8635667034557816e-11,0.0,-1.2458771535655125e-10,-1.6866107852404665e-11,3.8761495833101184e-05,-2.0939954837968077e-12,0.0,-7.709431747949059e-12,3.579458379314845e-11,-3.9813512380352794e-11,-3.2683087187181384e-09,-5.022759174997315e-10,-3.543483337141293e-12,-2.7521338085134833e-11,-1.5278497405273292e-12,7.90557164654141e-11,-1.3272930852694867e-10,7.195140567849972e-11,-9.84444652376285e-12,-2.163658712043254e-10,-9.031838684636252e-08,-1.431783351725993e-10,-8.921139883722264e-11,1.565014293703269e-11,2.7873436751651732e-11,-2.367106195134647e-11,-4.661350218305569e-12,-3.428925826480504e-12,3.913972730950419e-11,2.953321354124404e-11,-2.495147354410735e-11,4.811964962311203e-06,4.3146317828672495e-08,3.519529559109321e-11,1.1415551217504468e-11,-1.9073608704232484e-11,-1.0468688421791571e-07,8.401237936071818e-12,2.1214652884650456e-11
anthropic,-4.717211866264467e-11,-4.463559316231262e-11,0.0,-1.9420000131182554e-10,-2.6289896702032954e-11,-2.0939954837968077e-12,1.062643754622869e-07,0.0,-1.2017008669599364e-11,5.57944914528898e-11,-6.205896090454207e-11,-5.094447359008854e-09,-7.8291815174741e-10,-5.523373365923584e-12,-4.289864275093968e-11,-2.3815222934746713e-12,1.2322740004800175e-10,-3.2821330841670295e-08,1.1215361833360318e-10,-1.5344944101102913e-11,-3.372583914189489e-10,-1.6628079268488716e-08,-2.231779658115626e-10,-1.390574802792183e-10,1.4909542501225922e-08,4.3447473438688786e-11,-3.6897058821956054e-11,-7.265838497154722e-12,-5.344807857621499e-12,6.100870437429038e-11,4.6034635855089204e-11,-3.8892889087271647e-11,-1.2660090487183137e-10,-3.705583330682337e-11,5.486035625906764e-11,1.7793889670998195e-11,-2.973081916450257e-11,-1.7325359404290986e-08,1.3095355457303518e-11,4.466568356065331e-09
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,-1.7367288136463208e-10,-1.6433419349587978e-10,0.0,-7.149832304553515e-10,-9.679111815336075e-11,-7.709431747949059e-12,-1.2017008669599364e-11,0.0,1.1788119106240831e-06,2.054177418698496e-10,-2.2848154503862675e-10,-1.875615038889783e-08,-2.882458009975103e-09,-2.033532083163297e-11,-1.5793928923288515e-10,-8.768014888196831e-12,4.536844694735855e-10,-7.617061563017448e-10,4.1291429352079895e-10,-5.649525041426692e-11,-1.2416791584244076e-09,1.0139667829403273e-11,-8.216709674794389e-10,-5.11965838297654e-10,8.981294602113929e-11,1.599599109396366e-10,-1.358433477477814e-10,-2.67505285559725e-11,-1.9677898879457928e-11,3.165359896736446e-08,8.904492410042598e-08,-1.431913660840029e-10,-4.661046515570674e-10,-1.3642790538596918e-10,2.0197855034538605e-10,6.551149656743765e-11,-1.0945951074525289e-10,-1.3265553934556775e-08,4.8212973664149774e-11,1.2174652219164435e-10
basketball,8.063562539828546e-10,7.629970990716673e-10,0.0,3.319638592049688e-09,4.4939729703157943e-10,3.579458379314845e-11,5.57944914528898e-11,0.0,2.054177418698496e-10,0.00013383064492354663,1.0608306910896063e-09,8.70840573835833e-08,1.3383137453143222e-08,9.441608269806487e-11,9.272597581441391e-07,2.3473298064579377e-08,-2.1064388776209644e-09,3.5365712712599325e-09,-1.9171445784925667e-09,2.6230519200189974e-10,5.765066756355268e-09,-4.7078072887974063e-11,3.814985495358165e-09,-1.9830367894758003e-06,-4.1699792243739034e-10,-7.426874798138658e-10,6.307152398099858e-10,1.2420163602380655e-10,9.1363698822851e-11,-1.0428776937372943e-09,-7.869122179361247e-10,6.64831795562637e-10,2.164105287137118e-09,6.334293175846739e-10,5.873329850393565e-07,-3.0416726290163036e-10,5.082161380279722e-10,6.159143726773398e-08,-2.2385091173548464e-10,-5.652642415932626e-10
