category_a,category_b,correlation,abs_correlation
colorado-midterm,felix,0.26610685550987817,0.26610685550987817
colorado-midterm,fdv,0.2053716614711838,0.2053716614711838
2025-predictions,celebrities,-0.19982824851709452,0.19982824851709452
brazil,colorado-midterm,-0.1261841976648821,0.1261841976648821
fdv,felix,0.0901839776543666,0.0901839776543666
claude-5,colombia-election,0.0849551894814374,0.0849551894814374
business,commodities,-0.07063113313827758,0.07063113313827758
climate-science,colorado-midterm,-0.06349006301876395,0.06349006301876395
abraham-accords,bernie-sanders,-0.055430980580327235,0.055430980580327235
2026-fifa-world-cup,colorado-midterm,-0.04930141489312238,0.04930141489312238
brazil,fdv,-0.04646544494116291,0.04646544494116291
brazil,felix,-0.043711036775739655,0.043711036775739655
bundesliga,democratic-primary,0.0427718070029182,0.0427718070029182
delaware-midterm,economic-policy,0.04232195639154305,0.04232195639154305
airdrops,economic-policy,0.036492848801713315,0.036492848801713315
comex-silver-futures,connecticut-primary,0.03326231200003178,0.03326231200003178
base,delaware-midterm,0.03270303780970694,0.03270303780970694
acquisitions,claude-5,-0.030784617402571112,0.030784617402571112
climate-science,fdv,-0.02902333466233765,0.02902333466233765
bundesliga,felix,-0.025746035977894165,0.025746035977894165
celebrities,climate-science,-0.02276375409417638,0.02276375409417638
brazil,democratic-primary,-0.022681791737605553,0.022681791737605553
climate-science,felix,-0.02157545348272609,0.02157545348272609
colorado-midterm,democratic-primary,0.021573238894522298,0.021573238894522298
bundesliga,fdv,-0.02071067758914246,0.02071067758914246
claude-5,democratic-primary,0.017467701890638336,0.017467701890638336
democratic-primary,felix,-0.017404843780155433,0.017404843780155433
climate-science,democratic-primary,0.016812290478776613,0.016812290478776613
basketball,colorado-midterm,-0.015351163413218603,0.015351163413218603
brazil,climate-science,0.01497495354316064,0.01497495354316064
business,comex-silver-futures,0.014438954997947265,0.014438954997947265
brazil,bundesliga,-0.013589163810121064,0.013589163810121064
basketball,bundesliga,0.013499249364450142,0.013499249364450142
brazil,claude-5,0.012627018953907956,0.012627018953907956
basketball,epstein,0.012320545239444572,0.012320545239444572
brazil,champions-league,0.01214217774976557,0.01214217774976557
bundesliga,colorado-midterm,-0.011968819341367058,0.011968819341367058
2025-predictions,commodities,-0.01185800563663343,0.01185800563663343
basketball,brazil,0.010444887318013272,0.010444887318013272
base,crypto-prices,0.008780133852691342,0.008780133852691342
bundesliga,climate-science,0.008046200558607957,0.008046200558607957
comex-gold-futures,foreign-policy,-0.0077355824389301504,0.0077355824389301504
economic-policy,elon-musk,-0.007619723081971926,0.007619723081971926
2026-fifa-world-cup,climate-science,-0.007601241726770487,0.007601241726770487
abraham-accords,brazil,0.007364550054637823,0.007364550054637823
abraham-accords,fdv,-0.0070410058722597865,0.0070410058722597865
commodities,crypto-prices,0.006507342539385866,0.006507342539385866
champions-league,democratic-primary,0.006459555308618248,0.006459555308618248
anthropic,climate-science,-0.006263902717122377,0.006263902717122377
2025-predictions,bundesliga,-0.006238260691774665,0.006238260691774665
champions-league,colorado-midterm,0.00619760334648701,0.00619760334648701
anthropic,comex-gold-futures,0.005714868762772373,0.005714868762772373
acquisitions,big-tech,0.005550899194070826,0.005550899194070826
anthropic,california-midterm,-0.0055208210436500284,0.0055208210436500284
claude-5,fdv,-0.004726854365542561,0.004726854365542561
celebrities,felix,-0.004241566775276292,0.004241566775276292
brazil,extended,0.00413576128972968,0.00413576128972968
anthropic,foreign-policy,0.003973605982753498,0.003973605982753498
bernie-sanders,comex-gold-futures,-0.0038310561949320976,0.0038310561949320976
2025-predictions,climate-science,0.0036030484925319724,0.0036030484925319724
abraham-accords,epstein,0.003582215615916699,0.003582215615916699
epstein,fdv,0.0031198508743981606,0.0031198508743981606
airdrops,elon-musk,0.002742672792139504,0.002742672792139504
democratic-primary,foreign-policy,0.0026072131759106196,0.0026072131759106196
brazil,comex-gold-futures,-0.0025735809198524904,0.0025735809198524904
