category,baseline_exposure,constrained_exposure,delta_exposure
awards,0.00847457627118644,0.01154893939383328,0.003074363122646839
california-midterm,0.00847457627118644,0.011543897446244955,0.0030693211750585144
anthropic,0.00847457627118644,0.011542837833985686,0.0030682615627992457
colorado-midterm,0.00847457627118644,0.011542723281309009,0.003068147010122568
big-tech,0.00847457627118644,0.011542289750650525,0.0030677134794640844
best-of-2025,0.00847457627118644,0.011540983570739627,0.0030664072995531862
airdrops,0.00847457627118644,0.01154046063311398,0.0030658843619275396
bundesliga,0.00847457627118644,0.01154043385758996,0.0030658575864035194
bitcoin,0.00847457627118644,0.01154026249423623,0.00306568622304979
congress,0.00847457627118644,0.011540120001882315,0.003065543730695874
2026-fifa-world-cup,0.00847457627118644,0.011539962375536561,0.0030653861043501204
2025-predictions,0.00847457627118644,0.011539934435859323,0.003065358164672882
brazil,0.00847457627118644,0.011539920000359416,0.0030653437291729754
crypto-prices,0.00847457627118644,0.011539482045918703,0.0030649057747322624
celebrities,0.00847457627118644,0.011539324885234237,0.003064748614047796
ethereum,0.00847457627118644,0.011539184488356113,0.003064608217169673
climate-science,0.00847457627118644,0.011539064813405275,0.0030644885422188347
democratic-primary,0.00847457627118644,0.011538925347849727,0.003064349076663286
extended,0.00847457627118644,0.011538691585883498,0.0030641153146970575
commodities,0.00847457627118644,0.011538569815456867,0.0030639935442704266
elon-musk,0.00847457627118644,0.01153824245557189,0.0030636661843854492
colombia-election,0.00847457627118644,0.011537870625033975,0.003063294353847534
business,0.00847457627118644,0.011537728132680058,0.003063151861493618
economic-policy,0.00847457627118644,0.011537430807948112,0.003062854536761672
claude-5,0.00847457627118644,0.011536967940628529,0.003062391669442088
champions-league,0.00847457627118644,0.01153690298087895,0.0030623267096925085
basketball,0.00847457627118644,0.011536685982719064,0.003062109711532623
databricks,0.00847457627118644,0.011508448282256722,0.003033872011070282
minnesota-midterm,0.00847457627118644,0.007709782104939222,-0.0007647941662472183
michigan-midterm,0.00847457627118644,0.007703619077801704,-0.0007709571933847362
jerome-powell,0.00847457627118644,0.007698103552684188,-0.0007764727185022528
ncaa-basketball,0.00847457627118644,0.007697827648371458,-0.0007767486228149826
israel-x-iran,0.00847457627118644,0.007696783170104027,-0.0007777931010824139
rhode-island-primary,0.00847457627118644,0.007696145214140415,-0.0007784310570460255
nov-4-elections,0.00847457627118644,0.0076955880504101515,-0.0007789882207762892
fifa-world-cup,0.00847457627118644,0.007695439038798213,-0.0007791372323882276
west-virginia-primary,0.00847457627118644,0.007695238571614027,-0.0007793376995724136
reya,0.00847457627118644,0.007695156615227461,-0.0007794196559589798
natural-disasters,0.00847457627118644,0.007695052539929748,-0.0007795237312566931
macro-election-1,0.00847457627118644,0.007695012027397752,-0.0007795642437886888
stanley-cup,0.00847457627118644,0.007694717263802886,-0.0007798590073835546
ukraine-map,0.00847457627118644,0.0076947074849158525,-0.0007798687862705881
foreign-policy,0.00847457627118644,0.007694525644183159,-0.0007800506270032818
serie-a,0.00847457627118644,0.007694317493587732,-0.0007802587775987083
prediction-markets,0.00847457627118644,0.007694311207160354,-0.000780265064026087
the-masters,0.00847457627118644,0.007694283267483115,-0.0007802930037033255
trump-netanyahu,0.00847457627118644,0.007694260450080037,-0.0007803158211064035
trump-presidency,0.00847457627118644,0.007694244617596269,-0.000780331653590172
hockey,0.00847457627118644,0.007694218307733536,-0.0007803579634529049
governor-midterms,0.00847457627118644,0.007694127503782511,-0.0007804487674039299
gemini-3,0.00847457627118644,0.007694111205637455,-0.0007804650655489857
league-of-legends,0.00847457627118644,0.007694082101806998,-0.0007804941693794424
new-hampshire-midterm,0.00847457627118644,0.0076940597500652075,-0.0007805165211212332
new-mexico-primary,0.00847457627118644,0.007693989900872111,-0.0007805863703143293
mayoral-elections,0.00847457627118644,0.007693948689848185,-0.0007806275813382561
tech,0.00847457627118644,0.007693935418501496,-0.0007806408526849443
new-york-city,0.00847457627118644,0.007693910272791982,-0.000780665998394459
formula1,0.00847457627118644,0.007693863939493895,-0.0007807123316925461
felix,0.00847457627118644,0.007693773601204157,-0.0007808026699822838
new-hampshire-primary,0.00847457627118644,0.00769367185421288,-0.0007809044169735605
trump,0.00847457627118644,0.007693644147366285,-0.0007809321238201553
solstice,0.00847457627118644,0.007693504448980093,-0.0007810718222063476
sam-altman,0.00847457627118644,0.007693479536101222,-0.0007810967350852186
theo,0.00847457627118644,0.007693434599786997,-0.0007811416713994438
iranian-leadership-regime,0.00847457627118644,0.00769340293481946,-0.0007811733363669807
primary-elections,0.00847457627118644,0.00769339594990015,-0.0007811803212862903
politics,0.00847457627118644,0.007693276274949312,-0.0007812999962371284
nebraska-midterm,0.00847457627118644,0.00769324810244143,-0.0007813281687450106
trump-x-al-sharaa,0.00847457627118644,0.00769305438734591,-0.0007815218838405306
ligue-1,0.00847457627118644,0.0076929430942982435,-0.0007816331768881971
geopolitics,0.00847457627118644,0.007692806655541062,-0.0007817696156453783
german-elections,0.00847457627118644,0.007692798040807247,-0.0007817782303791935
uefa-europa-league,0.00847457627118644,0.0076927971094846725,-0.0007817791617017681
south-carolina-primary,0.00847457627118644,0.007692744256928563,-0.0007818320142578775
republican-primary,0.00847457627118644,0.007692739134654403,-0.0007818371365320379
gensyn,0.00847457627118644,0.007692722603678703,-0.0007818536675077373
nba,0.00847457627118644,0.007692709797993302,-0.0007818664731931383
rhineland-palatinate,0.00847457627118644,0.007692704210057855,-0.000781872061128586
rhode-island-midterm,0.00847457627118644,0.007692648796364665,-0.0007819274748217756
russia-capture,0.00847457627118644,0.007692643441259861,-0.0007819328299265797
macro-indicators,0.00847457627118644,0.007692588260397315,-0.0007819880107891256
senate-midterms,0.00847457627118644,0.007692582905292511,-0.0007819933658939297
usdptai,0.00847457627118644,0.007692566607147455,-0.0007820096640389854
token-sales,0.00847457627118644,0.007692566141486168,-0.0007820101297002727
south-dakota-midterm,0.00847457627118644,0.007692545652389526,-0.0007820306187969143
delaware-midterm,0.00847457627118644,0.007692511426284909,-0.0007820648449015314
world-elections,0.00847457627118644,0.00769249233417213,-0.000782083937014311
epstein,0.00847457627118644,0.0076924420427531,-0.0007821342284333403
senate-elections,0.00847457627118644,0.007692426210269332,-0.0007821500609171087
arkansas-midterm,0.00847457627118644,0.007692418992519379,-0.000782157278667062
pop-culture,0.00847457627118644,0.007692416198551655,-0.0007821600726347858
france,0.00847457627118644,0.007692411541938782,-0.0007821647292476589
nba-champion,0.00847457627118644,0.007692411541938782,-0.0007821647292476589
variational,0.00847457627118644,0.007692393381148577,-0.0007821828900378639
midterms,0.00847457627118644,0.007692368235439062,-0.0007822080357473785
ukraine-peace-deal,0.00847457627118644,0.007692356361076236,-0.0007822199101102049
fdv,0.00847457627118644,0.007692349376156926,-0.0007822268950295145
new-mexico-midterm,0.00847457627118644,0.007692340295761824,-0.000782235975424617
ostium,0.00847457627118644,0.00769228907302022,-0.0007822871981662208
ncaa-football,0.00847457627118644,0.007692223181948066,-0.0007823530892383749
token-launch,0.00847457627118644,0.007692142389714718,-0.0007824338814717228
grooming-gangs,0.00847457627118644,0.007692093728110194,-0.0007824825430762464
trump-zelenskyy,0.00847457627118644,0.007692032493650913,-0.0007825437775355274
tariffs,0.00847457627118644,0.007692020386457443,-0.0007825558847289974
soccer,0.00847457627118644,0.007690945407375693,-0.0007836308638107473
la-liga,0.00847457627118644,0.007690940517932177,-0.0007836357532542641
primaries,0.00847457627118644,0.0076906196773052216,-0.0007839565938812191
warner-bros,0.00847457627118644,0.007690330967307091,-0.0007842453038793499
military-action,0.00847457627118644,0.00768961594440043,-0.0007849603267860109
massachusetts-primary,0.00847457627118644,0.007687748642638326,-0.000786827628548115
thailand-cambodia,0.00847457627118644,0.007680641720071435,-0.0007939345511150057
turkey,0.00847457627118644,0.00767859467305243,-0.0007959815981340105
other,0.00847457627118644,0.007646864280104637,-0.0008277119910818035
middle-east,0.00847457627118644,0.0076410972978919744,-0.0008334789732944662
military-strikes,0.00847457627118644,0.0038477773778140545,-0.004626798893372386
macro-geopolitics,0.00847457627118644,0.003846320090815425,-0.004628256180371016
referendums-midterms,0.00847457627118644,0.0038461999502032995,-0.004628376320983141
ghislaine-maxwell,0.00847457627118644,0.0038461554795503616,-0.004628420791636079
