domain,total_contribution,contribution_share_of_total_return
other,0.2043419092781267,0.37831851872607647
tech,0.024182106369547318,0.04477074083198284
best-of-2025,0.023159454457104316,0.04287740354226789
claude-5,0.021986555268979878,0.04070589851408348
michigan-midterm,0.021404086203444875,0.03962751554871225
minnesota-midterm,0.019821741822112705,0.036697963874389145
rhineland-palatinate,0.017144988066625694,0.03174222317808399
bitcoin,0.016039009224230558,0.029694614447817045
mayoral-elections,0.013315232400286743,0.02465181526376761
anthropic,0.01238772478934316,0.022934628090960377
serie-a,0.011916076782943,0.02206141918451646
jerome-powell,0.011247684684339395,0.020823958354453654
natural-disasters,0.010742882275172892,0.019889367401673175
bundesliga,0.009548169110641611,0.017677475987402245
ncaa-football,0.009360477756324816,0.017329984298625988
sam-altman,0.00788332379535796,0.014595182121150413
thailand-cambodia,0.00685901362406417,0.012698774731746614
republican-primary,0.006420919134296705,0.011887686790871507
senate-elections,0.0060910344578137265,0.011276938449533432
hockey,0.005955756296121717,0.011026484521956344
champions-league,-0.005809066262660488,-0.010754902660129868
databricks,0.005751296167602075,0.010647947132179815
gemini-3,0.005577106975639859,0.01032545334070044
rhode-island-primary,0.005263763952637611,0.009745330209160087
big-tech,0.005137269214924706,0.0095111379087786
warner-bros,0.005055441884243273,0.0093596428256404
new-mexico-primary,0.004689719662664843,0.00868254486946714
token-sales,0.004615542600493752,0.008545213490000463
new-hampshire-midterm,0.00425683003034348,0.007881093199321544
fifa-world-cup,0.0041456333155746195,0.007675223651722753
awards,0.0038510500453412533,0.007129832318002353
new-york-city,0.0038199411802503284,0.007072237379195994
governor-midterms,0.0036928932462061137,0.006837020891376085
colombia-election,-0.0034249844805647927,-0.006341014723433298
league-of-legends,0.003252679234562232,0.0060220088686544
brazil,0.0030558560905614377,0.005657610588573534
stanley-cup,0.0030506569222233976,0.005647984850656122
israel-x-iran,0.0030407160509300832,0.005629580326024738
california-midterm,-0.0029799931470350866,-0.005517157969125677
token-launch,0.0028048326782699248,0.0051928659562111516
climate-science,0.002724240235786602,0.005043657144526279
macro-election-1,0.0027073852487173025,0.005012451829063921
colorado-midterm,0.002552564650189154,0.004725817042737573
uefa-europa-league,-0.002490037254324295,-0.004610053850218923
trump-x-al-sharaa,0.0024708965842075753,0.004574616822192891
german-elections,0.002451763191369871,0.004539193267317947
congress,0.002399085782729827,0.0044416663367072284
midterms,-0.0022944062705603043,-0.004247862735063083
grooming-gangs,0.002145941674114532,0.003972995448126945
prediction-markets,0.0020410704303081926,0.003778836874616824
nba,0.0019150962465171737,0.0035456083275316654
middle-east,0.0017515714979406192,0.0032428586817292793
the-masters,0.0017327802268812858,0.0032080685309605933
iranian-leadership-regime,-0.0017009344179732457,-0.003149109214703421
epstein,0.0016548524345014804,0.003063793051276226
elon-musk,-0.001620962308970559,-0.0030010488881449704
primary-elections,-0.001577902881592341,-0.002921328683706887
2025-predictions,-0.001577715884469835,-0.0029209824773185726
solstice,0.0015611019842921585,0.00289022351001869
trump-netanyahu,0.0015490969601241644,0.002867997413685585
extended,-0.0014026707267953576,-0.0025969039513053607
macro-indicators,0.0013460215516814837,0.0024920236940353512
primaries,-0.0012562764887673163,-0.002325869725010551
nebraska-midterm,0.001115039152088071,0.00206438298354832
commodities,0.0010673860384967497,0.001976158030525999
rhode-island-midterm,0.0010467227539022626,0.0019379020347421788
airdrops,0.0010391656924295843,0.0019239108945381677
west-virginia-primary,0.0010294423245574148,0.0019059090556426475
crypto-prices,-0.0009854824917923648,-0.0018245218410772605
economic-policy,0.0009605036155940589,0.001778275960943475
trump-presidency,-0.0009526696798740834,-0.001763772215882825
ghislaine-maxwell,-0.0008838484388834522,-0.0016363566013354034
south-dakota-midterm,0.0008443046743408417,0.0015631452934864044
new-hampshire-primary,0.0007869510403884646,0.0014569608014403399
ukraine-map,-0.0007846285784947031,-0.0014526609965371288
nov-4-elections,-0.000740158875074731,-0.001370329807671054
usdptai,0.0007323780112258077,0.0013559243198485466
trump-zelenskyy,0.0007267743989491306,0.0013455497946054536
turkey,-0.0006959512116724656,-0.001288483759575641
senate-midterms,0.0006769203940195508,0.0012532501123515792
ncaa-basketball,0.0006599067460164155,0.0012217510521078368
ethereum,-0.0006408935840854859,-0.0011865500926794997
tariffs,-0.0006118126688730366,-0.00113270969936401
reya,-0.0005853267711910183,-0.0010836737203346013
military-strikes,0.0005841436398881666,0.0010814832715738232
ostium,0.0005589622797595257,0.0010348625127826892
world-elections,-0.0005128459384044011,-0.00094948273918573
theo,-0.0005045400212132668,-0.0009341051678421321
business,0.00045276938224156815,0.0008382570301866423
referendums-midterms,-0.0004393884362193025,-0.0008134835527527647
politics,0.0004321382662163037,0.0008000605912773806
south-carolina-primary,-0.0004304527541525567,-0.0007969400350023397
trump,0.00041971774328853424,0.0007770652407277222
gensyn,0.00039091184414134756,0.0007237340120314905
variational,-0.00037617902460660856,-0.0006964576765860054
military-action,0.00035591641142918864,0.0006589434836831326
fdv,-0.00034388276334747193,-0.0006366643930490642
ukraine-peace-deal,-0.0003004227164418838,-0.0005562024817985958
geopolitics,-0.00028111852537611817,-0.0005204627111612106
basketball,0.0002646350245364394,0.0004899451651369167
russia-capture,0.000220647452631022,0.0004085065943395575
felix,0.00021243627551267546,0.0003933044247240129
celebrities,0.0002030260267600153,0.00037588229442520694
delaware-midterm,-0.00019580544299198496,-0.00036251410889190675
new-mexico-midterm,-0.00016373769467732452,-0.00030314389411736177
