exchange,exchange_event_id,exchange_market_id,exchange_symbol,question,event_title,domain,end_time_utc,liquidity,fee_bps
kalshi,KXELONMARS-99,KXELONMARS-99,KXELONMARS-99,"Will Elon Musk visit Mars before Aug 1, 2099?",Will Elon Musk visit Mars in his lifetime?,other,2099-08-08T15:00:00Z,58567.0,0.0
kalshi,KXNEWPOPE-70,KXNEWPOPE-70-FAMB,KXNEWPOPE-70-FAMB,Who will the next Pope be?,Who will the next Pope be?,other,2070-01-01T15:00:00Z,10214.0,0.0
kalshi,KXNEWPOPE-70,KXNEWPOPE-70-PPIZ,KXNEWPOPE-70-PPIZ,Who will the next Pope be?,Who will the next Pope be?,other,2070-01-01T15:00:00Z,9696.0,0.0
kalshi,KXNEWPOPE-70,KXNEWPOPE-70-LANT,KXNEWPOPE-70-LANT,Who will the next Pope be?,Who will the next Pope be?,other,2070-01-01T15:00:00Z,10023.0,0.0
kalshi,KXNEWPOPE-70,KXNEWPOPE-70-PPAR,KXNEWPOPE-70-PPAR,Who will the next Pope be?,Who will the next Pope be?,other,2070-01-01T15:00:00Z,14678.0,0.0
kalshi,KXNEWPOPE-70,KXNEWPOPE-70-PERD,KXNEWPOPE-70-PERD,Who will the next Pope be?,Who will the next Pope be?,other,2070-01-01T15:00:00Z,15445.0,0.0
kalshi,KXNEWPOPE-70,KXNEWPOPE-70-AARB,KXNEWPOPE-70-AARB,Who will the next Pope be?,Who will the next Pope be?,other,2070-01-01T15:00:00Z,9176.0,0.0
kalshi,KXNEWPOPE-70,KXNEWPOPE-70-MZUP,KXNEWPOPE-70-MZUP,Who will the next Pope be?,Who will the next Pope be?,other,2070-01-01T15:00:00Z,8359.0,0.0
kalshi,KXWARMING-50,KXWARMING-50,KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,other,2050-01-08T15:00:00Z,10248.0,0.0
kalshi,KXMARSVRAIL-50,KXMARSVRAIL-50,KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,Will a human land on Mars before California starts high-speed rail?,other,2050-01-08T15:00:00Z,8524.0,0.0
kalshi,KXERUPTSUPER-0,KXERUPTSUPER-0-50JAN01,KXERUPTSUPER-0-50JAN01,When will a supervolcano next erupt?,Will a supervolcano erupt before 2050?,other,2050-01-08T15:00:00Z,22473.0,0.0
kalshi,KXCOLONIZEMARS-50,KXCOLONIZEMARS-50,KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,Will humans colonize Mars before 2050?,other,2050-01-08T15:00:00Z,15770.0,0.0
kalshi,KXPERSONPRESMAM-45,KXPERSONPRESMAM-45,KXPERSONPRESMAM-45,Will  become President of the United States before 2045?,Will Zohran Mamdani become President of the United States before 2045?,other,2045-01-29T15:00:00Z,18355.0,0.0
kalshi,KXXISUCCESSOR-45JAN01,KXXISUCCESSOR-45JAN01-CJIN,KXXISUCCESSOR-45JAN01-CJIN,"Will Chen Jining become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Who will be named as Xi Jinping's successor?,other,2045-01-08T15:00:00Z,1489.0,0.0
kalshi,KXXISUCCESSOR-45JAN01,KXXISUCCESSOR-45JAN01-ZLEJ,KXXISUCCESSOR-45JAN01-ZLEJ,"Will Zhao Leji become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Who will be named as Xi Jinping's successor?,other,2045-01-08T15:00:00Z,542.0,0.0
kalshi,KXXISUCCESSOR-45JAN01,KXXISUCCESSOR-45JAN01-ZGUO,KXXISUCCESSOR-45JAN01-ZGUO,"Will Zhang Guoqing become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Who will be named as Xi Jinping's successor?,other,2045-01-08T15:00:00Z,267.0,0.0
kalshi,KXXISUCCESSOR-45JAN01,KXXISUCCESSOR-45JAN01-WHUN,KXXISUCCESSOR-45JAN01-WHUN,"Will Wang Huning become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Who will be named as Xi Jinping's successor?,other,2045-01-08T15:00:00Z,166.0,0.0
kalshi,KXXISUCCESSOR-45JAN01,KXXISUCCESSOR-45JAN01-LQIA,KXXISUCCESSOR-45JAN01-LQIA,"Will Li Qiang become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Who will be named as Xi Jinping's successor?,other,2045-01-08T15:00:00Z,1275.0,0.0
kalshi,KXXISUCCESSOR-45JAN01,KXXISUCCESSOR-45JAN01-CQI,KXXISUCCESSOR-45JAN01-CQI,"Will Cai Qi become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Who will be named as Xi Jinping's successor?,other,2045-01-08T15:00:00Z,1008.0,0.0
