exchange,exchange_market_id,exchange_symbol,timestamp,datetime_utc,yes_price,no_price,bid_yes,ask_yes
kalshi,KXELONMARS-99,KXELONMARS-99,1774374406,2026-03-24T17:46:46.604962+00:00,0.10500000000000001,0.895,0.1,0.11
kalshi,KXNEWPOPE-70-FAMB,KXNEWPOPE-70-FAMB,1774374406,2026-03-24T17:46:46.604962+00:00,0.045,0.955,0.03,0.06
kalshi,KXNEWPOPE-70-PPIZ,KXNEWPOPE-70-PPIZ,1774374406,2026-03-24T17:46:46.604962+00:00,0.05500000000000001,0.945,0.04,0.07
kalshi,KXNEWPOPE-70-LANT,KXNEWPOPE-70-LANT,1774374406,2026-03-24T17:46:46.604962+00:00,0.065,0.935,0.05,0.08
kalshi,KXNEWPOPE-70-PPAR,KXNEWPOPE-70-PPAR,1774374406,2026-03-24T17:46:46.604962+00:00,0.07,0.9299999999999999,0.05,0.09
kalshi,KXNEWPOPE-70-PERD,KXNEWPOPE-70-PERD,1774374406,2026-03-24T17:46:46.604962+00:00,0.045,0.955,0.03,0.06
kalshi,KXNEWPOPE-70-AARB,KXNEWPOPE-70-AARB,1774374406,2026-03-24T17:46:46.604962+00:00,0.05,0.95,0.04,0.06
kalshi,KXNEWPOPE-70-MZUP,KXNEWPOPE-70-MZUP,1774374406,2026-03-24T17:46:46.604962+00:00,0.065,0.935,0.05,0.08
kalshi,KXWARMING-50,KXWARMING-50,1774374406,2026-03-24T17:46:46.604962+00:00,0.775,0.22499999999999998,0.76,0.79
kalshi,KXMARSVRAIL-50,KXMARSVRAIL-50,1774374406,2026-03-24T17:46:46.604962+00:00,0.27,0.73,0.25,0.29
kalshi,KXERUPTSUPER-0-50JAN01,KXERUPTSUPER-0-50JAN01,1774374406,2026-03-24T17:46:46.604962+00:00,0.29500000000000004,0.705,0.27,0.32
kalshi,KXCOLONIZEMARS-50,KXCOLONIZEMARS-50,1774374406,2026-03-24T17:46:46.604962+00:00,0.185,0.815,0.16,0.21
kalshi,KXPERSONPRESMAM-45,KXPERSONPRESMAM-45,1774374406,2026-03-24T17:46:46.604962+00:00,0.07,0.9299999999999999,0.06,0.08
kalshi,KXXISUCCESSOR-45JAN01-CJIN,KXXISUCCESSOR-45JAN01-CJIN,1774374406,2026-03-24T17:46:46.604962+00:00,0.035,0.965,0.02,0.05
