exchange,exchange_event_id,exchange_market_id,exchange_symbol,question,event_title,domain,end_time_utc,liquidity,fee_bps
polymarket,16167,692250,108547978327958467449318042977006580876058560639743186491243488736783119648127,"MicroStrategy sells any Bitcoin by March 31, 2026?",MicroStrategy sells any Bitcoin by ___ ?,2025-predictions,2025-12-31T12:00:00Z,115224.87356,0.0
polymarket,30615,558937,27576533317283401577758999384642760405921738493660383550832555714312627457443,Will Brazil win the 2026 FIFA World Cup?,2026 FIFA World Cup Winner ,2026-fifa-world-cup,2026-07-20T00:00:00Z,2135622.1891,0.0
polymarket,28999,556062,57301498276970257025109591078431189727442302532145853906375186182281603517458,MegaETH market cap (FDV) >$2B one day after launch?,MegaETH market cap (FDV) one day after launch?,airdrops,2026-07-01T04:00:00Z,62483.4111,0.0
polymarket,48300,608404,14018274637090307878372326472471535510234764986484318979992031495866993899114,Will Anthropic’s market cap be less than $100B at market close on IPO day?,Anthropic IPO Closing Market Cap,anthropic,2026-06-30T00:00:00Z,8403.89154,0.0
polymarket,57639,630653,68370995073141964079913803663665941780115677360430806954011390499916208708512,Will the Democrats win the Arkansas Senate race in 2026?,Arkansas Senate Election Winner,arkansas-midterm,2026-11-03T00:00:00Z,24405.3412,0.0
polymarket,32754,564183,113032982619525852115420277512821190062380704297670231304441009678288132478177,Will Tyrese Maxey win the 2025–2026 NBA MVP?,NBA MVP ,awards,2026-06-10T00:00:00Z,197320.83347,0.0
polymarket,63255,643398,100740357893930039073645347304025265904103736920370928783519503167478569691044,Will the Phoenix Suns make the NBA Playoffs?,Which teams will make the NBA Playoffs?,basketball,2026-04-12T21:00:00Z,43789.3478,0.0
polymarket,66156,651490,46551195771960533081545368009925141952498658652959429196677286705276507790996,Will Lucas rank #1 among boy names on the SSA’s official list for 2025?,Most popular boy name 2025,best-of-2025,2025-12-31T00:00:00Z,4667.59687,0.0
polymarket,79039,676714,81149948856723777101519215824830787060576196646125816787577716414910058024325,Will Tesla be the largest company in the world by market cap on March 31?,Largest Company end of March?,big-tech,2026-03-31T00:00:00Z,411533.11811,0.0
polymarket,73040,665205,115563279943088574368475763566308524191598627607680105838058505260056381768939,US national Bitcoin reserve before 2027?,US national Bitcoin reserve before 2027?,bitcoin,2026-12-31T00:00:00Z,15652.6418,0.0
polymarket,45925,601921,46016408901619903295207375832539898750164493226855442884509133805980187874445,Will Tarcisio de Frietas qualify for Brazil's presidential runoff?,Which candidates will advance to Brazil's presidential runoff?,brazil,2026-10-04T00:00:00Z,12700.5238,0.0
polymarket,33660,566543,5254288171817620305899304387173316577587455481755582876905938498730493405588,Will Stuttgart win the 2025–26 Bundesliga?,Bundesliga Winner ,bundesliga,2026-05-28T00:00:00Z,51312.36998,0.0
