event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
30829,democratic-presidential-nominee-2028,Democratic Presidential Nominee 2028,559685,will-mrbeast-win-the-2028-democratic-presidential-nomination,Will MrBeast win the 2028 Democratic presidential nomination?,51035537065442638321333063915918274102446051033989435618245745345113522914516,world-elections,1737248.67184,World Elections|Global Elections|Elections|Politics|US Election|Earn 4%|Primaries,world-elections|global-elections|elections|politics|us-presidential-election|earn-4|primaries,2025-07-11T18:41:17.827458Z,2028-11-07T00:00:00Z
30615,2026-fifa-world-cup-winner-595,2026 FIFA World Cup Winner ,558977,will-haiti-win-the-2026-fifa-world-cup,Will Haiti win the 2026 FIFA World Cup?,113379015922744700109400673843380371641970914885846970213129353605968934558386,2026-fifa-world-cup,1545237.51454,Soccer|Sports|FIFA World Cup|2026 FIFA World Cup|Hide From New,soccer|sports|fifa-world-cup|2026-fifa-world-cup|hide-from-new,2025-07-02T22:28:24.564603Z,2026-07-20T00:00:00Z
27830,2026-nba-champion,2026 NBA Champion,553885,will-the-washington-wizards-win-the-2026-nba-finals,Will the Washington Wizards win the 2026 NBA Finals?,57216346243194048494106885096326902046397640842339362261275028299309205230984,nba-champion,1420956.0846,Sports|NBA|NBA Finals|Basketball|NBA Champion,sports|nba|nba-finals|basketball|nba-champion,2025-06-23T16:04:37.82012Z,2026-07-01T00:00:00Z
33507,english-premier-league-winner,English Premier League Winner ,566201,will-brentford-win-the-202526-english-premier-league,Will Brentford win the 2025–26 English Premier League?,42965146259929605797806965560632904263752338454817822438029661385790791701585,soccer,2143516.8842,Sports|Soccer|EPL,sports|soccer|EPL,2025-07-24T00:09:44.861615Z,2026-05-27T00:00:00Z
33506,uefa-champions-league-winner,UEFA Champions League Winner ,566170,will-club-brugge-win-the-202526-champions-league,Will Club Brugge win the 2025–26 Champions League?,43478780997313571844864646081201368302664941062507392308569466005072068318763,champions-league,786718.18186,Soccer|Champions League|Sports|UCL,soccer|champions-league|sports|ucl,2025-07-28T16:48:06.450445Z,2026-05-31T00:00:00Z
33509,la-liga-winner-114,La Liga Winner ,566237,will-sevilla-win-the-202526-la-liga,Will Sevilla win the 2025–26 La Liga?,104364385439684219163817377040971595880501379287181011429785842872087429335711,la-liga,521468.63599,Sports|Soccer|La Liga,sports|soccer|la-liga,2025-07-28T16:48:06.359296Z,2026-05-30T00:00:00Z
23784,what-will-happen-before-gta-vi,What will happen before GTA VI?,540819,will-jesus-christ-return-before-gta-vi-665,Will Jesus Christ return before GTA VI?,90435811253665578014957380826505992530054077692143838383981805324273750424057,pop-culture,833288.2092,Culture|All|Politics|GTA VI,pop-culture|all|politics|gta-vi,2025-05-02T15:48:25.262673Z,2026-07-31T12:00:00Z
27829,2026-nhl-stanley-cup-champion,2026 NHL Stanley Cup Champion ,553854,will-the-chicago-blackhawks-win-the-2026-nhl-stanley-cup,Will the Chicago Blackhawks win the 2026 NHL Stanley Cup?,69891043446226159898410642325443071680872661606424627368536022455419261707912,stanley-cup,169764.65867,Sports|Hockey|NHL|Stanley Cup,sports|hockey|nhl|stanley-cup,2025-06-23T16:02:40.856098Z,2026-06-30T00:00:00Z
60182,nobel-peace-prize-winner-2026-139,Nobel Peace Prize Winner 2026,637002,will-donald-trump-win-the-nobel-peace-prize-in-2026-382,Will Donald Trump win the Nobel Peace Prize in 2026?,96308556109755835434254900303426519652053230974356832970824534225192181988516,geopolitics,317044.9343,Awards|Politics|Geopolitics|World,awards|politics|geopolitics|world,2025-10-16T22:33:46.896383Z,2026-10-10T00:00:00Z
79987,next-french-presidential-election,Next French Presidential Election,679042,will-lisabeth-borne-win-the-2027-french-presidential-election,Will Élisabeth Borne win the 2027 French presidential election?,95043791702010561300601166976284104609629234315477979739013638520683405055559,france,84761.47084,Elections|Global Elections|World|France|Politics,elections|global-elections|world|france|politics,2025-11-13T23:10:18.574088Z,2027-04-30T00:00:00Z
75478,fed-decision-in-april,Fed decision in April?,669661,will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting,Will the Fed decrease interest rates by 25 bps after the April 2026 meeting?,83479140651306794046790588004449066364152228067472874205697111967337978544729,economic-policy,165801.1641,Economic Policy|Economy|Jerome Powell|Fed|Fed Rates|Politics,economic-policy|economy|jerome-powell|fed|fed-rates|politics,2025-11-13T00:40:50.267805Z,2026-04-29T00:00:00Z
79039,largest-company-end-of-march-588,Largest Company end of March?,676714,will-tesla-be-the-largest-company-in-the-world-by-market-cap-on-march-31,Will Tesla be the largest company in the world by market cap on March 31?,81149948856723777101519215824830787060576196646125816787577716414910058024325,big-tech,151286.21202,Economy|Big Tech|Tech|Finance|Business,economy|big-tech|tech|finance|business,2025-11-12T21:12:22.812195Z,2026-03-31T00:00:00Z
34044,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,567621,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,94559586571241563470235664821564670251180951772614764383113614156422396181162,foreign-policy,557874.03398,Foreign Policy|China|Politics|World|Geopolitics|Earn 4%,foreign-policy|china|politics|world|geopolitics|earn-4,2025-07-24T23:47:38.785111Z,2026-12-31T00:00:00Z
63703,nhl-2025-26-james-norris-memorial-trophy,NHL James Norris Memorial Trophy Winner,645609,nhl-2025-26-james-norris-memorial-trophy-cale-makar,Will Cale Makar win the 2025–2026 NHL James Norris Memorial Trophy?,94282771322548135295116064303153310090090900045760019436884411170977004406515,awards,12503.683,NHL|Sports|Awards|Hockey,nhl|sports|awards|hockey,2025-10-22T23:56:37.255653Z,2026-06-30T00:00:00Z
34038,next-prime-minister-of-hungary,Next Prime Minister of Hungary,567562,will-the-next-prime-minister-of-hungary-be-klra-dobrev,Will the next Prime Minister of Hungary be Klára Dobrev?,112536763962112966413913689999835610937825698421206043055719132308018314071040,macro-election-1,280632.06856,World|World Elections|Elections|Global Elections|Hungary|Macro Election 1|Politics,world|world-elections|elections|global-elections|hungary|macro-election-1|politics,2025-07-24T22:05:19.517888Z,2026-04-12T00:00:00Z
