category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy
2025-predictions,0.9999999999999999,1.1809513331848093e-05,0.0,4.630585679996992e-05,9.094003569294792e-06,5.591616257434288e-08,2.7769060568394282e-05,0.0,2.0289681511105933e-05,-9.549242967282976e-06,-1.5465638936305284e-05,3.39480156238144e-05,0.007149679546791192,1.1705584936643524e-05,-0.011085626568921878,3.739795513897894e-05,-3.4595406663034014e-05,2.2461449825146706e-05,1.5037871715626642e-05,0.0,0.01755364987482156,-1.5213054004583305e-05,2.1775960042425953e-05,2.5653057036419034e-05,-4.42804674032126e-06,-7.26893131190803e-06,1.6051199510818137e-05,-0.06865099712457283,5.193683006105238e-06,-4.557815260866571e-05,-3.580718857867336e-05,6.642010792705322e-05,-4.1102705971319315e-06,2.50719318740331e-05,2.138577148675447e-05,-5.9265250878511385e-06,1.0102021965036958e-05,7.460550875170309e-05,2.559055045825146e-06,-2.059574348959557e-05
2026-fifa-world-cup,1.1809513331848093e-05,0.9999999999999999,0.0,-4.402622817466902e-05,-8.646307483145326e-06,-5.316342040312161e-08,-2.6401994936872175e-05,0.0,-1.9290824304538574e-05,9.079135531150246e-06,1.4704268438831192e-05,-3.227676119648845e-05,-2.138095781502037e-05,-1.1129321190727665e-05,1.5109266061191021e-06,-3.5556860837868595e-05,3.289228129655033e-05,-2.1355676872746063e-05,-1.4297560118011125e-05,0.0,-1.6558854300386922e-05,1.446411821581474e-05,-2.0703933623164823e-05,-0.049166591161325074,4.210054831716613e-06,6.91108318989773e-06,-1.5261001976339856e-05,4.228023501520754e-06,-4.937998968067253e-06,4.333434872390544e-05,3.404440741628031e-05,-6.315025850001751e-05,3.907922748318268e-06,-2.383764538110653e-05,-2.0332953976739616e-05,5.634763371893582e-06,-9.604701322760806e-06,-7.093269358082623e-05,-2.4330732469919935e-06,1.9581818909364976e-05
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,4.630585679996992e-05,-4.402622817466902e-05,0.0,1.0,-3.390272443177651e-05,-2.0845717033290058e-07,-0.00010352391012450127,0.0,-7.564055543172591e-05,3.55998708803004e-05,5.7656376646832726e-05,-5.8003189631699646e-05,-8.383610255627435e-05,-4.3638779927439903e-05,5.924439821711992e-06,-0.00013942072462669013,0.00012897273788876925,-8.373697436531609e-05,-5.606164731853392e-05,0.0,-6.492832638051356e-05,-0.006285449610477029,-8.118144741535336e-05,-9.563538401005973e-05,1.6507894159511237e-05,2.7098799038656272e-05,-5.983936444143416e-05,1.6578350462614458e-05,-1.9362209658299797e-05,0.00016991675187134957,0.0001334902980639098,-0.00024761620100776044,1.532321494408539e-05,-9.346893156800861e-05,0.0038513412630743673,2.2094267432420832e-05,-0.007560784277259536,-0.00027813162651942346,-9.540235756811991e-06,-0.001579428132813353
acquisitions,9.094003569294792e-06,-8.646307483145326e-06,0.0,-3.390272443177651e-05,1.0,-4.0938887260588774e-08,-2.0331052554462663e-05,0.0,-1.4855042722803833e-05,6.991455837873322e-06,1.1323131267906153e-05,-2.4854960003692297e-05,0.006886765431023231,-8.570216552392416e-06,-0.006888111915906108,-2.738082512684713e-05,2.532894583440517e-05,-1.6445097799392516e-05,-1.1009942500743162e-05,0.0,-0.030270269825775145,1.1138201802660588e-05,-1.5943218062994975e-05,-1.878182553224932e-05,3.241984033610514e-06,5.321931008548274e-06,-1.175184806892634e-05,-0.0014316758124645532,-3.8025428295742907e-06,3.3369937515161313e-05,2.6216149121340697e-05,-4.8629326210444844e-05,3.0093249758134635e-06,-1.8356356107812704e-05,-1.5657542427265962e-05,4.339091440621812e-06,-7.396171684369749e-06,-5.462224822288779e-05,-1.873606148767076e-06,1.5079125282395175e-05
airdrops,5.591616257434288e-08,-5.316342040312161e-08,0.0,-2.0845717033290058e-07,-4.0938887260588774e-08,1.0,-1.2500923617281284e-07,0.0,-9.133897711934434e-08,4.298825905286607e-08,6.962236643215833e-08,-1.5282531766746205e-07,-1.0123542601619378e-07,-5.269556124482807e-08,7.1539965595407744e-09,-1.68356066450156e-07,1.5573970719559056e-07,-1.0111572478467737e-07,-6.769666738290618e-08,0.0,-7.84035347693318e-08,6.848529341819091e-08,-9.802982442023142e-08,-1.1548352734888878e-07,1.9933938326169622e-08,3.2722876917711456e-08,-7.225841095926397e-08,2.001901711237217e-08,-2.338063773953248e-08,2.0518123145380516e-07,1.6119484066390142e-07,-2.9900640455558993e-07,0.0058628802897415485,0.0027626505747523817,-9.627329494848903e-08,2.667970609082263e-08,-4.547672927327895e-08,-0.00017390055080553933,-1.1520213865943638e-08,9.271679017402188e-08
anthropic,2.7769060568394282e-05,-2.6401994936872175e-05,0.0,-0.00010352391012450127,-2.0331052554462663e-05,-1.2500923617281284e-07,1.0,0.0,-4.536072346709966e-05,2.134881069089062e-05,3.4575829622940936e-05,-7.58960434211718e-05,-5.0275493654290516e-05,-2.6169646923295342e-05,3.552814689373433e-06,-8.360891719102383e-05,7.734338629292378e-05,-0.005614722264390155,-3.361948979104827e-05,0.0,-3.89367296593487e-05,3.401113691282975e-05,-4.868352917094337e-05,-5.735137960040433e-05,0.005776420022318861,1.625082103730113e-05,-3.588494092068146e-05,9.941835653946702e-06,-1.1611282241508293e-05,0.00010189701477035408,8.00525123256599e-05,-0.00014849243181490644,9.189146110026397e-06,-5.605218435298934e-05,-4.781120226112519e-05,1.3249664144983756e-05,-2.2584633699831964e-05,-0.0004314073808075866,-5.721163647011285e-06,0.0006103260374560437
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,2.0289681511105933e-05,-1.9290824304538574e-05,0.0,-7.564055543172591e-05,-1.4855042722803833e-05,-9.133897711934434e-08,-4.536072346709966e-05,0.0,0.9999999999999998,1.5598675673317506e-05,-0.0018104917276101254,-5.5454038323549806e-05,-3.6734183050477903e-05,-1.912105740934164e-05,2.595891868139459e-06,-6.10895099283647e-05,5.6511550724187975e-05,-3.669074838449173e-05,-2.456434342624659e-05,0.0,-2.8449426365233678e-05,2.4850503462021314e-05,-3.5571001737068445e-05,-4.190423451483896e-05,7.233208454870584e-06,1.1873789620240807e-05,-2.621961303056114e-05,7.26408005620268e-06,-8.483874275671739e-06,0.009442741080515446,5.8490994870033066e-05,-0.00010849715786796374,6.714121548052261e-06,-4.095496733578662e-05,-3.4933629250874984e-05,9.68097084050382e-06,-1.6501639430183898e-05,-0.00012186799921708488,-4.180213010263319e-06,3.364311956934835e-05
basketball,-9.549242967282976e-06,9.079135531150246e-06,0.0,3.55998708803004e-05,6.991455837873322e-06,4.298825905286607e-08,2.134881069089062e-05,0.0,1.5598675673317506e-05,0.9999999999999998,-1.188995922464286e-05,2.609918175298745e-05,1.72887701052214e-05,8.999235542126876e-06,-1.2217442719385892e-06,0.014555839284502273,-2.6596894979738293e-05,1.7268327784405197e-05,1.1561092448918616e-05,0.0,1.338958842171769e-05,0.003441969958041661,1.674132430274847e-05,-0.015307281971460088,-3.40427546537655e-06,-5.588343117362927e-06,1.2340137286033648e-05,-3.4188050390292065e-06,3.992895438891987e-06,-3.504041302680733e-05,-2.752851103681959e-05,5.106367594650286e-05,-3.1599696594118994e-06,1.9275262334328245e-05,1.6441347946392267e-05,-4.556303294586686e-06,7.766418816927753e-06,5.7356599403673246e-05,1.967397549742258e-06,-1.5833975647631274e-05
